#Constrained by relation between 12+log(O/H), log(U) and log(N/O)
12+log(O/H)     	 log(N/O)        	 log(U)          	 OII_3727        	 NeIII_3868      	 OIII_4363       	 OIII_5007       	 NII_6584        	 SII_6717,31    
7.3000000 	 -1.5000000 	 -2.2500000 	 0.2415000 	 0.1359000 	 0.0573000 	 2.1375000 	 0.0073000 	 0.0366000
7.3000000 	 -1.6250000 	 -2.2500000 	 0.2416000 	 0.1361000 	 0.0575000 	 2.1405000 	 0.0055000 	 0.0366000
7.3000000 	 -1.7500000 	 -2.2500000 	 0.2418000 	 0.1363000 	 0.0576000 	 2.1428000 	 0.0041000 	 0.0366000
7.4000000 	 -1.5000000 	 -1.7500000 	 0.1595000 	 0.2150000 	 0.1048000 	 3.3968000 	 0.0049000 	 0.0259000
7.4000000 	 -1.6250000 	 -1.7500000 	 0.1595000 	 0.2151000 	 0.1049000 	 3.3976000 	 0.0037000 	 0.0259000
7.4000000 	 -1.7500000 	 -1.7500000 	 0.1595000 	 0.2151000 	 0.1049000 	 3.3982000 	 0.0028000 	 0.0259000
7.4000000 	 -1.5000000 	 -2.0000000 	 0.2148000 	 0.1879000 	 0.0840000 	 2.9878000 	 0.0066000 	 0.0336000
7.4000000 	 -1.6250000 	 -2.0000000 	 0.2148000 	 0.1880000 	 0.0840000 	 2.9884000 	 0.0049000 	 0.0336000
7.4000000 	 -1.7500000 	 -2.0000000 	 0.2148000 	 0.1880000 	 0.0840000 	 2.9888000 	 0.0037000 	 0.0336000
7.4000000 	 -1.5000000 	 -2.2500000 	 0.3006000 	 0.1613000 	 0.0649000 	 2.5590000 	 0.0092000 	 0.0453000
7.4000000 	 -1.6250000 	 -2.2500000 	 0.3006000 	 0.1614000 	 0.0650000 	 2.5594000 	 0.0069000 	 0.0453000
7.4000000 	 -1.7500000 	 -2.2500000 	 0.3007000 	 0.1614000 	 0.0650000 	 2.5598000 	 0.0052000 	 0.0453000
7.5000000 	 -1.5000000 	 -1.7500000 	 0.2018000 	 0.2685000 	 0.1302000 	 4.2487000 	 0.0062000 	 0.0324000
7.5000000 	 -1.6250000 	 -1.7500000 	 0.2022000 	 0.2697000 	 0.1312000 	 4.2649000 	 0.0046000 	 0.0324000
7.5000000 	 -1.7500000 	 -1.7500000 	 0.2025000 	 0.2707000 	 0.1320000 	 4.2774000 	 0.0035000 	 0.0324000
7.5000000 	 -1.5000000 	 -2.0000000 	 0.2712000 	 0.2327000 	 0.1027000 	 3.7099000 	 0.0083000 	 0.0420000
7.5000000 	 -1.6250000 	 -2.0000000 	 0.2715000 	 0.2335000 	 0.1034000 	 3.7205000 	 0.0062000 	 0.0420000
7.5000000 	 -1.7500000 	 -2.0000000 	 0.2719000 	 0.2340000 	 0.1038000 	 3.7285000 	 0.0047000 	 0.0420000
7.5000000 	 -1.5000000 	 -2.2500000 	 0.3793000 	 0.1987000 	 0.0787000 	 3.1616000 	 0.0116000 	 0.0565000
7.5000000 	 -1.6250000 	 -2.2500000 	 0.3796000 	 0.1991000 	 0.0790000 	 3.1684000 	 0.0087000 	 0.0566000
7.5000000 	 -1.7500000 	 -2.2500000 	 0.3800000 	 0.1995000 	 0.0793000 	 3.1735000 	 0.0065000 	 0.0566000
7.6000000 	 -1.5000000 	 -2.0000000 	 0.3369000 	 0.2751000 	 0.1160000 	 4.4278000 	 0.0103000 	 0.0518000
7.6000000 	 -1.6250000 	 -2.0000000 	 0.3374000 	 0.2761000 	 0.1168000 	 4.4427000 	 0.0077000 	 0.0520000
7.6000000 	 -1.7500000 	 -2.0000000 	 0.3379000 	 0.2769000 	 0.1174000 	 4.4537000 	 0.0058000 	 0.0520000
7.6000000 	 -1.5000000 	 -2.2500000 	 0.4719000 	 0.2358000 	 0.0894000 	 3.7830000 	 0.0145000 	 0.0699000
7.6000000 	 -1.6250000 	 -2.2500000 	 0.4726000 	 0.2365000 	 0.0898000 	 3.7927000 	 0.0109000 	 0.0699000
7.6000000 	 -1.7500000 	 -2.2500000 	 0.4730000 	 0.2370000 	 0.0902000 	 3.8000000 	 0.0081000 	 0.0700000
7.6000000 	 -1.5000000 	 -2.5000000 	 0.6802000 	 0.1986000 	 0.0659000 	 3.1091000 	 0.0211000 	 0.0963000
7.6000000 	 -1.6250000 	 -2.5000000 	 0.6810000 	 0.1990000 	 0.0662000 	 3.1153000 	 0.0158000 	 0.0965000
7.6000000 	 -1.7500000 	 -2.5000000 	 0.6816000 	 0.1993000 	 0.0664000 	 3.1200000 	 0.0119000 	 0.0965000
7.7000000 	 -1.5000000 	 -2.0000000 	 0.4156000 	 0.3190000 	 0.1268000 	 5.1959000 	 0.0128000 	 0.0636000
7.7000000 	 -1.6250000 	 -2.0000000 	 0.4164000 	 0.3204000 	 0.1277000 	 5.2154000 	 0.0096000 	 0.0637000
7.7000000 	 -1.7500000 	 -2.0000000 	 0.4171000 	 0.3215000 	 0.1285000 	 5.2302000 	 0.0072000 	 0.0637000
7.7000000 	 -1.5000000 	 -2.2500000 	 0.5833000 	 0.2747000 	 0.0984000 	 4.4516000 	 0.0180000 	 0.0858000
7.7000000 	 -1.6250000 	 -2.2500000 	 0.5842000 	 0.2756000 	 0.0989000 	 4.4644000 	 0.0135000 	 0.0858000
