#Constrained by relation between 12+log(O/H), log(U) and log(N/O)
12+log(O/H)     	 log(N/O)        	 log(U)          	 HI_4m           	 HI_7m           	 SIV_10m         	 HI_12m          	 NeII_12m        	 NeV_14m         	 NeIII_15m       	 SIII_19m        	 NeV_24m         	 OIV_26m         	 SIII_33m        	 OIII_52m        	 NIII_57m        	 OIII_88m        	 NII_122m        	 NII_205m       
7.1000000 	 -1.6250000 	 -2.0000000 	 0.0578000 	 0.0170000 	 0.0675000 	 0.0063000 	 0.0000000 	 0.0000000 	 0.0324000 	 0.0233000 	 0.0000000 	 0.0000000 	 0.0313000 	 0.1172000 	 0.0040000 	 0.1414000 	 0.0000000 	 0.0000000
7.1000000 	 -1.7500000 	 -2.0000000 	 0.0578000 	 0.0170000 	 0.0675000 	 0.0063000 	 0.0000000 	 0.0000000 	 0.0324000 	 0.0233000 	 0.0000000 	 0.0000000 	 0.0313000 	 0.1172000 	 0.0030000 	 0.1414000 	 0.0000000 	 0.0000000
7.1000000 	 -1.5000000 	 -2.2500000 	 0.0587000 	 0.0173000 	 0.0459000 	 0.0064000 	 0.0000000 	 0.0000000 	 0.0312000 	 0.0258000 	 0.0000000 	 0.0000000 	 0.0351000 	 0.1085000 	 0.0056000 	 0.1317000 	 0.0000000 	 0.0000000
7.1000000 	 -1.6250000 	 -2.2500000 	 0.0587000 	 0.0173000 	 0.0459000 	 0.0064000 	 0.0000000 	 0.0000000 	 0.0312000 	 0.0258000 	 0.0000000 	 0.0000000 	 0.0351000 	 0.1085000 	 0.0042000 	 0.1317000 	 0.0000000 	 0.0000000
7.1000000 	 -1.7500000 	 -2.2500000 	 0.0587000 	 0.0173000 	 0.0459000 	 0.0064000 	 0.0000000 	 0.0000000 	 0.0312000 	 0.0258000 	 0.0000000 	 0.0000000 	 0.0351000 	 0.1085000 	 0.0031000 	 0.1317000 	 0.0000000 	 0.0000000
7.1000000 	 -1.5000000 	 -2.5000000 	 0.0596000 	 0.0176000 	 0.0275000 	 0.0065000 	 0.0012000 	 0.0000000 	 0.0299000 	 0.0271000 	 0.0000000 	 0.0000000 	 0.0374000 	 0.0975000 	 0.0055000 	 0.1190000 	 0.0000000 	 0.0000000
7.1000000 	 -1.6250000 	 -2.5000000 	 0.0596000 	 0.0176000 	 0.0275000 	 0.0065000 	 0.0012000 	 0.0000000 	 0.0299000 	 0.0271000 	 0.0000000 	 0.0000000 	 0.0374000 	 0.0975000 	 0.0041000 	 0.1190000 	 0.0000000 	 0.0000000
7.1000000 	 -1.7500000 	 -2.5000000 	 0.0596000 	 0.0176000 	 0.0275000 	 0.0065000 	 0.0012000 	 0.0000000 	 0.0299000 	 0.0271000 	 0.0000000 	 0.0000000 	 0.0374000 	 0.0975000 	 0.0031000 	 0.1190000 	 0.0000000 	 0.0000000
7.2000000 	 -1.5000000 	 -2.0000000 	 0.0579000 	 0.0170000 	 0.0833000 	 0.0063000 	 0.0000000 	 0.0000000 	 0.0407000 	 0.0298000 	 0.0000000 	 0.0000000 	 0.0400000 	 0.1476000 	 0.0068000 	 0.1778000 	 0.0000000 	 0.0000000
7.2000000 	 -1.6250000 	 -2.0000000 	 0.0579000 	 0.0170000 	 0.0833000 	 0.0063000 	 0.0000000 	 0.0000000 	 0.0408000 	 0.0298000 	 0.0000000 	 0.0000000 	 0.0400000 	 0.1477000 	 0.0051000 	 0.1778000 	 0.0000000 	 0.0000000
7.2000000 	 -1.7500000 	 -2.0000000 	 0.0578000 	 0.0170000 	 0.0832000 	 0.0063000 	 0.0000000 	 0.0000000 	 0.0408000 	 0.0298000 	 0.0000000 	 0.0000000 	 0.0400000 	 0.1477000 	 0.0038000 	 0.1779000 	 0.0000000 	 0.0000000
7.2000000 	 -1.5000000 	 -2.2500000 	 0.0588000 	 0.0174000 	 0.0563000 	 0.0064000 	 0.0000000 	 0.0000000 	 0.0393000 	 0.0329000 	 0.0000000 	 0.0000000 	 0.0447000 	 0.1365000 	 0.0071000 	 0.1656000 	 0.0000000 	 0.0000000
7.2000000 	 -1.6250000 	 -2.2500000 	 0.0588000 	 0.0174000 	 0.0563000 	 0.0064000 	 0.0000000 	 0.0000000 	 0.0393000 	 0.0329000 	 0.0000000 	 0.0000000 	 0.0447000 	 0.1365000 	 0.0053000 	 0.1656000 	 0.0000000 	 0.0000000
7.2000000 	 -1.7500000 	 -2.2500000 	 0.0588000 	 0.0174000 	 0.0563000 	 0.0064000 	 0.0000000 	 0.0000000 	 0.0393000 	 0.0329000 	 0.0000000 	 0.0000000 	 0.0447000 	 0.1366000 	 0.0040000 	 0.1656000 	 0.0000000 	 0.0000000
7.2000000 	 -1.5000000 	 -2.5000000 	 0.0598000 	 0.0177000 	 0.0335000 	 0.0065000 	 0.0016000 	 0.0000000 	 0.0375000 	 0.0344000 	 0.0000000 	 0.0000000 	 0.0474000 	 0.1224000 	 0.0069000 	 0.1494000 	 0.0000000 	 0.0000000
7.2000000 	 -1.6250000 	 -2.5000000 	 0.0598000 	 0.0177000 	 0.0335000 	 0.0065000 	 0.0016000 	 0.0000000 	 0.0375000 	 0.0344000 	 0.0000000 	 0.0000000 	 0.0474000 	 0.1225000 	 0.0052000 	 0.1494000 	 0.0000000 	 0.0000000
