#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, T*: 30 - 90 kK
# SED: Wm-Basic (Pauldrach et al 2002)
# Plane-parallel geometry
#
#12+log(O/H) Teff log(U) OII_3727 OIII_5007 SII_6717,31 SIII_9069 He1_4471 He1_5876 He2_4686
7.7 45000 -1.75 0.5406 4.7542 0.0408 0.1465 0.0216 0.0555 0.0000
7.7 50000 -1.75 0.3957 5.2456 0.0439 0.1320 0.0214 0.0551 0.0016
7.7 55000 -1.75 0.3949 5.6931 0.0446 0.1350 0.0215 0.0556 0.0000
7.7 60000 -1.75 0.3173 5.9421 0.0516 0.1154 0.0208 0.0533 0.0030
7.7 30000 -1.50 1.0129 0.0159 0.0393 0.0452 0.0030 0.0079 0.0000
7.7 32500 -1.50 2.1005 0.2539 0.0489 0.0886 0.0094 0.0242 0.0000
7.7 35000 -1.50 2.0251 1.6892 0.0441 0.1295 0.0192 0.0496 0.0000
7.7 37500 -1.50 0.9866 3.1446 0.0343 0.1407 0.0212 0.0545 0.0000
7.7 40000 -1.50 0.4715 4.5938 0.0316 0.1426 0.0213 0.0550 0.0000
7.7 45000 -1.50 0.4046 5.3466 0.0323 0.1400 0.0215 0.0554 0.0000
7.7 50000 -1.50 0.2992 5.8461 0.0351 0.1197 0.0213 0.0549 0.0021
7.7 55000 -1.50 0.2996 6.3663 0.0359 0.1225 0.0214 0.0556 0.0000
7.7 60000 -1.50 0.2434 6.6098 0.0410 0.1008 0.0206 0.0530 0.0040
8.0 30000 -4.00 0.6432 0.0000 0.4269 0.0034 0.0010 0.0027 0.0000
8.0 32500 -4.00 1.0493 0.0000 0.6136 0.0082 0.0034 0.0088 0.0000
8.0 35000 -4.00 1.5130 0.0000 0.7481 0.0172 0.0088 0.0227 0.0000
8.0 37500 -4.00 1.8153 0.0032 0.7943 0.0273 0.0150 0.0386 0.0000
8.0 40000 -4.00 2.3374 0.0159 0.8658 0.0466 0.0208 0.0533 0.0000
8.0 45000 -4.00 2.6619 0.0259 0.9007 0.0590 0.0224 0.0573 0.0000
8.0 50000 -4.00 2.8798 0.0499 0.9589 0.0650 0.0235 0.0602 0.0000
8.0 55000 -4.00 3.1273 0.0591 0.9783 0.0742 0.0244 0.0627 0.0000
8.0 60000 -4.00 3.2251 0.0949 1.0910 0.0666 0.0247 0.0631 0.0000
8.0 30000 -3.75 0.8255 0.0000 0.4522 0.0061 0.0012 0.0030 0.0000
8.0 32500 -3.75 1.3050 0.0000 0.6284 0.0140 0.0039 0.0100 0.0000
8.0 35000 -3.75 1.8416 0.0020 0.7325 0.0280 0.0101 0.0259 0.0000
8.0 37500 -3.75 2.1912 0.0104 0.7437 0.0433 0.0166 0.0427 0.0000
8.0 40000 -3.75 2.7798 0.0520 0.7621 0.0697 0.0213 0.0547 0.0000
8.0 45000 -3.75 3.1442 0.0841 0.7714 0.0853 0.0225 0.0576 0.0000
8.0 50000 -3.75 3.3587 0.1596 0.8132 0.0928 0.0232 0.0595 0.0000
8.0 55000 -3.75 3.6406 0.1888 0.8175 0.1035 0.0239 0.0612 0.0000
8.0 60000 -3.75 3.6833 0.2957 0.9280 0.0950 0.0239 0.0611 0.0000
8.0 30000 -3.50 1.0139 0.0000 0.4652 0.0106 0.0012 0.0032 0.0000
8.0 32500 -3.50 1.5890 0.0000 0.6264 0.0235 0.0041 0.0106 0.0000
8.0 35000 -3.50 2.1974 0.0060 0.6911 0.0442 0.0110 0.0283 0.0000
8.0 37500 -3.50 2.5851 0.0325 0.6628 0.0654 0.0180 0.0461 0.0000
8.0 40000 -3.50 3.1916 0.1606 0.6342 0.0983 0.0216 0.0555 0.0000
8.0 45000 -3.50 3.5664 0.2568 0.6263 0.1163 0.0225 0.0575 0.0000
8.0 50000 -3.50 3.6780 0.4676 0.6543 0.1247 0.0229 0.0587 0.0000
8.0 55000 -3.50 3.9780 0.5506 0.6518 0.1366 0.0234 0.0599 0.0000
8.0 60000 -3.50 3.8675 0.8148 0.7532 0.1283 0.0232 0.0594 0.0012
8.0 30000 -3.25 1.1784 0.0000 0.4531 0.0178 0.0012 0.0032 0.0000
8.0 32500 -3.25 1.8895 0.0014 0.5951 0.0379 0.0043 0.0110 0.0000
8.0 35000 -3.25 2.5678 0.0166 0.6173 0.0660 0.0116 0.0298 0.0000
8.0 37500 -3.25 2.9629 0.0952 0.5552 0.0923 0.0190 0.0488 0.0000
8.0 40000 -3.25 3.4407 0.4422 0.4963 0.1290 0.0218 0.0558 0.0000
8.0 45000 -3.25 3.7189 0.6874 0.4790 0.1481 0.0224 0.0573 0.0000
8.0 50000 -3.25 3.6034 1.1385 0.5001 0.1564 0.0227 0.0580 0.0000
8.0 55000 -3.25 3.8558 1.3361 0.4948 0.1692 0.0230 0.0589 0.0000
8.0 60000 -3.25 3.5499 1.7991 0.5834 0.1620 0.0227 0.0580 0.0014
8.0 30000 -3.00 1.2996 0.0000 0.4121 0.0277 0.0013 0.0034 0.0000
8.0 32500 -3.00 2.1720 0.0032 0.5267 0.0569 0.0044 0.0114 0.0000
8.0 35000 -3.00 2.9356 0.0442 0.5155 0.0922 0.0120 0.0309 0.0000
8.0 37500 -3.00 3.2460 0.2522 0.4348 0.1210 0.0198 0.0508 0.0000
8.0 40000 -3.00 3.3433 1.0120 0.3665 0.1575 0.0219 0.0560 0.0000
8.0 45000 -3.00 3.4375 1.4733 0.3504 0.1761 0.0223 0.0571 0.0000
8.0 50000 -3.00 3.0831 2.1768 0.3674 0.1842 0.0225 0.0575 0.0000
8.0 55000 -3.00 3.2583 2.5145 0.3641 0.1975 0.0227 0.0581 0.0000
8.0 60000 -3.00 2.8446 3.1033 0.4351 0.1918 0.0223 0.0570 0.0015
8.0 30000 -2.75 1.3655 0.0000 0.3464 0.0395 0.0014 0.0036 0.0000
8.0 32500 -2.75 2.4077 0.0075 0.4308 0.0783 0.0047 0.0120 0.0000
8.0 35000 -2.75 3.2714 0.1086 0.4029 0.1196 0.0125 0.0322 0.0000
8.0 37500 -2.75 3.3445 0.5721 0.3224 0.1477 0.0204 0.0524 0.0000
8.0 40000 -2.75 2.8935 1.8550 0.2607 0.1810 0.0219 0.0561 0.0000
8.0 45000 -2.75 2.8235 2.5203 0.2495 0.1987 0.0222 0.0569 0.0000
8.0 50000 -2.75 2.3633 3.3651 0.2640 0.2059 0.0223 0.0570 0.0000
8.0 55000 -2.75 2.4730 3.8335 0.2632 0.2197 0.0224 0.0575 0.0000
8.0 60000 -2.75 2.0827 4.4426 0.3169 0.2141 0.0220 0.0562 0.0016
8.0 30000 -2.50 1.3821 0.0000 0.2695 0.0513 0.0015 0.0039 0.0000
8.0 32500 -2.50 2.5651 0.0169 0.3267 0.0982 0.0050 0.0130 0.0000
8.0 35000 -2.50 3.5021 0.2427 0.2969 0.1444 0.0133 0.0342 0.0000
8.0 37500 -2.50 3.1706 1.0931 0.2282 0.1698 0.0209 0.0537 0.0000
8.0 40000 -2.50 2.2851 2.8157 0.1826 0.1992 0.0219 0.0561 0.0000
8.0 45000 -2.50 2.1317 3.6228 0.1763 0.2158 0.0222 0.0567 0.0000
8.0 50000 -2.50 1.7008 4.5061 0.1886 0.2206 0.0222 0.0567 0.0000
8.0 55000 -2.50 1.7663 5.0881 0.1897 0.2344 0.0223 0.0572 0.0000
8.0 60000 -2.50 1.4612 5.6778 0.2286 0.2261 0.0218 0.0557 0.0018
8.0 30000 -2.25 1.3643 0.0017 0.1968 0.0609 0.0017 0.0043 0.0000
8.0 32500 -2.25 2.6469 0.0369 0.2346 0.1142 0.0056 0.0145 0.0000
8.0 35000 -2.25 3.5600 0.4808 0.2103 0.1642 0.0144 0.0371 0.0000
8.0 37500 -2.25 2.7671 1.7689 0.1575 0.1865 0.0213 0.0546 0.0000
8.0 40000 -2.25 1.7076 3.7456 0.1285 0.2124 0.0219 0.0560 0.0000
8.0 45000 -2.25 1.5455 4.6552 0.1260 0.2273 0.0221 0.0566 0.0000
8.0 50000 -2.25 1.2001 5.5419 0.1362 0.2271 0.0221 0.0565 0.0000
8.0 55000 -2.25 1.2392 6.2303 0.1382 0.2403 0.0222 0.0570 0.0000
8.0 60000 -2.25 1.0196 6.8081 0.1657 0.2262 0.0216 0.0553 0.0020
8.0 30000 -2.00 1.3274 0.0038 0.1375 0.0674 0.0020 0.0051 0.0000
8.0 32500 -2.00 2.6669 0.0772 0.1634 0.1254 0.0065 0.0167 0.0000
8.0 35000 -2.00 3.4040 0.8504 0.1458 0.1785 0.0159 0.0410 0.0000
8.0 37500 -2.00 2.2500 2.5044 0.1084 0.1982 0.0215 0.0551 0.0000
8.0 40000 -2.00 1.2504 4.5854 0.0923 0.2205 0.0218 0.0560 0.0000
8.0 45000 -2.00 1.1145 5.5933 0.0923 0.2325 0.0221 0.0566 0.0000
8.0 50000 -2.00 0.8566 6.4955 0.1009 0.2245 0.0220 0.0563 0.0012
8.0 55000 -2.00 0.8798 7.2859 0.1031 0.2361 0.0221 0.0569 0.0000
8.0 60000 -2.00 0.7257 7.8657 0.1224 0.2144 0.0215 0.0551 0.0024
8.0 30000 -1.75 1.2777 0.0083 0.0936 0.0707 0.0024 0.0062 0.0000
8.0 32500 -1.75 2.6318 0.1542 0.1126 0.1325 0.0077 0.0199 0.0000
8.0 35000 -1.75 3.0589 1.3488 0.1008 0.1882 0.0176 0.0454 0.0000
8.0 37500 -1.75 1.7459 3.2183 0.0761 0.2061 0.0215 0.0553 0.0000
8.0 40000 -1.75 0.9213 5.3456 0.0686 0.2230 0.0218 0.0560 0.0000
8.0 45000 -1.75 0.8179 6.4673 0.0701 0.2302 0.0220 0.0565 0.0000
8.0 50000 -1.75 0.6290 7.4007 0.0774 0.2126 0.0219 0.0562 0.0015
8.0 55000 -1.75 0.6436 8.2987 0.0796 0.2225 0.0221 0.0569 0.0000
8.0 60000 -1.75 0.5346 8.8921 0.0934 0.1939 0.0214 0.0548 0.0029
8.0 30000 -1.50 1.2245 0.0187 0.0631 0.0712 0.0030 0.0079 0.0000
8.0 32500 -1.50 2.5366 0.2884 0.0778 0.1365 0.0092 0.0239 0.0000
8.0 35000 -1.50 2.5909 1.9528 0.0704 0.1948 0.0192 0.0496 0.0000
8.0 37500 -1.50 1.3269 3.8839 0.0553 0.2111 0.0215 0.0554 0.0000
8.0 40000 -1.50 0.6936 6.0762 0.0531 0.2196 0.0217 0.0559 0.0000
8.0 45000 -1.50 0.6167 7.3193 0.0554 0.2204 0.0220 0.0565 0.0000
8.0 50000 -1.50 0.4778 8.2902 0.0617 0.1933 0.0218 0.0561 0.0020
8.0 55000 -1.50 0.4879 9.2904 0.0637 0.2016 0.0220 0.0569 0.0000
8.0 60000 -1.50 0.4090 9.8898 0.0738 0.1689 0.0213 0.0546 0.0039
8.3 30000 -4.00 0.2161 0.0000 0.3212 0.0027 0.0010 0.0028 0.0000
8.3 32500 -4.00 0.4238 0.0000 0.5055 0.0069 0.0033 0.0088 0.0000
8.3 35000 -4.00 0.7933 0.0000 0.7136 0.0166 0.0086 0.0224 0.0000
8.3 37500 -4.00 1.1346 0.0024 0.8441 0.0288 0.0148 0.0384 0.0000
8.3 40000 -4.00 1.9347 0.0141 1.0929 0.0571 0.0209 0.0540 0.0000
8.3 45000 -4.00 2.5223 0.0257 1.2282 0.0780 0.0226 0.0583 0.0000
8.3 50000 -4.00 3.0046 0.0536 1.3801 0.0906 0.0239 0.0614 0.0000
8.3 55000 -4.00 3.6153 0.0697 1.4863 0.1097 0.0249 0.0641 0.0000
8.3 60000 -4.00 3.9359 0.1171 1.7027 0.1009 0.0252 0.0647 0.0000
8.3 30000 -3.75 0.3411 0.0000 0.3805 0.0052 0.0012 0.0031 0.0000
8.3 32500 -3.75 0.6284 0.0000 0.5705 0.0128 0.0039 0.0101 0.0000
8.3 35000 -3.75 1.1113 0.0015 0.7579 0.0290 0.0100 0.0259 0.0000
8.3 37500 -3.75 1.5407 0.0084 0.8496 0.0485 0.0165 0.0428 0.0000
8.3 40000 -3.75 2.4906 0.0490 1.0157 0.0890 0.0215 0.0555 0.0000
8.3 45000 -3.75 3.1588 0.0870 1.0992 0.1162 0.0228 0.0586 0.0000
8.3 50000 -3.75 3.6692 0.1761 1.2151 0.1321 0.0236 0.0607 0.0000
8.3 55000 -3.75 4.3540 0.2264 1.2802 0.1554 0.0243 0.0625 0.0000
8.3 60000 -3.75 4.6259 0.3690 1.4856 0.1455 0.0244 0.0626 0.0000
8.3 30000 -3.50 0.5365 0.0000 0.4490 0.0104 0.0013 0.0033 0.0000
8.3 32500 -3.50 0.9393 0.0000 0.6400 0.0241 0.0042 0.0109 0.0000
8.3 35000 -3.50 1.5261 0.0051 0.7776 0.0496 0.0110 0.0286 0.0000
8.3 37500 -3.50 2.0266 0.0286 0.8113 0.0781 0.0180 0.0465 0.0000
8.3 40000 -3.50 3.0591 0.1591 0.8863 0.1306 0.0219 0.0564 0.0000
8.3 45000 -3.50 3.7555 0.2738 0.9252 0.1628 0.0228 0.0586 0.0000
8.3 50000 -3.50 4.1610 0.5242 1.0054 0.1806 0.0233 0.0599 0.0000
8.3 55000 -3.50 4.8820 0.6653 1.0438 0.2073 0.0238 0.0612 0.0000
8.3 60000 -3.50 4.9674 1.0185 1.2282 0.1978 0.0237 0.0608 0.0012
8.3 30000 -3.25 0.7716 0.0000 0.4939 0.0195 0.0013 0.0034 0.0000
8.3 32500 -3.25 1.3262 0.0013 0.6746 0.0428 0.0043 0.0113 0.0000
8.3 35000 -3.25 1.9987 0.0152 0.7472 0.0792 0.0117 0.0303 0.0000
8.3 37500 -3.25 2.5225 0.0882 0.7190 0.1160 0.0191 0.0493 0.0000
8.3 40000 -3.25 3.4512 0.4484 0.7174 0.1759 0.0221 0.0568 0.0000
8.3 45000 -3.25 4.0555 0.7370 0.7270 0.2104 0.0227 0.0584 0.0000
8.3 50000 -3.25 4.1941 1.2790 0.7827 0.2282 0.0231 0.0592 0.0000
8.3 55000 -3.25 4.8299 1.6019 0.8029 0.2570 0.0234 0.0601 0.0000
8.3 60000 -3.25 4.6635 2.2339 0.9615 0.2495 0.0232 0.0594 0.0014
8.3 30000 -3.00 0.9782 0.0000 0.4899 0.0330 0.0013 0.0035 0.0000
8.3 32500 -3.00 1.7120 0.0031 0.6440 0.0689 0.0045 0.0117 0.0000
8.3 35000 -3.00 2.4663 0.0413 0.6593 0.1158 0.0121 0.0312 0.0000
8.3 37500 -3.00 2.9244 0.2389 0.5872 0.1575 0.0200 0.0514 0.0000
8.3 40000 -3.00 3.4769 1.0320 0.5419 0.2175 0.0222 0.0570 0.0000
8.3 45000 -3.00 3.8403 1.5791 0.5378 0.2507 0.0226 0.0581 0.0000
8.3 50000 -3.00 3.6940 2.4339 0.5808 0.2676 0.0229 0.0586 0.0000
8.3 55000 -3.00 4.1733 2.9872 0.5940 0.2975 0.0231 0.0593 0.0000
8.3 60000 -3.00 3.8449 3.8315 0.7216 0.2932 0.0228 0.0583 0.0015
8.3 30000 -2.75 1.1188 0.0000 0.4364 0.0498 0.0014 0.0037 0.0000
8.3 32500 -2.75 2.0366 0.0072 0.5543 0.0994 0.0047 0.0122 0.0000
8.3 35000 -2.75 2.8917 0.1022 0.5361 0.1553 0.0126 0.0325 0.0000
8.3 37500 -2.75 3.1266 0.5454 0.4473 0.1961 0.0206 0.0531 0.0000
8.3 40000 -2.75 3.1008 1.8880 0.3897 0.2497 0.0222 0.0571 0.0000
8.3 45000 -2.75 3.2405 2.6896 0.3852 0.2809 0.0226 0.0579 0.0000
8.3 50000 -2.75 2.9257 3.7600 0.4194 0.2967 0.0227 0.0582 0.0000
8.3 55000 -2.75 3.2553 4.5394 0.4308 0.3274 0.0229 0.0587 0.0000
8.3 60000 -2.75 2.9007 5.4779 0.5277 0.3246 0.0225 0.0576 0.0016
8.3 30000 -2.50 1.1904 0.0000 0.3526 0.0669 0.0015 0.0040 0.0000
8.3 32500 -2.50 2.2687 0.0163 0.4353 0.1290 0.0050 0.0130 0.0000
8.3 35000 -2.50 3.2096 0.2264 0.4066 0.1918 0.0132 0.0342 0.0000
8.3 37500 -2.50 3.0545 1.0406 0.3219 0.2275 0.0212 0.0544 0.0000
8.3 40000 -2.50 2.5237 2.8714 0.2738 0.2731 0.0222 0.0571 0.0000
8.3 45000 -2.50 2.5218 3.8795 0.2730 0.3026 0.0225 0.0578 0.0000
8.3 50000 -2.50 2.1758 5.0650 0.3010 0.3157 0.0226 0.0579 0.0000
8.3 55000 -2.50 2.3830 6.0352 0.3109 0.3461 0.0227 0.0584 0.0000
8.3 60000 -2.50 2.0829 7.0065 0.3817 0.3405 0.0223 0.0571 0.0018
8.3 30000 -2.25 1.2148 0.0017 0.2647 0.0818 0.0017 0.0044 0.0000
8.3 32500 -2.25 2.4101 0.0350 0.3199 0.1534 0.0055 0.0144 0.0000
8.3 35000 -2.25 3.3512 0.4476 0.2925 0.2213 0.0143 0.0369 0.0000
8.3 37500 -2.25 2.7540 1.6861 0.2242 0.2504 0.0215 0.0554 0.0000
8.3 40000 -2.25 1.9481 3.8613 0.1931 0.2899 0.0222 0.0571 0.0000
8.3 45000 -2.25 1.8796 5.0303 0.1953 0.3169 0.0225 0.0577 0.0000
8.3 50000 -2.25 1.5751 6.2852 0.2181 0.3239 0.0225 0.0577 0.0000
8.3 55000 -2.25 1.6999 7.4139 0.2265 0.3524 0.0226 0.0582 0.0000
8.3 60000 -2.25 1.4758 8.4133 0.2770 0.3390 0.0222 0.0567 0.0020
8.3 30000 -2.00 1.2078 0.0037 0.1886 0.0924 0.0020 0.0051 0.0000
8.3 32500 -2.00 2.4783 0.0725 0.2262 0.1712 0.0064 0.0165 0.0000
8.3 35000 -2.00 3.2996 0.7839 0.2051 0.2425 0.0157 0.0405 0.0000
8.3 37500 -2.00 2.3213 2.4054 0.1547 0.2657 0.0218 0.0561 0.0000
8.3 40000 -2.00 1.4696 4.7970 0.1391 0.3005 0.0222 0.0571 0.0000
8.3 45000 -2.00 1.3865 6.1206 0.1433 0.3234 0.0224 0.0576 0.0000
8.3 50000 -2.00 1.1457 7.4489 0.1619 0.3201 0.0224 0.0575 0.0011
8.3 55000 -2.00 1.2197 8.7205 0.1687 0.3453 0.0226 0.0581 0.0000
8.3 60000 -2.00 1.0587 9.7587 0.2044 0.3208 0.0221 0.0565 0.0023
8.3 30000 -1.75 1.1849 0.0079 0.1306 0.0985 0.0024 0.0062 0.0000
8.3 32500 -1.75 2.4920 0.1420 0.1578 0.1831 0.0075 0.0195 0.0000
8.3 35000 -1.75 3.0667 1.2363 0.1426 0.2563 0.0174 0.0449 0.0000
8.3 37500 -1.75 1.8680 3.1360 0.1087 0.2758 0.0219 0.0564 0.0000
8.3 40000 -1.75 1.1107 5.6853 0.1037 0.3044 0.0222 0.0571 0.0000
8.3 45000 -1.75 1.0364 7.1784 0.1089 0.3207 0.0224 0.0576 0.0000
8.3 50000 -1.75 0.8539 8.6054 0.1242 0.3041 0.0223 0.0574 0.0014
8.3 55000 -1.75 0.8984 10.0144 0.1298 0.3252 0.0225 0.0580 0.0000
8.3 60000 -1.75 0.7823 11.1095 0.1554 0.2902 0.0220 0.0563 0.0028
8.3 30000 -1.50 1.1537 0.0175 0.0893 0.1006 0.0030 0.0079 0.0000
8.3 32500 -1.50 2.4494 0.2610 0.1100 0.1901 0.0090 0.0235 0.0000
8.3 35000 -1.50 2.7106 1.7938 0.0999 0.2650 0.0191 0.0493 0.0000
8.3 37500 -1.50 1.4681 3.8579 0.0791 0.2826 0.0219 0.0565 0.0000
8.3 40000 -1.50 0.8548 6.5716 0.0805 0.3007 0.0221 0.0571 0.0000
8.3 45000 -1.50 0.7945 8.2504 0.0862 0.3080 0.0224 0.0576 0.0000
8.3 50000 -1.50 0.6567 9.7918 0.0991 0.2780 0.0223 0.0573 0.0019
8.3 55000 -1.50 0.6845 11.3397 0.1035 0.2955 0.0225 0.0580 0.0000
8.3 60000 -1.50 0.5999 12.4910 0.1225 0.2538 0.0218 0.0560 0.0037
8.6 30000 -4.00 0.0118 0.0000 0.0531 0.0000 0.0000 0.0026 0.0000
8.6 35000 -4.00 0.1055 0.0000 0.3069 0.0082 0.0082 0.0217 0.0000
8.6 35000 -4.00 0.1055 0.0000 0.3069 0.0082 0.0082 0.0217 0.0000
8.6 37500 -4.00 0.1983 0.0000 0.4327 0.0163 0.0143 0.0377 0.0000
8.6 40000 -4.00 0.5550 0.0050 0.7563 0.0408 0.0209 0.0546 0.0000
8.6 45000 -4.00 0.9303 0.0113 0.9837 0.0635 0.0228 0.0594 0.0000
8.6 50000 -4.00 1.3310 0.0270 1.2277 0.0807 0.0242 0.0628 0.0000
8.6 55000 -4.00 1.9530 0.0421 1.4763 0.1090 0.0253 0.0658 0.0000
8.6 60000 -4.00 2.3791 0.0770 1.7957 0.1050 0.0258 0.0666 0.0000
8.6 30000 -3.75 0.0176 0.0000 0.0683 0.0017 0.0016 0.0044 0.0000
8.6 32500 -3.75 0.0656 0.0000 0.2119 0.0054 0.0038 0.0102 0.0000
8.6 35000 -3.75 0.1640 0.0000 0.3521 0.0148 0.0097 0.0257 0.0000
8.6 37500 -3.75 0.3077 0.0023 0.4786 0.0287 0.0163 0.0427 0.0000
8.6 40000 -3.75 0.8455 0.0195 0.7889 0.0686 0.0217 0.0566 0.0000
8.6 45000 -3.75 1.3734 0.0430 0.9855 0.1024 0.0231 0.0600 0.0000
8.6 50000 -3.75 1.9037 0.1000 1.2038 0.1271 0.0240 0.0622 0.0000
8.6 55000 -3.75 2.6999 0.1510 1.3976 0.1651 0.0248 0.0642 0.0000
8.6 60000 -3.75 3.1789 0.2654 1.7079 0.1609 0.0250 0.0644 0.0000
8.6 30000 -3.50 0.0513 0.0000 0.1599 0.0041 0.0014 0.0036 0.0000
8.6 32500 -3.50 0.1117 0.0000 0.2597 0.0107 0.0043 0.0113 0.0000
8.6 35000 -3.50 0.2732 0.0014 0.4073 0.0279 0.0110 0.0288 0.0000
8.6 37500 -3.50 0.5060 0.0097 0.5257 0.0523 0.0179 0.0468 0.0000
8.6 40000 -3.50 1.2886 0.0781 0.7881 0.1139 0.0222 0.0576 0.0000
8.6 45000 -3.50 1.9673 0.1606 0.9317 0.1597 0.0231 0.0599 0.0000
8.6 50000 -3.50 2.5340 0.3409 1.1007 0.1897 0.0237 0.0614 0.0000
8.6 55000 -3.50 3.4427 0.4919 1.2350 0.2358 0.0242 0.0627 0.0000
8.6 60000 -3.50 3.8305 0.7995 1.5148 0.2317 0.0242 0.0625 0.0011
8.6 30000 -3.25 0.0971 0.0000 0.2093 0.0091 0.0014 0.0037 0.0000
8.6 32500 -3.25 0.2240 0.0000 0.3369 0.0235 0.0045 0.0118 0.0000
8.6 35000 -3.25 0.5108 0.0062 0.4781 0.0550 0.0118 0.0309 0.0000
8.6 37500 -3.25 0.8666 0.0408 0.5600 0.0938 0.0192 0.0500 0.0000
8.6 40000 -3.25 1.8023 0.2654 0.7235 0.1739 0.0224 0.0581 0.0000
8.6 45000 -3.25 2.5074 0.4922 0.8062 0.2259 0.0231 0.0597 0.0000
8.6 50000 -3.25 2.9145 0.9134 0.9226 0.2557 0.0235 0.0606 0.0000
8.6 55000 -3.25 3.8123 1.2729 1.0105 0.3076 0.0238 0.0615 0.0000
8.6 60000 -3.25 3.9664 1.8588 1.2469 0.3038 0.0237 0.0609 0.0013
8.6 30000 -3.00 0.2051 0.0000 0.2805 0.0209 0.0014 0.0038 0.0000
8.6 32500 -3.00 0.4711 0.0016 0.4296 0.0502 0.0046 0.0120 0.0000
8.6 35000 -3.00 0.9132 0.0225 0.5242 0.0989 0.0122 0.0319 0.0000
8.6 37500 -3.00 1.3238 0.1350 0.5372 0.1485 0.0201 0.0522 0.0000
8.6 40000 -3.00 2.1241 0.6746 0.5965 0.2325 0.0225 0.0583 0.0000
8.6 45000 -3.00 2.6744 1.1248 0.6337 0.2830 0.0230 0.0594 0.0000
8.6 50000 -3.00 2.8514 1.8286 0.7183 0.3102 0.0232 0.0600 0.0000
8.6 55000 -3.00 3.5810 2.4630 0.7737 0.3637 0.0235 0.0606 0.0000
8.6 60000 -3.00 3.5575 3.3083 0.9674 0.3640 0.0233 0.0599 0.0015
8.6 30000 -2.75 0.3638 0.0000 0.3263 0.0406 0.0015 0.0039 0.0000
8.6 32500 -2.75 0.8153 0.0046 0.4656 0.0891 0.0047 0.0124 0.0000
8.6 35000 -2.75 1.3799 0.0632 0.4990 0.1521 0.0125 0.0327 0.0000
8.6 37500 -2.75 1.6873 0.3394 0.4533 0.2029 0.0208 0.0539 0.0000
8.6 40000 -2.75 2.1092 1.2879 0.4505 0.2765 0.0226 0.0584 0.0000
8.6 45000 -2.75 2.4674 1.9781 0.4703 0.3235 0.0229 0.0593 0.0000
8.6 50000 -2.75 2.4663 2.9268 0.5352 0.3491 0.0231 0.0596 0.0000
8.6 55000 -2.75 3.0006 3.8492 0.5740 0.4035 0.0233 0.0601 0.0000
8.6 60000 -2.75 2.8840 4.8795 0.7244 0.4072 0.0230 0.0591 0.0016
8.6 30000 -2.50 0.5071 0.0000 0.3126 0.0637 0.0016 0.0041 0.0000
8.6 32500 -2.50 1.1302 0.0109 0.4196 0.1304 0.0050 0.0131 0.0000
8.6 35000 -2.50 1.7932 0.1473 0.4177 0.2043 0.0131 0.0340 0.0000
8.6 37500 -2.50 1.8534 0.6699 0.3481 0.2472 0.0213 0.0553 0.0000
8.6 40000 -2.50 1.8720 2.0110 0.3257 0.3062 0.0226 0.0585 0.0000
8.6 45000 -2.50 2.0683 2.9302 0.3406 0.3508 0.0229 0.0592 0.0000
8.6 50000 -2.50 1.9707 4.0771 0.3927 0.3748 0.0230 0.0593 0.0000
8.6 55000 -2.50 2.3260 5.2557 0.4210 0.4284 0.0231 0.0597 0.0000
8.6 60000 -2.50 2.1889 6.4126 0.5334 0.4307 0.0228 0.0586 0.0017
8.6 30000 -2.25 0.6031 0.0012 0.2592 0.0849 0.0017 0.0045 0.0000
8.6 32500 -2.25 1.3537 0.0235 0.3329 0.1660 0.0055 0.0143 0.0000
8.6 35000 -2.25 2.0737 0.2929 0.3198 0.2476 0.0140 0.0363 0.0000
8.6 37500 -2.25 1.8303 1.0973 0.2517 0.2785 0.0218 0.0565 0.0000
8.6 40000 -2.25 1.5566 2.7877 0.2340 0.3273 0.0226 0.0586 0.0000
8.6 45000 -2.25 1.6392 3.9194 0.2474 0.3695 0.0229 0.0591 0.0000
8.6 50000 -2.25 1.5103 5.2320 0.2894 0.3883 0.0229 0.0591 0.0000
8.6 55000 -2.25 1.7298 6.6211 0.3102 0.4384 0.0230 0.0595 0.0000
8.6 60000 -2.25 1.6094 7.8738 0.3919 0.4320 0.0226 0.0582 0.0019
8.6 30000 -2.00 0.6567 0.0025 0.1966 0.1011 0.0020 0.0052 0.0000
8.6 32500 -2.00 1.4955 0.0477 0.2466 0.1929 0.0062 0.0161 0.0000
8.6 35000 -2.00 2.1971 0.5066 0.2322 0.2790 0.0152 0.0396 0.0000
8.6 37500 -2.00 1.6842 1.5826 0.1773 0.2988 0.0221 0.0574 0.0000
8.6 40000 -2.00 1.2507 3.5919 0.1709 0.3424 0.0226 0.0586 0.0000
8.6 45000 -2.00 1.2686 4.9308 0.1836 0.3803 0.0228 0.0590 0.0000
8.6 50000 -2.00 1.1451 6.3996 0.2174 0.3879 0.0228 0.0589 0.0011
8.6 55000 -2.00 1.2759 7.9650 0.2327 0.4321 0.0230 0.0593 0.0000
8.6 60000 -2.00 1.1823 9.3176 0.2914 0.4116 0.0225 0.0579 0.0022
8.6 30000 -1.75 0.6815 0.0052 0.1419 0.1114 0.0024 0.0062 0.0000
8.6 32500 -1.75 1.5805 0.0908 0.1772 0.2118 0.0072 0.0189 0.0000
