#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, f_abs: 0.01 - 1.0
# SED: BPASS v.2.1 (Eldridge et al 2017), alpha(IMF) = -1.35, M_up = 300, age = 4 Myr, Z_* = 1e-5
# Spherical geometry
#
12+log(O/H) f_abs log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 He1_4471 He1_5876 HeI_6678 HeII_4686 ArIV_4740 ArIII_7135
7.1 0.013 -2.10 0.0182 1.4881 0.0012 0.0203 0.0117 0.0299 0.0081 0.1050 0.0051 0.0071
7.1 1.000 -2.55 0.1988 1.2723 0.0350 0.0295 0.0205 0.0526 0.0146 0.0032 0.0026 0.0124
7.1 0.803 -2.49 0.1168 1.5285 0.0146 0.0322 0.0196 0.0501 0.0138 0.0040 0.0033 0.0127
7.1 0.506 -2.38 0.0502 1.8328 0.0070 0.0314 0.0195 0.0501 0.0138 0.0063 0.0048 0.0118
7.1 0.201 -2.16 0.0235 2.1888 0.0027 0.0259 0.0188 0.0484 0.0132 0.0154 0.0079 0.0089
7.1 0.113 -2.02 0.0173 2.3427 0.0000 0.0224 0.0181 0.0465 0.0126 0.0268 0.0095 0.0074
7.1 0.051 -1.85 0.0119 2.3814 0.0000 0.0176 0.0159 0.0411 0.0111 0.0575 0.0108 0.0055
7.1 0.022 -1.70 0.0085 2.1940 0.0000 0.0137 0.0125 0.0321 0.0086 0.1196 0.0109 0.0042
7.1 0.012 -1.61 0.0064 1.8573 0.0000 0.0109 0.0091 0.0235 0.0063 0.1984 0.0099 0.0033
7.1 1.000 -2.30 0.1615 1.4618 0.0290 0.0274 0.0201 0.0517 0.0143 0.0043 0.0038 0.0115
7.1 0.800 -2.25 0.0793 1.7440 0.0102 0.0293 0.0192 0.0494 0.0136 0.0054 0.0048 0.0115
7.1 0.511 -2.14 0.0336 2.0756 0.0044 0.0269 0.0192 0.0494 0.0135 0.0084 0.0069 0.0100
7.1 0.208 -1.91 0.0152 2.5081 0.0000 0.0199 0.0185 0.0478 0.0129 0.0202 0.0108 0.0066
7.1 0.113 -1.76 0.0105 2.7157 0.0000 0.0156 0.0177 0.0457 0.0123 0.0365 0.0130 0.0049
7.1 0.053 -1.56 0.0067 2.7723 0.0000 0.0107 0.0155 0.0400 0.0107 0.0753 0.0145 0.0033
7.1 0.021 -1.34 0.0040 2.4881 0.0000 0.0066 0.0109 0.0282 0.0075 0.1749 0.0147 0.0020
7.1 0.013 -1.21 0.0027 2.0656 0.0000 0.0049 0.0066 0.0173 0.0045 0.3085 0.0141 0.0015
7.1 1.000 -2.10 0.1392 1.5921 0.0255 0.0256 0.0198 0.0510 0.0141 0.0055 0.0048 0.0107
7.1 0.744 -2.03 0.0491 1.9598 0.0065 0.0263 0.0190 0.0489 0.0134 0.0074 0.0064 0.0102
7.1 0.472 -1.93 0.0229 2.2937 0.0026 0.0227 0.0189 0.0487 0.0133 0.0116 0.0089 0.0082
7.1 0.197 -1.70 0.0111 2.7578 0.0000 0.0157 0.0182 0.0471 0.0127 0.0274 0.0131 0.0051
7.1 0.097 -1.51 0.0068 2.9275 0.0000 0.0104 0.0166 0.0430 0.0115 0.0547 0.0153 0.0032
7.1 0.047 -1.31 0.0042 2.8811 0.0000 0.0063 0.0139 0.0362 0.0096 0.1109 0.0165 0.0020
7.1 0.020 -1.08 0.0014 2.4901 0.0000 0.0035 0.0091 0.0236 0.0062 0.2470 0.0166 0.0011
7.1 0.013 -0.93 0.0000 1.9510 0.0000 0.0025 0.0046 0.0120 0.0031 0.4222 0.0162 0.0000
7.1 1.000 -1.80 0.1131 1.7695 0.0213 0.0226 0.0193 0.0499 0.0138 0.0083 0.0062 0.0095
7.1 0.785 -1.74 0.0387 2.1048 0.0052 0.0224 0.0185 0.0477 0.0131 0.0105 0.0078 0.0088
7.1 0.504 -1.64 0.0169 2.4885 0.0000 0.0183 0.0184 0.0474 0.0129 0.0163 0.0108 0.0066
7.1 0.201 -1.41 0.0075 3.0351 0.0000 0.0110 0.0175 0.0453 0.0121 0.0404 0.0157 0.0035
7.1 0.107 -1.24 0.0048 3.1798 0.0000 0.0069 0.0160 0.0415 0.0110 0.0750 0.0177 0.0022
7.1 0.050 -1.02 0.0026 2.9748 0.0000 0.0034 0.0128 0.0332 0.0087 0.1556 0.0184 0.0012
7.1 0.020 -0.76 0.0000 2.2132 0.0000 0.0015 0.0065 0.0169 0.0044 0.3582 0.0176 0.0000
7.1 0.013 -0.58 0.0000 1.4695 0.0000 0.0000 0.0022 0.0058 0.0015 0.5939 0.0174 0.0000
7.1 1.000 -1.56 0.0974 1.8946 0.0187 0.0203 0.0189 0.0489 0.0135 0.0114 0.0072 0.0086
7.1 0.777 -1.50 0.0285 2.2554 0.0038 0.0192 0.0181 0.0467 0.0128 0.0147 0.0092 0.0076
7.1 0.498 -1.40 0.0126 2.6671 0.0000 0.0147 0.0179 0.0462 0.0125 0.0228 0.0126 0.0052
7.1 0.202 -1.17 0.0057 3.2155 0.0000 0.0081 0.0168 0.0435 0.0116 0.0554 0.0174 0.0026
