#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, f_abs: 0.01 - 1.0
# SED: BPASS v.2.1 (Eldridge et al 2017), alpha(IMF) = -1.35, M_up = 300, age = 4 Myr, Z_* = 1e-5
# Spherical geometry
#
12+log(O/H) f_abs log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 He1_4471 He1_5876 HeI_6678 HeII_4686 ArIV_4740 ArIII_7135
7.7 0.205 -2.74 0.3259 4.3106 0.0556 0.1287 0.0202 0.0515 0.0143 0.0091 0.0044 0.0508
7.7 0.104 -2.68 0.2842 4.4438 0.0482 0.1269 0.0196 0.0500 0.0139 0.0156 0.0051 0.0498
7.7 0.052 -2.63 0.2599 4.3737 0.0431 0.1216 0.0182 0.0463 0.0128 0.0239 0.0053 0.0477
7.7 0.020 -2.60 0.2371 4.1693 0.0385 0.1138 0.0167 0.0424 0.0117 0.0390 0.0053 0.0447
7.7 0.014 -2.59 0.2146 3.7917 0.0345 0.1029 0.0149 0.0378 0.0104 0.0491 0.0048 0.0405
7.7 1.000 -2.77 0.8998 3.4822 0.1652 0.1109 0.0215 0.0552 0.0154 0.0025 0.0045 0.0479
7.7 0.776 -2.71 0.5476 4.2757 0.0724 0.1230 0.0206 0.0526 0.0146 0.0032 0.0057 0.0493
7.7 0.483 -2.60 0.2414 4.9162 0.0392 0.1215 0.0207 0.0529 0.0147 0.0051 0.0085 0.0470
7.7 0.194 -2.40 0.1246 5.4541 0.0200 0.1094 0.0202 0.0517 0.0143 0.0121 0.0132 0.0404
7.7 0.099 -2.29 0.0959 5.6300 0.0141 0.0999 0.0192 0.0490 0.0136 0.0226 0.0157 0.0361
7.7 0.049 -2.20 0.0789 5.5660 0.0109 0.0903 0.0176 0.0449 0.0124 0.0405 0.0170 0.0323
7.7 0.023 -2.13 0.0667 5.2036 0.0088 0.0801 0.0153 0.0388 0.0107 0.0668 0.0167 0.0285
7.7 0.012 -2.10 0.0502 4.1547 0.0065 0.0621 0.0117 0.0297 0.0081 0.0971 0.0138 0.0220
7.7 1.000 -2.53 0.7100 4.1644 0.1313 0.1054 0.0212 0.0544 0.0152 0.0031 0.0081 0.0448
7.7 0.769 -2.46 0.3367 5.0581 0.0462 0.1133 0.0204 0.0522 0.0145 0.0041 0.0105 0.0447
7.7 0.483 -2.34 0.1348 5.6579 0.0208 0.1026 0.0205 0.0523 0.0145 0.0064 0.0150 0.0387
7.7 0.212 -2.14 0.0635 6.2042 0.0081 0.0800 0.0199 0.0508 0.0140 0.0143 0.0220 0.0282
7.7 0.106 -1.97 0.0422 6.4835 0.0042 0.0637 0.0188 0.0480 0.0132 0.0279 0.0263 0.0217
7.7 0.052 -1.82 0.0306 6.5315 0.0024 0.0508 0.0170 0.0435 0.0119 0.0547 0.0291 0.0170
7.7 0.020 -1.68 0.0214 5.9568 0.0000 0.0385 0.0132 0.0337 0.0092 0.1182 0.0290 0.0128
7.7 0.012 -1.60 0.0156 4.8551 0.0000 0.0295 0.0096 0.0244 0.0066 0.1803 0.0252 0.0098
7.7 1.000 -2.28 0.5776 4.7545 0.1085 0.0976 0.0209 0.0537 0.0150 0.0042 0.0118 0.0413
7.7 0.764 -2.21 0.2194 5.7083 0.0308 0.1006 0.0202 0.0517 0.0143 0.0054 0.0153 0.0396
7.7 0.478 -2.09 0.0857 6.3492 0.0118 0.0843 0.0203 0.0520 0.0144 0.0086 0.0215 0.0313
7.7 0.194 -1.85 0.0350 6.9463 0.0032 0.0539 0.0195 0.0498 0.0137 0.0209 0.0303 0.0186
7.7 0.106 -1.69 0.0229 7.1887 0.0000 0.0389 0.0184 0.0470 0.0129 0.0374 0.0344 0.0133
7.7 0.053 -1.51 0.0146 7.1225 0.0000 0.0258 0.0162 0.0414 0.0113 0.0728 0.0370 0.0090
7.7 0.021 -1.29 0.0083 6.2715 0.0000 0.0151 0.0113 0.0288 0.0078 0.1738 0.0369 0.0055
7.7 0.013 -1.18 0.0059 5.3632 0.0000 0.0116 0.0075 0.0192 0.0052 0.2875 0.0358 0.0043
7.7 1.000 -2.09 0.4988 5.1748 0.0953 0.0909 0.0207 0.0532 0.0148 0.0053 0.0147 0.0386
7.7 0.700 -2.00 0.1285 6.3367 0.0179 0.0870 0.0201 0.0513 0.0142 0.0076 0.0205 0.0340
7.7 0.447 -1.88 0.0573 6.8719 0.0068 0.0680 0.0200 0.0511 0.0141 0.0118 0.0270 0.0249
7.7 0.185 -1.64 0.0237 7.4109 0.0000 0.0388 0.0190 0.0486 0.0133 0.0281 0.0355 0.0135
7.7 0.095 -1.45 0.0142 7.5822 0.0000 0.0242 0.0176 0.0449 0.0122 0.0536 0.0396 0.0086
7.7 0.046 -1.25 0.0080 7.1842 0.0000 0.0132 0.0146 0.0372 0.0101 0.1086 0.0410 0.0051
7.7 0.019 -1.02 0.0042 6.0227 0.0000 0.0069 0.0092 0.0236 0.0063 0.2434 0.0407 0.0030
7.7 0.013 -0.87 0.0014 4.5556 0.0000 0.0046 0.0046 0.0118 0.0031 0.4125 0.0396 0.0021
7.7 1.000 -1.79 0.4065 5.7737 0.0797 0.0802 0.0203 0.0523 0.0145 0.0080 0.0192 0.0345
7.7 0.742 -1.71 0.1024 6.8776 0.0141 0.0738 0.0197 0.0505 0.0139 0.0107 0.0253 0.0295
7.7 0.473 -1.60 0.0417 7.5584 0.0042 0.0533 0.0196 0.0502 0.0138 0.0167 0.0333 0.0197
7.7 0.186 -1.33 0.0149 8.0500 0.0000 0.0243 0.0183 0.0469 0.0128 0.0418 0.0420 0.0088
7.7 0.095 -1.14 0.0080 7.8659 0.0000 0.0125 0.0163 0.0417 0.0113 0.0802 0.0444 0.0050
7.7 0.050 -0.95 0.0045 7.2153 0.0000 0.0062 0.0133 0.0341 0.0092 0.1499 0.0448 0.0029
7.7 0.019 -0.67 0.0000 4.8903 0.0000 0.0022 0.0059 0.0150 0.0040 0.3623 0.0423 0.0013
7.7 0.012 -0.50 0.0000 3.0671 0.0000 0.0013 0.0021 0.0054 0.0014 0.5726 0.0421 0.0000
7.7 1.000 -1.54 0.3512 6.2159 0.0701 0.0722 0.0200 0.0515 0.0143 0.0110 0.0227 0.0313
7.7 0.770 -1.48 0.0870 7.2794 0.0121 0.0645 0.0194 0.0498 0.0137 0.0143 0.0290 0.0262
7.7 0.506 -1.37 0.0348 8.0358 0.0032 0.0447 0.0192 0.0493 0.0135 0.0217 0.0374 0.0168
7.7 0.190 -1.10 0.0109 8.4991 0.0000 0.0168 0.0177 0.0454 0.0123 0.0567 0.0462 0.0064
7.7 0.103 -0.92 0.0059 8.1377 0.0000 0.0082 0.0157 0.0400 0.0108 0.1037 0.0476 0.0036
7.7 0.048 -0.68 0.0026 6.6611 0.0000 0.0029 0.0111 0.0284 0.0076 0.2156 0.0452 0.0017
7.7 0.019 -0.42 0.0000 3.8434 0.0000 0.0010 0.0035 0.0089 0.0024 0.4897 0.0429 0.0000
7.7 0.013 -0.27 0.0000 2.1773 0.0000 0.0000 0.0012 0.0031 0.0000 0.7038 0.0415 0.0000
8.0 1.000 -4.01 3.2831 0.1508 1.1675 0.0691 0.0254 0.0650 0.0184 0.0010 0.0000 0.0495
8.0 0.820 -4.00 3.4942 0.1794 0.9032 0.0761 0.0220 0.0561 0.0158 0.0011 0.0000 0.0480
8.0 0.523 -3.98 3.5768 0.2398 0.8081 0.0831 0.0211 0.0539 0.0152 0.0013 0.0000 0.0476
8.0 0.260 -3.97 3.6134 0.2915 0.7709 0.0874 0.0207 0.0528 0.0149 0.0018 0.0000 0.0480
8.0 0.145 -3.97 3.6630 0.3051 0.7605 0.0888 0.0202 0.0515 0.0145 0.0024 0.0000 0.0483
8.0 0.057 -3.97 3.8545 0.3184 0.7789 0.0929 0.0202 0.0513 0.0144 0.0034 0.0000 0.0501
8.0 0.032 -3.97 3.4663 0.2819 0.6923 0.0831 0.0178 0.0452 0.0127 0.0041 0.0000 0.0448
8.0 0.013 -3.97 2.6283 0.2161 0.5206 0.0631 0.0135 0.0343 0.0097 0.0059 0.0000 0.0339
8.0 1.000 -3.75 3.6617 0.5116 0.9680 0.1008 0.0243 0.0623 0.0176 0.0013 0.0000 0.0556
8.0 0.809 -3.73 3.8769 0.6180 0.7349 0.1131 0.0216 0.0551 0.0155 0.0014 0.0000 0.0552
8.0 0.519 -3.71 3.8230 0.8281 0.6424 0.1242 0.0212 0.0540 0.0152 0.0019 0.0000 0.0557
8.0 0.209 -3.69 3.7442 1.0188 0.5954 0.1306 0.0206 0.0525 0.0148 0.0030 0.0000 0.0563
8.0 0.134 -3.68 3.7621 1.0437 0.5857 0.1314 0.0202 0.0515 0.0145 0.0037 0.0000 0.0563
8.0 0.056 -3.68 3.9742 1.0956 0.5997 0.1374 0.0203 0.0515 0.0144 0.0054 0.0000 0.0586
8.0 0.032 -3.68 3.5696 0.9711 0.5299 0.1224 0.0178 0.0450 0.0126 0.0064 0.0000 0.0521
8.0 0.013 -3.68 2.6858 0.7405 0.3955 0.0922 0.0134 0.0340 0.0096 0.0090 0.0000 0.0392
8.0 1.000 -3.51 3.5390 1.3725 0.7669 0.1364 0.0235 0.0601 0.0170 0.0016 0.0000 0.0615
8.0 0.795 -3.48 3.6182 1.6921 0.5477 0.1550 0.0214 0.0545 0.0153 0.0019 0.0000 0.0624
8.0 0.522 -3.45 3.2186 2.1942 0.4577 0.1674 0.0212 0.0540 0.0152 0.0025 0.0000 0.0631
8.0 0.201 -3.40 2.8649 2.6203 0.4041 0.1740 0.0206 0.0525 0.0148 0.0045 0.0000 0.0635
8.0 0.127 -3.39 2.8414 2.6817 0.3933 0.1745 0.0202 0.0514 0.0145 0.0057 0.0000 0.0634
8.0 0.056 -3.38 3.0254 2.8575 0.4046 0.1839 0.0204 0.0517 0.0145 0.0084 0.0000 0.0667
8.0 0.032 -3.38 2.7007 2.5313 0.3536 0.1624 0.0177 0.0448 0.0125 0.0102 0.0000 0.0588
8.0 0.013 -3.38 2.0081 1.9139 0.2614 0.1215 0.0132 0.0336 0.0094 0.0141 0.0000 0.0439
8.0 1.000 -3.26 2.8642 2.7743 0.5722 0.1713 0.0229 0.0584 0.0165 0.0018 0.0000 0.0671
8.0 0.799 -3.22 2.6619 3.4030 0.3692 0.1937 0.0213 0.0542 0.0152 0.0022 0.0000 0.0688
8.0 0.513 -3.16 1.8558 4.2189 0.2764 0.2049 0.0212 0.0539 0.0151 0.0033 0.0000 0.0691
8.0 0.223 -3.09 1.4100 4.7402 0.2294 0.2104 0.0209 0.0530 0.0149 0.0062 0.0011 0.0695
8.0 0.136 -3.07 1.3472 4.8374 0.2167 0.2097 0.0202 0.0512 0.0143 0.0083 0.0012 0.0690
8.0 0.064 -3.04 1.2855 4.8411 0.2027 0.2055 0.0192 0.0488 0.0137 0.0122 0.0013 0.0675
8.0 0.028 -3.03 1.3575 5.0941 0.2076 0.2141 0.0193 0.0490 0.0136 0.0180 0.0013 0.0704
8.0 0.022 -3.03 1.1369 4.2598 0.1713 0.1782 0.0159 0.0402 0.0112 0.0209 0.0011 0.0586
8.0 1.000 -3.01 2.1051 4.2920 0.4132 0.1944 0.0224 0.0572 0.0161 0.0021 0.0019 0.0701
8.0 0.795 -2.96 1.6100 5.2320 0.2226 0.2170 0.0212 0.0539 0.0151 0.0026 0.0024 0.0718
8.0 0.489 -2.86 0.7715 6.0382 0.1371 0.2195 0.0211 0.0538 0.0151 0.0041 0.0035 0.0699
8.0 0.211 -2.74 0.4832 6.4391 0.0962 0.2143 0.0206 0.0525 0.0147 0.0087 0.0050 0.0671
8.0 0.118 -2.69 0.4382 6.6512 0.0859 0.2126 0.0199 0.0506 0.0141 0.0137 0.0057 0.0664
8.0 0.051 -2.64 0.4163 6.9351 0.0795 0.2140 0.0194 0.0494 0.0138 0.0233 0.0064 0.0667
8.0 0.021 -2.61 0.3548 6.1468 0.0661 0.1855 0.0164 0.0416 0.0116 0.0351 0.0058 0.0579
8.0 0.015 -2.60 0.3308 5.7424 0.0607 0.1723 0.0150 0.0378 0.0105 0.0446 0.0055 0.0538
8.0 1.000 -2.77 1.5821 5.6450 0.3076 0.1972 0.0220 0.0563 0.0158 0.0025 0.0054 0.0681
8.0 0.783 -2.70 0.9035 6.8162 0.1296 0.2145 0.0211 0.0537 0.0150 0.0031 0.0069 0.0683
8.0 0.494 -2.59 0.3531 7.4251 0.0658 0.2021 0.0211 0.0537 0.0150 0.0049 0.0099 0.0621
8.0 0.201 -2.39 0.1764 7.9302 0.0327 0.1764 0.0204 0.0520 0.0145 0.0115 0.0149 0.0520
8.0 0.107 -2.29 0.1415 8.2532 0.0241 0.1638 0.0195 0.0498 0.0139 0.0206 0.0177 0.0474
8.0 0.052 -2.20 0.1215 8.4007 0.0192 0.1527 0.0182 0.0462 0.0128 0.0372 0.0196 0.0437
8.0 0.019 -2.13 0.1025 7.9251 0.0151 0.1349 0.0156 0.0395 0.0109 0.0690 0.0196 0.0385
8.0 0.014 -2.11 0.0940 7.4709 0.0136 0.1251 0.0142 0.0360 0.0099 0.0890 0.0188 0.0357
8.0 1.000 -2.51 1.2482 6.8641 0.2428 0.1875 0.0217 0.0555 0.0155 0.0031 0.0102 0.0636
8.0 0.768 -2.44 0.5227 8.1919 0.0784 0.1960 0.0209 0.0534 0.0149 0.0040 0.0132 0.0614
8.0 0.476 -2.31 0.1830 8.6911 0.0318 0.1664 0.0209 0.0532 0.0148 0.0065 0.0187 0.0497
8.0 0.210 -2.10 0.0862 9.2980 0.0121 0.1257 0.0202 0.0514 0.0143 0.0143 0.0264 0.0353
8.0 0.098 -1.92 0.0573 9.8489 0.0060 0.0982 0.0189 0.0481 0.0133 0.0298 0.0322 0.0267
8.0 0.049 -1.79 0.0440 10.0528 0.0037 0.0806 0.0171 0.0436 0.0120 0.0562 0.0355 0.0217
8.0 0.020 -1.66 0.0322 9.3330 0.0012 0.0624 0.0132 0.0336 0.0092 0.1188 0.0359 0.0167
8.0 0.013 -1.59 0.0253 8.0410 0.0000 0.0507 0.0101 0.0258 0.0070 0.1722 0.0326 0.0136
8.0 1.000 -2.28 1.0335 7.9195 0.2030 0.1755 0.0214 0.0549 0.0153 0.0041 0.0150 0.0594
8.0 0.760 -2.20 0.3427 9.3444 0.0524 0.1753 0.0207 0.0530 0.0147 0.0054 0.0195 0.0549
8.0 0.480 -2.07 0.1220 9.8399 0.0185 0.1378 0.0207 0.0527 0.0147 0.0084 0.0266 0.0407
8.0 0.206 -1.84 0.0520 10.5529 0.0053 0.0882 0.0198 0.0504 0.0140 0.0193 0.0361 0.0244
8.0 0.098 -1.65 0.0317 11.1328 0.0011 0.0590 0.0183 0.0466 0.0129 0.0396 0.0426 0.0163
8.0 0.048 -1.47 0.0215 11.4116 0.0000 0.0405 0.0161 0.0410 0.0112 0.0790 0.0473 0.0115
8.0 0.020 -1.28 0.0133 10.3843 0.0000 0.0257 0.0112 0.0284 0.0077 0.1769 0.0484 0.0076
8.0 0.013 -1.18 0.0099 9.1200 0.0000 0.0204 0.0076 0.0194 0.0052 0.2779 0.0477 0.0062
8.0 1.000 -2.03 0.8662 8.9866 0.1729 0.1617 0.0211 0.0543 0.0151 0.0056 0.0203 0.0549
8.0 0.752 -1.95 0.2324 10.5258 0.0351 0.1527 0.0205 0.0524 0.0145 0.0075 0.0266 0.0480
8.0 0.485 -1.83 0.0874 11.0924 0.0112 0.1126 0.0204 0.0520 0.0144 0.0115 0.0348 0.0331
8.0 0.188 -1.56 0.0318 11.8320 0.0012 0.0570 0.0191 0.0487 0.0135 0.0292 0.0458 0.0161
8.0 0.100 -1.39 0.0199 12.3133 0.0000 0.0359 0.0177 0.0450 0.0124 0.0541 0.0516 0.0105
8.0 0.046 -1.17 0.0113 12.0018 0.0000 0.0190 0.0145 0.0369 0.0100 0.1134 0.0554 0.0062
8.0 0.020 -0.95 0.0059 10.2470 0.0000 0.0097 0.0088 0.0225 0.0061 0.2509 0.0570 0.0036
8.0 0.013 -0.80 0.0034 7.8283 0.0000 0.0065 0.0041 0.0105 0.0028 0.4181 0.0574 0.0026
8.0 1.000 -1.78 0.7421 10.0022 0.1508 0.1476 0.0208 0.0536 0.0149 0.0078 0.0258 0.0506
8.0 0.737 -1.70 0.1627 11.7062 0.0236 0.1300 0.0202 0.0517 0.0143 0.0106 0.0341 0.0413
8.0 0.468 -1.58 0.0625 12.4318 0.0065 0.0885 0.0201 0.0513 0.0142 0.0166 0.0436 0.0260
8.0 0.189 -1.32 0.0227 13.0535 0.0000 0.0396 0.0186 0.0473 0.0130 0.0405 0.0540 0.0116
8.0 0.094 -1.12 0.0125 13.0688 0.0000 0.0203 0.0164 0.0419 0.0114 0.0796 0.0588 0.0066
8.0 0.048 -0.92 0.0070 12.1810 0.0000 0.0100 0.0132 0.0335 0.0091 0.1525 0.0610 0.0039
8.0 0.018 -0.65 0.0026 8.3511 0.0000 0.0036 0.0053 0.0134 0.0036 0.3676 0.0602 0.0018
8.0 0.013 -0.51 0.0000 6.0676 0.0000 0.0026 0.0022 0.0058 0.0015 0.5586 0.0643 0.0014
8.0 1.000 -1.54 0.6466 10.9755 0.1334 0.1340 0.0206 0.0529 0.0147 0.0108 0.0313 0.0465
8.0 0.722 -1.46 0.1182 12.8934 0.0160 0.1089 0.0199 0.0510 0.0141 0.0150 0.0419 0.0350
8.0 0.474 -1.34 0.0495 13.6848 0.0042 0.0712 0.0196 0.0502 0.0138 0.0227 0.0514 0.0213
8.0 0.182 -1.07 0.0161 14.1761 0.0000 0.0260 0.0177 0.0453 0.0124 0.0582 0.0617 0.0082
8.0 0.094 -0.87 0.0085 13.5792 0.0000 0.0119 0.0153 0.0389 0.0106 0.1108 0.0643 0.0045
8.0 0.048 -0.68 0.0044 11.8771 0.0000 0.0051 0.0115 0.0292 0.0079 0.2108 0.0644 0.0024
8.0 0.018 -0.40 0.0000 6.8320 0.0000 0.0018 0.0031 0.0080 0.0021 0.5012 0.0639 0.0011
8.0 0.013 -0.25 0.0000 4.0028 0.0000 0.0011 0.0011 0.0030 0.0000 0.7138 0.0628 0.0000
8.3 1.000 -4.00 4.1033 0.1890 1.8505 0.1062 0.0260 0.0667 0.0189 0.0000 0.0000 0.0980
8.3 0.837 -4.00 4.2071 0.2204 1.4166 0.1142 0.0225 0.0577 0.0163 0.0000 0.0000 0.0922
8.3 0.549 -3.98 3.9517 0.2849 1.1927 0.1195 0.0215 0.0551 0.0156 0.0012 0.0000 0.0865
8.3 0.217 -3.97 3.9561 0.3590 1.1183 0.1262 0.0209 0.0535 0.0151 0.0018 0.0000 0.0867
8.3 0.149 -3.97 4.0528 0.3717 1.1195 0.1283 0.0206 0.0527 0.0149 0.0022 0.0000 0.0877
8.3 0.058 -3.97 4.5034 0.4080 1.1882 0.1391 0.0209 0.0531 0.0150 0.0032 0.0000 0.0945
8.3 0.033 -3.97 4.1122 0.3659 1.0621 0.1252 0.0183 0.0464 0.0131 0.0037 0.0000 0.0849
8.3 0.013 -3.96 3.1797 0.2855 0.8113 0.0965 0.0140 0.0356 0.0101 0.0055 0.0000 0.0652
8.3 1.000 -3.74 4.7029 0.6450 1.5710 0.1561 0.0249 0.0639 0.0181 0.0013 0.0000 0.1105
8.3 0.835 -3.73 4.7816 0.7563 1.1798 0.1705 0.0222 0.0567 0.0160 0.0013 0.0000 0.1064
8.3 0.512 -3.71 4.2310 1.0166 0.9465 0.1806 0.0216 0.0551 0.0156 0.0017 0.0000 0.1010
8.3 0.217 -3.69 4.1258 1.2234 0.8819 0.1885 0.0210 0.0537 0.0152 0.0027 0.0000 0.1017
8.3 0.148 -3.68 4.2116 1.2691 0.8783 0.1914 0.0207 0.0528 0.0149 0.0033 0.0000 0.1027
8.3 0.057 -3.68 4.6678 1.3981 0.9257 0.2068 0.0210 0.0533 0.0150 0.0049 0.0000 0.1105
8.3 0.033 -3.68 4.2533 1.2544 0.8225 0.1852 0.0183 0.0464 0.0130 0.0059 0.0000 0.0989
8.3 0.013 -3.68 3.2630 0.9736 0.6236 0.1418 0.0139 0.0354 0.0100 0.0084 0.0000 0.0755
8.3 1.000 -3.50 4.6662 1.7276 1.2617 0.2118 0.0241 0.0617 0.0174 0.0015 0.0000 0.1219
8.3 0.804 -3.47 4.4986 2.1001 0.8665 0.2350 0.0219 0.0559 0.0158 0.0018 0.0000 0.1188
8.3 0.501 -3.44 3.4729 2.6664 0.6665 0.2424 0.0216 0.0550 0.0155 0.0025 0.0000 0.1130
8.3 0.212 -3.40 3.1131 3.0859 0.5985 0.2495 0.0211 0.0537 0.0152 0.0040 0.0000 0.1131
8.3 0.132 -3.39 3.1288 3.2005 0.5872 0.2522 0.0206 0.0526 0.0149 0.0051 0.0000 0.1139
8.3 0.056 -3.38 3.4780 3.5484 0.6220 0.2738 0.0211 0.0536 0.0151 0.0076 0.0000 0.1234
8.3 0.033 -3.38 3.1464 3.1784 0.5464 0.2431 0.0182 0.0462 0.0130 0.0093 0.0000 0.1095
8.3 0.013 -3.38 2.3881 2.4498 0.4110 0.1850 0.0138 0.0351 0.0099 0.0130 0.0000 0.0832
8.3 1.000 -3.24 3.8776 3.5229 0.9385 0.2659 0.0234 0.0599 0.0169 0.0018 0.0000 0.1313
8.3 0.802 -3.20 3.2737 4.2725 0.5651 0.2928 0.0217 0.0555 0.0156 0.0022 0.0000 0.1288
8.3 0.499 -3.14 1.8594 4.9740 0.3860 0.2915 0.0216 0.0551 0.0156 0.0032 0.0012 0.1206
8.3 0.201 -3.07 1.3772 5.3766 0.3156 0.2916 0.0211 0.0537 0.0152 0.0061 0.0016 0.1181
8.3 0.106 -3.04 1.3631 5.6139 0.3032 0.2951 0.0204 0.0519 0.0146 0.0088 0.0018 0.1194
8.3 0.055 -3.03 1.3611 5.6797 0.2924 0.2925 0.0193 0.0492 0.0138 0.0121 0.0018 0.1184
8.3 0.031 -3.02 1.4761 6.1555 0.3102 0.3139 0.0202 0.0513 0.0144 0.0159 0.0020 0.1271
8.3 0.024 -3.02 1.2614 5.2445 0.2597 0.2650 0.0167 0.0424 0.0119 0.0186 0.0017 0.1074
8.3 1.000 -2.98 2.9450 5.4052 0.6776 0.2986 0.0229 0.0586 0.0165 0.0020 0.0028 0.1352
8.3 0.803 -2.93 1.9622 6.4358 0.3345 0.3218 0.0217 0.0553 0.0156 0.0025 0.0035 0.1318
8.3 0.505 -2.84 0.7656 6.7550 0.1893 0.3034 0.0216 0.0552 0.0156 0.0039 0.0048 0.1188
8.3 0.205 -2.71 0.4535 6.9368 0.1280 0.2873 0.0210 0.0535 0.0151 0.0086 0.0067 0.1105
8.3 0.131 -2.67 0.4316 7.1864 0.1192 0.2876 0.0205 0.0521 0.0147 0.0120 0.0074 0.1107
8.3 0.064 -2.63 0.4102 7.3984 0.1097 0.2851 0.0196 0.0499 0.0140 0.0188 0.0082 0.1099
8.3 0.022 -2.60 0.3743 7.0061 0.0960 0.2615 0.0172 0.0435 0.0122 0.0308 0.0080 0.1011
8.3 0.016 -2.59 0.3618 6.7948 0.0914 0.2514 0.0163 0.0411 0.0115 0.0387 0.0078 0.0974
8.3 1.000 -2.73 2.2609 7.0999 0.5043 0.3001 0.0226 0.0578 0.0163 0.0024 0.0079 0.1307
8.3 0.784 -2.66 1.0271 8.2785 0.1849 0.3112 0.0216 0.0552 0.0155 0.0030 0.0099 0.1232
8.3 0.495 -2.54 0.3168 8.0591 0.0824 0.2664 0.0215 0.0548 0.0154 0.0047 0.0136 0.1013
8.3 0.208 -2.36 0.1650 8.3560 0.0419 0.2285 0.0210 0.0535 0.0150 0.0107 0.0195 0.0842
8.3 0.109 -2.26 0.1352 8.6912 0.0311 0.2112 0.0200 0.0509 0.0143 0.0193 0.0230 0.0769
8.3 0.050 -2.17 0.1190 8.9440 0.0250 0.1976 0.0187 0.0474 0.0133 0.0362 0.0257 0.0716
8.3 0.021 -2.12 0.1044 8.4966 0.0206 0.1772 0.0162 0.0410 0.0114 0.0596 0.0256 0.0643
8.3 0.015 -2.10 0.0943 7.8783 0.0182 0.1612 0.0145 0.0366 0.0102 0.0783 0.0241 0.0585
8.3 1.000 -2.49 1.8267 8.6320 0.4020 0.2857 0.0223 0.0572 0.0161 0.0029 0.0146 0.1229
8.3 0.763 -2.40 0.5488 9.7666 0.1056 0.2773 0.0215 0.0548 0.0154 0.0038 0.0189 0.1087
8.3 0.487 -2.28 0.1698 9.3236 0.0398 0.2153 0.0213 0.0544 0.0153 0.0059 0.0249 0.0807
8.3 0.216 -2.07 0.0800 9.6488 0.0146 0.1566 0.0207 0.0526 0.0148 0.0131 0.0340 0.0559
8.3 0.097 -1.89 0.0557 10.3667 0.0074 0.1236 0.0196 0.0499 0.0140 0.0283 0.0417 0.0433
8.3 0.051 -1.77 0.0446 10.5185 0.0048 0.1032 0.0178 0.0453 0.0126 0.0512 0.0453 0.0360
8.3 0.019 -1.65 0.0342 9.9117 0.0030 0.0823 0.0141 0.0358 0.0099 0.1088 0.0460 0.0287
8.3 0.015 -1.60 0.0305 9.3727 0.0026 0.0747 0.0124 0.0313 0.0087 0.1484 0.0449 0.0262
8.3 1.000 -2.24 1.5186 10.1156 0.3349 0.2679 0.0221 0.0567 0.0159 0.0038 0.0221 0.1153
8.3 0.765 -2.16 0.3641 11.1972 0.0700 0.2453 0.0213 0.0545 0.0153 0.0050 0.0283 0.0969
8.3 0.485 -2.02 0.1083 10.6367 0.0213 0.1708 0.0211 0.0538 0.0151 0.0078 0.0362 0.0638
8.3 0.195 -1.77 0.0437 11.0352 0.0051 0.0987 0.0201 0.0512 0.0143 0.0191 0.0477 0.0352
8.3 0.101 -1.60 0.0293 11.5775 0.0013 0.0691 0.0189 0.0480 0.0134 0.0361 0.0546 0.0249
8.3 0.049 -1.43 0.0203 11.8639 0.0000 0.0476 0.0167 0.0423 0.0118 0.0720 0.0601 0.0177
8.3 0.020 -1.24 0.0132 10.8984 0.0000 0.0309 0.0119 0.0300 0.0083 0.1620 0.0614 0.0120
8.3 0.013 -1.15 0.0102 9.7750 0.0000 0.0251 0.0085 0.0214 0.0059 0.2568 0.0608 0.0100
8.3 1.000 -2.05 1.3316 11.2662 0.2960 0.2529 0.0219 0.0563 0.0158 0.0049 0.0285 0.1093
8.3 0.699 -1.94 0.1963 12.2310 0.0372 0.2020 0.0212 0.0540 0.0151 0.0069 0.0386 0.0795
8.3 0.453 -1.81 0.0743 11.7187 0.0118 0.1350 0.0209 0.0532 0.0149 0.0106 0.0461 0.0501
8.3 0.175 -1.54 0.0288 12.1165 0.0013 0.0663 0.0196 0.0498 0.0139 0.0270 0.0576 0.0243
8.3 0.093 -1.37 0.0185 12.5536 0.0000 0.0419 0.0181 0.0459 0.0128 0.0503 0.0641 0.0161
8.3 0.047 -1.18 0.0119 12.4816 0.0000 0.0252 0.0155 0.0391 0.0108 0.0971 0.0687 0.0105
8.3 0.017 -0.94 0.0061 10.4336 0.0000 0.0124 0.0088 0.0222 0.0061 0.2396 0.0693 0.0060
8.3 0.013 -0.83 0.0043 8.9751 0.0000 0.0097 0.0054 0.0137 0.0037 0.3639 0.0711 0.0049
8.3 1.000 -1.75 1.1074 13.0183 0.2502 0.2284 0.0217 0.0557 0.0156 0.0072 0.0391 0.0999
8.3 0.722 -1.65 0.1522 14.0866 0.0262 0.1714 0.0209 0.0535 0.0149 0.0100 0.0514 0.0687
8.3 0.470 -1.53 0.0556 13.6130 0.0067 0.1045 0.0206 0.0525 0.0147 0.0153 0.0598 0.0394
8.3 0.189 -1.26 0.0196 13.5764 0.0000 0.0424 0.0190 0.0483 0.0134 0.0374 0.0693 0.0165
8.3 0.095 -1.06 0.0109 13.5832 0.0000 0.0215 0.0170 0.0431 0.0119 0.0731 0.0749 0.0095
