#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -3.5 - -1.5, T*: 30 - 60 kK
# SED: WM-Basic (Pauldrach et al 2001) 
# Plane-parallel geometry
#
#12+log(O/H) Teff log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 He1_5876 He2_4686
7.1 60000.0 -1.75 0.0912 1.9173 0.0139 0.0337 0.0508 0.0029
7.1 30000.0 -1.5 0.4742 0.0057 0.017 0.0151 0.0074 0.0
7.1 32500.0 -1.5 0.8902 0.0812 0.0175 0.0278 0.0193 0.0
7.1 35000.0 -1.5 0.9272 0.5385 0.0146 0.041 0.0397 0.0
7.1 37500.0 -1.5 0.3099 1.2691 0.0105 0.0452 0.0519 0.0
7.1 40000.0 -1.5 0.1094 1.7946 0.0096 0.0409 0.053 0.0
7.1 45000.0 -1.5 0.0909 1.9924 0.0098 0.038 0.0534 0.0
7.1 50000.0 -1.5 0.0745 2.0583 0.0103 0.0306 0.0525 0.0036
7.1 55000.0 -1.5 0.0899 2.1391 0.01 0.0371 0.0532 0.0
7.1 60000.0 -1.5 0.0707 2.1629 0.0112 0.0301 0.0503 0.004
7.4 30000.0 -3.5 0.6489 0.0 0.2031 0.0035 0.0028 0.0
7.4 32500.0 -3.5 0.8945 0.0 0.2489 0.0079 0.0078 0.0
7.4 35000.0 -3.5 1.0933 0.0017 0.2555 0.0147 0.0188 0.0
7.4 37500.0 -3.5 1.206 0.0172 0.2283 0.0226 0.0431 0.0
7.4 40000.0 -3.5 1.2914 0.1096 0.2002 0.0331 0.055 0.0
7.4 45000.0 -3.5 1.3188 0.1648 0.1941 0.037 0.0568 0.0
7.4 50000.0 -3.5 1.2708 0.237 0.1993 0.038 0.0578 0.0
7.4 55000.0 -3.5 1.36 0.1924 0.1852 0.0407 0.0583 0.0
7.4 60000.0 -3.5 1.2786 0.2767 0.2115 0.0377 0.0576 0.0012
7.4 30000.0 -3.25 0.7403 0.0 0.1992 0.006 0.0029 0.0
7.4 32500.0 -3.25 1.0524 0.0 0.2375 0.0129 0.0081 0.0
7.4 35000.0 -3.25 1.2919 0.0045 0.2297 0.0226 0.0195 0.0
7.4 37500.0 -3.25 1.4012 0.0519 0.1913 0.0323 0.0456 0.0
7.4 40000.0 -3.25 1.3503 0.2983 0.1556 0.0438 0.055 0.0
7.4 45000.0 -3.25 1.3137 0.4196 0.1489 0.0477 0.0563 0.0
7.4 50000.0 -3.25 1.1938 0.5544 0.1529 0.0485 0.0567 0.001
7.4 55000.0 -3.25 1.3306 0.4828 0.1405 0.0512 0.0571 0.0
7.4 60000.0 -3.25 1.1743 0.6262 0.1636 0.0483 0.0561 0.0014
7.4 30000.0 -3.0 0.8152 0.0 0.1849 0.0096 0.003 0.0
7.4 32500.0 -3.0 1.2111 0.0 0.2123 0.0198 0.0084 0.0
7.4 35000.0 -3.0 1.5135 0.0121 0.1932 0.0324 0.0204 0.0
7.4 37500.0 -3.0 1.5615 0.1423 0.1505 0.0431 0.0477 0.0
7.4 40000.0 -3.0 1.239 0.6457 0.1155 0.0543 0.0549 0.0
7.4 45000.0 -3.0 1.1331 0.8385 0.1099 0.0579 0.0558 0.0
7.4 50000.0 -3.0 0.9689 1.0135 0.1132 0.0582 0.0559 0.0011
7.4 55000.0 -3.0 1.1262 0.9385 0.1037 0.0611 0.0562 0.0
7.4 60000.0 -3.0 0.9349 1.1087 0.1221 0.0582 0.055 0.0015
7.4 30000.0 -2.75 0.8574 0.0 0.1589 0.014 0.0032 0.0
7.4 32500.0 -2.75 1.3531 0.0024 0.1758 0.0278 0.009 0.0
7.4 35000.0 -2.75 1.7335 0.0315 0.1516 0.0428 0.0215 0.0
7.4 37500.0 -2.75 1.6197 0.3317 0.1121 0.0536 0.0494 0.0
7.4 40000.0 -2.75 0.9988 1.1104 0.0832 0.0637 0.0547 0.0
7.4 45000.0 -2.75 0.8648 1.3449 0.0793 0.0669 0.0553 0.0
7.4 50000.0 -2.75 0.7084 1.5189 0.082 0.0662 0.0552 0.0012
7.4 55000.0 -2.75 0.8488 1.4711 0.0753 0.0696 0.0556 0.0
7.4 60000.0 -2.75 0.6765 1.6263 0.0892 0.0663 0.0541 0.0016
7.4 30000.0 -2.5 0.8704 0.0 0.1268 0.0186 0.0035 0.0
7.4 32500.0 -2.5 1.449 0.0057 0.1346 0.0354 0.0098 0.0
7.4 35000.0 -2.5 1.9092 0.0761 0.112 0.0525 0.0234 0.0
7.4 37500.0 -2.5 1.5212 0.6412 0.0798 0.0629 0.0508 0.0
7.4 40000.0 -2.5 0.737 1.5978 0.0591 0.0715 0.0545 0.0
7.4 45000.0 -2.5 0.6159 1.85 0.0568 0.0739 0.055 0.0
7.4 50000.0 -2.5 0.4944 2.0066 0.0591 0.0715 0.0546 0.0013
7.4 55000.0 -2.5 0.6024 2.0009 0.0546 0.0759 0.055 0.0
7.4 60000.0 -2.5 0.4705 2.1278 0.0646 0.0713 0.0533 0.0017
7.4 30000.0 -2.25 0.8592 0.0 0.0946 0.0226 0.004 0.0
7.4 32500.0 -2.25 1.4977 0.0133 0.0972 0.0414 0.0111 0.0
7.4 35000.0 -2.25 1.9929 0.164 0.0793 0.0602 0.0261 0.0
7.4 37500.0 -2.25 1.2882 1.0302 0.0553 0.0703 0.052 0.0
7.4 40000.0 -2.25 0.5228 2.045 0.0422 0.0769 0.0543 0.0
7.4 45000.0 -2.25 0.4302 2.3175 0.0411 0.078 0.0548 0.0
7.4 50000.0 -2.25 0.3441 2.4624 0.043 0.073 0.0542 0.0016
7.4 55000.0 -2.25 0.4217 2.5018 0.0402 0.0793 0.0547 0.0
7.4 60000.0 -2.25 0.3275 2.6062 0.0471 0.0724 0.0527 0.0019
7.4 30000.0 -2.0 0.8318 0.0017 0.067 0.0254 0.0048 0.0
7.4 32500.0 -2.0 1.5064 0.0295 0.0677 0.0456 0.0131 0.0
7.4 35000.0 -2.0 1.9544 0.3156 0.055 0.0659 0.03 0.0
7.4 37500.0 -2.0 1.0017 1.4281 0.0381 0.0756 0.0525 0.0
7.4 40000.0 -2.0 0.3701 2.4379 0.0308 0.0794 0.0542 0.0
7.4 45000.0 -2.0 0.3047 2.7449 0.0305 0.0786 0.0546 0.0
7.4 50000.0 -2.0 0.2456 2.888 0.0321 0.0705 0.0539 0.0019
7.4 55000.0 -2.0 0.3004 2.9734 0.0303 0.0791 0.0545 0.0
7.4 60000.0 -2.0 0.2342 3.0652 0.0352 0.0696 0.0523 0.0023
7.4 30000.0 -1.75 0.7969 0.0039 0.046 0.0268 0.0059 0.0
7.4 32500.0 -1.75 1.4802 0.062 0.0464 0.0481 0.0159 0.0
7.4 35000.0 -1.75 1.7922 0.539 0.038 0.0697 0.0346 0.0
7.4 37500.0 -1.75 0.7382 1.7827 0.0267 0.0789 0.0527 0.0
7.4 40000.0 -1.75 0.2672 2.7845 0.0232 0.0785 0.054 0.0
7.4 45000.0 -1.75 0.2222 3.1377 0.0234 0.0757 0.0545 0.0
7.4 50000.0 -1.75 0.1816 3.2869 0.0248 0.0647 0.0537 0.0025
