#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, T*: 30 - 60 kK
# SED: WM-Basic (Pauldrach et al 2001 (30-60 kK)
#spherical geometry
#
12+log(O/H) T_eff log(U) ArII_7m ArV_8m	ArIII_9m SIV_10m NeII_12m ArV_13m NeV_14m NeIII_15m SIII_18m NeV_24m OIV_26m SIII_33m OIII_52m NIII_57m OIII_88m NII_122m NII_205m
7.1 35000.00 -2.05 0.0016 0.0000 0.0065 0.0020 0.0169 0.0000 0.0000 0.0040 0.0313 0.0000 0.0000 0.0432 0.0431 0.0043 0.0523 0.0000 0.0000
7.1 35000.00 -1.80 0.0000 0.0000 0.0071 0.0036 0.0158 0.0000 0.0000 0.0059 0.0324 0.0000 0.0000 0.0444 0.0548 0.0050 0.0663 0.0000 0.0000
7.1 35000.00 -1.55 0.0000 0.0000 0.0075 0.0060 0.0145 0.0000 0.0000 0.0081 0.0330 0.0000 0.0000 0.0451 0.0661 0.0056 0.0796 0.0000 0.0000
7.1 37500.00 -4.00 0.0048 0.0000 0.0031 0.0000 0.0173 0.0000 0.0000 0.0000 0.0058 0.0000 0.0000 0.0088 0.0000 0.0000 0.0000 0.0011 0.0000
7.1 37500.00 -3.75 0.0040 0.0000 0.0037 0.0000 0.0173 0.0000 0.0000 0.0000 0.0090 0.0000 0.0000 0.0134 0.0000 0.0000 0.0000 0.0011 0.0000
7.1 37500.00 -3.52 0.0031 0.0000 0.0046 0.0000 0.0179 0.0000 0.0000 0.0000 0.0136 0.0000 0.0000 0.0199 0.0016 0.0000 0.0020 0.0011 0.0000
7.1 37500.00 -3.27 0.0024 0.0000 0.0054 0.0000 0.0180 0.0000 0.0000 0.0000 0.0186 0.0000 0.0000 0.0270 0.0053 0.0011 0.0066 0.0010 0.0000
7.1 37500.00 -3.04 0.0017 0.0000 0.0061 0.0000 0.0180 0.0000 0.0000 0.0015 0.0235 0.0000 0.0000 0.0335 0.0151 0.0023 0.0186 0.0000 0.0000
7.1 37500.00 -2.80 0.0012 0.0000 0.0068 0.0000 0.0174 0.0000 0.0000 0.0030 0.0274 0.0000 0.0000 0.0385 0.0313 0.0035 0.0383 0.0000 0.0000
7.1 37500.00 -2.55 0.0000 0.0000 0.0073 0.0021 0.0163 0.0000 0.0000 0.0054 0.0301 0.0000 0.0000 0.0419 0.0481 0.0045 0.0588 0.0000 0.0000
7.1 37500.00 -2.30 0.0000 0.0000 0.0076 0.0042 0.0147 0.0000 0.0000 0.0083 0.0318 0.0000 0.0000 0.0439 0.0630 0.0052 0.0765 0.0000 0.0000
7.1 37500.00 -2.05 0.0000 0.0000 0.0078 0.0074 0.0130 0.0000 0.0000 0.0114 0.0328 0.0000 0.0000 0.0449 0.0756 0.0058 0.0915 0.0000 0.0000
7.1 37500.00 -1.80 0.0000 0.0000 0.0079 0.0119 0.0112 0.0000 0.0000 0.0146 0.0332 0.0000 0.0000 0.0451 0.0864 0.0062 0.1041 0.0000 0.0000
7.1 37500.00 -1.55 0.0000 0.0000 0.0080 0.0176 0.0094 0.0000 0.0000 0.0177 0.0330 0.0000 0.0000 0.0447 0.0951 0.0066 0.1139 0.0000 0.0000
7.1 40000.00 -4.00 0.0029 0.0000 0.0053 0.0000 0.0194 0.0000 0.0000 0.0016 0.0093 0.0000 0.0000 0.0140 0.0012 0.0000 0.0015 0.0012 0.0000
7.1 40000.00 -3.75 0.0021 0.0000 0.0058 0.0000 0.0180 0.0000 0.0000 0.0027 0.0133 0.0000 0.0000 0.0197 0.0037 0.0000 0.0046 0.0011 0.0000
7.1 40000.00 -3.51 0.0016 0.0000 0.0062 0.0000 0.0181 0.0000 0.0000 0.0019 0.0178 0.0000 0.0000 0.0260 0.0068 0.0011 0.0084 0.0010 0.0000
7.1 40000.00 -3.27 0.0010 0.0000 0.0068 0.0000 0.0172 0.0000 0.0000 0.0035 0.0226 0.0000 0.0000 0.0325 0.0191 0.0024 0.0236 0.0000 0.0000
7.1 40000.00 -3.03 0.0000 0.0000 0.0073 0.0017 0.0155 0.0000 0.0000 0.0066 0.0268 0.0000 0.0000 0.0380 0.0412 0.0038 0.0507 0.0000 0.0000
7.1 40000.00 -2.79 0.0000 0.0000 0.0076 0.0042 0.0132 0.0000 0.0000 0.0108 0.0297 0.0000 0.0000 0.0415 0.0626 0.0049 0.0765 0.0000 0.0000
7.1 40000.00 -2.54 0.0000 0.0000 0.0079 0.0089 0.0108 0.0000 0.0000 0.0152 0.0313 0.0000 0.0000 0.0432 0.0792 0.0056 0.0964 0.0000 0.0000
7.1 40000.00 -2.29 0.0000 0.0000 0.0079 0.0156 0.0086 0.0000 0.0000 0.0191 0.0318 0.0000 0.0000 0.0435 0.0914 0.0062 0.1107 0.0000 0.0000
7.1 40000.00 -2.04 0.0000 0.0000 0.0079 0.0236 0.0068 0.0000 0.0000 0.0223 0.0316 0.0000 0.0000 0.0428 0.1005 0.0065 0.1211 0.0000 0.0000
7.1 40000.00 -1.78 0.0000 0.0000 0.0078 0.0333 0.0053 0.0000 0.0000 0.0251 0.0307 0.0000 0.0000 0.0414 0.1081 0.0068 0.1294 0.0000 0.0000
7.1 40000.00 -1.53 0.0000 0.0000 0.0076 0.0435 0.0041 0.0000 0.0000 0.0273 0.0295 0.0000 0.0000 0.0395 0.1140 0.0070 0.1356 0.0000 0.0000
7.1 45000.00 -4.00 0.0027 0.0000 0.0058 0.0000 0.0188 0.0000 0.0000 0.0045 0.0107 0.0000 0.0000 0.0162 0.0017 0.0000 0.0022 0.0012 0.0000
7.1 45000.00 -3.75 0.0019 0.0000 0.0063 0.0000 0.0162 0.0000 0.0000 0.0070 0.0149 0.0000 0.0000 0.0221 0.0054 0.0000 0.0068 0.0011 0.0000
7.1 45000.00 -3.51 0.0013 0.0000 0.0067 0.0000 0.0155 0.0000 0.0000 0.0069 0.0197 0.0000 0.0000 0.0287 0.0100 0.0013 0.0123 0.0010 0.0000
7.1 45000.00 -3.26 0.0000 0.0000 0.0071 0.0000 0.0128 0.0000 0.0000 0.0111 0.0243 0.0000 0.0000 0.0348 0.0266 0.0028 0.0329 0.0000 0.0000
7.1 45000.00 -3.02 0.0000 0.0000 0.0075 0.0029 0.0096 0.0000 0.0000 0.0164 0.0279 0.0000 0.0000 0.0394 0.0508 0.0042 0.0623 0.0000 0.0000
7.1 45000.00 -2.78 0.0000 0.0000 0.0077 0.0073 0.0069 0.0000 0.0000 0.0213 0.0303 0.0000 0.0000 0.0421 0.0721 0.0052 0.0880 0.0000 0.0000
7.1 45000.00 -2.54 0.0000 0.0000 0.0077 0.0143 0.0050 0.0000 0.0000 0.0250 0.0313 0.0000 0.0000 0.0430 0.0872 0.0058 0.1059 0.0000 0.0000
7.1 45000.00 -2.29 0.0000 0.0000 0.0076 0.0233 0.0036 0.0000 0.0000 0.0277 0.0312 0.0000 0.0000 0.0425 0.0984 0.0063 0.1189 0.0000 0.0000
7.1 45000.00 -2.03 0.0000 0.0000 0.0073 0.0337 0.0026 0.0000 0.0000 0.0297 0.0305 0.0000 0.0000 0.0411 0.1071 0.0065 0.1287 0.0000 0.0000
7.1 45000.00 -1.78 0.0000 0.0000 0.0069 0.0449 0.0019 0.0000 0.0000 0.0312 0.0292 0.0000 0.0000 0.0391 0.1140 0.0067 0.1361 0.0000 0.0000
7.1 45000.00 -1.53 0.0000 0.0000 0.0065 0.0561 0.0015 0.0000 0.0000 0.0323 0.0277 0.0000 0.0000 0.0368 0.1195 0.0068 0.1418 0.0000 0.0000
7.1 50000.00 -4.00 0.0025 0.0000 0.0062 0.0000 0.0170 0.0000 0.0000 0.0091 0.0112 0.0000 0.0000 0.0168 0.0026 0.0000 0.0033 0.0012 0.0000
7.1 50000.00 -3.75 0.0017 0.0000 0.0065 0.0000 0.0133 0.0000 0.0000 0.0127 0.0153 0.0000 0.0000 0.0227 0.0080 0.0000 0.0100 0.0011 0.0000
7.1 50000.00 -3.51 0.0011 0.0000 0.0069 0.0000 0.0124 0.0000 0.0000 0.0126 0.0201 0.0000 0.0000 0.0293 0.0163 0.0017 0.0202 0.0000 0.0000
7.1 50000.00 -3.27 0.0000 0.0000 0.0073 0.0018 0.0090 0.0000 0.0000 0.0175 0.0244 0.0000 0.0000 0.0350 0.0376 0.0031 0.0463 0.0000 0.0000
7.1 50000.00 -3.02 0.0000 0.0000 0.0075 0.0056 0.0061 0.0000 0.0000 0.0224 0.0277 0.0000 0.0000 0.0390 0.0627 0.0044 0.0770 0.0000 0.0000
7.1 50000.00 -2.78 0.0000 0.0000 0.0075 0.0134 0.0040 0.0000 0.0000 0.0262 0.0294 0.0000 0.0000 0.0407 0.0820 0.0053 0.1001 0.0000 0.0000
7.1 50000.00 -2.54 0.0000 0.0000 0.0073 0.0241 0.0027 0.0000 0.0000 0.0287 0.0295 0.0000 0.0000 0.0404 0.0950 0.0056 0.1153 0.0000 0.0000
7.1 50000.00 -2.28 0.0000 0.0000 0.0069 0.0365 0.0019 0.0000 0.0000 0.0305 0.0286 0.0000 0.0010 0.0388 0.1046 0.0058 0.1263 0.0000 0.0000
7.1 50000.00 -2.07 0.0000 0.0000 0.0066 0.0469 0.0015 0.0000 0.0000 0.0316 0.0274 0.0000 0.0017 0.0370 0.1108 0.0057 0.1331 0.0000 0.0000
7.1 50000.00 -1.82 0.0000 0.0000 0.0061 0.0592 0.0011 0.0000 0.0000 0.0326 0.0256 0.0000 0.0031 0.0343 0.1166 0.0056 0.1393 0.0000 0.0000
7.1 50000.00 -1.52 0.0000 0.0000 0.0055 0.0723 0.0000 0.0000 0.0000 0.0335 0.0233 0.0000 0.0055 0.0310 0.1218 0.0053 0.1446 0.0000 0.0000
7.1 55000.00 -4.00 0.0022 0.0000 0.0065 0.0000 0.0191 0.0000 0.0000 0.0056 0.0124 0.0000 0.0000 0.0186 0.0020 0.0000 0.0025 0.0012 0.0000
7.1 55000.00 -3.75 0.0014 0.0000 0.0068 0.0000 0.0159 0.0000 0.0000 0.0084 0.0165 0.0000 0.0000 0.0244 0.0062 0.0000 0.0077 0.0011 0.0000
7.1 55000.00 -3.51 0.0000 0.0000 0.0071 0.0000 0.0127 0.0000 0.0000 0.0123 0.0208 0.0000 0.0000 0.0303 0.0175 0.0019 0.0217 0.0000 0.0000
7.1 55000.00 -3.26 0.0000 0.0000 0.0074 0.0021 0.0092 0.0000 0.0000 0.0173 0.0250 0.0000 0.0000 0.0357 0.0402 0.0034 0.0496 0.0000 0.0000
7.1 55000.00 -3.02 0.0000 0.0000 0.0076 0.0062 0.0062 0.0000 0.0000 0.0222 0.0280 0.0000 0.0000 0.0392 0.0648 0.0046 0.0795 0.0000 0.0000
7.1 55000.00 -2.78 0.0000 0.0000 0.0076 0.0146 0.0042 0.0000 0.0000 0.0259 0.0293 0.0000 0.0000 0.0405 0.0832 0.0054 0.1015 0.0000 0.0000
7.1 55000.00 -2.54 0.0000 0.0000 0.0074 0.0258 0.0029 0.0000 0.0000 0.0285 0.0292 0.0000 0.0000 0.0399 0.0960 0.0059 0.1163 0.0000 0.0000
7.1 55000.00 -2.29 0.0000 0.0000 0.0071 0.0381 0.0021 0.0000 0.0000 0.0303 0.0283 0.0000 0.0000 0.0383 0.1054 0.0061 0.1270 0.0000 0.0000
7.1 55000.00 -2.09 0.0000 0.0000 0.0068 0.0478 0.0016 0.0000 0.0000 0.0314 0.0272 0.0000 0.0000 0.0366 0.1113 0.0061 0.1335 0.0000 0.0000
7.1 55000.00 -1.78 0.0000 0.0000 0.0063 0.0624 0.0011 0.0000 0.0000 0.0326 0.0252 0.0000 0.0015 0.0336 0.1185 0.0060 0.1410 0.0000 0.0000
7.1 55000.00 -1.53 0.0000 0.0000 0.0058 0.0731 0.0000 0.0000 0.0000 0.0334 0.0234 0.0000 0.0025 0.0310 0.1230 0.0058 0.1455 0.0000 0.0000
7.1 60000.00 -4.00 0.0021 0.0000 0.0066 0.0000 0.0174 0.0000 0.0000 0.0093 0.0109 0.0000 0.0000 0.0164 0.0031 0.0000 0.0039 0.0012 0.0000
7.1 60000.00 -3.75 0.0014 0.0000 0.0069 0.0000 0.0135 0.0000 0.0000 0.0128 0.0149 0.0000 0.0000 0.0220 0.0092 0.0000 0.0115 0.0011 0.0000
7.1 60000.00 -3.50 0.0000 0.0000 0.0072 0.0000 0.0097 0.0000 0.0000 0.0172 0.0194 0.0000 0.0000 0.0282 0.0245 0.0021 0.0304 0.0000 0.0000
7.1 60000.00 -3.27 0.0000 0.0000 0.0074 0.0032 0.0066 0.0000 0.0000 0.0215 0.0235 0.0000 0.0000 0.0335 0.0483 0.0036 0.0596 0.0000 0.0000
7.1 60000.00 -3.02 0.0000 0.0000 0.0074 0.0100 0.0041 0.0000 0.0000 0.0254 0.0264 0.0000 0.0000 0.0369 0.0720 0.0048 0.0883 0.0000 0.0000
7.1 60000.00 -2.78 0.0000 0.0000 0.0071 0.0218 0.0027 0.0000 0.0000 0.0280 0.0271 0.0000 0.0011 0.0374 0.0878 0.0054 0.1071 0.0000 0.0000
7.1 60000.00 -2.53 0.0000 0.0000 0.0067 0.0363 0.0019 0.0000 0.0000 0.0299 0.0264 0.0000 0.0018 0.0360 0.0991 0.0057 0.1201 0.0000 0.0000
7.1 60000.00 -2.28 0.0000 0.0000 0.0062 0.0504 0.0013 0.0000 0.0000 0.0311 0.0250 0.0000 0.0032 0.0339 0.1073 0.0058 0.1292 0.0000 0.0000
7.1 60000.00 -2.10 0.0000 0.0000 0.0058 0.0604 0.0011 0.0000 0.0000 0.0318 0.0238 0.0000 0.0047 0.0320 0.1120 0.0058 0.1343 0.0000 0.0000
7.1 60000.00 -1.78 0.0000 0.0000 0.0052 0.0757 0.0000 0.0000 0.0000 0.0325 0.0215 0.0000 0.0080 0.0287 0.1180 0.0056 0.1406 0.0000 0.0000
7.1 60000.00 -1.53 0.0000 0.0000 0.0047 0.0862 0.0000 0.0000 0.0000 0.0329 0.0196 0.0000 0.0113 0.0261 0.1216 0.0053 0.1441 0.0000 0.0000
7.4 30000.00 -3.99 0.0083 0.0000 0.0000 0.0000 0.0180 0.0000 0.0000 0.0000 0.0016 0.0000 0.0000 0.0024 0.0000 0.0000 0.0000 0.0015 0.0000
7.4 30000.00 -3.74 0.0083 0.0000 0.0000 0.0000 0.0199 0.0000 0.0000 0.0000 0.0027 0.0000 0.0000 0.0041 0.0000 0.0000 0.0000 0.0015 0.0000
