#Cloudy 17.00 models results grids
# O/H: 8.1 - 9.0, log U: -4.0 - -1.0, alpha_OX = -2.0 - -1.0
# SED: AGN doubled peak power law, stopping criterion = 2% free electrons w/ dust grains
#plane-parallel geometry
12+log(O/H) a_ox log(U) ArII_7m ArV_8m	ArIII_9m SIV_10m NeII_12m ArV_13m NeV_14m NeIII_15m SIII_18m NeV_24m OIV_26m SIII_33m OIII_52m NIII_57m OIII_88m NII_122m NII_205m
8.1 -1.60 -3.25 0.0233 0.0000 0.0614 0.0211 0.1247 0.0000 0.0000 0.1944 0.2057 0.0000 0.0176 0.2301 0.2697 0.0496 0.1590 0.0126 0.0024
8.1 -1.60 -3.00 0.0224 0.0000 0.0629 0.0532 0.1153 0.0000 0.0000 0.2202 0.2429 0.0000 0.0551 0.2725 0.4425 0.0790 0.2605 0.0098 0.0021
8.1 -1.60 -2.75 0.0217 0.0011 0.0622 0.1157 0.1047 0.0018 0.0018 0.2415 0.2663 0.0020 0.1225 0.2986 0.5937 0.1033 0.3488 0.0076 0.0019
8.1 -1.60 -2.50 0.0212 0.0026 0.0589 0.2168 0.0955 0.0043 0.0062 0.2574 0.2737 0.0069 0.2228 0.3069 0.7047 0.1194 0.4121 0.0062 0.0019
8.1 -1.60 -2.25 0.0215 0.0057 0.0536 0.3524 0.0906 0.0092 0.0185 0.2684 0.2668 0.0208 0.3649 0.3006 0.7756 0.1270 0.4500 0.0055 0.0020
8.1 -1.60 -2.00 0.0227 0.0111 0.0472 0.5017 0.0892 0.0177 0.0488 0.2749 0.2484 0.0552 0.5659 0.2838 0.8105 0.1268 0.4658 0.0055 0.0022
8.1 -1.60 -1.75 0.0249 0.0197 0.0401 0.6228 0.0885 0.0311 0.1149 0.2770 0.2224 0.1312 0.8496 0.2612 0.8116 0.1190 0.4620 0.0059 0.0024
8.1 -1.60 -1.50 0.0314 0.0320 0.0336 0.6490 0.1059 0.0499 0.2359 0.2806 0.1974 0.2719 1.2157 0.2460 0.7700 0.1038 0.4356 0.0069 0.0029
8.1 -1.60 -1.25 0.0423 0.0464 0.0284 0.5439 0.1398 0.0714 0.4082 0.2871 0.1817 0.4762 1.5992 0.2475 0.6773 0.0834 0.3834 0.0088 0.0037
8.1 -1.60 -1.00 0.0591 0.0559 0.0253 0.3604 0.1979 0.0850 0.5702 0.3004 0.1866 0.6746 1.8217 0.2819 0.5301 0.0611 0.3026 0.0116 0.0047
