#Cloudy 17.00 models results grids
# O/H: 8.1 - 9.0, log U: -4.0 - -1.0, alpha_OX = -2.0 - -1.0
# SED: AGN doubled peak power law, stopping criterion = 2% free electrons without dust grains
#plane-parallel geometry
12+log(O/H) a_ox log(U) ArII_7m ArV_8m	ArIII_9m SIV_10m NeII_12m ArV_13m NeV_14m NeIII_15m SIII_18m NeV_24m OIV_26m SIII_33m OIII_52m NIII_57m OIII_88m NII_122m NII_205m
8.1 -1.60 -3.00 0.0172 0.0000 0.0623 0.0551 0.0887 0.0000 0.0000 0.2149 0.2349 0.0000 0.0544 0.2571 0.4533 0.0806 0.2665 0.0094 0.0019
8.1 -1.60 -2.75 0.0159 0.0011 0.0606 0.1217 0.0767 0.0018 0.0017 0.2341 0.2549 0.0019 0.1148 0.2795 0.6064 0.1048 0.3550 0.0071 0.0017
8.1 -1.60 -2.50 0.0153 0.0027 0.0555 0.2334 0.0683 0.0045 0.0055 0.2470 0.2558 0.0061 0.1922 0.2813 0.7147 0.1196 0.4145 0.0058 0.0018
8.1 -1.60 -2.25 0.0151 0.0057 0.0478 0.3858 0.0634 0.0093 0.0142 0.2540 0.2373 0.0159 0.2792 0.2621 0.7780 0.1246 0.4434 0.0054 0.0021
8.1 -1.60 -2.00 0.0150 0.0102 0.0385 0.5481 0.0595 0.0164 0.0310 0.2567 0.2040 0.0350 0.3680 0.2268 0.8053 0.1207 0.4457 0.0058 0.0026
8.1 -1.60 -1.75 0.0142 0.0159 0.0289 0.6849 0.0528 0.0255 0.0581 0.2564 0.1632 0.0661 0.4549 0.1828 0.8079 0.1092 0.4279 0.0064 0.0031
8.1 -1.60 -1.50 0.0132 0.0217 0.0205 0.7737 0.0461 0.0346 0.0924 0.2541 0.1227 0.1061 0.5293 0.1389 0.7893 0.0919 0.3941 0.0070 0.0034
8.1 -1.60 -1.25 0.0122 0.0259 0.0139 0.8247 0.0406 0.0411 0.1251 0.2495 0.0877 0.1448 0.5771 0.1010 0.7525 0.0720 0.3495 0.0075 0.0035
8.1 -1.60 -1.00 0.0116 0.0266 0.0092 0.8574 0.0398 0.0419 0.1450 0.2433 0.0616 0.1690 0.5806 0.0735 0.7013 0.0532 0.3000 0.0081 0.0035
8.1 -1.40 -4.00 0.0540 0.0000 0.0548 0.0016 0.2252 0.0000 0.0000 0.1929 0.1225 0.0000 0.0000 0.1608 0.0225 0.0040 0.0136 0.0205 0.0042
