#Cloudy 17.00 models results grids
# O/H: 8.1 - 9.0, log U: -4.0 - -1.0, alpha_OX = -2.0 - -1.0
# SED: AGN doubled peak power law, stopping criterion = 99.9% free electrons w/ dust grains
#plane-parallel geometry
#
12+log(O/H) a_ox log(U) ArII_7m ArV_8m	ArIII_9m SIV_10m NeII_12m ArV_13m NeV_14m NeIII_15m SIII_18m NeV_24m OIV_26m SIII_33m OIII_52m NIII_57m OIII_88m NII_122m NII_205m
8.1 -1.60 -3.25 0.0076 0.0000 0.0608 0.0243 0.0585 0.0000 0.0000 0.1754 0.1987 0.0000 0.0202 0.2018 0.3114 0.0578 0.1834 0.0100 0.0014
8.1 -1.60 -3.00 0.0048 0.0000 0.0628 0.0589 0.0425 0.0000 0.0000 0.2022 0.2283 0.0000 0.0616 0.2307 0.4975 0.0891 0.2928 0.0070 0.0000
8.1 -1.60 -2.75 0.0029 0.0012 0.0621 0.1264 0.0289 0.0019 0.0020 0.2238 0.2458 0.0022 0.1354 0.2474 0.6600 0.1147 0.3877 0.0045 0.0000
8.1 -1.60 -2.50 0.0017 0.0029 0.0584 0.2351 0.0186 0.0047 0.0068 0.2386 0.2481 0.0076 0.2436 0.2487 0.7728 0.1307 0.4518 0.0028 0.0000
8.1 -1.60 -2.25 0.0000 0.0062 0.0524 0.3816 0.0116 0.0100 0.0201 0.2459 0.2354 0.0225 0.3964 0.2350 0.8428 0.1379 0.4890 0.0017 0.0000
8.1 -1.60 -2.00 0.0000 0.0119 0.0450 0.5405 0.0072 0.0190 0.0526 0.2455 0.2099 0.0595 0.6097 0.2086 0.8733 0.1365 0.5018 0.0012 0.0000
8.1 -1.60 -1.75 0.0000 0.0212 0.0368 0.6731 0.0044 0.0335 0.1240 0.2370 0.1747 0.1416 0.9173 0.1728 0.8755 0.1283 0.4984 0.0000 0.0000
8.1 -1.60 -1.50 0.0000 0.0349 0.0288 0.7091 0.0027 0.0544 0.2572 0.2190 0.1341 0.2966 1.3261 0.1320 0.8394 0.1131 0.4749 0.0000 0.0000
8.1 -1.60 -1.25 0.0000 0.0518 0.0215 0.6092 0.0017 0.0799 0.4566 0.1897 0.0941 0.5326 1.7889 0.0923 0.7572 0.0931 0.4285 0.0000 0.0000
8.1 -1.60 -1.00 0.0000 0.0655 0.0151 0.4224 0.0011 0.0995 0.6680 0.1487 0.0602 0.7904 2.1343 0.0590 0.6200 0.0713 0.3539 0.0000 0.0000
