#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log N/O: -2.0 - 0.0, log U: -4.0 - -1.5
# SED: BPASS v.2.1, a = -1.35, M_up = 300 M_sun,, age = 1 Myr
# Plane-parallel geometry
#
#12+log(O/H) log(N/O) log(U) OII_3727 NeIII_3868 OIII_4363 OIII_5007 NII_6584 SII_6717,31
6.9 -1.250 -3.0 0.2767 0.0501 0.0077 0.3959 0.0162 0.0394
6.9 -1.250 -2.75 0.1964 0.0626 0.0127 0.5689 0.0111 0.0286
6.9 -1.250 -2.5 0.1354 0.0767 0.0188 0.739 0.0075 0.0206
6.9 -1.250 -2.25 0.0945 0.0925 0.0261 0.906 0.0052 0.0149
6.9 -1.250 -2.0 0.0683 0.1097 0.0349 1.0722 0.0037 0.0111
6.9 -1.250 -1.75 0.0516 0.1283 0.0453 1.2388 0.0028 0.0086
6.9 -1.250 -1.5 0.0406 0.1478 0.0572 1.4054 0.0022 0.0069
6.9 -1.125 -4.0 0.3447 0.0143 0.0 0.0123 0.0406 0.1019
6.9 -1.125 -3.75 0.3908 0.0208 0.0 0.0385 0.0409 0.0855
6.9 -1.125 -3.5 0.403 0.0291 0.0016 0.1064 0.0375 0.0687
6.9 -1.125 -3.25 0.3582 0.039 0.004 0.2317 0.0301 0.053
6.9 -1.125 -3.0 0.2766 0.0501 0.0077 0.3957 0.0216 0.0394
6.9 -1.125 -2.75 0.1963 0.0626 0.0127 0.5685 0.0147 0.0286
6.9 -1.125 -2.5 0.1354 0.0767 0.0187 0.7383 0.01 0.0206
6.9 -1.125 -2.25 0.0945 0.0923 0.026 0.9047 0.0069 0.0149
6.9 -1.125 -2.0 0.0683 0.1095 0.0348 1.0701 0.005 0.0111
6.9 -1.125 -1.75 0.0515 0.1279 0.045 1.2353 0.0037 0.0086
6.9 -1.125 -1.5 0.0405 0.1471 0.0567 1.3998 0.003 0.0069
6.9 -1.000 -4.0 0.3445 0.0143 0.0 0.0123 0.0541 0.1019
6.9 -1.000 -3.75 0.3906 0.0208 0.0 0.0385 0.0546 0.0855
6.9 -1.000 -3.5 0.4028 0.0291 0.0016 0.1063 0.05 0.0687
