#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log N/O: -2.0 - 0.0, log U: -4.0 - -1.5 (O/H vs log U and vs N/O empirically constrained)
# SED: BPASS v.2.1, a = -1.35, M_up = 300 M_sun,, age = 1 Myr
# Plane-parallel geometry
#
#12+log(O/H) log(N/O) log(U) OII_3727 NeIII_3868 OIII_4363 OIII_5007 NII_6584 SII_6717,31
7.60 -1.625 -2.00 0.3399 0.2761 0.1168 4.4427 0.0077 0.0519
7.60 -1.500 -2.50 0.6826 0.1986 0.0659 3.1091 0.0211 0.0964
7.60 -1.500 -2.25 0.4744 0.2358 0.0894 3.7830 0.0145 0.0699
7.60 -1.500 -2.00 0.3393 0.2751 0.1160 4.4278 0.0103 0.0519
7.70 -1.750 -2.50 0.8463 0.2335 0.0737 3.6843 0.0148 0.1185
7.70 -1.750 -2.25 0.5881 0.2763 0.0994 4.4748 0.0102 0.0859
7.70 -1.750 -2.00 0.4201 0.3215 0.1285 5.2302 0.0072 0.0637
7.70 -1.625 -2.50 0.8454 0.2330 0.0735 3.6777 0.0198 0.1185
7.70 -1.625 -2.25 0.5873 0.2756 0.0989 4.4644 0.0135 0.0859
7.70 -1.625 -2.00 0.4195 0.3204 0.1277 5.2154 0.0096 0.0637
7.70 -1.500 -2.50 0.8441 0.2324 0.0731 3.6690 0.0263 0.1184
7.70 -1.500 -2.25 0.5863 0.2747 0.0984 4.4516 0.0180 0.0858
7.70 -1.500 -2.00 0.4187 0.3190 0.1268 5.1959 0.0128 0.0636
7.80 -1.750 -2.50 1.0353 0.2684 0.0793 4.2752 0.0184 0.1449
7.80 -1.750 -2.25 0.7194 0.3160 0.1061 5.1798 0.0126 0.1049
7.80 -1.750 -2.00 0.5132 0.3659 0.1362 6.0357 0.0089 0.0777
7.80 -1.625 -2.50 1.0339 0.2678 0.0789 4.2663 0.0246 0.1448
7.80 -1.625 -2.25 0.7183 0.3151 0.1056 5.1667 0.0168 0.1048
7.80 -1.625 -2.00 0.5124 0.3646 0.1354 6.0175 0.0119 0.0776
7.80 -1.500 -2.50 1.0320 0.2670 0.0785 4.2549 0.0327 0.1447
7.80 -1.500 -2.25 0.7168 0.3138 0.1048 5.1481 0.0223 0.1047
7.80 -1.500 -2.00 0.5112 0.3628 0.1343 5.9924 0.0158 0.0775
7.90 -1.750 -2.75 1.7838 0.2506 0.0570 3.7336 0.0337 0.2449
7.90 -1.750 -2.50 1.2439 0.2999 0.0812 4.8315 0.0227 0.1757
7.90 -1.750 -2.25 0.8654 0.3510 0.1079 5.8412 0.0155 0.1270
7.90 -1.625 -2.75 1.7807 0.2499 0.0567 3.7248 0.0450 0.2447
7.90 -1.625 -2.50 1.2421 0.2992 0.0808 4.8218 0.0302 0.1756
7.90 -1.625 -2.25 0.8639 0.3499 0.1074 5.8260 0.0206 0.1269
7.90 -1.500 -2.75 1.7769 0.2492 0.0564 3.7149 0.0599 0.2445
7.90 -1.500 -2.50 1.2392 0.2981 0.0803 4.8054 0.0403 0.1754
7.90 -1.500 -2.25 0.8619 0.3485 0.1066 5.8041 0.0274 0.1268
8.00 -1.750 -2.75 2.0933 0.2731 0.0558 4.1092 0.0412 0.2955
8.00 -1.750 -2.50 1.4670 0.3249 0.0791 5.3111 0.0277 0.2117
8.00 -1.750 -2.25 1.0234 0.3783 0.1046 6.4092 0.0189 0.1528
8.00 -1.625 -2.75 2.0891 0.2723 0.0556 4.0994 0.0549 0.2953
8.00 -1.625 -2.50 1.4641 0.3240 0.0787 5.2980 0.0369 0.2115
8.00 -1.625 -2.25 1.0215 0.3771 0.1040 6.3909 0.0251 0.1527
8.00 -1.500 -2.75 2.0835 0.2714 0.0552 4.0862 0.0731 0.2949
8.00 -1.500 -2.50 1.4604 0.3228 0.0782 5.2799 0.0492 0.2113
8.00 -1.500 -2.25 1.0188 0.3755 0.1033 6.3668 0.0334 0.1525
8.00 -1.375 -2.75 2.0762 0.2701 0.0548 4.0691 0.0973 0.2944
8.00 -1.375 -2.50 1.4553 0.3211 0.0775 5.2564 0.0655 0.2109
8.00 -1.375 -2.25 1.0152 0.3734 0.1023 6.3352 0.0445 0.1522
8.00 -1.250 -2.75 2.0663 0.2684 0.0542 4.0465 0.1294 0.2938
8.00 -1.250 -2.50 1.4484 0.3189 0.0766 5.2241 0.0871 0.2105
8.00 -1.250 -2.25 1.0104 0.3705 0.1010 6.2932 0.0592 0.1518
8.10 -1.750 -3.00 3.2234 0.2341 0.0324 2.9884 0.0713 0.4831
8.10 -1.750 -2.75 2.3910 0.2875 0.0515 4.3719 0.0494 0.3488
8.10 -1.750 -2.50 1.6891 0.3403 0.0728 5.6567 0.0333 0.2498
8.10 -1.625 -3.00 3.2154 0.2334 0.0322 2.9800 0.0950 0.4826
