#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log N/O: -2.0 - 0.0, log U: -2.5 - -0.5 (O/H vs N/O empirically constrained)
# SED: double composite AGN power law, a(UV) = -1.5, a(ox) = -1.2
# Plane-parallel geometry
#
#12+log(O/H) log(N/O) log(U) OII_3727 NeIII_3868 OIII_4363 OIII_5007 NII_6584 SII_6717,31
7.10 -1.625 -1.25 0.1027 0.0314 0.0040 0.1155 0.0105 0.1079
7.10 -1.625 -1.00 0.1171 0.0324 0.0017 0.0530 0.0114 0.1836
7.10 -1.625 -0.75 0.1280 0.0312 0.0000 0.0273 0.0115 0.3110
7.10 -1.625 -0.50 0.1340 0.0288 0.0000 0.0188 0.0114 0.4080
7.10 -1.500 -2.50 0.1643 0.0571 0.0228 0.7585 0.0118 0.0822
7.10 -1.500 -2.25 0.1264 0.0518 0.0242 0.7166 0.0109 0.0734
7.10 -1.500 -2.00 0.1032 0.0439 0.0214 0.5845 0.0108 0.0748
7.10 -1.500 -1.75 0.0925 0.0366 0.0152 0.4014 0.0114 0.0764
7.10 -1.500 -1.50 0.0928 0.0321 0.0086 0.2321 0.0125 0.0849
7.10 -1.500 -1.50 0.0928 0.0321 0.0086 0.2321 0.0125 0.0849
7.10 -1.500 -1.50 0.0928 0.0321 0.0086 0.2321 0.0125 0.0849
7.10 -1.500 -1.50 0.0928 0.0321 0.0086 0.2321 0.0125 0.0849
7.10 -1.500 -1.50 0.0928 0.0321 0.0086 0.2321 0.0125 0.0849
7.20 -1.750 -2.50 0.2064 0.0718 0.0287 0.9551 0.0083 0.1035
7.20 -1.750 -2.25 0.1587 0.0652 0.0306 0.9026 0.0077 0.0930
7.20 -1.750 -2.00 0.1295 0.0552 0.0271 0.7355 0.0076 0.0951
7.20 -1.750 -1.75 0.1160 0.0459 0.0192 0.5044 0.0080 0.0976
7.20 -1.750 -1.50 0.1165 0.0403 0.0108 0.2916 0.0089 0.1085
7.20 -1.750 -1.25 0.1293 0.0394 0.0050 0.1450 0.0099 0.1414
7.20 -1.750 -1.00 0.1474 0.0405 0.0021 0.0666 0.0107 0.2339
7.20 -1.750 -0.75 0.1610 0.0389 0.0000 0.0343 0.0109 0.3913
7.20 -1.750 -0.50 0.1687 0.0359 0.0000 0.0236 0.0108 0.5091
7.20 -1.625 -2.50 0.2063 0.0718 0.0287 0.9540 0.0111 0.1050
7.20 -1.625 -2.25 0.1587 0.0652 0.0305 0.9024 0.0103 0.0929
7.20 -1.625 -2.00 0.1295 0.0552 0.0270 0.7351 0.0102 0.0959
7.20 -1.625 -1.75 0.1160 0.0459 0.0192 0.5045 0.0107 0.0975
7.20 -1.625 -1.50 0.1165 0.0403 0.0108 0.2916 0.0118 0.1089
7.20 -1.625 -1.25 0.1294 0.0394 0.0050 0.1450 0.0132 0.1413
7.20 -1.625 -1.00 0.1473 0.0405 0.0021 0.0665 0.0142 0.2377
7.20 -1.625 -0.75 0.1610 0.0389 0.0000 0.0343 0.0145 0.3910
7.20 -1.625 -0.50 0.1687 0.0359 0.0000 0.0236 0.0143 0.5091
7.20 -1.500 -2.50 0.2064 0.0717 0.0287 0.9542 0.0148 0.1038
7.20 -1.500 -2.25 0.1587 0.0652 0.0305 0.9019 0.0137 0.0931
7.20 -1.500 -2.00 0.1296 0.0552 0.0270 0.7352 0.0135 0.0951
7.20 -1.500 -1.75 0.1161 0.0459 0.0191 0.5045 0.0143 0.0975
7.20 -1.500 -1.50 0.1166 0.0403 0.0108 0.2916 0.0157 0.1089
7.20 -1.500 -1.25 0.1293 0.0394 0.0050 0.1450 0.0176 0.1411
7.20 -1.500 -1.00 0.1474 0.0405 0.0021 0.0666 0.0190 0.2349
7.20 -1.500 -0.75 0.1608 0.0388 0.0000 0.0342 0.0193 0.3939
7.20 -1.500 -0.50 0.1687 0.0359 0.0000 0.0236 0.0191 0.5091
7.30 -1.750 -2.50 0.2589 0.0897 0.0355 1.1929 0.0105 0.1331
7.30 -1.750 -2.25 0.1994 0.0817 0.0379 1.1296 0.0097 0.1195
7.30 -1.750 -2.00 0.1629 0.0693 0.0337 0.9218 0.0096 0.1230
7.30 -1.750 -1.75 0.1462 0.0577 0.0239 0.6335 0.0101 0.1254
7.30 -1.750 -1.50 0.1468 0.0506 0.0136 0.3662 0.0111 0.1409
7.30 -1.750 -1.25 0.1630 0.0493 0.0063 0.1820 0.0124 0.1836
7.30 -1.750 -1.00 0.1853 0.0503 0.0026 0.0834 0.0134 0.3066
7.30 -1.750 -0.75 0.2024 0.0484 0.0012 0.0431 0.0136 0.4908
7.30 -1.750 -0.50 0.2122 0.0448 0.0000 0.0297 0.0135 0.6330
7.30 -1.625 -2.50 0.2589 0.0897 0.0355 1.1924 0.0140 0.1331
7.30 -1.625 -2.25 0.1994 0.0817 0.0379 1.1290 0.0129 0.1197
7.30 -1.625 -2.00 0.1630 0.0693 0.0336 0.9217 0.0128 0.1231
7.30 -1.625 -1.75 0.1462 0.0577 0.0239 0.6335 0.0135 0.1255
7.30 -1.625 -1.50 0.1468 0.0506 0.0136 0.3663 0.0148 0.1413
7.30 -1.625 -1.25 0.1630 0.0494 0.0063 0.1817 0.0166 0.1864
7.30 -1.625 -1.00 0.1852 0.0503 0.0026 0.0833 0.0178 0.3075
7.30 -1.625 -0.75 0.2019 0.0482 0.0012 0.0429 0.0181 0.4984
7.30 -1.625 -0.50 0.2122 0.0448 0.0000 0.0297 0.0180 0.6330
7.30 -1.500 -2.50 0.2590 0.0896 0.0355 1.1921 0.0187 0.1325
7.30 -1.500 -2.25 0.1995 0.0816 0.0378 1.1288 0.0172 0.1193
7.30 -1.500 -2.00 0.1630 0.0693 0.0336 0.9214 0.0170 0.1231
7.30 -1.500 -1.75 0.1462 0.0577 0.0239 0.6333 0.0180 0.1261
7.30 -1.500 -1.50 0.1469 0.0506 0.0136 0.3663 0.0198 0.1412
7.30 -1.500 -1.25 0.1630 0.0493 0.0063 0.1820 0.0221 0.1836
7.30 -1.500 -1.00 0.1852 0.0503 0.0026 0.0833 0.0238 0.3078
7.30 -1.500 -0.75 0.2024 0.0484 0.0012 0.0431 0.0242 0.4907
7.30 -1.500 -0.50 0.2122 0.0448 0.0000 0.0297 0.0240 0.6329
7.40 -1.750 -2.50 0.3244 0.1108 0.0426 1.4713 0.0132 0.1703
7.40 -1.750 -2.25 0.2510 0.1014 0.0455 1.3990 0.0122 0.1534
7.40 -1.750 -2.00 0.2059 0.0869 0.0407 1.1478 0.0121 0.1598
7.40 -1.750 -1.75 0.1852 0.0726 0.0293 0.7934 0.0128 0.1649
7.40 -1.750 -1.50 0.1860 0.0637 0.0168 0.4596 0.0140 0.1868
