#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, T*: 30 - 60 kK
# SED: WM-Basic (Pauldrach et al 2001) 
#plane-paralell geometry
#
12+log(O/H) Teff log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 HeI_4471 HeI_5876 HeI_6678 HeII_4686 ArIV_4740 ArIII_7135 NII_6584
7.1 35000 -3.00 0.9169 0.0137 0.0994 0.0195 0.0117 0.0301 0.0085 0.0000 0.0000 0.0056 0.0315
7.1 35000 -2.75 1.0614 0.0366 0.0775 0.0255 0.0123 0.0316 0.0089 0.0000 0.0000 0.0068 0.0318
7.1 35000 -2.50 1.1742 0.0887 0.0573 0.0313 0.0132 0.0340 0.0095 0.0000 0.0000 0.0084 0.0301
7.1 35000 -2.25 1.2136 0.1876 0.0408 0.0362 0.0145 0.0372 0.0104 0.0000 0.0000 0.0102 0.0266
7.1 35000 -2.00 1.1541 0.3449 0.0285 0.0400 0.0161 0.0414 0.0116 0.0000 0.0000 0.0122 0.0217
7.1 35000 -1.75 1.0061 0.5518 0.0199 0.0428 0.0177 0.0457 0.0127 0.0000 0.0000 0.0144 0.0160
7.1 35000 -1.50 0.8125 0.7829 0.0139 0.0449 0.0191 0.0493 0.0137 0.0000 0.0000 0.0162 0.0109
7.1 37500 -4.00 0.4761 0.0000 0.1466 0.0052 0.0149 0.0383 0.0108 0.0000 0.0000 0.0042 0.0235
7.1 37500 -3.75 0.5731 0.0026 0.1356 0.0083 0.0165 0.0422 0.0119 0.0000 0.0000 0.0054 0.0258
7.1 37500 -3.50 0.6850 0.0083 0.1199 0.0127 0.0177 0.0454 0.0128 0.0000 0.0000 0.0068 0.0276
7.1 37500 -3.25 0.8073 0.0258 0.0998 0.0181 0.0187 0.0478 0.0134 0.0000 0.0000 0.0084 0.0283
7.1 37500 -3.00 0.9184 0.0731 0.0782 0.0241 0.0194 0.0496 0.0139 0.0000 0.0000 0.0102 0.0267
7.1 37500 -2.75 0.9779 0.1775 0.0582 0.0301 0.0199 0.0510 0.0143 0.0000 0.0000 0.0121 0.0228
7.1 37500 -2.50 0.9468 0.3589 0.0416 0.0356 0.0203 0.0521 0.0146 0.0000 0.0000 0.0139 0.0178
7.1 37500 -2.25 0.8262 0.6013 0.0292 0.0402 0.0206 0.0528 0.0147 0.0000 0.0000 0.0156 0.0129
7.1 37500 -2.00 0.6611 0.8627 0.0205 0.0438 0.0207 0.0532 0.0148 0.0000 0.0000 0.0170 0.0090
7.1 37500 -1.75 0.5005 1.1062 0.0146 0.0464 0.0207 0.0533 0.0148 0.0000 0.0000 0.0181 0.0062
7.1 37500 -1.50 0.3699 1.3190 0.0107 0.0480 0.0206 0.0533 0.0148 0.0000 0.0000 0.0189 0.0043
7.1 40000 -4.00 0.5116 0.0034 0.1430 0.0080 0.0204 0.0521 0.0147 0.0000 0.0000 0.0066 0.0249
7.1 40000 -3.75 0.6113 0.0113 0.1245 0.0121 0.0209 0.0534 0.0151 0.0000 0.0000 0.0079 0.0265
7.1 40000 -3.50 0.7135 0.0361 0.1029 0.0171 0.0211 0.0540 0.0152 0.0000 0.0000 0.0094 0.0268
7.1 40000 -3.25 0.7889 0.1046 0.0803 0.0228 0.0212 0.0542 0.0153 0.0000 0.0000 0.0110 0.0244
7.1 40000 -3.00 0.7874 0.2547 0.0597 0.0287 0.0212 0.0542 0.0152 0.0000 0.0000 0.0126 0.0194
7.1 40000 -2.75 0.6921 0.4926 0.0430 0.0341 0.0211 0.0541 0.0151 0.0000 0.0000 0.0142 0.0140
7.1 40000 -2.50 0.5466 0.7765 0.0307 0.0389 0.0210 0.0540 0.0151 0.0000 0.0000 0.0157 0.0096
7.1 40000 -2.25 0.4051 1.0591 0.0219 0.0428 0.0209 0.0538 0.0150 0.0000 0.0000 0.0172 0.0066
