#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, f_abs: 0.01 - 1.0
# SED: BPASS v.2.1 (Eldridge et al 2017), alpha(IMF) = -1.35, M_up = 300, age = 4 Myr, Z_* = Z_g
# Spherical geometry
#
12+log(O/H) f_abs log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 HeI_4471 HeI_5876 HeI_6678 HeII_4686 ArIV_4740 ArIII_7135 NII_6584
7.7 1.000 -3.50 2.1718 0.5718 0.3787 0.0721 0.0225 0.0577 0.0163 0.0000 0.0000 0.0395 0.0888
7.7 0.809 -3.48 2.2869 0.6927 0.2932 0.0812 0.0211 0.0537 0.0151 0.0011 0.0000 0.0406 0.0855
7.7 0.495 -3.44 2.1866 0.9290 0.2521 0.0891 0.0209 0.0535 0.0151 0.0016 0.0000 0.0421 0.0757
7.7 0.226 -3.41 2.0797 1.0937 0.2294 0.0922 0.0204 0.0522 0.0147 0.0022 0.0000 0.0425 0.0681
7.7 0.105 -3.39 2.0278 1.1179 0.2166 0.0910 0.0195 0.0499 0.0141 0.0028 0.0000 0.0417 0.0645
7.7 0.061 -3.38 2.1251 1.1756 0.2234 0.0951 0.0200 0.0511 0.0144 0.0032 0.0000 0.0435 0.0669
7.7 0.036 -3.38 1.8406 1.0155 0.1906 0.0820 0.0170 0.0436 0.0123 0.0035 0.0000 0.0374 0.0575
7.7 0.016 -3.38 1.2988 0.7289 0.1336 0.0582 0.0121 0.0313 0.0089 0.0040 0.0000 0.0265 0.0403
7.7 1.000 -3.25 1.8400 1.3472 0.2788 0.0936 0.0222 0.0568 0.0160 0.0012 0.0000 0.0445 0.0676
7.7 0.799 -3.22 1.8059 1.6542 0.1951 0.1057 0.0211 0.0538 0.0151 0.0014 0.0000 0.0464 0.0581
7.7 0.512 -3.16 1.4644 2.0985 0.1559 0.1134 0.0210 0.0536 0.0151 0.0021 0.0000 0.0479 0.0421
7.7 0.212 -3.08 1.1995 2.4139 0.1302 0.1165 0.0204 0.0524 0.0147 0.0038 0.0000 0.0482 0.0316
7.7 0.111 -3.05 1.1337 2.4648 0.1212 0.1153 0.0196 0.0504 0.0142 0.0050 0.0000 0.0475 0.0289
7.7 0.050 -3.03 1.0382 2.3269 0.1085 0.1070 0.0178 0.0459 0.0129 0.0062 0.0000 0.0440 0.0259
7.7 0.029 -3.02 1.0912 2.4484 0.1127 0.1122 0.0183 0.0468 0.0130 0.0072 0.0000 0.0462 0.0270
7.7 0.023 -3.02 0.8844 1.9875 0.0906 0.0908 0.0147 0.0375 0.0105 0.0073 0.0000 0.0374 0.0217
7.7 1.000 -3.01 1.3649 2.2660 0.1996 0.1107 0.0219 0.0561 0.0158 0.0013 0.0000 0.0485 0.0474
7.7 0.793 -2.96 1.1490 2.7761 0.1192 0.1239 0.0210 0.0537 0.0150 0.0016 0.0000 0.0508 0.0327
7.7 0.504 -2.87 0.7216 3.3119 0.0839 0.1299 0.0210 0.0537 0.0150 0.0025 0.0014 0.0517 0.0178
7.7 0.203 -2.73 0.4846 3.7127 0.0608 0.1324 0.0205 0.0524 0.0147 0.0057 0.0021 0.0519 0.0109
7.7 0.101 -2.67 0.4273 3.8026 0.0533 0.1305 0.0195 0.0500 0.0140 0.0093 0.0023 0.0510 0.0092
7.7 0.052 -2.63 0.3808 3.6478 0.0468 0.1225 0.0179 0.0459 0.0128 0.0125 0.0024 0.0479 0.0080
7.7 0.022 -2.60 0.3138 3.1232 0.0380 0.1034 0.0148 0.0380 0.0106 0.0150 0.0021 0.0404 0.0065
7.7 0.016 -2.59 0.3209 3.2059 0.0387 0.1059 0.0149 0.0381 0.0106 0.0171 0.0022 0.0414 0.0066
7.7 1.000 -2.76 1.0092 3.0863 0.1468 0.1187 0.0217 0.0556 0.0156 0.0015 0.0024 0.0498 0.0341
7.7 0.803 -2.70 0.7157 3.6972 0.0746 0.1305 0.0210 0.0536 0.0150 0.0019 0.0029 0.0517 0.0186
7.7 0.499 -2.59 0.3468 4.2408 0.0431 0.1319 0.0209 0.0535 0.0149 0.0030 0.0043 0.0509 0.0077
7.7 0.200 -2.39 0.1887 4.6800 0.0239 0.1261 0.0203 0.0520 0.0145 0.0073 0.0069 0.0474 0.0037
7.7 0.106 -2.28 0.1487 4.8027 0.0181 0.1198 0.0193 0.0495 0.0138 0.0132 0.0084 0.0446 0.0028
7.7 0.050 -2.19 0.1248 4.8100 0.0146 0.1128 0.0178 0.0457 0.0127 0.0238 0.0094 0.0418 0.0023
7.7 0.023 -2.13 0.1012 4.3115 0.0114 0.0976 0.0149 0.0383 0.0106 0.0347 0.0090 0.0362 0.0018
7.7 0.016 -2.10 0.0890 3.9291 0.0100 0.0879 0.0132 0.0338 0.0093 0.0405 0.0084 0.0326 0.0016
7.7 1.000 -2.51 0.7840 3.7506 0.1151 0.1184 0.0215 0.0551 0.0154 0.0019 0.0049 0.0487 0.0261
7.7 0.805 -2.45 0.4627 4.4223 0.0491 0.1275 0.0208 0.0533 0.0149 0.0023 0.0060 0.0497 0.0111
7.7 0.504 -2.33 0.1979 4.9229 0.0243 0.1219 0.0208 0.0532 0.0148 0.0037 0.0087 0.0461 0.0040
7.7 0.205 -2.10 0.0924 5.3679 0.0100 0.1034 0.0200 0.0514 0.0143 0.0090 0.0139 0.0375 0.0016
7.7 0.102 -1.93 0.0614 5.4802 0.0056 0.0871 0.0186 0.0479 0.0133 0.0178 0.0172 0.0308 0.0000
7.7 0.050 -1.79 0.0440 5.3383 0.0035 0.0722 0.0163 0.0421 0.0116 0.0348 0.0191 0.0250 0.0000
7.7 0.020 -1.66 0.0301 4.6201 0.0012 0.0556 0.0121 0.0312 0.0086 0.0678 0.0186 0.0190 0.0000
7.7 0.013 -1.59 0.0209 3.5211 0.0000 0.0411 0.0084 0.0217 0.0059 0.0816 0.0151 0.0140 0.0000
7.7 1.000 -2.26 0.6278 4.3269 0.0945 0.1138 0.0212 0.0546 0.0152 0.0025 0.0077 0.0464 0.0208
7.7 0.820 -2.21 0.3296 4.9989 0.0354 0.1199 0.0207 0.0529 0.0147 0.0030 0.0094 0.0465 0.0074
7.7 0.512 -2.08 0.1272 5.4999 0.0148 0.1080 0.0206 0.0528 0.0147 0.0048 0.0136 0.0404 0.0024
7.7 0.223 -1.85 0.0556 5.8580 0.0051 0.0807 0.0196 0.0505 0.0140 0.0110 0.0201 0.0288 0.0000
7.7 0.115 -1.67 0.0341 5.9835 0.0013 0.0610 0.0182 0.0469 0.0130 0.0210 0.0242 0.0212 0.0000
7.7 0.055 -1.48 0.0210 5.8472 0.0000 0.0432 0.0158 0.0407 0.0112 0.0433 0.0270 0.0147 0.0000
7.7 0.022 -1.27 0.0119 4.9943 0.0000 0.0279 0.0107 0.0276 0.0075 0.0993 0.0269 0.0094 0.0000
7.7 0.013 -1.15 0.0076 3.9070 0.0000 0.0207 0.0065 0.0168 0.0046 0.1533 0.0246 0.0069 0.0000
7.7 1.000 -2.06 0.5363 4.7414 0.0831 0.1086 0.0211 0.0542 0.0151 0.0032 0.0102 0.0443 0.0177
7.7 0.765 -1.99 0.2013 5.5635 0.0223 0.1107 0.0205 0.0525 0.0146 0.0041 0.0132 0.0427 0.0041
7.7 0.485 -1.86 0.0867 5.9537 0.0092 0.0938 0.0203 0.0521 0.0145 0.0065 0.0181 0.0348 0.0015
7.7 0.192 -1.60 0.0337 6.2407 0.0013 0.0592 0.0189 0.0486 0.0135 0.0163 0.0257 0.0208 0.0000
7.7 0.098 -1.41 0.0194 6.2149 0.0000 0.0396 0.0171 0.0440 0.0121 0.0317 0.0294 0.0137 0.0000
7.7 0.051 -1.22 0.0114 5.7776 0.0000 0.0251 0.0141 0.0363 0.0099 0.0602 0.0306 0.0087 0.0000
7.7 0.020 -0.97 0.0052 4.4821 0.0000 0.0136 0.0079 0.0204 0.0055 0.1452 0.0297 0.0047 0.0000
7.7 0.013 -0.86 0.0036 3.7863 0.0000 0.0112 0.0049 0.0127 0.0034 0.2205 0.0307 0.0040 0.0000
7.7 1.000 -1.75 0.4303 5.3415 0.0703 0.0989 0.0207 0.0535 0.0149 0.0047 0.0143 0.0406 0.0144
7.7 0.821 -1.70 0.1699 6.0716 0.0190 0.0994 0.0201 0.0518 0.0144 0.0058 0.0173 0.0388 0.0034
7.7 0.517 -1.57 0.0624 6.5847 0.0058 0.0787 0.0199 0.0513 0.0142 0.0091 0.0238 0.0291 0.0000
7.7 0.214 -1.32 0.0228 6.7901 0.0000 0.0437 0.0186 0.0477 0.0132 0.0219 0.0315 0.0153 0.0000
7.7 0.110 -1.12 0.0118 6.4640 0.0000 0.0248 0.0162 0.0417 0.0114 0.0422 0.0339 0.0088 0.0000
7.7 0.056 -0.90 0.0059 5.6115 0.0000 0.0127 0.0125 0.0322 0.0088 0.0827 0.0336 0.0047 0.0000
7.7 0.021 -0.61 0.0011 3.5269 0.0000 0.0051 0.0049 0.0126 0.0034 0.2056 0.0311 0.0020 0.0000
7.7 0.013 -0.47 0.0000 2.5187 0.0000 0.0039 0.0023 0.0058 0.0016 0.3020 0.0331 0.0016 0.0000
7.7 1.000 -1.50 0.3676 5.7885 0.0628 0.0906 0.0204 0.0528 0.0147 0.0066 0.0177 0.0374 0.0124
7.7 0.863 -1.47 0.1583 6.4223 0.0185 0.0907 0.0198 0.0510 0.0141 0.0076 0.0204 0.0358 0.0032
7.7 0.558 -1.35 0.0533 7.0953 0.0047 0.0701 0.0197 0.0507 0.0140 0.0118 0.0279 0.0260 0.0000
7.7 0.230 -1.09 0.0173 7.1967 0.0000 0.0339 0.0180 0.0464 0.0127 0.0284 0.0357 0.0120 0.0000
7.7 0.108 -0.86 0.0074 6.4698 0.0000 0.0153 0.0149 0.0383 0.0104 0.0598 0.0366 0.0057 0.0000
7.7 0.055 -0.64 0.0033 5.1980 0.0000 0.0069 0.0106 0.0272 0.0074 0.1166 0.0344 0.0028 0.0000
7.7 0.022 -0.39 0.0000 3.1400 0.0000 0.0031 0.0037 0.0094 0.0025 0.2679 0.0337 0.0014 0.0000
7.7 0.013 -0.21 0.0000 1.6308 0.0000 0.0018 0.0012 0.0030 0.0000 0.3683 0.0325 0.0000 0.0000
8.0 1.000 -4.00 2.9281 0.0781 1.0189 0.0603 0.0233 0.0597 0.0169 0.0000 0.0000 0.0415 0.1682
8.0 0.843 -4.00 3.0710 0.0901 0.8341 0.0651 0.0210 0.0538 0.0152 0.0000 0.0000 0.0405 0.1661
8.0 0.543 -3.98 3.1195 0.1193 0.7577 0.0708 0.0206 0.0526 0.0149 0.0000 0.0000 0.0405 0.1622
8.0 0.289 -3.98 3.2449 0.1448 0.7480 0.0759 0.0206 0.0528 0.0149 0.0000 0.0000 0.0420 0.1650
8.0 0.121 -3.97 3.2249 0.1513 0.7107 0.0753 0.0195 0.0499 0.0142 0.0000 0.0000 0.0411 0.1598
8.0 0.071 -3.97 3.4179 0.1596 0.7420 0.0794 0.0200 0.0512 0.0145 0.0011 0.0000 0.0432 0.1678
8.0 0.041 -3.97 3.0442 0.1405 0.6518 0.0702 0.0174 0.0447 0.0127 0.0012 0.0000 0.0382 0.1481
8.0 0.016 -3.97 2.2769 0.1064 0.4824 0.0524 0.0130 0.0337 0.0097 0.0014 0.0000 0.0284 0.1101
8.0 1.000 -3.75 3.3823 0.2792 0.8568 0.0905 0.0230 0.0590 0.0167 0.0000 0.0000 0.0483 0.1724
8.0 0.815 -3.73 3.5551 0.3344 0.6857 0.1004 0.0212 0.0542 0.0153 0.0000 0.0000 0.0481 0.1691
8.0 0.540 -3.71 3.5115 0.4326 0.6136 0.1080 0.0210 0.0536 0.0151 0.0011 0.0000 0.0485 0.1615
8.0 0.220 -3.69 3.5198 0.5336 0.5727 0.1134 0.0205 0.0525 0.0149 0.0014 0.0000 0.0492 0.1555
8.0 0.120 -3.68 3.5450 0.5503 0.5591 0.1137 0.0198 0.0508 0.0144 0.0016 0.0000 0.0490 0.1535
8.0 0.070 -3.68 3.7689 0.5841 0.5835 0.1200 0.0204 0.0522 0.0148 0.0019 0.0000 0.0516 0.1613
8.0 0.041 -3.68 3.3461 0.5142 0.5093 0.1056 0.0177 0.0454 0.0128 0.0020 0.0000 0.0454 0.1417
8.0 0.017 -3.68 2.4851 0.3877 0.3738 0.0784 0.0131 0.0339 0.0097 0.0023 0.0000 0.0336 0.1045
8.0 1.000 -3.50 3.4767 0.8363 0.6795 0.1250 0.0227 0.0583 0.0165 0.0011 0.0000 0.0547 0.1576
8.0 0.805 -3.47 3.5663 1.0160 0.5155 0.1396 0.0213 0.0544 0.0154 0.0012 0.0000 0.0554 0.1487
8.0 0.501 -3.44 3.2687 1.3251 0.4355 0.1488 0.0211 0.0540 0.0152 0.0017 0.0000 0.0557 0.1292
8.0 0.203 -3.40 3.1110 1.5762 0.3947 0.1539 0.0206 0.0528 0.0150 0.0024 0.0000 0.0562 0.1159
8.0 0.113 -3.39 3.1055 1.6218 0.3820 0.1538 0.0199 0.0510 0.0144 0.0028 0.0000 0.0559 0.1127
8.0 0.065 -3.38 3.3206 1.7410 0.4002 0.1634 0.0206 0.0528 0.0149 0.0033 0.0000 0.0594 0.1187
8.0 0.038 -3.38 2.9073 1.5204 0.3435 0.1417 0.0176 0.0451 0.0127 0.0036 0.0000 0.0514 0.1026
8.0 0.016 -3.38 2.1109 1.1241 0.2474 0.1033 0.0129 0.0332 0.0095 0.0039 0.0000 0.0374 0.0739
8.0 1.000 -3.25 2.9928 1.9330 0.5016 0.1599 0.0225 0.0575 0.0162 0.0013 0.0000 0.0606 0.1220
8.0 0.809 -3.21 2.8474 2.3424 0.3457 0.1773 0.0214 0.0546 0.0154 0.0015 0.0000 0.0618 0.1034
8.0 0.507 -3.15 2.1616 2.9263 0.2657 0.1851 0.0213 0.0545 0.0153 0.0023 0.0000 0.0616 0.0722
8.0 0.209 -3.08 1.7967 3.3370 0.2244 0.1887 0.0207 0.0530 0.0150 0.0040 0.0000 0.0617 0.0554
8.0 0.113 -3.06 1.7440 3.4514 0.2131 0.1890 0.0200 0.0513 0.0145 0.0051 0.0000 0.0616 0.0519
8.0 0.054 -3.04 1.6632 3.3825 0.1978 0.1813 0.0186 0.0477 0.0134 0.0062 0.0000 0.0590 0.0481
8.0 0.020 -3.03 1.3755 2.8165 0.1596 0.1488 0.0150 0.0386 0.0109 0.0072 0.0000 0.0485 0.0390
8.0 0.024 -3.03 1.4449 2.9491 0.1673 0.1560 0.0155 0.0397 0.0111 0.0073 0.0000 0.0508 0.0409
8.0 1.000 -3.00 2.2471 3.2783 0.3551 0.1877 0.0222 0.0569 0.0160 0.0014 0.0000 0.0653 0.0853
8.0 0.815 -2.95 1.8631 3.9143 0.2125 0.2055 0.0214 0.0548 0.0154 0.0017 0.0000 0.0666 0.0599
8.0 0.512 -2.86 1.0444 4.5426 0.1399 0.2080 0.0214 0.0546 0.0154 0.0027 0.0013 0.0652 0.0302
8.0 0.199 -2.73 0.6909 4.9860 0.1005 0.2082 0.0207 0.0530 0.0149 0.0062 0.0019 0.0643 0.0182
8.0 0.125 -2.68 0.6497 5.1289 0.0933 0.2081 0.0200 0.0513 0.0144 0.0085 0.0021 0.0643 0.0165
8.0 0.063 -2.64 0.6069 5.1851 0.0857 0.2048 0.0191 0.0490 0.0137 0.0120 0.0022 0.0633 0.0149
8.0 0.023 -2.61 0.5241 4.6683 0.0720 0.1804 0.0162 0.0414 0.0116 0.0153 0.0021 0.0558 0.0125
8.0 0.017 -2.60 0.5258 4.7088 0.0718 0.1812 0.0161 0.0411 0.0114 0.0172 0.0021 0.0561 0.0125
8.0 1.000 -2.74 1.6793 4.4937 0.2586 0.2013 0.0220 0.0565 0.0159 0.0016 0.0023 0.0671 0.0610
8.0 0.801 -2.68 1.0776 5.3159 0.1231 0.2160 0.0214 0.0546 0.0153 0.0020 0.0029 0.0676 0.0307
8.0 0.512 -2.57 0.4889 5.7473 0.0700 0.2095 0.0213 0.0545 0.0153 0.0032 0.0041 0.0639 0.0126
8.0 0.206 -2.38 0.2655 6.1951 0.0391 0.1979 0.0206 0.0526 0.0148 0.0077 0.0064 0.0593 0.0061
8.0 0.109 -2.27 0.2172 6.4306 0.0306 0.1911 0.0196 0.0503 0.0141 0.0138 0.0078 0.0570 0.0047
8.0 0.065 -2.21 0.1935 6.4537 0.0262 0.1833 0.0184 0.0472 0.0132 0.0207 0.0084 0.0546 0.0040
8.0 0.022 -2.13 0.1554 5.9168 0.0201 0.1599 0.0153 0.0392 0.0109 0.0358 0.0085 0.0477 0.0031
8.0 0.015 -2.11 0.1372 5.3709 0.0176 0.1435 0.0134 0.0344 0.0096 0.0407 0.0079 0.0429 0.0027
8.0 1.000 -2.49 1.3111 5.5691 0.2007 0.2020 0.0218 0.0560 0.0157 0.0020 0.0051 0.0661 0.0462
8.0 0.808 -2.42 0.6928 6.4360 0.0797 0.2116 0.0213 0.0544 0.0152 0.0025 0.0062 0.0655 0.0179
8.0 0.504 -2.30 0.2645 6.7578 0.0370 0.1929 0.0212 0.0542 0.0152 0.0040 0.0089 0.0581 0.0061
8.0 0.201 -2.06 0.1223 7.2188 0.0150 0.1604 0.0203 0.0520 0.0146 0.0099 0.0141 0.0469 0.0024
8.0 0.109 -1.91 0.0887 7.4679 0.0093 0.1409 0.0191 0.0490 0.0137 0.0181 0.0173 0.0406 0.0016
8.0 0.050 -1.76 0.0650 7.4717 0.0056 0.1191 0.0168 0.0431 0.0120 0.0375 0.0200 0.0337 0.0010
8.0 0.020 -1.64 0.0467 6.6490 0.0037 0.0948 0.0126 0.0322 0.0089 0.0724 0.0201 0.0265 0.0000
8.0 0.015 -1.60 0.0438 6.5461 0.0033 0.0917 0.0115 0.0294 0.0081 0.0915 0.0204 0.0259 0.0000
8.0 1.000 -2.24 1.0753 6.5061 0.1668 0.1968 0.0217 0.0557 0.0156 0.0026 0.0082 0.0642 0.0372
8.0 0.808 -2.18 0.4763 7.4037 0.0554 0.2012 0.0211 0.0540 0.0151 0.0033 0.0101 0.0622 0.0113
8.0 0.509 -2.05 0.1724 7.6075 0.0223 0.1715 0.0209 0.0536 0.0150 0.0052 0.0141 0.0515 0.0036
8.0 0.226 -1.83 0.0793 8.0752 0.0081 0.1306 0.0202 0.0519 0.0145 0.0115 0.0208 0.0380 0.0014
8.0 0.110 -1.63 0.0482 8.3680 0.0035 0.0979 0.0185 0.0476 0.0132 0.0235 0.0260 0.0279 0.0000
8.0 0.052 -1.45 0.0315 8.3817 0.0000 0.0722 0.0159 0.0409 0.0113 0.0485 0.0299 0.0203 0.0000
8.0 0.021 -1.25 0.0192 7.4138 0.0000 0.0497 0.0106 0.0273 0.0075 0.1088 0.0311 0.0138 0.0000
8.0 0.012 -1.15 0.0144 6.5307 0.0000 0.0417 0.0072 0.0186 0.0051 0.1661 0.0313 0.0116 0.0000
8.0 1.000 -1.99 0.8927 7.4740 0.1426 0.1881 0.0215 0.0552 0.0154 0.0036 0.0121 0.0614 0.0306
8.0 0.809 -1.93 0.3408 8.4082 0.0397 0.1875 0.0209 0.0536 0.0149 0.0045 0.0148 0.0582 0.0075
8.0 0.502 -1.79 0.1160 8.5586 0.0132 0.1476 0.0206 0.0528 0.0148 0.0072 0.0204 0.0442 0.0021
8.0 0.211 -1.54 0.0476 8.9316 0.0035 0.0946 0.0194 0.0498 0.0139 0.0170 0.0287 0.0273 0.0000
8.0 0.106 -1.34 0.0275 9.0538 0.0000 0.0628 0.0174 0.0447 0.0124 0.0335 0.0337 0.0181 0.0000
8.0 0.056 -1.16 0.0170 8.7869 0.0000 0.0414 0.0146 0.0375 0.0103 0.0632 0.0370 0.0120 0.0000
8.0 0.021 -0.90 0.0079 7.1354 0.0000 0.0225 0.0079 0.0202 0.0055 0.1589 0.0388 0.0066 0.0000
8.0 0.013 -0.77 0.0050 5.8561 0.0000 0.0181 0.0042 0.0107 0.0029 0.2462 0.0416 0.0053 0.0000
8.0 1.000 -1.74 0.7584 8.4205 0.1258 0.1774 0.0212 0.0547 0.0153 0.0050 0.0164 0.0582 0.0260
8.0 0.803 -1.68 0.2468 9.4232 0.0286 0.1714 0.0207 0.0530 0.0148 0.0062 0.0202 0.0534 0.0050
8.0 0.513 -1.55 0.0883 9.5757 0.0088 0.1284 0.0203 0.0520 0.0145 0.0098 0.0267 0.0383 0.0014
8.0 0.204 -1.28 0.0311 9.6747 0.0000 0.0676 0.0185 0.0474 0.0132 0.0243 0.0355 0.0196 0.0000
8.0 0.103 -1.07 0.0170 9.5058 0.0000 0.0399 0.0161 0.0414 0.0114 0.0477 0.0398 0.0118 0.0000
8.0 0.052 -0.87 0.0092 8.6230 0.0000 0.0222 0.0125 0.0320 0.0088 0.0931 0.0418 0.0069 0.0000
8.0 0.021 -0.61 0.0037 6.1122 0.0000 0.0109 0.0052 0.0134 0.0036 0.2158 0.0432 0.0035 0.0000
8.0 0.013 -0.47 0.0011 4.4720 0.0000 0.0085 0.0023 0.0058 0.0016 0.3185 0.0478 0.0028 0.0000
8.0 1.000 -1.49 0.6559 9.3523 0.1135 0.1654 0.0210 0.0541 0.0151 0.0070 0.0212 0.0547 0.0226
8.0 0.805 -1.43 0.1938 10.4265 0.0223 0.1556 0.0204 0.0524 0.0146 0.0086 0.0259 0.0489 0.0036
8.0 0.513 -1.30 0.0679 10.6615 0.0058 0.1092 0.0199 0.0511 0.0142 0.0136 0.0336 0.0326 0.0000
8.0 0.213 -1.04 0.0237 10.5960 0.0000 0.0522 0.0180 0.0461 0.0127 0.0324 0.0419 0.0153 0.0000
8.0 0.105 -0.83 0.0113 9.7881 0.0000 0.0259 0.0149 0.0382 0.0105 0.0651 0.0443 0.0080 0.0000
8.0 0.054 -0.62 0.0057 8.2841 0.0000 0.0130 0.0107 0.0275 0.0075 0.1244 0.0446 0.0044 0.0000
8.0 0.020 -0.35 0.0000 4.6859 0.0000 0.0058 0.0027 0.0069 0.0019 0.2959 0.0465 0.0021 0.0000
8.0 0.013 -0.21 0.0000 2.9656 0.0000 0.0041 0.0012 0.0030 0.0000 0.3890 0.0484 0.0015 0.0000
8.3 1.000 -4.00 2.4576 0.0477 1.2804 0.0685 0.0223 0.0574 0.0163 0.0000 0.0000 0.0607 0.6311
8.3 0.824 -3.99 2.3886 0.0555 1.0135 0.0715 0.0204 0.0524 0.0149 0.0000 0.0000 0.0562 0.5914
8.3 0.512 -3.98 2.2183 0.0711 0.8883 0.0745 0.0200 0.0516 0.0147 0.0000 0.0000 0.0541 0.5508
8.3 0.207 -3.97 2.3865 0.0882 0.8790 0.0798 0.0196 0.0505 0.0144 0.0000 0.0000 0.0565 0.5637
8.3 0.138 -3.97 2.4745 0.0923 0.8849 0.0815 0.0191 0.0493 0.0140 0.0000 0.0000 0.0575 0.5721
8.3 0.079 -3.97 2.7643 0.1027 0.9609 0.0892 0.0201 0.0517 0.0147 0.0000 0.0000 0.0630 0.6255
8.3 0.046 -3.97 2.4974 0.0917 0.8447 0.0789 0.0173 0.0447 0.0127 0.0000 0.0000 0.0557 0.5531
8.3 0.017 -3.97 2.1279 0.0787 0.7095 0.0668 0.0142 0.0366 0.0103 0.0000 0.0000 0.0471 0.4667
8.3 1.000 -3.74 3.0717 0.1811 1.1442 0.1083 0.0225 0.0578 0.0164 0.0000 0.0000 0.0741 0.6871
8.3 0.825 -3.72 2.9830 0.2124 0.8971 0.1155 0.0210 0.0539 0.0153 0.0000 0.0000 0.0706 0.6430
8.3 0.557 -3.71 2.7509 0.2656 0.7803 0.1200 0.0208 0.0534 0.0152 0.0000 0.0000 0.0685 0.5942
8.3 0.207 -3.69 2.8860 0.3415 0.7450 0.1285 0.0203 0.0523 0.0149 0.0000 0.0000 0.0710 0.5898
8.3 0.138 -3.68 2.9715 0.3571 0.7446 0.1306 0.0198 0.0509 0.0145 0.0000 0.0000 0.0720 0.5944
8.3 0.078 -3.68 3.2997 0.3969 0.8035 0.1424 0.0208 0.0534 0.0152 0.0000 0.0000 0.0785 0.6462
8.3 0.046 -3.68 2.9611 0.3534 0.7012 0.1252 0.0178 0.0460 0.0131 0.0000 0.0000 0.0690 0.5678
8.3 0.016 -3.68 2.5091 0.3028 0.5856 0.1056 0.0146 0.0376 0.0106 0.0000 0.0000 0.0581 0.4763
8.3 1.000 -3.48 3.4315 0.5843 0.9462 0.1562 0.0225 0.0578 0.0164 0.0000 0.0000 0.0866 0.6738
8.3 0.811 -3.46 3.2469 0.6997 0.7023 0.1682 0.0214 0.0549 0.0155 0.0000 0.0000 0.0837 0.6099
8.3 0.533 -3.43 2.8413 0.8734 0.5854 0.1731 0.0212 0.0545 0.0155 0.0000 0.0000 0.0812 0.5294
8.3 0.246 -3.40 2.8026 1.0582 0.5426 0.1805 0.0208 0.0534 0.0152 0.0000 0.0000 0.0827 0.4944
8.3 0.133 -3.39 2.8816 1.1346 0.5334 0.1836 0.0201 0.0517 0.0147 0.0000 0.0000 0.0838 0.4891
8.3 0.075 -3.38 3.1976 1.2694 0.5753 0.2008 0.0212 0.0545 0.0155 0.0000 0.0000 0.0916 0.5303
8.3 0.044 -3.38 2.8306 1.1224 0.4947 0.1744 0.0180 0.0464 0.0132 0.0000 0.0000 0.0796 0.4589
8.3 0.016 -3.38 2.3745 0.9562 0.4100 0.1462 0.0147 0.0379 0.0107 0.0000 0.0000 0.0666 0.3810
8.3 1.000 -3.22 3.2080 1.5252 0.7012 0.2064 0.0225 0.0577 0.0163 0.0000 0.0000 0.0971 0.5515
8.3 0.804 -3.18 2.7497 1.8344 0.4621 0.2203 0.0216 0.0554 0.0157 0.0000 0.0000 0.0939 0.4434
8.3 0.510 -3.13 2.0181 2.1949 0.3497 0.2206 0.0215 0.0552 0.0156 0.0000 0.0000 0.0895 0.3163
8.3 0.216 -3.07 1.7995 2.5642 0.3070 0.2276 0.0211 0.0541 0.0154 0.0000 0.0000 0.0908 0.2608
8.3 0.133 -3.05 1.7705 2.6595 0.2947 0.2274 0.0204 0.0524 0.0149 0.0000 0.0000 0.0906 0.2477
8.3 0.063 -3.03 1.7354 2.6915 0.2790 0.2221 0.0191 0.0493 0.0140 0.0000 0.0000 0.0885 0.2336
8.3 0.023 -3.02 1.4941 2.3375 0.2324 0.1880 0.0158 0.0410 0.0117 0.0000 0.0000 0.0751 0.1951
8.3 0.027 -3.02 1.5627 2.4408 0.2431 0.1966 0.0163 0.0419 0.0118 0.0000 0.0000 0.0785 0.2041
8.3 1.000 -2.96 2.5846 2.7845 0.4930 0.2455 0.0224 0.0575 0.0163 0.0000 0.0000 0.1047 0.3978
8.3 0.818 -2.91 1.8810 3.2608 0.2789 0.2567 0.0217 0.0557 0.0158 0.0000 0.0000 0.1008 0.2620
8.3 0.498 -2.81 0.9933 3.6159 0.1765 0.2485 0.0216 0.0555 0.0157 0.0000 0.0000 0.0938 0.1327
8.3 0.221 -2.71 0.7861 4.1058 0.1444 0.2595 0.0218 0.0560 0.0159 0.0000 0.0000 0.0971 0.0966
8.3 0.100 -2.65 0.7263 4.3522 0.1299 0.2607 0.0209 0.0538 0.0153 0.0000 0.0012 0.0976 0.0838
8.3 0.055 -2.62 0.6642 4.1895 0.1163 0.2442 0.0191 0.0492 0.0139 0.0000 0.0012 0.0916 0.0742
8.3 0.027 -2.60 0.6126 3.9633 0.1052 0.2267 0.0173 0.0445 0.0126 0.0000 0.0012 0.0852 0.0669
8.3 0.013 -2.59 0.4642 3.0472 0.0786 0.1717 0.0129 0.0332 0.0094 0.0000 0.0000 0.0647 0.0498
8.3 1.000 -2.69 2.0290 4.0065 0.3543 0.2688 0.0223 0.0573 0.0162 0.0000 0.0014 0.1098 0.2868
8.3 0.805 -2.63 1.0880 4.5736 0.1566 0.2731 0.0218 0.0558 0.0157 0.0000 0.0018 0.1039 0.1327
