#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, f_abs: 0.01 - 1.0
# SED: BPASS v.2.1 (Eldridge et al 2017), alpha(IMF) = -1.35, M_up = 300, age = 4 Myr, Z_* = Z_g
# Spherical geometry
#
12+log(O/H) f_abs log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 HeI_4471 HeI_5876 HeI_6678 HeII_4686 ArIV_4740 ArIII_7135 NII_6584
7.1 0.195 -2.42 0.0602 1.7231 0.0072 0.0379 0.0195 0.0503 0.0139 0.0043 0.0031 0.0142 0.0011
7.1 0.103 -2.30 0.0471 1.7920 0.0054 0.0360 0.0188 0.0484 0.0133 0.0078 0.0038 0.0133 0.0000
7.1 0.051 -2.20 0.0381 1.7571 0.0042 0.0328 0.0172 0.0445 0.0122 0.0145 0.0041 0.0120 0.0000
7.1 0.021 -2.13 0.0299 1.5673 0.0031 0.0278 0.0145 0.0373 0.0102 0.0271 0.0039 0.0101 0.0000
7.1 0.013 -2.10 0.0229 1.2582 0.0023 0.0219 0.0113 0.0292 0.0080 0.0383 0.0033 0.0079 0.0000
7.1 1.000 -2.53 0.2185 1.2444 0.0327 0.0330 0.0208 0.0534 0.0149 0.0012 0.0020 0.0136 0.0071
7.1 0.832 -2.49 0.1498 1.4580 0.0157 0.0361 0.0200 0.0513 0.0142 0.0014 0.0024 0.0141 0.0036
7.1 0.517 -2.37 0.0672 1.7621 0.0079 0.0365 0.0200 0.0513 0.0142 0.0022 0.0036 0.0138 0.0012
7.1 0.229 -2.17 0.0348 2.0526 0.0037 0.0329 0.0194 0.0501 0.0137 0.0049 0.0058 0.0117 0.0000
7.1 0.112 -2.00 0.0235 2.2176 0.0012 0.0286 0.0187 0.0484 0.0132 0.0097 0.0075 0.0098 0.0000
7.1 0.052 -1.83 0.0159 2.1986 0.0000 0.0230 0.0167 0.0434 0.0118 0.0203 0.0085 0.0075 0.0000
7.1 0.021 -1.68 0.0109 1.9556 0.0000 0.0173 0.0134 0.0347 0.0093 0.0463 0.0083 0.0055 0.0000
7.1 0.013 -1.60 0.0078 1.5476 0.0000 0.0129 0.0099 0.0256 0.0069 0.0721 0.0069 0.0040 0.0000
7.1 1.000 -2.28 0.1751 1.4393 0.0271 0.0315 0.0205 0.0528 0.0146 0.0016 0.0031 0.0128 0.0057
7.1 0.855 -2.24 0.1128 1.6469 0.0121 0.0338 0.0197 0.0508 0.0140 0.0019 0.0036 0.0131 0.0026
7.1 0.538 -2.13 0.0459 1.9845 0.0051 0.0328 0.0197 0.0508 0.0140 0.0029 0.0054 0.0121 0.0000
7.1 0.214 -1.89 0.0206 2.3772 0.0010 0.0261 0.0191 0.0495 0.0135 0.0072 0.0089 0.0088 0.0000
7.1 0.108 -1.71 0.0129 2.5132 0.0000 0.0199 0.0179 0.0465 0.0126 0.0140 0.0108 0.0064 0.0000
7.1 0.059 -1.55 0.0090 2.5620 0.0000 0.0153 0.0166 0.0431 0.0116 0.0251 0.0120 0.0047 0.0000
7.1 0.023 -1.33 0.0052 2.3522 0.0000 0.0096 0.0133 0.0346 0.0092 0.0606 0.0121 0.0029 0.0000
7.1 0.013 -1.19 0.0036 2.0206 0.0000 0.0069 0.0099 0.0259 0.0069 0.1165 0.0111 0.0021 0.0000
7.1 1.000 -2.08 0.1495 1.5745 0.0238 0.0298 0.0202 0.0522 0.0145 0.0021 0.0040 0.0121 0.0049
7.1 0.790 -2.03 0.0682 1.8737 0.0076 0.0316 0.0195 0.0503 0.0138 0.0026 0.0050 0.0121 0.0014
7.1 0.500 -1.92 0.0313 2.1976 0.0033 0.0289 0.0194 0.0502 0.0138 0.0041 0.0072 0.0104 0.0000
7.1 0.210 -1.69 0.0150 2.6055 0.0000 0.0216 0.0189 0.0490 0.0133 0.0097 0.0110 0.0071 0.0000
7.1 0.101 -1.49 0.0086 2.7242 0.0000 0.0145 0.0173 0.0451 0.0121 0.0196 0.0130 0.0045 0.0000
7.1 0.054 -1.31 0.0055 2.7029 0.0000 0.0098 0.0156 0.0407 0.0109 0.0359 0.0138 0.0030 0.0000
7.1 0.021 -1.05 0.0028 2.3748 0.0000 0.0050 0.0118 0.0308 0.0082 0.0889 0.0133 0.0015 0.0000
7.1 0.012 -0.89 0.0011 2.1269 0.0000 0.0035 0.0088 0.0230 0.0061 0.1759 0.0131 0.0011 0.0000
7.1 1.000 -1.78 0.1199 1.7624 0.0201 0.0269 0.0198 0.0513 0.0142 0.0032 0.0054 0.0109 0.0040
7.1 0.852 -1.74 0.0591 2.0013 0.0068 0.0279 0.0192 0.0495 0.0136 0.0038 0.0063 0.0107 0.0012
7.1 0.538 -1.63 0.0230 2.3948 0.0013 0.0243 0.0190 0.0493 0.0135 0.0060 0.0091 0.0087 0.0000
7.1 0.230 -1.41 0.0102 2.8262 0.0000 0.0161 0.0182 0.0473 0.0128 0.0138 0.0133 0.0051 0.0000
7.1 0.114 -1.21 0.0059 2.9842 0.0000 0.0101 0.0170 0.0442 0.0118 0.0274 0.0154 0.0031 0.0000
7.1 0.055 -0.98 0.0030 2.7854 0.0000 0.0051 0.0143 0.0374 0.0099 0.0556 0.0155 0.0016 0.0000
7.1 0.023 -0.71 0.0000 2.3861 0.0000 0.0021 0.0106 0.0278 0.0073 0.1304 0.0146 0.0000 0.0000
7.1 0.014 -0.56 0.0000 2.3022 0.0000 0.0014 0.0087 0.0226 0.0059 0.2424 0.0158 0.0000 0.0000
7.1 1.000 -1.53 0.1023 1.8977 0.0178 0.0244 0.0195 0.0505 0.0139 0.0047 0.0065 0.0099 0.0034
7.1 0.850 -1.49 0.0448 2.1496 0.0054 0.0248 0.0188 0.0487 0.0134 0.0055 0.0076 0.0095 0.0000
7.1 0.539 -1.39 0.0174 2.5761 0.0000 0.0205 0.0187 0.0485 0.0132 0.0086 0.0109 0.0072 0.0000
7.1 0.222 -1.15 0.0074 3.0695 0.0000 0.0122 0.0178 0.0463 0.0124 0.0207 0.0154 0.0038 0.0000
7.1 0.109 -0.94 0.0038 3.0766 0.0000 0.0065 0.0159 0.0415 0.0110 0.0413 0.0168 0.0020 0.0000
7.1 0.053 -0.72 0.0011 2.7830 0.0000 0.0028 0.0132 0.0345 0.0091 0.0827 0.0163 0.0000 0.0000
7.1 0.022 -0.47 0.0000 2.4867 0.0000 0.0012 0.0103 0.0269 0.0070 0.1896 0.0164 0.0000 0.0000
7.1 0.013 -0.28 0.0000 2.0940 0.0000 0.0000 0.0066 0.0171 0.0045 0.3724 0.0170 0.0000 0.0000
7.4 1.000 -4.01 1.0246 0.0317 0.3033 0.0186 0.0233 0.0595 0.0168 0.0000 0.0000 0.0127 0.0512
7.4 0.810 -4.00 1.1074 0.0380 0.2464 0.0206 0.0207 0.0530 0.0149 0.0000 0.0000 0.0125 0.0513
7.4 0.549 -3.99 1.1704 0.0495 0.2332 0.0227 0.0204 0.0521 0.0147 0.0000 0.0000 0.0129 0.0517
7.4 0.207 -3.97 1.1984 0.0619 0.2209 0.0241 0.0198 0.0507 0.0143 0.0000 0.0000 0.0131 0.0511
7.4 0.114 -3.97 1.1823 0.0620 0.2141 0.0239 0.0191 0.0489 0.0138 0.0000 0.0000 0.0129 0.0500
7.4 0.068 -3.97 1.2206 0.0637 0.2192 0.0247 0.0194 0.0495 0.0140 0.0011 0.0000 0.0133 0.0514
7.4 0.039 -3.97 1.0758 0.0555 0.1919 0.0217 0.0170 0.0434 0.0122 0.0013 0.0000 0.0117 0.0452
7.4 0.016 -3.97 0.7834 0.0409 0.1388 0.0159 0.0124 0.0320 0.0091 0.0019 0.0000 0.0085 0.0328
7.4 1.000 -3.75 1.1772 0.1137 0.2525 0.0278 0.0228 0.0584 0.0165 0.0000 0.0000 0.0147 0.0519
7.4 0.802 -3.73 1.2753 0.1385 0.2033 0.0314 0.0208 0.0532 0.0150 0.0000 0.0000 0.0149 0.0519
7.4 0.546 -3.72 1.3188 0.1796 0.1880 0.0345 0.0206 0.0526 0.0148 0.0000 0.0000 0.0155 0.0511
7.4 0.201 -3.69 1.3227 0.2261 0.1739 0.0366 0.0200 0.0513 0.0145 0.0012 0.0000 0.0157 0.0488
7.4 0.113 -3.68 1.3025 0.2271 0.1677 0.0361 0.0193 0.0495 0.0139 0.0015 0.0000 0.0155 0.0475
7.4 0.067 -3.68 1.3470 0.2345 0.1714 0.0373 0.0196 0.0501 0.0141 0.0018 0.0000 0.0159 0.0489
