#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, T*: 30 - 60 kK
# SED: black body 
#spherical geometry
#
12+log(O/H) Teff log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 HeI_4471 HeI_5876 HeI_6678 HeII_4686 ArIV_4740 ArIII_7135 NII_6584
7.1000 37500.0000 -3.7500 0.6062 0.0051 0.1373 0.0092 0.0184 0.0471 0.0133 0.0000 0.0000 0.0064 0.0266
7.1000 37500.0000 -4.0000 0.4989 0.0014 0.1502 0.0057 0.0170 0.0435 0.0123 0.0000 0.0000 0.0050 0.0244
7.1000 40000.0000 -1.5100 0.2664 1.5927 0.0151 0.0443 0.0210 0.0545 0.0151 0.0000 0.0018 0.0176 0.0047
7.1000 40000.0000 -1.7600 0.3261 1.4275 0.0178 0.0446 0.0211 0.0547 0.0152 0.0000 0.0012 0.0177 0.0058
7.1000 40000.0000 -2.0300 0.4045 1.2406 0.0218 0.0440 0.0212 0.0548 0.0152 0.0000 0.0000 0.0174 0.0074
7.1000 40000.0000 -2.2800 0.4954 1.0450 0.0272 0.0426 0.0213 0.0548 0.0153 0.0000 0.0000 0.0169 0.0094
7.1000 40000.0000 -2.5300 0.6041 0.8177 0.0353 0.0398 0.0213 0.0547 0.0153 0.0000 0.0000 0.0160 0.0122
7.1000 40000.0000 -2.7900 0.7261 0.5526 0.0475 0.0353 0.0212 0.0545 0.0152 0.0000 0.0000 0.0146 0.0161
7.1000 40000.0000 -3.0200 0.8288 0.2878 0.0650 0.0294 0.0211 0.0541 0.0151 0.0000 0.0000 0.0127 0.0209
7.1000 40000.0000 -3.2700 0.8357 0.1002 0.0888 0.0223 0.0208 0.0532 0.0150 0.0000 0.0000 0.0106 0.0260
7.1000 40000.0000 -3.5100 0.7403 0.0286 0.1135 0.0157 0.0203 0.0519 0.0146 0.0000 0.0000 0.0088 0.0280
7.1000 40000.0000 -3.7500 0.6199 0.0077 0.1343 0.0103 0.0194 0.0498 0.0141 0.0000 0.0000 0.0071 0.0269
7.1000 40000.0000 -4.0000 0.5110 0.0021 0.1495 0.0064 0.0183 0.0468 0.0132 0.0000 0.0000 0.0056 0.0248
7.1000 45000.0000 -1.5000 0.1964 1.7439 0.0153 0.0410 0.0208 0.0539 0.0149 0.0027 0.0030 0.0162 0.0041
7.1000 45000.0000 -1.7600 0.2392 1.5888 0.0175 0.0422 0.0210 0.0543 0.0151 0.0019 0.0021 0.0167 0.0049
7.1000 45000.0000 -2.0100 0.2954 1.4157 0.0208 0.0427 0.0211 0.0546 0.0152 0.0013 0.0014 0.0169 0.0061
7.1000 45000.0000 -2.2700 0.3685 1.2203 0.0256 0.0422 0.0213 0.0548 0.0152 0.0000 0.0000 0.0168 0.0077
7.1000 45000.0000 -2.5300 0.4597 0.9973 0.0323 0.0404 0.0214 0.0549 0.0153 0.0000 0.0000 0.0163 0.0099
7.1000 45000.0000 -2.7700 0.5724 0.7348 0.0424 0.0369 0.0214 0.0550 0.0154 0.0000 0.0000 0.0152 0.0131
7.1000 45000.0000 -3.0200 0.7063 0.4339 0.0584 0.0313 0.0215 0.0550 0.0154 0.0000 0.0000 0.0135 0.0178
7.1000 45000.0000 -3.2600 0.7888 0.1825 0.0805 0.0246 0.0214 0.0548 0.0154 0.0000 0.0000 0.0116 0.0235
7.1000 45000.0000 -3.5000 0.7468 0.0555 0.1062 0.0178 0.0212 0.0544 0.0153 0.0000 0.0000 0.0097 0.0273
7.1000 45000.0000 -3.7600 0.6380 0.0148 0.1303 0.0120 0.0208 0.0534 0.0151 0.0000 0.0000 0.0080 0.0273
7.1000 45000.0000 -4.0100 0.5294 0.0040 0.1488 0.0077 0.0202 0.0516 0.0146 0.0000 0.0000 0.0066 0.0255
7.1000 50000.0000 -1.5000 0.1573 1.8241 0.0158 0.0371 0.0203 0.0528 0.0146 0.0067 0.0041 0.0146 0.0037
7.1000 50000.0000 -1.7900 0.1968 1.6552 0.0184 0.0393 0.0207 0.0536 0.0149 0.0045 0.0030 0.0155 0.0046
7.1000 50000.0000 -2.0500 0.2428 1.4882 0.0215 0.0404 0.0209 0.0541 0.0150 0.0032 0.0021 0.0160 0.0056
7.1000 50000.0000 -2.2700 0.2918 1.3321 0.0250 0.0407 0.0211 0.0544 0.0151 0.0025 0.0014 0.0162 0.0067
7.1000 50000.0000 -2.5300 0.3681 1.1140 0.0312 0.0398 0.0213 0.0548 0.0153 0.0019 0.0000 0.0160 0.0087
7.1000 50000.0000 -2.7700 0.4666 0.8578 0.0403 0.0372 0.0214 0.0550 0.0154 0.0015 0.0000 0.0153 0.0114
7.1000 50000.0000 -3.0200 0.6018 0.5486 0.0552 0.0323 0.0216 0.0553 0.0155 0.0013 0.0000 0.0139 0.0157
7.1000 50000.0000 -3.2600 0.7256 0.2583 0.0769 0.0258 0.0217 0.0556 0.0156 0.0012 0.0000 0.0121 0.0217
7.1000 50000.0000 -3.5100 0.7343 0.0866 0.1026 0.0191 0.0218 0.0557 0.0157 0.0011 0.0000 0.0104 0.0264
7.1000 50000.0000 -3.7600 0.6467 0.0239 0.1281 0.0132 0.0217 0.0556 0.0157 0.0000 0.0000 0.0087 0.0274
7.1000 50000.0000 -4.0100 0.5417 0.0066 0.1494 0.0086 0.0214 0.0549 0.0155 0.0000 0.0000 0.0073 0.0260
7.1000 55000.0000 -1.5000 0.1350 1.8401 0.0164 0.0334 0.0198 0.0513 0.0142 0.0133 0.0050 0.0131 0.0035
7.1000 55000.0000 -1.7500 0.1616 1.7166 0.0184 0.0357 0.0202 0.0522 0.0145 0.0099 0.0040 0.0141 0.0042
7.1000 55000.0000 -2.0700 0.2066 1.5326 0.0220 0.0379 0.0206 0.0532 0.0148 0.0068 0.0028 0.0150 0.0052
7.1000 55000.0000 -2.2700 0.2453 1.3943 0.0252 0.0386 0.0208 0.0537 0.0149 0.0054 0.0020 0.0154 0.0062
7.1000 55000.0000 -2.5200 0.3092 1.1883 0.0310 0.0386 0.0211 0.0543 0.0151 0.0041 0.0012 0.0155 0.0079
7.1000 55000.0000 -2.7700 0.3959 0.9375 0.0397 0.0368 0.0213 0.0547 0.0153 0.0034 0.0000 0.0152 0.0104
7.1000 55000.0000 -3.0200 0.5212 0.6351 0.0538 0.0327 0.0216 0.0553 0.0155 0.0030 0.0000 0.0141 0.0143
7.1000 55000.0000 -3.2600 0.6608 0.3319 0.0746 0.0267 0.0218 0.0558 0.0157 0.0027 0.0000 0.0125 0.0201
7.1000 55000.0000 -3.5100 0.7129 0.1192 0.1010 0.0200 0.0221 0.0565 0.0159 0.0024 0.0000 0.0108 0.0256
7.1000 55000.0000 -3.7600 0.6484 0.0343 0.1276 0.0140 0.0223 0.0570 0.0161 0.0019 0.0000 0.0092 0.0274
7.1000 55000.0000 -4.0100 0.5491 0.0095 0.1508 0.0093 0.0224 0.0572 0.0162 0.0013 0.0000 0.0078 0.0264
7.1000 60000.0000 -1.5000 0.1206 1.8073 0.0170 0.0301 0.0190 0.0493 0.0136 0.0231 0.0057 0.0119 0.0034
7.1000 60000.0000 -1.7600 0.1438 1.7054 0.0191 0.0326 0.0196 0.0506 0.0140 0.0175 0.0047 0.0129 0.0040
7.1000 60000.0000 -2.0800 0.1837 1.5388 0.0227 0.0353 0.0202 0.0520 0.0144 0.0123 0.0033 0.0140 0.0051
7.1000 60000.0000 -2.2700 0.2152 1.4196 0.0257 0.0364 0.0204 0.0527 0.0146 0.0100 0.0026 0.0145 0.0059
7.1000 60000.0000 -2.5200 0.2702 1.2299 0.0313 0.0370 0.0208 0.0535 0.0149 0.0078 0.0016 0.0149 0.0074
7.1000 60000.0000 -2.7700 0.3476 0.9892 0.0397 0.0360 0.0211 0.0542 0.0151 0.0064 0.0000 0.0148 0.0097
7.1000 60000.0000 -3.0100 0.4587 0.7045 0.0530 0.0327 0.0214 0.0549 0.0154 0.0057 0.0000 0.0141 0.0133
7.1000 60000.0000 -3.2600 0.6066 0.3867 0.0742 0.0270 0.0218 0.0558 0.0157 0.0053 0.0000 0.0127 0.0191
7.1000 60000.0000 -3.5000 0.6868 0.1563 0.0997 0.0207 0.0222 0.0568 0.0160 0.0047 0.0000 0.0111 0.0248
7.1000 60000.0000 -3.7600 0.6455 0.0452 0.1281 0.0146 0.0227 0.0580 0.0164 0.0037 0.0000 0.0096 0.0273
7.1000 60000.0000 -4.0100 0.5533 0.0127 0.1529 0.0099 0.0230 0.0590 0.0167 0.0026 0.0000 0.0082 0.0267
7.1000 70000.0000 -1.5300 0.1066 1.6109 0.0179 0.0253 0.0172 0.0444 0.0123 0.0501 0.0062 0.0101 0.0034
7.1000 70000.0000 -1.7800 0.1256 1.5687 0.0203 0.0278 0.0180 0.0465 0.0129 0.0400 0.0053 0.0111 0.0040
7.1000 70000.0000 -2.1000 0.1583 1.4636 0.0241 0.0308 0.0189 0.0487 0.0135 0.0300 0.0041 0.0123 0.0049
7.1000 70000.0000 -2.2800 0.1840 1.3750 0.0271 0.0323 0.0194 0.0499 0.0139 0.0253 0.0033 0.0130 0.0057
7.1000 70000.0000 -2.5300 0.2290 1.2240 0.0327 0.0336 0.0199 0.0512 0.0142 0.0206 0.0023 0.0136 0.0071
7.1000 70000.0000 -2.7800 0.2928 1.0224 0.0411 0.0338 0.0204 0.0523 0.0146 0.0174 0.0013 0.0140 0.0091
7.1000 70000.0000 -3.0200 0.3869 0.7669 0.0541 0.0318 0.0209 0.0535 0.0150 0.0157 0.0000 0.0138 0.0124
7.1000 70000.0000 -3.2700 0.5263 0.4624 0.0753 0.0270 0.0214 0.0549 0.0154 0.0146 0.0000 0.0128 0.0178
7.1000 70000.0000 -3.5000 0.6347 0.2115 0.1012 0.0212 0.0221 0.0566 0.0159 0.0131 0.0000 0.0114 0.0237
7.1000 70000.0000 -3.7600 0.6331 0.0662 0.1310 0.0152 0.0230 0.0588 0.0166 0.0103 0.0000 0.0100 0.0272
7.1000 70000.0000 -4.0100 0.5548 0.0189 0.1586 0.0105 0.0240 0.0613 0.0173 0.0074 0.0000 0.0088 0.0272
7.1000 80000.0000 -1.5500 0.0993 1.3334 0.0184 0.0219 0.0150 0.0385 0.0107 0.0860 0.0059 0.0088 0.0034
7.1000 80000.0000 -1.8000 0.1164 1.3485 0.0210 0.0242 0.0160 0.0413 0.0114 0.0716 0.0054 0.0098 0.0040
7.1000 80000.0000 -2.1100 0.1456 1.3107 0.0250 0.0273 0.0172 0.0443 0.0123 0.0563 0.0044 0.0110 0.0049
7.1000 80000.0000 -2.3000 0.1683 1.2583 0.0283 0.0289 0.0179 0.0459 0.0128 0.0489 0.0038 0.0117 0.0056
7.1000 80000.0000 -2.5400 0.2080 1.1524 0.0339 0.0306 0.0186 0.0478 0.0133 0.0411 0.0028 0.0125 0.0070
7.1000 80000.0000 -2.7900 0.2642 0.9995 0.0425 0.0315 0.0193 0.0495 0.0138 0.0356 0.0017 0.0131 0.0089
7.1000 80000.0000 -3.0200 0.3470 0.7863 0.0557 0.0305 0.0199 0.0510 0.0143 0.0324 0.0000 0.0133 0.0120
7.1000 80000.0000 -3.2700 0.4746 0.5055 0.0773 0.0267 0.0207 0.0529 0.0148 0.0303 0.0000 0.0128 0.0171
7.1000 80000.0000 -3.5100 0.5928 0.2506 0.1039 0.0212 0.0216 0.0553 0.0156 0.0270 0.0000 0.0116 0.0231
7.1000 80000.0000 -3.7600 0.6174 0.0838 0.1351 0.0154 0.0229 0.0587 0.0165 0.0213 0.0000 0.0103 0.0272
7.1000 80000.0000 -4.0100 0.5519 0.0242 0.1652 0.0108 0.0244 0.0625 0.0176 0.0157 0.0000 0.0092 0.0276
7.1000 90000.0000 -1.5700 0.0943 1.0554 0.0185 0.0192 0.0125 0.0321 0.0089 0.1272 0.0053 0.0078 0.0034
7.1000 90000.0000 -1.8100 0.1105 1.1088 0.0212 0.0215 0.0138 0.0353 0.0098 0.1094 0.0051 0.0087 0.0040
7.1000 90000.0000 -2.1200 0.1378 1.1269 0.0256 0.0245 0.0152 0.0391 0.0109 0.0895 0.0044 0.0099 0.0049
7.1000 90000.0000 -2.3100 0.1591 1.1076 0.0290 0.0261 0.0160 0.0411 0.0114 0.0796 0.0039 0.0106 0.0057
7.1000 90000.0000 -2.5500 0.1959 1.0465 0.0349 0.0281 0.0170 0.0435 0.0121 0.0685 0.0031 0.0114 0.0070
7.1000 90000.0000 -2.8000 0.2474 0.9416 0.0437 0.0294 0.0178 0.0457 0.0128 0.0605 0.0021 0.0122 0.0089
7.1000 90000.0000 -3.0300 0.3224 0.7784 0.0571 0.0292 0.0186 0.0477 0.0133 0.0556 0.0000 0.0128 0.0118
7.1000 90000.0000 -3.2700 0.4406 0.5284 0.0794 0.0262 0.0196 0.0500 0.0140 0.0519 0.0000 0.0127 0.0168
7.1000 90000.0000 -3.5100 0.5617 0.2767 0.1071 0.0211 0.0208 0.0532 0.0150 0.0459 0.0000 0.0117 0.0228
7.1000 90000.0000 -3.7600 0.6028 0.0964 0.1400 0.0154 0.0226 0.0577 0.0163 0.0364 0.0000 0.0105 0.0272
7.1000 90000.0000 -4.0100 0.5469 0.0283 0.1721 0.0109 0.0246 0.0628 0.0177 0.0272 0.0000 0.0094 0.0279
7.4000 30000.0000 -1.5600 1.1594 1.4512 0.0363 0.0783 0.0211 0.0544 0.0151 0.0000 0.0000 0.0240 0.0176
7.4000 30000.0000 -1.8100 1.3321 1.1716 0.0471 0.0751 0.0210 0.0539 0.0150 0.0000 0.0000 0.0229 0.0226
7.4000 30000.0000 -2.0600 1.4914 0.9065 0.0624 0.0708 0.0205 0.0525 0.0147 0.0000 0.0000 0.0213 0.0286
7.4000 30000.0000 -2.3100 1.6305 0.6461 0.0843 0.0650 0.0192 0.0493 0.0138 0.0000 0.0000 0.0190 0.0356
7.4000 30000.0000 -2.5600 1.7239 0.4035 0.1128 0.0576 0.0176 0.0451 0.0126 0.0000 0.0000 0.0163 0.0427
7.4000 30000.0000 -2.8000 1.7302 0.1939 0.1485 0.0482 0.0161 0.0413 0.0116 0.0000 0.0000 0.0136 0.0492
7.4000 30000.0000 -3.0400 1.5905 0.0645 0.1915 0.0366 0.0151 0.0386 0.0108 0.0000 0.0000 0.0110 0.0539
7.4000 30000.0000 -3.2700 1.3720 0.0184 0.2322 0.0254 0.0143 0.0367 0.0103 0.0000 0.0000 0.0088 0.0542
7.4000 30000.0000 -3.5100 1.1533 0.0051 0.2629 0.0162 0.0136 0.0347 0.0098 0.0000 0.0000 0.0070 0.0510
7.4000 30000.0000 -3.7500 0.9651 0.0015 0.2793 0.0099 0.0125 0.0319 0.0090 0.0000 0.0000 0.0055 0.0467
7.4000 30000.0000 -4.0000 0.8004 0.0000 0.2867 0.0058 0.0110 0.0281 0.0080 0.0000 0.0000 0.0042 0.0423
7.4000 32500.0000 -1.5700 0.9220 1.8540 0.0325 0.0814 0.0213 0.0549 0.0153 0.0000 0.0000 0.0253 0.0140
7.4000 32500.0000 -1.8100 1.0888 1.5588 0.0408 0.0789 0.0213 0.0548 0.0153 0.0000 0.0000 0.0244 0.0179
7.4000 32500.0000 -2.0600 1.2616 1.2662 0.0524 0.0754 0.0212 0.0545 0.0152 0.0000 0.0000 0.0233 0.0227
7.4000 32500.0000 -2.3100 1.4365 0.9611 0.0694 0.0703 0.0209 0.0536 0.0150 0.0000 0.0000 0.0218 0.0289
7.4000 32500.0000 -2.5500 1.5880 0.6565 0.0933 0.0635 0.0202 0.0519 0.0145 0.0000 0.0000 0.0197 0.0359
7.4000 32500.0000 -2.7900 1.6811 0.3613 0.1253 0.0544 0.0193 0.0493 0.0138 0.0000 0.0000 0.0171 0.0435
7.4000 32500.0000 -3.0500 1.6275 0.1275 0.1696 0.0421 0.0182 0.0467 0.0131 0.0000 0.0000 0.0140 0.0511
7.4000 32500.0000 -3.2700 1.4432 0.0396 0.2120 0.0306 0.0174 0.0445 0.0125 0.0000 0.0000 0.0114 0.0540
7.4000 32500.0000 -3.5100 1.2224 0.0109 0.2497 0.0202 0.0164 0.0419 0.0118 0.0000 0.0000 0.0091 0.0523
7.4000 32500.0000 -3.7500 1.0217 0.0031 0.2740 0.0126 0.0150 0.0385 0.0109 0.0000 0.0000 0.0071 0.0483
7.4000 32500.0000 -4.0000 0.8454 0.0000 0.2878 0.0075 0.0134 0.0342 0.0097 0.0000 0.0000 0.0054 0.0438
7.4000 35000.0000 -1.5600 0.7358 2.1923 0.0305 0.0828 0.0213 0.0551 0.0153 0.0000 0.0000 0.0259 0.0117
7.4000 35000.0000 -1.8100 0.8814 1.8988 0.0372 0.0811 0.0214 0.0551 0.0154 0.0000 0.0000 0.0253 0.0147
7.4000 35000.0000 -2.0500 1.0458 1.5964 0.0467 0.0784 0.0214 0.0550 0.0153 0.0000 0.0000 0.0244 0.0186
7.4000 35000.0000 -2.3000 1.2291 1.2683 0.0604 0.0741 0.0213 0.0547 0.0153 0.0000 0.0000 0.0232 0.0239
7.4000 35000.0000 -2.5500 1.4150 0.9177 0.0806 0.0678 0.0211 0.0541 0.0151 0.0000 0.0000 0.0215 0.0305
7.4000 35000.0000 -2.7900 1.5736 0.5529 0.1091 0.0591 0.0207 0.0529 0.0148 0.0000 0.0000 0.0192 0.0384
7.4000 35000.0000 -3.0400 1.6236 0.2291 0.1495 0.0473 0.0200 0.0513 0.0144 0.0000 0.0000 0.0162 0.0473
7.4000 35000.0000 -3.2700 1.4950 0.0745 0.1938 0.0353 0.0193 0.0494 0.0139 0.0000 0.0000 0.0134 0.0530
7.4000 35000.0000 -3.5100 1.2761 0.0201 0.2375 0.0238 0.0183 0.0468 0.0132 0.0000 0.0000 0.0107 0.0530
7.4000 35000.0000 -3.7500 1.0699 0.0057 0.2682 0.0152 0.0170 0.0436 0.0123 0.0000 0.0000 0.0085 0.0496
7.4000 35000.0000 -4.0000 0.8841 0.0016 0.2879 0.0092 0.0154 0.0394 0.0111 0.0000 0.0000 0.0065 0.0452
7.4000 37500.0000 -1.5500 0.5935 2.4824 0.0293 0.0826 0.0214 0.0552 0.0154 0.0000 0.0015 0.0260 0.0101
7.4000 37500.0000 -1.7900 0.7181 2.1890 0.0351 0.0819 0.0214 0.0553 0.0154 0.0000 0.0000 0.0257 0.0125
7.4000 37500.0000 -2.0500 0.8714 1.8718 0.0435 0.0800 0.0215 0.0553 0.0154 0.0000 0.0000 0.0250 0.0159
7.4000 37500.0000 -2.3000 1.0465 1.5355 0.0553 0.0765 0.0215 0.0552 0.0154 0.0000 0.0000 0.0240 0.0204
7.4000 37500.0000 -2.5500 1.2408 1.1641 0.0728 0.0709 0.0214 0.0549 0.0153 0.0000 0.0000 0.0225 0.0264
7.4000 37500.0000 -2.7900 1.4387 0.7508 0.0985 0.0626 0.0212 0.0543 0.0152 0.0000 0.0000 0.0204 0.0340
7.4000 37500.0000 -3.0300 1.5706 0.3581 0.1349 0.0515 0.0209 0.0534 0.0150 0.0000 0.0000 0.0178 0.0434
7.4000 37500.0000 -3.2700 1.5147 0.1198 0.1810 0.0389 0.0203 0.0520 0.0146 0.0000 0.0000 0.0149 0.0514
7.4000 37500.0000 -3.5100 1.3186 0.0332 0.2274 0.0269 0.0195 0.0500 0.0141 0.0000 0.0000 0.0121 0.0533
7.4000 37500.0000 -3.7500 1.1107 0.0094 0.2629 0.0176 0.0185 0.0473 0.0133 0.0000 0.0000 0.0097 0.0506
7.4000 37500.0000 -4.0000 0.9181 0.0026 0.2878 0.0108 0.0170 0.0436 0.0123 0.0000 0.0000 0.0076 0.0464
7.4000 40000.0000 -1.5000 0.4783 2.7586 0.0282 0.0810 0.0213 0.0551 0.0153 0.0000 0.0024 0.0255 0.0088
7.4000 40000.0000 -1.7500 0.5826 2.4633 0.0333 0.0815 0.0214 0.0553 0.0154 0.0000 0.0016 0.0256 0.0108
7.4000 40000.0000 -2.0200 0.7191 2.1359 0.0407 0.0806 0.0215 0.0554 0.0154 0.0000 0.0000 0.0253 0.0137
7.4000 40000.0000 -2.2700 0.8771 1.8001 0.0509 0.0782 0.0215 0.0554 0.0155 0.0000 0.0000 0.0246 0.0174
7.4000 40000.0000 -2.5200 1.0681 1.4156 0.0662 0.0735 0.0215 0.0553 0.0154 0.0000 0.0000 0.0234 0.0227
7.4000 40000.0000 -2.7800 1.2881 0.9668 0.0897 0.0657 0.0214 0.0550 0.0154 0.0000 0.0000 0.0214 0.0301
7.4000 40000.0000 -3.0200 1.4826 0.5114 0.1235 0.0550 0.0213 0.0545 0.0153 0.0000 0.0000 0.0189 0.0395
7.4000 40000.0000 -3.2700 1.5128 0.1811 0.1701 0.0421 0.0209 0.0536 0.0151 0.0000 0.0000 0.0160 0.0494
7.4000 40000.0000 -3.5100 1.3565 0.0525 0.2181 0.0299 0.0204 0.0522 0.0147 0.0000 0.0000 0.0132 0.0533
7.4000 40000.0000 -3.7500 1.1439 0.0143 0.2584 0.0196 0.0195 0.0500 0.0141 0.0000 0.0000 0.0107 0.0514
7.4000 40000.0000 -4.0000 0.9464 0.0039 0.2876 0.0122 0.0183 0.0469 0.0133 0.0000 0.0000 0.0085 0.0474
7.4000 45000.0000 -1.5000 0.3590 3.0772 0.0289 0.0755 0.0211 0.0546 0.0152 0.0027 0.0040 0.0238 0.0076
7.4000 45000.0000 -1.7500 0.4354 2.7955 0.0331 0.0779 0.0213 0.0550 0.0153 0.0019 0.0029 0.0245 0.0092
