#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, T*: 30 - 60 kK
# SED: black body 
#spherical geometry
#
12+log(O/H) Teff log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 He1_4471 He1_5876 HeI_6678 HeII_4686 ArIV_4740 ArIII_7135
7.1000 40000.0000 -1.7600 0.3261 1.4275 0.0178 0.0446 0.0211 0.0547 0.0152 0.0000 0.0012 0.0177
7.1000 40000.0000 -2.0300 0.4045 1.2406 0.0218 0.0440 0.0212 0.0548 0.0152 0.0000 0.0000 0.0174
7.1000 40000.0000 -2.2800 0.4954 1.0450 0.0272 0.0426 0.0213 0.0548 0.0153 0.0000 0.0000 0.0169
7.1000 40000.0000 -2.5300 0.6041 0.8177 0.0353 0.0398 0.0213 0.0547 0.0153 0.0000 0.0000 0.0160
7.1000 40000.0000 -2.7900 0.7261 0.5526 0.0475 0.0353 0.0212 0.0545 0.0152 0.0000 0.0000 0.0146
7.1000 40000.0000 -3.0200 0.8288 0.2878 0.0650 0.0294 0.0211 0.0541 0.0151 0.0000 0.0000 0.0127
7.1000 40000.0000 -3.2700 0.8357 0.1002 0.0888 0.0223 0.0208 0.0532 0.0150 0.0000 0.0000 0.0106
7.1000 40000.0000 -3.5100 0.7403 0.0286 0.1135 0.0157 0.0203 0.0519 0.0146 0.0000 0.0000 0.0088
7.1000 40000.0000 -3.7500 0.6199 0.0077 0.1343 0.0103 0.0194 0.0498 0.0141 0.0000 0.0000 0.0071
7.1000 40000.0000 -4.0000 0.5110 0.0021 0.1495 0.0064 0.0183 0.0468 0.0132 0.0000 0.0000 0.0056
7.1000 45000.0000 -1.5000 0.1964 1.7439 0.0153 0.0410 0.0208 0.0539 0.0149 0.0027 0.0030 0.0162
7.1000 45000.0000 -1.7600 0.2392 1.5888 0.0175 0.0422 0.0210 0.0543 0.0151 0.0019 0.0021 0.0167
7.1000 45000.0000 -2.0100 0.2954 1.4157 0.0208 0.0427 0.0211 0.0546 0.0152 0.0013 0.0014 0.0169
7.1000 45000.0000 -2.2700 0.3685 1.2203 0.0256 0.0422 0.0213 0.0548 0.0152 0.0000 0.0000 0.0168
7.1000 45000.0000 -2.5300 0.4597 0.9973 0.0323 0.0404 0.0214 0.0549 0.0153 0.0000 0.0000 0.0163
7.1000 45000.0000 -2.7700 0.5724 0.7348 0.0424 0.0369 0.0214 0.0550 0.0154 0.0000 0.0000 0.0152
7.1000 45000.0000 -3.0200 0.7063 0.4339 0.0584 0.0313 0.0215 0.0550 0.0154 0.0000 0.0000 0.0135
7.1000 45000.0000 -3.2600 0.7888 0.1825 0.0805 0.0246 0.0214 0.0548 0.0154 0.0000 0.0000 0.0116
7.1000 45000.0000 -3.5000 0.7468 0.0555 0.1062 0.0178 0.0212 0.0544 0.0153 0.0000 0.0000 0.0097
7.1000 45000.0000 -3.7600 0.6380 0.0148 0.1303 0.0120 0.0208 0.0534 0.0151 0.0000 0.0000 0.0080
7.1000 45000.0000 -4.0100 0.5294 0.0040 0.1488 0.0077 0.0202 0.0516 0.0146 0.0000 0.0000 0.0066
7.1000 50000.0000 -1.5000 0.1573 1.8241 0.0158 0.0371 0.0203 0.0528 0.0146 0.0067 0.0041 0.0146
7.1000 50000.0000 -1.7900 0.1968 1.6552 0.0184 0.0393 0.0207 0.0536 0.0149 0.0045 0.0030 0.0155
7.1000 50000.0000 -2.0500 0.2428 1.4882 0.0215 0.0404 0.0209 0.0541 0.0150 0.0032 0.0021 0.0160
7.1000 50000.0000 -2.2700 0.2918 1.3321 0.0250 0.0407 0.0211 0.0544 0.0151 0.0025 0.0014 0.0162
7.1000 50000.0000 -2.5300 0.3681 1.1140 0.0312 0.0398 0.0213 0.0548 0.0153 0.0019 0.0000 0.0160
7.1000 50000.0000 -2.7700 0.4666 0.8578 0.0403 0.0372 0.0214 0.0550 0.0154 0.0015 0.0000 0.0153
7.1000 50000.0000 -3.0200 0.6018 0.5486 0.0552 0.0323 0.0216 0.0553 0.0155 0.0013 0.0000 0.0139
7.1000 50000.0000 -3.2600 0.7256 0.2583 0.0769 0.0258 0.0217 0.0556 0.0156 0.0012 0.0000 0.0121
7.1000 50000.0000 -3.5100 0.7343 0.0866 0.1026 0.0191 0.0218 0.0557 0.0157 0.0011 0.0000 0.0104
7.1000 50000.0000 -3.7600 0.6467 0.0239 0.1281 0.0132 0.0217 0.0556 0.0157 0.0000 0.0000 0.0087
7.1000 50000.0000 -4.0100 0.5417 0.0066 0.1494 0.0086 0.0214 0.0549 0.0155 0.0000 0.0000 0.0073
7.1000 55000.0000 -1.5000 0.1350 1.8401 0.0164 0.0334 0.0198 0.0513 0.0142 0.0133 0.0050 0.0131
7.1000 55000.0000 -1.7500 0.1616 1.7166 0.0184 0.0357 0.0202 0.0522 0.0145 0.0099 0.0040 0.0141
7.1000 55000.0000 -2.0700 0.2066 1.5326 0.0220 0.0379 0.0206 0.0532 0.0148 0.0068 0.0028 0.0150
7.1000 55000.0000 -2.2700 0.2453 1.3943 0.0252 0.0386 0.0208 0.0537 0.0149 0.0054 0.0020 0.0154
