#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, T*: 30 - 60 kK
# SED: WM-Basic (Pauldrach et al 2001) 
#plane-paralell geometry
#
12+log(O/H) Teff log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 He1_4471 He1_5876 HeI_6678 HeII_4686 ArIV_4740 ArIII_7135
7.1000 40000.0000 -1.7500 0.2137 1.5434 0.0121 0.0466 0.0207 0.0536 0.0149 0.0000 0.0000 0.0193
7.1000 40000.0000 -2.0000 0.2936 1.3156 0.0160 0.0454 0.0209 0.0537 0.0149 0.0000 0.0000 0.0184
7.1000 40000.0000 -2.2500 0.4051 1.0591 0.0219 0.0428 0.0209 0.0538 0.0150 0.0000 0.0000 0.0172
7.1000 40000.0000 -2.5000 0.5466 0.7765 0.0307 0.0389 0.0210 0.0540 0.0151 0.0000 0.0000 0.0157
7.1000 40000.0000 -2.7500 0.6921 0.4926 0.0430 0.0341 0.0211 0.0541 0.0151 0.0000 0.0000 0.0142
7.1000 40000.0000 -3.0000 0.7874 0.2547 0.0597 0.0287 0.0212 0.0542 0.0152 0.0000 0.0000 0.0126
7.1000 40000.0000 -3.2500 0.7889 0.1046 0.0803 0.0228 0.0212 0.0542 0.0153 0.0000 0.0000 0.0110
7.1000 40000.0000 -3.5000 0.7135 0.0361 0.1029 0.0171 0.0211 0.0540 0.0152 0.0000 0.0000 0.0094
7.1000 40000.0000 -3.7500 0.6113 0.0113 0.1245 0.0121 0.0209 0.0534 0.0151 0.0000 0.0000 0.0079
7.1000 40000.0000 -4.0000 0.5116 0.0034 0.1430 0.0080 0.0204 0.0521 0.0147 0.0000 0.0000 0.0066
7.1000 45000.0000 -1.5000 0.1301 1.9424 0.0093 0.0443 0.0207 0.0536 0.0149 0.0000 0.0029 0.0174
7.1000 45000.0000 -1.7500 0.1735 1.7138 0.0117 0.0457 0.0208 0.0538 0.0149 0.0000 0.0017 0.0180
7.1000 45000.0000 -2.0000 0.2373 1.4672 0.0152 0.0454 0.0209 0.0539 0.0150 0.0000 0.0000 0.0180
7.1000 45000.0000 -2.2500 0.3303 1.1989 0.0204 0.0435 0.0211 0.0541 0.0151 0.0000 0.0000 0.0173
7.1000 45000.0000 -2.5000 0.4580 0.9090 0.0281 0.0401 0.0212 0.0544 0.0152 0.0000 0.0000 0.0161
7.1000 45000.0000 -2.7500 0.6086 0.6103 0.0393 0.0357 0.0214 0.0547 0.0153 0.0000 0.0000 0.0147
