#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, T*: 30 - 60 kK
# SED: black body 
#plane-paralell geometry
#
12+log(O/H) Teff log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 He1_4471 He1_5876 HeI_6678 HeII_4686 ArIV_4740 ArIII_7135
7.1000 40000.0000 -1.7500 0.3121 1.4431 0.0145 0.0485 0.0212 0.0548 0.0152 0.0000 0.0000 0.0189
7.1000 40000.0000 -2.0000 0.4269 1.1929 0.0198 0.0461 0.0212 0.0547 0.0152 0.0000 0.0000 0.0181
7.1000 40000.0000 -2.2500 0.5721 0.9100 0.0275 0.0425 0.0213 0.0546 0.0152 0.0000 0.0000 0.0168
7.1000 40000.0000 -2.5000 0.7271 0.6151 0.0387 0.0379 0.0212 0.0545 0.0152 0.0000 0.0000 0.0153
7.1000 40000.0000 -2.7500 0.8454 0.3506 0.0541 0.0324 0.0212 0.0543 0.0152 0.0000 0.0000 0.0136
7.1000 40000.0000 -3.0000 0.8790 0.1625 0.0736 0.0264 0.0210 0.0538 0.0151 0.0000 0.0000 0.0118
7.1000 40000.0000 -3.2500 0.8223 0.0613 0.0960 0.0202 0.0207 0.0530 0.0149 0.0000 0.0000 0.0101
7.1000 40000.0000 -3.5000 0.7174 0.0203 0.1179 0.0144 0.0202 0.0516 0.0145 0.0000 0.0000 0.0084
7.1000 40000.0000 -3.7500 0.6054 0.0062 0.1363 0.0097 0.0193 0.0495 0.0140 0.0000 0.0000 0.0069
7.1000 40000.0000 -4.0000 0.5040 0.0019 0.1500 0.0062 0.0182 0.0466 0.0132 0.0000 0.0000 0.0055
7.1000 45000.0000 -1.5000 0.1544 1.8374 0.0105 0.0466 0.0210 0.0546 0.0151 0.0014 0.0022 0.0181
7.1000 45000.0000 -1.7500 0.2092 1.6220 0.0135 0.0472 0.0211 0.0546 0.0151 0.0010 0.0013 0.0184
7.1000 45000.0000 -2.0000 0.2887 1.3784 0.0180 0.0460 0.0212 0.0546 0.0152 0.0000 0.0000 0.0180
7.1000 45000.0000 -2.2500 0.4002 1.1057 0.0247 0.0432 0.0212 0.0546 0.0152 0.0000 0.0000 0.0171
7.1000 45000.0000 -2.5000 0.5430 0.8104 0.0345 0.0391 0.0213 0.0547 0.0153 0.0000 0.0000 0.0158
7.1000 45000.0000 -2.7500 0.6924 0.5163 0.0483 0.0340 0.0214 0.0548 0.0153 0.0000 0.0000 0.0142
7.1000 45000.0000 -3.0000 0.7945 0.2702 0.0665 0.0283 0.0214 0.0548 0.0154 0.0000 0.0000 0.0126
7.1000 45000.0000 -3.2500 0.8022 0.1117 0.0884 0.0223 0.0213 0.0546 0.0154 0.0000 0.0000 0.0110
7.1000 45000.0000 -3.5000 0.7284 0.0385 0.1114 0.0164 0.0212 0.0542 0.0153 0.0000 0.0000 0.0093
7.1000 45000.0000 -3.7500 0.6244 0.0120 0.1324 0.0113 0.0208 0.0531 0.0150 0.0000 0.0000 0.0078
7.1000 45000.0000 -4.0000 0.5225 0.0036 0.1496 0.0074 0.0201 0.0515 0.0145 0.0000 0.0000 0.0065
7.1000 50000.0000 -1.5000 0.1162 1.9519 0.0104 0.0425 0.0207 0.0539 0.0149 0.0038 0.0035 0.0162
7.1000 50000.0000 -1.7500 0.1555 1.7335 0.0132 0.0444 0.0209 0.0540 0.0150 0.0027 0.0022 0.0172
7.1000 50000.0000 -2.0000 0.2138 1.4919 0.0173 0.0445 0.0210 0.0542 0.0150 0.0021 0.0012 0.0174
7.1000 50000.0000 -2.2500 0.3000 1.2272 0.0235 0.0427 0.0211 0.0543 0.0151 0.0017 0.0000 0.0169
7.1000 50000.0000 -2.5000 0.4208 0.9414 0.0326 0.0393 0.0213 0.0546 0.0152 0.0015 0.0000 0.0159
7.1000 50000.0000 -2.7500 0.5683 0.6450 0.0454 0.0348 0.0214 0.0549 0.0154 0.0013 0.0000 0.0146
7.1000 50000.0000 -3.0000 0.7026 0.3711 0.0627 0.0294 0.0215 0.0552 0.0155 0.0013 0.0000 0.0131
7.1000 50000.0000 -3.2500 0.7622 0.1690 0.0840 0.0236 0.0217 0.0555 0.0156 0.0012 0.0000 0.0115
7.1000 50000.0000 -3.5000 0.7248 0.0612 0.1077 0.0177 0.0217 0.0556 0.0157 0.0010 0.0000 0.0100
7.1000 50000.0000 -3.7500 0.6345 0.0195 0.1305 0.0125 0.0216 0.0554 0.0156 0.0000 0.0000 0.0085
7.1000 50000.0000 -4.0000 0.5349 0.0059 0.1501 0.0083 0.0214 0.0548 0.0155 0.0000 0.0000 0.0072
7.1000 55000.0000 -1.5000 0.0948 2.0197 0.0105 0.0380 0.0203 0.0528 0.0146 0.0081 0.0048 0.0143
7.1000 55000.0000 -1.7500 0.1253 1.8013 0.0131 0.0410 0.0205 0.0532 0.0147 0.0060 0.0032 0.0157
7.1000 55000.0000 -2.0000 0.1710 1.5614 0.0170 0.0422 0.0207 0.0535 0.0148 0.0046 0.0019 0.0164
7.1000 55000.0000 -2.2500 0.2402 1.3027 0.0230 0.0415 0.0209 0.0538 0.0150 0.0038 0.0000 0.0164
7.1000 55000.0000 -2.5000 0.3423 1.0265 0.0317 0.0390 0.0211 0.0542 0.0151 0.0033 0.0000 0.0158
7.1000 55000.0000 -2.7500 0.4778 0.7369 0.0442 0.0350 0.0213 0.0547 0.0153 0.0030 0.0000 0.0147
7.1000 55000.0000 -3.0000 0.6217 0.4545 0.0610 0.0300 0.0216 0.0552 0.0155 0.0028 0.0000 0.0133
7.1000 55000.0000 -3.2500 0.7153 0.2242 0.0820 0.0244 0.0218 0.0558 0.0157 0.0026 0.0000 0.0119
7.1000 55000.0000 -3.5000 0.7125 0.0858 0.1061 0.0186 0.0220 0.0564 0.0159 0.0023 0.0000 0.0104
7.1000 55000.0000 -3.7500 0.6380 0.0280 0.1299 0.0133 0.0222 0.0569 0.0161 0.0018 0.0000 0.0090
7.1000 55000.0000 -4.0000 0.5425 0.0085 0.1515 0.0090 0.0223 0.0571 0.0162 0.0013 0.0000 0.0077
7.1000 60000.0000 -1.5000 0.0819 2.0454 0.0105 0.0339 0.0197 0.0513 0.0141 0.0152 0.0059 0.0126
7.1000 60000.0000 -1.7500 0.1070 1.8351 0.0131 0.0374 0.0201 0.0520 0.0144 0.0113 0.0041 0.0142
7.1000 60000.0000 -2.0000 0.1449 1.6007 0.0170 0.0396 0.0203 0.0525 0.0145 0.0088 0.0025 0.0153
7.1000 60000.0000 -2.2500 0.2032 1.3481 0.0229 0.0398 0.0206 0.0530 0.0147 0.0072 0.0014 0.0158
7.1000 60000.0000 -2.5000 0.2912 1.0809 0.0315 0.0382 0.0209 0.0536 0.0149 0.0063 0.0000 0.0155
7.1000 60000.0000 -2.7500 0.4139 0.8004 0.0438 0.0349 0.0211 0.0542 0.0152 0.0057 0.0000 0.0147
7.1000 60000.0000 -3.0000 0.5563 0.5189 0.0603 0.0302 0.0215 0.0549 0.0154 0.0054 0.0000 0.0135
7.1000 60000.0000 -3.2500 0.6692 0.2731 0.0812 0.0248 0.0218 0.0558 0.0157 0.0051 0.0000 0.0121
7.1000 60000.0000 -3.5000 0.6954 0.1107 0.1055 0.0191 0.0222 0.0568 0.0160 0.0045 0.0000 0.0107
7.1000 60000.0000 -3.7500 0.6369 0.0370 0.1305 0.0139 0.0226 0.0579 0.0163 0.0036 0.0000 0.0094
7.1000 60000.0000 -4.0000 0.5468 0.0113 0.1537 0.0096 0.0230 0.0589 0.0167 0.0026 0.0000 0.0082
7.1000 70000.0000 -1.5000 0.0679 1.9712 0.0107 0.0271 0.0181 0.0469 0.0129 0.0388 0.0074 0.0100
7.1000 70000.0000 -1.7500 0.0874 1.8105 0.0133 0.0311 0.0187 0.0485 0.0134 0.0294 0.0055 0.0116
7.1000 70000.0000 -2.0000 0.1170 1.6078 0.0172 0.0343 0.0193 0.0497 0.0138 0.0232 0.0037 0.0132
7.1000 70000.0000 -2.2500 0.1630 1.3789 0.0231 0.0361 0.0197 0.0506 0.0141 0.0193 0.0022 0.0142
7.1000 70000.0000 -2.5000 0.2336 1.1324 0.0318 0.0360 0.0201 0.0516 0.0144 0.0170 0.0011 0.0146
7.1000 70000.0000 -2.7500 0.3363 0.8714 0.0441 0.0339 0.0205 0.0525 0.0147 0.0157 0.0000 0.0143
7.1000 70000.0000 -3.0000 0.4665 0.6023 0.0607 0.0300 0.0209 0.0536 0.0150 0.0149 0.0000 0.0135
7.1000 70000.0000 -3.2500 0.5932 0.3478 0.0819 0.0251 0.0215 0.0550 0.0154 0.0141 0.0000 0.0123
7.1000 70000.0000 -3.5000 0.6567 0.1555 0.1066 0.0197 0.0222 0.0567 0.0160 0.0125 0.0000 0.0111
7.1000 70000.0000 -3.7500 0.6285 0.0546 0.1332 0.0145 0.0230 0.0588 0.0166 0.0100 0.0000 0.0099
7.1000 70000.0000 -4.0000 0.5491 0.0168 0.1594 0.0102 0.0239 0.0612 0.0173 0.0073 0.0000 0.0088
7.1000 80000.0000 -1.5000 0.0607 1.7486 0.0107 0.0224 0.0159 0.0411 0.0113 0.0738 0.0081 0.0082
