#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, T*: 30 - 140 kK
# SED: WM-Basic (Pauldrach et al 2001 (30-60 kK), Rauch (80-120 kK)) 
#spherical geometry
#
12+log(O/H) Teff log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 He1_4471 He1_5876 HeI_6678 HeII_4686 ArIV_4740 ArIII_7135
7.1 40000 -3.03 0.7079 0.4015 0.0532 0.0313 0.0212 0.0544 0.0152 0.0000 0.0000 0.0134
7.1 40000 -2.79 0.5816 0.6825 0.0389 0.0365 0.0212 0.0543 0.0152 0.0000 0.0000 0.0151
7.1 40000 -2.54 0.4670 0.9408 0.0293 0.0400 0.0210 0.0541 0.0151 0.0000 0.0000 0.0164
7.1 40000 -2.29 0.3773 1.1564 0.0231 0.0418 0.0209 0.0539 0.0150 0.0000 0.0000 0.0173
7.1 40000 -2.04 0.3081 1.3415 0.0191 0.0425 0.0208 0.0536 0.0149 0.0000 0.0000 0.0179
7.1 40000 -1.78 0.2508 1.5198 0.0161 0.0423 0.0206 0.0532 0.0148 0.0000 0.0011 0.0182
7.1 40000 -1.53 0.2077 1.6796 0.0140 0.0414 0.0203 0.0528 0.0146 0.0000 0.0016 0.0182
7.1 45000 -4.00 0.5445 0.0103 0.1438 0.0100 0.0224 0.0572 0.0162 0.0000 0.0000 0.0078
7.1 45000 -3.75 0.6408 0.0367 0.1201 0.0148 0.0223 0.0570 0.0161 0.0000 0.0000 0.0092
7.1 45000 -3.51 0.7433 0.0761 0.0919 0.0206 0.0219 0.0560 0.0158 0.0000 0.0000 0.0106
7.1 45000 -3.26 0.7507 0.2345 0.0678 0.0271 0.0217 0.0556 0.0157 0.0000 0.0000 0.0123
7.1 45000 -3.02 0.6385 0.5119 0.0487 0.0331 0.0216 0.0552 0.0155 0.0000 0.0000 0.0140
7.1 45000 -2.78 0.5035 0.8174 0.0357 0.0379 0.0214 0.0548 0.0153 0.0000 0.0000 0.0155
7.1 45000 -2.54 0.4017 1.0776 0.0278 0.0406 0.0212 0.0545 0.0152 0.0000 0.0000 0.0164
7.1 45000 -2.29 0.3236 1.2994 0.0226 0.0417 0.0210 0.0542 0.0151 0.0000 0.0011 0.0167
7.1 45000 -2.03 0.2622 1.4966 0.0189 0.0416 0.0208 0.0538 0.0150 0.0000 0.0018 0.0166
7.1 45000 -1.78 0.2151 1.6742 0.0165 0.0407 0.0206 0.0533 0.0148 0.0000 0.0027 0.0162
7.1 45000 -1.53 0.1788 1.8341 0.0147 0.0391 0.0204 0.0528 0.0147 0.0000 0.0036 0.0156
7.1 50000 -4.00 0.5479 0.0156 0.1492 0.0105 0.0233 0.0597 0.0169 0.0000 0.0000 0.0084
7.1 50000 -3.75 0.6319 0.0549 0.1235 0.0153 0.0229 0.0586 0.0165 0.0000 0.0000 0.0097
7.1 50000 -3.51 0.7045 0.1270 0.0932 0.0213 0.0223 0.0569 0.0161 0.0000 0.0000 0.0111
7.1 50000 -3.27 0.6491 0.3362 0.0689 0.0275 0.0219 0.0561 0.0158 0.0000 0.0000 0.0126
7.1 50000 -3.02 0.5073 0.6421 0.0495 0.0332 0.0216 0.0554 0.0155 0.0000 0.0000 0.0142
7.1 50000 -2.78 0.3836 0.9453 0.0367 0.0370 0.0213 0.0547 0.0153 0.0000 0.0000 0.0153
7.1 50000 -2.54 0.3013 1.1940 0.0291 0.0385 0.0211 0.0542 0.0152 0.0011 0.0012 0.0156
7.1 50000 -2.28 0.2403 1.4082 0.0240 0.0383 0.0209 0.0537 0.0150 0.0015 0.0020 0.0154
7.1 50000 -2.07 0.2017 1.5628 0.0210 0.0374 0.0206 0.0532 0.0148 0.0019 0.0028 0.0149
