#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log N/O: -2.0 - 0.0, log U: -2.5 - -0.5
# SED: double composite AGN power law, a(UV) = -1.5, a(ox) = -1.2
# Plane-parallel geometry
#
#12+log(O/H) log(N/O) log(U) OII_3727 NeIII_3868 OIII_4363 OIII_5007 NII_6584 SII_6717,31
6.90 -1.125 -1.25 0.0647 0.0315 0.0025 0.0730 0.0210 0.0659
6.90 -1.125 -1.00 0.0740 0.0328 0.0011 0.0336 0.0228 0.1115
6.90 -1.125 -0.75 0.0806 0.0314 0.0000 0.0171 0.0231 0.1998
6.90 -1.125 -0.50 0.0847 0.0290 0.0000 0.0119 0.0229 0.2598
6.90 -1.000 -2.50 0.1040 0.0576 0.0147 0.4833 0.0235 0.0515
6.90 -1.000 -2.25 0.0798 0.0521 0.0156 0.4558 0.0217 0.0454
6.90 -1.000 -2.00 0.0650 0.0441 0.0137 0.3706 0.0215 0.0464
6.90 -1.000 -1.75 0.0582 0.0366 0.0097 0.2540 0.0226 0.0467
6.90 -1.000 -1.50 0.0584 0.0321 0.0055 0.1467 0.0250 0.0515
6.90 -1.000 -1.25 0.0647 0.0315 0.0025 0.0729 0.0280 0.0660
6.90 -1.000 -1.00 0.0739 0.0327 0.0011 0.0335 0.0303 0.1144
6.90 -1.000 -0.75 0.0806 0.0314 0.0000 0.0172 0.0308 0.1995
6.90 -1.000 -0.50 0.0847 0.0290 0.0000 0.0119 0.0305 0.2598
6.90 -0.875 -2.50 0.1040 0.0576 0.0147 0.4829 0.0314 0.0515
6.90 -0.875 -2.25 0.0798 0.0521 0.0155 0.4553 0.0289 0.0455
6.90 -0.875 -2.00 0.0651 0.0441 0.0137 0.3705 0.0286 0.0464
6.90 -0.875 -1.75 0.0582 0.0366 0.0097 0.2541 0.0302 0.0467
6.90 -0.875 -1.50 0.0584 0.0321 0.0055 0.1467 0.0333 0.0517
6.90 -0.875 -1.25 0.0647 0.0315 0.0025 0.0730 0.0373 0.0661
