#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, f_abs: 0.01 - 1.0
# SED: BPASS v.2.1 (Eldridge et al 2017), alpha(IMF) = -1.35, M_up = 300, age = 4 Myr, Z_* = 1e-5
# Spherical geometry
#
12+log(O/H) f_abs log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 HeI_4471 HeI_5876 HeI_6678 HeII_4686 ArIV_4740 ArIII_7135 NII_6584	CIV_1549	CIII_1909
7.4 0.196 -1.38 0.0112 5.1639 0.0000 0.0172 0.0179 0.0461 0.0125 0.0406 0.0213 0.0046 0.0000 3.2564 1.2690
7.4 0.100 -1.19 0.0064 5.2506 0.0000 0.0096 0.0162 0.0418 0.0112 0.0782 0.0234 0.0027 0.0000 4.8438 1.0605
7.4 0.051 -0.99 0.0035 4.7979 0.0000 0.0047 0.0131 0.0337 0.0090 0.1501 0.0236 0.0015 0.0000 6.7172 0.7786
7.4 0.020 -0.71 0.0000 3.2435 0.0000 0.0017 0.0058 0.0149 0.0039 0.3626 0.0218 0.0000 0.0000 9.5340 0.4928
7.4 0.013 -0.56 0.0000 2.2525 0.0000 0.0011 0.0023 0.0060 0.0016 0.5723 0.0224 0.0000 0.0000 12.3619 0.4184
7.4 1.000 -1.55 0.1879 3.5238 0.0366 0.0388 0.0194 0.0500 0.0138 0.0113 0.0105 0.0132 0.0068 1.0003 1.0043
7.4 0.779 -1.49 0.0529 4.1611 0.0072 0.0361 0.0187 0.0480 0.0132 0.0144 0.0133 0.0115 0.0000 1.2795 1.1826
7.4 0.493 -1.38 0.0216 4.8292 0.0011 0.0262 0.0185 0.0477 0.0130 0.0227 0.0180 0.0076 0.0000 1.9290 1.3181
7.4 0.196 -1.14 0.0083 5.4786 0.0000 0.0122 0.0173 0.0445 0.0119 0.0563 0.0236 0.0034 0.0000 3.7611 1.1878
7.4 0.100 -0.95 0.0045 5.3821 0.0000 0.0060 0.0152 0.0392 0.0104 0.1084 0.0251 0.0019 0.0000 5.4739 0.9004
7.4 0.050 -0.74 0.0013 4.5893 0.0000 0.0025 0.0114 0.0293 0.0078 0.2109 0.0242 0.0000 0.0000 7.5411 0.5879
7.4 0.019 -0.46 0.0000 2.6601 0.0000 0.0000 0.0036 0.0093 0.0024 0.4934 0.0223 0.0000 0.0000 10.8376 0.3606
7.4 0.013 -0.31 0.0000 1.6102 0.0000 0.0000 0.0013 0.0033 0.0000 0.7269 0.0222 0.0000 0.0000 13.9119 0.2798
7.7 1.000 -4.01 1.9215 0.0880 0.6284 0.0377 0.0250 0.0639 0.0181 0.0010 0.0000 0.0337 0.1016 0.0000 0.0713
7.7 0.811 -4.00 2.0721 0.1059 0.4875 0.0419 0.0216 0.0551 0.0155 0.0011 0.0000 0.0330 0.1005 0.0000 0.0807
7.7 0.533 -3.99 2.1722 0.1401 0.4472 0.0461 0.0209 0.0533 0.0150 0.0013 0.0000 0.0333 0.0993 0.0000 0.0920
7.7 0.219 -3.97 2.2244 0.1764 0.4260 0.0492 0.0204 0.0519 0.0146 0.0021 0.0000 0.0339 0.0983 0.0000 0.1046
7.7 0.143 -3.97 2.2258 0.1799 0.4193 0.0495 0.0200 0.0508 0.0143 0.0025 0.0000 0.0338 0.0976 0.0000 0.1078
7.7 0.057 -3.97 2.3008 0.1846 0.4246 0.0511 0.0199 0.0504 0.0141 0.0035 0.0000 0.0347 0.1000 0.0000 0.1157
7.7 0.032 -3.97 2.0586 0.1627 0.3767 0.0456 0.0175 0.0445 0.0125 0.0042 0.0000 0.0309 0.0892 0.0000 0.1051
7.7 0.013 -3.97 1.5523 0.1241 0.2822 0.0345 0.0132 0.0336 0.0095 0.0061 0.0000 0.0233 0.0670 0.0000 0.0803
7.7 1.000 -3.75 2.1396 0.3016 0.5184 0.0551 0.0240 0.0613 0.0173 0.0013 0.0000 0.0379 0.1004 0.0000 0.1391
7.7 0.799 -3.73 2.3042 0.3683 0.3967 0.0625 0.0213 0.0543 0.0153 0.0015 0.0000 0.0381 0.0983 0.0000 0.1613
7.7 0.533 -3.71 2.3456 0.4860 0.3570 0.0691 0.0209 0.0532 0.0150 0.0019 0.0000 0.0391 0.0946 0.0000 0.1857
7.7 0.200 -3.69 2.3426 0.6232 0.3341 0.0744 0.0207 0.0526 0.0148 0.0032 0.0000 0.0403 0.0904 0.0000 0.2146
7.7 0.126 -3.68 2.3016 0.6230 0.3219 0.0734 0.0199 0.0506 0.0142 0.0039 0.0000 0.0395 0.0878 0.0000 0.2180
7.7 0.056 -3.68 2.3918 0.6418 0.3268 0.0758 0.0199 0.0504 0.0141 0.0055 0.0000 0.0407 0.0903 0.0000 0.2332
7.7 0.032 -3.68 2.1375 0.5663 0.2884 0.0674 0.0175 0.0443 0.0124 0.0066 0.0000 0.0361 0.0803 0.0000 0.2112
7.7 0.013 -3.68 1.5984 0.4293 0.2142 0.0506 0.0131 0.0333 0.0094 0.0093 0.0000 0.0270 0.0598 0.0000 0.1604
7.7 1.000 -3.51 2.0666 0.8187 0.4102 0.0749 0.0231 0.0591 0.0167 0.0016 0.0000 0.0422 0.0875 0.0020 0.2483
7.7 0.790 -3.48 2.1591 1.0167 0.2974 0.0859 0.0211 0.0536 0.0151 0.0019 0.0000 0.0435 0.0814 0.0025 0.2932
7.7 0.538 -3.45 2.0205 1.3124 0.2570 0.0941 0.0209 0.0531 0.0149 0.0025 0.0000 0.0449 0.0710 0.0034 0.3358
7.7 0.232 -3.41 1.8218 1.5918 0.2286 0.0988 0.0204 0.0519 0.0146 0.0043 0.0000 0.0456 0.0602 0.0048 0.3788
7.7 0.114 -3.39 1.7886 1.6464 0.2193 0.0993 0.0198 0.0505 0.0142 0.0061 0.0000 0.0455 0.0576 0.0053 0.3998
7.7 0.055 -3.38 1.8579 1.7061 0.2219 0.1025 0.0199 0.0504 0.0141 0.0086 0.0000 0.0469 0.0591 0.0057 0.4271
7.7 0.032 -3.38 1.6491 1.5041 0.1936 0.0904 0.0173 0.0439 0.0122 0.0106 0.0000 0.0413 0.0520 0.0051 0.3844
7.7 0.013 -3.38 1.2173 1.1299 0.1424 0.0673 0.0129 0.0328 0.0092 0.0146 0.0000 0.0307 0.0383 0.0039 0.2897
7.7 1.000 -3.26 1.6511 1.7022 0.3041 0.0953 0.0224 0.0574 0.0161 0.0018 0.0000 0.0467 0.0649 0.0112 0.4231
7.7 0.784 -3.22 1.5628 2.1257 0.1974 0.1095 0.0209 0.0531 0.0149 0.0023 0.0000 0.0488 0.0523 0.0141 0.5039
7.7 0.503 -3.16 1.1642 2.6801 0.1537 0.1184 0.0208 0.0530 0.0148 0.0034 0.0000 0.0504 0.0347 0.0204 0.5821
7.7 0.210 -3.08 0.8911 3.0321 0.1265 0.1217 0.0203 0.0517 0.0145 0.0066 0.0000 0.0508 0.0245 0.0311 0.6560
7.7 0.099 -3.05 0.8312 3.1099 0.1170 0.1213 0.0196 0.0499 0.0140 0.0103 0.0011 0.0504 0.0221 0.0377 0.6948
7.7 0.063 -3.04 0.8072 3.0692 0.1120 0.1187 0.0188 0.0477 0.0133 0.0130 0.0011 0.0493 0.0212 0.0396 0.6994
7.7 0.026 -3.02 0.8281 3.1513 0.1120 0.1211 0.0186 0.0472 0.0131 0.0195 0.0011 0.0503 0.0214 0.0433 0.7373
7.7 0.021 -3.02 0.6869 2.6121 0.0918 0.1001 0.0153 0.0387 0.0107 0.0225 0.0000 0.0415 0.0177 0.0368 0.6182
7.7 1.000 -3.02 1.2050 2.6472 0.2208 0.1089 0.0219 0.0561 0.0157 0.0021 0.0016 0.0492 0.0458 0.0499 0.6547
7.7 0.779 -2.96 0.9444 3.2910 0.1205 0.1238 0.0207 0.0529 0.0148 0.0027 0.0021 0.0516 0.0285 0.0637 0.7827
7.7 0.503 -2.88 0.5306 3.8940 0.0809 0.1292 0.0207 0.0528 0.0147 0.0040 0.0029 0.0521 0.0137 0.0922 0.8982
7.7 0.205 -2.74 0.3259 4.3106 0.0556 0.1287 0.0202 0.0515 0.0143 0.0091 0.0044 0.0508 0.0075 0.1524 1.0360
7.7 0.104 -2.68 0.2842 4.4438 0.0482 0.1269 0.0196 0.0500 0.0139 0.0156 0.0051 0.0498 0.0062 0.1964 1.1143
7.7 0.052 -2.63 0.2599 4.3737 0.0431 0.1216 0.0182 0.0463 0.0128 0.0239 0.0053 0.0477 0.0055 0.2348 1.1408
7.7 0.020 -2.60 0.2371 4.1693 0.0385 0.1138 0.0167 0.0424 0.0117 0.0390 0.0053 0.0447 0.0049 0.2774 1.1205
7.7 0.014 -2.59 0.2146 3.7917 0.0345 0.1029 0.0149 0.0378 0.0104 0.0491 0.0048 0.0405 0.0044 0.2752 1.0318
7.7 1.000 -2.77 0.8998 3.4822 0.1652 0.1109 0.0215 0.0552 0.0154 0.0025 0.0045 0.0479 0.0337 0.1697 0.8976
7.7 0.776 -2.71 0.5476 4.2757 0.0724 0.1230 0.0206 0.0526 0.0146 0.0032 0.0057 0.0493 0.0150 0.2181 1.0716
7.7 0.483 -2.60 0.2414 4.9162 0.0392 0.1215 0.0207 0.0529 0.0147 0.0051 0.0085 0.0470 0.0053 0.3290 1.2311
7.7 0.194 -2.40 0.1246 5.4541 0.0200 0.1094 0.0202 0.0517 0.0143 0.0121 0.0132 0.0404 0.0023 0.5926 1.4226
7.7 0.099 -2.29 0.0959 5.6300 0.0141 0.0999 0.0192 0.0490 0.0136 0.0226 0.0157 0.0361 0.0016 0.8100 1.5221
7.7 0.049 -2.20 0.0789 5.5660 0.0109 0.0903 0.0176 0.0449 0.0124 0.0405 0.0170 0.0323 0.0012 1.0049 1.5559
7.7 0.023 -2.13 0.0667 5.2036 0.0088 0.0801 0.0153 0.0388 0.0107 0.0668 0.0167 0.0285 0.0000 1.1619 1.5032
7.7 0.012 -2.10 0.0502 4.1547 0.0065 0.0621 0.0117 0.0297 0.0081 0.0971 0.0138 0.0220 0.0000 1.1880 1.2296
7.7 1.000 -2.53 0.7100 4.1644 0.1313 0.1054 0.0212 0.0544 0.0152 0.0031 0.0081 0.0448 0.0263 0.3384 1.0837
7.7 0.769 -2.46 0.3367 5.0581 0.0462 0.1133 0.0204 0.0522 0.0145 0.0041 0.0105 0.0447 0.0083 0.4391 1.2905
7.7 0.483 -2.34 0.1348 5.6579 0.0208 0.1026 0.0205 0.0523 0.0145 0.0064 0.0150 0.0387 0.0025 0.6631 1.4294
7.7 0.212 -2.14 0.0635 6.2042 0.0081 0.0800 0.0199 0.0508 0.0140 0.0143 0.0220 0.0282 0.0000 1.2102 1.5314
7.7 0.106 -1.97 0.0422 6.4835 0.0042 0.0637 0.0188 0.0480 0.0132 0.0279 0.0263 0.0217 0.0000 1.8247 1.5683
7.7 0.052 -1.82 0.0306 6.5315 0.0024 0.0508 0.0170 0.0435 0.0119 0.0547 0.0291 0.0170 0.0000 2.5301 1.5574
7.7 0.020 -1.68 0.0214 5.9568 0.0000 0.0385 0.0132 0.0337 0.0092 0.1182 0.0290 0.0128 0.0000 3.2515 1.4417
7.7 0.012 -1.60 0.0156 4.8551 0.0000 0.0295 0.0096 0.0244 0.0066 0.1803 0.0252 0.0098 0.0000 3.4156 1.2213
7.7 1.000 -2.28 0.5776 4.7545 0.1085 0.0976 0.0209 0.0537 0.0150 0.0042 0.0118 0.0413 0.0214 0.4568 1.2202
7.7 0.764 -2.21 0.2194 5.7083 0.0308 0.1006 0.0202 0.0517 0.0143 0.0054 0.0153 0.0396 0.0049 0.5965 1.4412
7.7 0.478 -2.09 0.0857 6.3492 0.0118 0.0843 0.0203 0.0520 0.0144 0.0086 0.0215 0.0313 0.0014 0.9065 1.5433
7.7 0.194 -1.85 0.0350 6.9463 0.0032 0.0539 0.0195 0.0498 0.0137 0.0209 0.0303 0.0186 0.0000 1.7878 1.4903
7.7 0.106 -1.69 0.0229 7.1887 0.0000 0.0389 0.0184 0.0470 0.0129 0.0374 0.0344 0.0133 0.0000 2.6332 1.4071
7.7 0.053 -1.51 0.0146 7.1225 0.0000 0.0258 0.0162 0.0414 0.0113 0.0728 0.0370 0.0090 0.0000 3.8539 1.2617
7.7 0.021 -1.29 0.0083 6.2715 0.0000 0.0151 0.0113 0.0288 0.0078 0.1738 0.0369 0.0055 0.0000 5.6299 1.0596
7.7 0.013 -1.18 0.0059 5.3632 0.0000 0.0116 0.0075 0.0192 0.0052 0.2875 0.0358 0.0043 0.0000 6.8783 0.9673
7.7 1.000 -2.09 0.4988 5.1748 0.0953 0.0909 0.0207 0.0532 0.0148 0.0053 0.0147 0.0386 0.0184 0.5208 1.3044
7.7 0.700 -2.00 0.1285 6.3367 0.0179 0.0870 0.0201 0.0513 0.0142 0.0076 0.0205 0.0340 0.0024 0.7384 1.5620
7.7 0.447 -1.88 0.0573 6.8719 0.0068 0.0680 0.0200 0.0511 0.0141 0.0118 0.0270 0.0249 0.0000 1.0854 1.5790
7.7 0.185 -1.64 0.0237 7.4109 0.0000 0.0388 0.0190 0.0486 0.0133 0.0281 0.0355 0.0135 0.0000 2.0641 1.3915
7.7 0.095 -1.45 0.0142 7.5822 0.0000 0.0242 0.0176 0.0449 0.0122 0.0536 0.0396 0.0086 0.0000 3.1696 1.2046
7.7 0.046 -1.25 0.0080 7.1842 0.0000 0.0132 0.0146 0.0372 0.0101 0.1086 0.0410 0.0051 0.0000 4.7749 0.9627
7.7 0.019 -1.02 0.0042 6.0227 0.0000 0.0069 0.0092 0.0236 0.0063 0.2434 0.0407 0.0030 0.0000 7.2127 0.7649
7.7 0.013 -0.87 0.0014 4.5556 0.0000 0.0046 0.0046 0.0118 0.0031 0.4125 0.0396 0.0021 0.0000 9.5125 0.6708
7.7 1.000 -1.79 0.4065 5.7737 0.0797 0.0802 0.0203 0.0523 0.0145 0.0080 0.0192 0.0345 0.0151 0.6208 1.3980
7.7 0.742 -1.71 0.1024 6.8776 0.0141 0.0738 0.0197 0.0505 0.0139 0.0107 0.0253 0.0295 0.0018 0.8300 1.6282
7.7 0.473 -1.60 0.0417 7.5584 0.0042 0.0533 0.0196 0.0502 0.0138 0.0167 0.0333 0.0197 0.0000 1.2216 1.6209
7.7 0.186 -1.33 0.0149 8.0500 0.0000 0.0243 0.0183 0.0469 0.0128 0.0418 0.0420 0.0088 0.0000 2.3683 1.2468
7.7 0.095 -1.14 0.0080 7.8659 0.0000 0.0125 0.0163 0.0417 0.0113 0.0802 0.0444 0.0050 0.0000 3.5265 0.9376
7.7 0.050 -0.95 0.0045 7.2153 0.0000 0.0062 0.0133 0.0341 0.0092 0.1499 0.0448 0.0029 0.0000 5.1061 0.6890
7.7 0.019 -0.67 0.0000 4.8903 0.0000 0.0022 0.0059 0.0150 0.0040 0.3623 0.0423 0.0013 0.0000 8.4463 0.4620
7.7 0.012 -0.50 0.0000 3.0671 0.0000 0.0013 0.0021 0.0054 0.0014 0.5726 0.0421 0.0000 0.0000 11.9699 0.3873
7.7 1.000 -1.54 0.3512 6.2159 0.0701 0.0722 0.0200 0.0515 0.0143 0.0110 0.0227 0.0313 0.0131 0.7246 1.4390
7.7 0.770 -1.48 0.0870 7.2794 0.0121 0.0645 0.0194 0.0498 0.0137 0.0143 0.0290 0.0262 0.0014 0.9379 1.6454
7.7 0.506 -1.37 0.0348 8.0358 0.0032 0.0447 0.0192 0.0493 0.0135 0.0217 0.0374 0.0168 0.0000 1.3282 1.6312
7.7 0.190 -1.10 0.0109 8.4991 0.0000 0.0168 0.0177 0.0454 0.0123 0.0567 0.0462 0.0064 0.0000 2.5754 1.1404
7.7 0.103 -0.92 0.0059 8.1377 0.0000 0.0082 0.0157 0.0400 0.0108 0.1037 0.0476 0.0036 0.0000 3.6546 0.8091
7.7 0.048 -0.68 0.0026 6.6611 0.0000 0.0029 0.0111 0.0284 0.0076 0.2156 0.0452 0.0017 0.0000 5.6880 0.4932
7.7 0.019 -0.42 0.0000 3.8434 0.0000 0.0010 0.0035 0.0089 0.0024 0.4897 0.0429 0.0000 0.0000 9.4841 0.3369
7.7 0.013 -0.27 0.0000 2.1773 0.0000 0.0000 0.0012 0.0031 0.0000 0.7038 0.0415 0.0000 0.0000 13.1527 0.2651
8.0 1.000 -4.01 3.2831 0.1508 1.1675 0.0691 0.0254 0.0650 0.0184 0.0010 0.0000 0.0495 0.1867 0.0000 0.0236
8.0 0.820 -4.00 3.4942 0.1794 0.9032 0.0761 0.0220 0.0561 0.0158 0.0011 0.0000 0.0480 0.1828 0.0000 0.0262
8.0 0.523 -3.98 3.5768 0.2398 0.8081 0.0831 0.0211 0.0539 0.0152 0.0013 0.0000 0.0476 0.1772 0.0000 0.0289
8.0 0.260 -3.97 3.6134 0.2915 0.7709 0.0874 0.0207 0.0528 0.0149 0.0018 0.0000 0.0480 0.1746 0.0000 0.0317
8.0 0.145 -3.97 3.6630 0.3051 0.7605 0.0888 0.0202 0.0515 0.0145 0.0024 0.0000 0.0483 0.1744 0.0000 0.0337
8.0 0.057 -3.97 3.8545 0.3184 0.7789 0.0929 0.0202 0.0513 0.0144 0.0034 0.0000 0.0501 0.1808 0.0000 0.0374
8.0 0.032 -3.97 3.4663 0.2819 0.6923 0.0831 0.0178 0.0452 0.0127 0.0041 0.0000 0.0448 0.1616 0.0000 0.0344
8.0 0.013 -3.97 2.6283 0.2161 0.5206 0.0631 0.0135 0.0343 0.0097 0.0059 0.0000 0.0339 0.1220 0.0000 0.0264
8.0 1.000 -3.75 3.6617 0.5116 0.9680 0.1008 0.0243 0.0623 0.0176 0.0013 0.0000 0.0556 0.1851 0.0000 0.0455
8.0 0.809 -3.73 3.8769 0.6180 0.7349 0.1131 0.0216 0.0551 0.0155 0.0014 0.0000 0.0552 0.1791 0.0000 0.0517
8.0 0.519 -3.71 3.8230 0.8281 0.6424 0.1242 0.0212 0.0540 0.0152 0.0019 0.0000 0.0557 0.1680 0.0000 0.0575
8.0 0.209 -3.69 3.7442 1.0188 0.5954 0.1306 0.0206 0.0525 0.0148 0.0030 0.0000 0.0563 0.1587 0.0000 0.0641
8.0 0.134 -3.68 3.7621 1.0437 0.5857 0.1314 0.0202 0.0515 0.0145 0.0037 0.0000 0.0563 0.1574 0.0000 0.0669
8.0 0.056 -3.68 3.9742 1.0956 0.5997 0.1374 0.0203 0.0515 0.0144 0.0054 0.0000 0.0586 0.1633 0.0000 0.0740
8.0 0.032 -3.68 3.5696 0.9711 0.5299 0.1224 0.0178 0.0450 0.0126 0.0064 0.0000 0.0521 0.1455 0.0000 0.0679
8.0 0.013 -3.68 2.6858 0.7405 0.3955 0.0922 0.0134 0.0340 0.0096 0.0090 0.0000 0.0392 0.1089 0.0000 0.0520
8.0 1.000 -3.51 3.5390 1.3725 0.7669 0.1364 0.0235 0.0601 0.0170 0.0016 0.0000 0.0615 0.1620 0.0000 0.0792
8.0 0.795 -3.48 3.6182 1.6921 0.5477 0.1550 0.0214 0.0545 0.0153 0.0019 0.0000 0.0624 0.1485 0.0000 0.0914
8.0 0.522 -3.45 3.2186 2.1942 0.4577 0.1674 0.0212 0.0540 0.0152 0.0025 0.0000 0.0631 0.1249 0.0011 0.0999
8.0 0.201 -3.40 2.8649 2.6203 0.4041 0.1740 0.0206 0.0525 0.0148 0.0045 0.0000 0.0635 0.1053 0.0015 0.1110
8.0 0.127 -3.39 2.8414 2.6817 0.3933 0.1745 0.0202 0.0514 0.0145 0.0057 0.0000 0.0634 0.1025 0.0016 0.1160
8.0 0.056 -3.38 3.0254 2.8575 0.4046 0.1839 0.0204 0.0517 0.0145 0.0084 0.0000 0.0667 0.1067 0.0018 0.1294
8.0 0.032 -3.38 2.7007 2.5313 0.3536 0.1624 0.0177 0.0448 0.0125 0.0102 0.0000 0.0588 0.0942 0.0016 0.1181
8.0 0.013 -3.38 2.0081 1.9139 0.2614 0.1215 0.0132 0.0336 0.0094 0.0141 0.0000 0.0439 0.0696 0.0012 0.0899
8.0 1.000 -3.26 2.8642 2.7743 0.5722 0.1713 0.0229 0.0584 0.0165 0.0018 0.0000 0.0671 0.1218 0.0034 0.1276
8.0 0.799 -3.22 2.6619 3.4030 0.3692 0.1937 0.0213 0.0542 0.0152 0.0022 0.0000 0.0688 0.0981 0.0043 0.1471
8.0 0.513 -3.16 1.8558 4.2189 0.2764 0.2049 0.0212 0.0539 0.0151 0.0033 0.0000 0.0691 0.0629 0.0060 0.1579
8.0 0.223 -3.09 1.4100 4.7402 0.2294 0.2104 0.0209 0.0530 0.0149 0.0062 0.0011 0.0695 0.0448 0.0088 0.1717
8.0 0.136 -3.07 1.3472 4.8374 0.2167 0.2097 0.0202 0.0512 0.0143 0.0083 0.0012 0.0690 0.0416 0.0101 0.1814
8.0 0.064 -3.04 1.2855 4.8411 0.2027 0.2055 0.0192 0.0488 0.0137 0.0122 0.0013 0.0675 0.0386 0.0113 0.1888
8.0 0.028 -3.03 1.3575 5.0941 0.2076 0.2141 0.0193 0.0490 0.0136 0.0180 0.0013 0.0704 0.0399 0.0125 0.2067
8.0 0.022 -3.03 1.1369 4.2598 0.1713 0.1782 0.0159 0.0402 0.0112 0.0209 0.0011 0.0586 0.0332 0.0107 0.1761
8.0 1.000 -3.01 2.1051 4.2920 0.4132 0.1944 0.0224 0.0572 0.0161 0.0021 0.0019 0.0701 0.0858 0.0133 0.1895
8.0 0.795 -2.96 1.6100 5.2320 0.2226 0.2170 0.0212 0.0539 0.0151 0.0026 0.0024 0.0718 0.0535 0.0167 0.2180
8.0 0.489 -2.86 0.7715 6.0382 0.1371 0.2195 0.0211 0.0538 0.0151 0.0041 0.0035 0.0699 0.0226 0.0245 0.2284
8.0 0.211 -2.74 0.4832 6.4391 0.0962 0.2143 0.0206 0.0525 0.0147 0.0087 0.0050 0.0671 0.0129 0.0397 0.2463
8.0 0.118 -2.69 0.4382 6.6512 0.0859 0.2126 0.0199 0.0506 0.0141 0.0137 0.0057 0.0664 0.0112 0.0529 0.2677
8.0 0.051 -2.64 0.4163 6.9351 0.0795 0.2140 0.0194 0.0494 0.0138 0.0233 0.0064 0.0667 0.0102 0.0737 0.2940
8.0 0.021 -2.61 0.3548 6.1468 0.0661 0.1855 0.0164 0.0416 0.0116 0.0351 0.0058 0.0579 0.0085 0.0815 0.2721
8.0 0.015 -2.60 0.3308 5.7424 0.0607 0.1723 0.0150 0.0378 0.0105 0.0446 0.0055 0.0538 0.0078 0.0816 0.2588
8.0 1.000 -2.77 1.5821 5.6450 0.3076 0.1972 0.0220 0.0563 0.0158 0.0025 0.0054 0.0681 0.0628 0.0435 0.2552
8.0 0.783 -2.70 0.9035 6.8162 0.1296 0.2145 0.0211 0.0537 0.0150 0.0031 0.0069 0.0683 0.0269 0.0553 0.2923
8.0 0.494 -2.59 0.3531 7.4251 0.0658 0.2021 0.0211 0.0537 0.0150 0.0049 0.0099 0.0621 0.0089 0.0801 0.2986
8.0 0.201 -2.39 0.1764 7.9302 0.0327 0.1764 0.0204 0.0520 0.0145 0.0115 0.0149 0.0520 0.0037 0.1405 0.3213
8.0 0.107 -2.29 0.1415 8.2532 0.0241 0.1638 0.0195 0.0498 0.0139 0.0206 0.0177 0.0474 0.0026 0.1963 0.3480
8.0 0.052 -2.20 0.1215 8.4007 0.0192 0.1527 0.0182 0.0462 0.0128 0.0372 0.0196 0.0437 0.0021 0.2677 0.3707
8.0 0.019 -2.13 0.1025 7.9251 0.0151 0.1349 0.0156 0.0395 0.0109 0.0690 0.0196 0.0385 0.0017 0.3806 0.3696
8.0 0.014 -2.11 0.0940 7.4709 0.0136 0.1251 0.0142 0.0360 0.0099 0.0890 0.0188 0.0357 0.0015 0.4506 0.3550
8.0 1.000 -2.51 1.2482 6.8641 0.2428 0.1875 0.0217 0.0555 0.0155 0.0031 0.0102 0.0636 0.0487 0.1019 0.3145
8.0 0.768 -2.44 0.5227 8.1919 0.0784 0.1960 0.0209 0.0534 0.0149 0.0040 0.0132 0.0614 0.0138 0.1320 0.3581
8.0 0.476 -2.31 0.1830 8.6911 0.0318 0.1664 0.0209 0.0532 0.0148 0.0065 0.0187 0.0497 0.0038 0.1953 0.3503
8.0 0.210 -2.10 0.0862 9.2980 0.0121 0.1257 0.0202 0.0514 0.0143 0.0143 0.0264 0.0353 0.0013 0.3437 0.3535
8.0 0.098 -1.92 0.0573 9.8489 0.0060 0.0982 0.0189 0.0481 0.0133 0.0298 0.0322 0.0267 0.0000 0.5436 0.3703
8.0 0.049 -1.79 0.0440 10.0528 0.0037 0.0806 0.0171 0.0436 0.0120 0.0562 0.0355 0.0217 0.0000 0.7588 0.3800
8.0 0.020 -1.66 0.0322 9.3330 0.0012 0.0624 0.0132 0.0336 0.0092 0.1188 0.0359 0.0167 0.0000 1.0568 0.3689
8.0 0.013 -1.59 0.0253 8.0410 0.0000 0.0507 0.0101 0.0258 0.0070 0.1722 0.0326 0.0136 0.0000 1.2684 0.3340
8.0 1.000 -2.28 1.0335 7.9195 0.2030 0.1755 0.0214 0.0549 0.0153 0.0041 0.0150 0.0594 0.0400 0.1627 0.3628
8.0 0.760 -2.20 0.3427 9.3444 0.0524 0.1753 0.0207 0.0530 0.0147 0.0054 0.0195 0.0549 0.0080 0.2129 0.4093
8.0 0.480 -2.07 0.1220 9.8399 0.0185 0.1378 0.0207 0.0527 0.0147 0.0084 0.0266 0.0407 0.0021 0.3128 0.3857
8.0 0.206 -1.84 0.0520 10.5529 0.0053 0.0882 0.0198 0.0504 0.0140 0.0193 0.0361 0.0244 0.0000 0.5785 0.3553
8.0 0.098 -1.65 0.0317 11.1328 0.0011 0.0590 0.0183 0.0466 0.0129 0.0396 0.0426 0.0163 0.0000 0.9374 0.3417
8.0 0.048 -1.47 0.0215 11.4116 0.0000 0.0405 0.0161 0.0410 0.0112 0.0790 0.0473 0.0115 0.0000 1.4159 0.3302
8.0 0.020 -1.28 0.0133 10.3843 0.0000 0.0257 0.0112 0.0284 0.0077 0.1769 0.0484 0.0076 0.0000 2.1167 0.3079
8.0 0.013 -1.18 0.0099 9.1200 0.0000 0.0204 0.0076 0.0194 0.0052 0.2779 0.0477 0.0062 0.0000 2.7044 0.2982
8.0 1.000 -2.03 0.8662 8.9866 0.1729 0.1617 0.0211 0.0543 0.0151 0.0056 0.0203 0.0549 0.0333 0.2241 0.4093
8.0 0.752 -1.95 0.2324 10.5258 0.0351 0.1527 0.0205 0.0524 0.0145 0.0075 0.0266 0.0480 0.0048 0.2965 0.4573
8.0 0.485 -1.83 0.0874 11.0924 0.0112 0.1126 0.0204 0.0520 0.0144 0.0115 0.0348 0.0331 0.0012 0.4280 0.4203
8.0 0.188 -1.56 0.0318 11.8320 0.0012 0.0570 0.0191 0.0487 0.0135 0.0292 0.0458 0.0161 0.0000 0.8542 0.3400
8.0 0.100 -1.39 0.0199 12.3133 0.0000 0.0359 0.0177 0.0450 0.0124 0.0541 0.0516 0.0105 0.0000 1.3065 0.3049
8.0 0.046 -1.17 0.0113 12.0018 0.0000 0.0190 0.0145 0.0369 0.0100 0.1134 0.0554 0.0062 0.0000 2.0769 0.2589
8.0 0.020 -0.95 0.0059 10.2470 0.0000 0.0097 0.0088 0.0225 0.0061 0.2509 0.0570 0.0036 0.0000 3.3145 0.2279
8.0 0.013 -0.80 0.0034 7.8283 0.0000 0.0065 0.0041 0.0105 0.0028 0.4181 0.0574 0.0026 0.0000 4.7007 0.2195
8.0 1.000 -1.78 0.7421 10.0022 0.1508 0.1476 0.0208 0.0536 0.0149 0.0078 0.0258 0.0506 0.0285 0.2880 0.4484
8.0 0.737 -1.70 0.1627 11.7062 0.0236 0.1300 0.0202 0.0517 0.0143 0.0106 0.0341 0.0413 0.0029 0.3873 0.4968
8.0 0.468 -1.58 0.0625 12.4318 0.0065 0.0885 0.0201 0.0513 0.0142 0.0166 0.0436 0.0260 0.0000 0.5652 0.4457
