#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, f_abs: 0.01 - 1.0
# SED: BPASS v.2.1 (Eldridge et al 2017), alpha(IMF) = -1.35, M_up = 300, age = 4 Myr, Z_* = 1e-5
# Spherical geometry
#
12+log(O/H) f_abs log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 HeI_4471 HeI_5876 HeI_6678 HeII_4686 ArIV_4740 ArIII_7135 NII_6584	CIV_1549	CIII_1909
7.1 0.109 -2.31 0.0341 1.9036 0.0045 0.0309 0.0183 0.0470 0.0128 0.0221 0.0054 0.0111 0.0000 0.4457 0.7819
7.1 0.051 -2.20 0.0273 1.8859 0.0033 0.0277 0.0166 0.0426 0.0116 0.0423 0.0059 0.0098 0.0000 0.5671 0.8070
7.1 0.020 -2.13 0.0217 1.7031 0.0026 0.0236 0.0138 0.0353 0.0096 0.0770 0.0057 0.0082 0.0000 0.6594 0.7544
7.1 0.013 -2.10 0.0182 1.4881 0.0012 0.0203 0.0117 0.0299 0.0081 0.1050 0.0051 0.0071 0.0000 0.6677 0.6695
7.1 1.000 -2.55 0.1988 1.2723 0.0350 0.0295 0.0205 0.0526 0.0146 0.0032 0.0026 0.0124 0.0070 0.2299 0.4579
7.1 0.803 -2.49 0.1168 1.5285 0.0146 0.0322 0.0196 0.0501 0.0138 0.0040 0.0033 0.0127 0.0028 0.2861 0.5483
7.1 0.506 -2.38 0.0502 1.8328 0.0070 0.0314 0.0195 0.0501 0.0138 0.0063 0.0048 0.0118 0.0000 0.4399 0.6934
7.1 0.201 -2.16 0.0235 2.1888 0.0027 0.0259 0.0188 0.0484 0.0132 0.0154 0.0079 0.0089 0.0000 0.8783 0.8953
7.1 0.113 -2.02 0.0173 2.3427 0.0000 0.0224 0.0181 0.0465 0.0126 0.0268 0.0095 0.0074 0.0000 1.2330 0.9819
7.1 0.051 -1.85 0.0119 2.3814 0.0000 0.0176 0.0159 0.0411 0.0111 0.0575 0.0108 0.0055 0.0000 1.7470 1.0192
7.1 0.022 -1.70 0.0085 2.1940 0.0000 0.0137 0.0125 0.0321 0.0086 0.1196 0.0109 0.0042 0.0000 2.1702 0.9692
7.1 0.012 -1.61 0.0064 1.8573 0.0000 0.0109 0.0091 0.0235 0.0063 0.1984 0.0099 0.0033 0.0000 2.4080 0.8585
7.1 1.000 -2.30 0.1615 1.4618 0.0290 0.0274 0.0201 0.0517 0.0143 0.0043 0.0038 0.0115 0.0057 0.4230 0.5293
7.1 0.800 -2.25 0.0793 1.7440 0.0102 0.0293 0.0192 0.0494 0.0136 0.0054 0.0048 0.0115 0.0018 0.5279 0.6330
7.1 0.511 -2.14 0.0336 2.0756 0.0044 0.0269 0.0192 0.0494 0.0135 0.0084 0.0069 0.0100 0.0000 0.8028 0.7879
7.1 0.208 -1.91 0.0152 2.5081 0.0000 0.0199 0.0185 0.0478 0.0129 0.0202 0.0108 0.0066 0.0000 1.6219 0.9833
7.1 0.113 -1.76 0.0105 2.7157 0.0000 0.0156 0.0177 0.0457 0.0123 0.0365 0.0130 0.0049 0.0000 2.3887 1.0486
7.1 0.053 -1.56 0.0067 2.7723 0.0000 0.0107 0.0155 0.0400 0.0107 0.0753 0.0145 0.0033 0.0000 3.4732 1.0261
7.1 0.021 -1.34 0.0040 2.4881 0.0000 0.0066 0.0109 0.0282 0.0075 0.1749 0.0147 0.0020 0.0000 4.6598 0.9000
7.1 0.013 -1.21 0.0027 2.0656 0.0000 0.0049 0.0066 0.0173 0.0045 0.3085 0.0141 0.0015 0.0000 5.4527 0.7943
7.1 1.000 -2.10 0.1392 1.5921 0.0255 0.0256 0.0198 0.0510 0.0141 0.0055 0.0048 0.0107 0.0049 0.5817 0.5691
7.1 0.744 -2.03 0.0491 1.9598 0.0065 0.0263 0.0190 0.0489 0.0134 0.0074 0.0064 0.0102 0.0000 0.7797 0.7090
7.1 0.472 -1.93 0.0229 2.2937 0.0026 0.0227 0.0189 0.0487 0.0133 0.0116 0.0089 0.0082 0.0000 1.1820 0.8562
7.1 0.197 -1.70 0.0111 2.7578 0.0000 0.0157 0.0182 0.0471 0.0127 0.0274 0.0131 0.0051 0.0000 2.3237 1.0163
7.1 0.097 -1.51 0.0068 2.9275 0.0000 0.0104 0.0166 0.0430 0.0115 0.0547 0.0153 0.0032 0.0000 3.5850 1.0055
7.1 0.047 -1.31 0.0042 2.8811 0.0000 0.0063 0.0139 0.0362 0.0096 0.1109 0.0165 0.0020 0.0000 5.0543 0.8920
7.1 0.020 -1.08 0.0014 2.4901 0.0000 0.0035 0.0091 0.0236 0.0062 0.2470 0.0166 0.0011 0.0000 6.7556 0.7224
7.1 0.013 -0.93 0.0000 1.9510 0.0000 0.0025 0.0046 0.0120 0.0031 0.4222 0.0162 0.0000 0.0000 8.0676 0.6140
7.1 1.000 -1.80 0.1131 1.7695 0.0213 0.0226 0.0193 0.0499 0.0138 0.0083 0.0062 0.0095 0.0040 0.8253 0.6087
7.1 0.785 -1.74 0.0387 2.1048 0.0052 0.0224 0.0185 0.0477 0.0131 0.0105 0.0078 0.0088 0.0000 1.0498 0.7298
7.1 0.504 -1.64 0.0169 2.4885 0.0000 0.0183 0.0184 0.0474 0.0129 0.0163 0.0108 0.0066 0.0000 1.5805 0.8775
7.1 0.201 -1.41 0.0075 3.0351 0.0000 0.0110 0.0175 0.0453 0.0121 0.0404 0.0157 0.0035 0.0000 3.2181 1.0001
7.1 0.107 -1.24 0.0048 3.1798 0.0000 0.0069 0.0160 0.0415 0.0110 0.0750 0.0177 0.0022 0.0000 4.7279 0.9279
7.1 0.050 -1.02 0.0026 2.9748 0.0000 0.0034 0.0128 0.0332 0.0087 0.1556 0.0184 0.0012 0.0000 6.6288 0.7099
7.1 0.020 -0.76 0.0000 2.2132 0.0000 0.0015 0.0065 0.0169 0.0044 0.3582 0.0176 0.0000 0.0000 8.7621 0.4733
7.1 0.013 -0.58 0.0000 1.4695 0.0000 0.0000 0.0022 0.0058 0.0015 0.5939 0.0174 0.0000 0.0000 10.8312 0.3643
7.1 1.000 -1.56 0.0974 1.8946 0.0187 0.0203 0.0189 0.0489 0.0135 0.0114 0.0072 0.0086 0.0035 1.0235 0.6232
7.1 0.777 -1.50 0.0285 2.2554 0.0038 0.0192 0.0181 0.0467 0.0128 0.0147 0.0092 0.0076 0.0000 1.3145 0.7473
7.1 0.498 -1.40 0.0126 2.6671 0.0000 0.0147 0.0179 0.0462 0.0125 0.0228 0.0126 0.0052 0.0000 1.9752 0.8850
7.1 0.202 -1.17 0.0057 3.2155 0.0000 0.0081 0.0168 0.0435 0.0116 0.0554 0.0174 0.0026 0.0000 3.9218 0.9572
7.1 0.100 -0.98 0.0033 3.2874 0.0000 0.0044 0.0148 0.0385 0.0101 0.1100 0.0193 0.0014 0.0000 5.8426 0.8054
7.1 0.050 -0.77 0.0010 2.8905 0.0000 0.0020 0.0112 0.0291 0.0076 0.2171 0.0190 0.0000 0.0000 7.7215 0.5545
7.1 0.020 -0.51 0.0000 1.9108 0.0000 0.0000 0.0042 0.0111 0.0029 0.4999 0.0182 0.0000 0.0000 10.2472 0.3507
7.1 0.013 -0.34 0.0000 1.1059 0.0000 0.0000 0.0012 0.0033 0.0000 0.7590 0.0174 0.0000 0.0000 12.3433 0.2429
7.4 1.000 -4.01 1.0376 0.0475 0.3251 0.0196 0.0247 0.0632 0.0179 0.0010 0.0000 0.0139 0.0529 0.0000 0.0419
7.4 0.813 -4.00 1.1246 0.0570 0.2539 0.0219 0.0215 0.0547 0.0154 0.0011 0.0000 0.0137 0.0526 0.0000 0.0478
7.4 0.511 -3.99 1.1984 0.0777 0.2336 0.0245 0.0207 0.0528 0.0149 0.0014 0.0000 0.0139 0.0525 0.0000 0.0561
7.4 0.212 -3.97 1.3000 0.1011 0.2372 0.0275 0.0213 0.0543 0.0153 0.0022 0.0000 0.0150 0.0551 0.0000 0.0670
