#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, f_abs: 0.01 - 1.0
# SED: Black-body, T = 1e5 K
# Spherical geometry
#
12+log(O/H) f_abs log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 HeI_4471 HeI_5876 HeI_6678 HeII_4686 ArIV_4740 ArIII_7135 NII_6584	CIV_1549	CIII_1909
7.1 0.029 -2.62 0.0429 0.9636 0.0097 0.0320 0.0046 0.0117 0.0032 0.3022 0.0032 0.0123 0.0011 0.2898 0.5436
7.1 0.024 -2.60 0.0412 0.9245 0.0093 0.0310 0.0044 0.0111 0.0030 0.2993 0.0032 0.0119 0.0011 0.2895 0.5332
7.1 1.000 -2.81 0.2370 0.8656 0.0447 0.0275 0.0161 0.0413 0.0115 0.0904 0.0023 0.0114 0.0089 0.1967 0.3702
7.1 0.706 -2.72 0.1170 1.1093 0.0163 0.0310 0.0132 0.0336 0.0093 0.1275 0.0032 0.0115 0.0030 0.2758 0.4794
7.1 0.451 -2.62 0.0509 1.1785 0.0092 0.0299 0.0099 0.0251 0.0069 0.1957 0.0046 0.0103 0.0011 0.4133 0.5821
7.1 0.178 -2.42 0.0147 0.8708 0.0044 0.0251 0.0033 0.0084 0.0023 0.3271 0.0068 0.0076 0.0000 0.7812 0.6722
7.1 0.093 -2.31 0.0083 0.6732 0.0030 0.0225 0.0022 0.0055 0.0015 0.3465 0.0075 0.0065 0.0000 1.0206 0.6828
7.1 0.052 -2.23 0.0060 0.5696 0.0024 0.0208 0.0018 0.0045 0.0012 0.3514 0.0077 0.0058 0.0000 1.1775 0.6800
7.1 0.020 -2.14 0.0047 0.4888 0.0011 0.0192 0.0015 0.0039 0.0010 0.3559 0.0077 0.0053 0.0000 1.3169 0.6701
7.1 0.019 -2.12 0.0042 0.4583 0.0010 0.0183 0.0014 0.0037 0.0000 0.3517 0.0075 0.0050 0.0000 1.3251 0.6511
7.1 1.000 -2.57 0.1889 0.9276 0.0358 0.0260 0.0151 0.0388 0.0108 0.1005 0.0032 0.0106 0.0070 0.3854 0.4261
