#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log C/O: -1.4 - 0.6, log U: -4.0 - -1.5
# SED: POPSTAR, Chabrier IMF, age = 1 Myr
# Plane-parallel geometry
#
12+log(O/H) log(C/O) log(U) Lya_1216 CIV_1549 HeII_1640 OIII_1665 CIII_1909 OIII_5007
6.9 -0.650 -3.0 4.0183 0.0018 0.0044 0.0164 0.0474 0.3779
6.9 -0.650 -2.75 2.9058 0.0064 0.0053 0.0303 0.072 0.5557
6.9 -0.650 -2.5 2.1188 0.0185 0.0067 0.0496 0.1041 0.7302
6.9 -0.650 -2.25 1.5748 0.0456 0.0088 0.0756 0.1429 0.8993
6.9 -0.650 -2.0 1.2016 0.1008 0.0121 0.1097 0.1859 1.0652
6.9 -0.650 -1.75 0.9482 0.2027 0.0172 0.153 0.2292 1.2287
6.9 -0.650 -1.5 0.7736 0.3712 0.0252 0.2062 0.2675 1.3899
6.9 -0.525 -4.0 16.0342 0.0 0.0022 0.0 0.0065 0.0104
6.9 -0.525 -3.75 11.0145 0.0 0.0027 0.0 0.0126 0.0334
6.9 -0.525 -3.5 7.7966 0.0 0.0033 0.0025 0.023 0.0941
6.9 -0.525 -3.25 5.5674 0.0 0.0038 0.0073 0.0394 0.2132
6.9 -0.525 -3.0 4.0181 0.0024 0.0044 0.0164 0.0632 0.3777
6.9 -0.525 -2.75 2.9051 0.0084 0.0053 0.0302 0.0958 0.5553
6.9 -0.525 -2.5 2.1188 0.0239 0.0067 0.0495 0.1384 0.7294
6.9 -0.525 -2.25 1.5732 0.0589 0.0088 0.0753 0.1898 0.898
6.9 -0.525 -2.0 1.201 0.1307 0.0121 0.109 0.2465 1.0629
6.9 -0.525 -1.75 0.9475 0.2619 0.0172 0.1516 0.303 1.225
6.9 -0.525 -1.5 0.7727 0.4752 0.0251 0.2035 0.3524 1.3842
6.9 -0.400 -4.0 16.0411 0.0 0.0022 0.0 0.0086 0.0104
6.9 -0.400 -3.75 11.0034 0.0 0.0027 0.0 0.0168 0.0334
6.9 -0.400 -3.5 7.7963 0.0 0.0033 0.0025 0.0307 0.094
6.9 -0.400 -3.25 5.5654 0.0 0.0038 0.0073 0.0525 0.213
6.9 -0.400 -3.0 4.0148 0.0032 0.0044 0.0163 0.0841 0.3774
6.9 -0.400 -2.75 2.9046 0.011 0.0053 0.0301 0.1275 0.5546
6.9 -0.400 -2.5 2.117 0.0309 0.0067 0.0492 0.184 0.7283
6.9 -0.400 -2.25 1.5732 0.0763 0.0088 0.0748 0.2518 0.8962
6.9 -0.400 -2.0 1.2006 0.1693 0.0121 0.1081 0.3263 1.0601
6.9 -0.400 -1.75 0.9474 0.3371 0.0171 0.1497 0.3996 1.2201
6.9 -0.400 -1.5 0.7765 0.6036 0.0251 0.2001 0.4627 1.3768
6.9 -0.275 -4.0 16.0313 0.0 0.0022 0.0 0.0115 0.0104
6.9 -0.275 -3.75 10.9998 0.0 0.0027 0.0 0.0223 0.0333
6.9 -0.275 -3.5 7.7894 0.0 0.0033 0.0025 0.0408 0.0939
6.9 -0.275 -3.25 5.5651 0.0 0.0038 0.0073 0.0698 0.2128
6.9 -0.275 -3.0 4.0132 0.0042 0.0044 0.0163 0.1118 0.3769
6.9 -0.275 -2.75 2.9022 0.0142 0.0053 0.03 0.1694 0.5538
6.9 -0.275 -2.5 2.1183 0.0399 0.0067 0.049 0.2441 0.7269
6.9 -0.275 -2.25 1.5719 0.0988 0.0088 0.0742 0.3334 0.8938
6.9 -0.275 -2.0 1.2037 0.2187 0.012 0.1068 0.4305 1.0558
6.9 -0.275 -1.75 0.9512 0.4313 0.0171 0.1474 0.5255 1.214
6.9 -0.275 -1.5 0.775 0.7576 0.025 0.1957 0.6045 1.3669
6.9 -0.150 -4.0 16.0269 0.0 0.0022 0.0 0.0153 0.0104
6.9 -0.150 -3.75 11.0549 0.0 0.0027 0.0 0.0297 0.0333
6.9 -0.150 -3.5 7.7899 0.0 0.0033 0.0025 0.0543 0.0938
6.9 -0.150 -3.25 5.5611 0.0013 0.0038 0.0072 0.0928 0.2125
