#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log N/O: -2.0 - 0.0, log U: -4.0 - -1.5 (O/H vs log U empirically constrained)
# SED: POPSTAR, Chabrier IMF, age = 1 Myr
# Plane-parallel geometry
#
#12+log(O/H) log(N/O) log(U) HI_4.05m HI_7.46m SIV_10.5m HI_12.4m NeII_12.8m NeIII_15.5m SIII_18.7m SIII_33.7m OIII_52m NIII_57m OIII_88m NII_121.8m
6.90 -0.375 -2.25 0.0592 0.0175 0.0246 0.0064 0.0000 0.0310 0.0177 0.0174 0.0656 0.0306 0.0405 0.0000
6.90 -0.375 -2.00 0.0583 0.0172 0.0372 0.0063 0.0000 0.0322 0.0162 0.0159 0.0709 0.0300 0.0438 0.0000
6.90 -0.250 -2.50 0.0601 0.0178 0.0144 0.0066 0.0015 0.0294 0.0183 0.0180 0.0587 0.0392 0.0361 0.0010
6.90 -0.250 -2.25 0.0593 0.0176 0.0246 0.0065 0.0000 0.0309 0.0177 0.0173 0.0655 0.0408 0.0404 0.0000
6.90 -0.250 -2.00 0.0585 0.0173 0.0373 0.0064 0.0000 0.0322 0.0162 0.0158 0.0707 0.0399 0.0437 0.0000
6.90 -0.125 -2.50 0.0602 0.0179 0.0144 0.0066 0.0015 0.0294 0.0183 0.0180 0.0586 0.0522 0.0360 0.0014
6.90 -0.125 -2.25 0.0594 0.0176 0.0246 0.0065 0.0000 0.0309 0.0176 0.0173 0.0653 0.0543 0.0403 0.0000
6.90 -0.125 -2.00 0.0586 0.0173 0.0373 0.0064 0.0000 0.0321 0.0161 0.0158 0.0704 0.0531 0.0435 0.0000
6.90 0.000 -2.50 0.0603 0.0179 0.0144 0.0066 0.0015 0.0293 0.0182 0.0180 0.0584 0.0695 0.0359 0.0018
6.90 0.000 -2.25 0.0596 0.0177 0.0246 0.0065 0.0000 0.0308 0.0176 0.0173 0.0651 0.0723 0.0401 0.0013
6.90 0.000 -2.00 0.0589 0.0174 0.0374 0.0064 0.0000 0.0320 0.0160 0.0157 0.0701 0.0706 0.0432 0.0000
7.00 -2.000 -2.50 0.0599 0.0178 0.0180 0.0065 0.0012 0.0234 0.0231 0.0228 0.0741 0.0000 0.0456 0.0000
7.00 -2.000 -2.25 0.0590 0.0174 0.0308 0.0064 0.0000 0.0246 0.0224 0.0220 0.0829 0.0000 0.0512 0.0000
7.00 -2.000 -2.00 0.0579 0.0171 0.0465 0.0063 0.0000 0.0257 0.0206 0.0201 0.0898 0.0000 0.0555 0.0000
7.00 -1.875 -2.50 0.0599 0.0178 0.0180 0.0065 0.0012 0.0234 0.0231 0.0228 0.0741 0.0012 0.0456 0.0000
7.00 -1.875 -2.25 0.0590 0.0174 0.0308 0.0064 0.0000 0.0246 0.0224 0.0220 0.0829 0.0012 0.0511 0.0000
7.00 -1.875 -2.00 0.0580 0.0171 0.0465 0.0063 0.0000 0.0257 0.0206 0.0201 0.0898 0.0012 0.0555 0.0000
7.00 -1.750 -2.50 0.0599 0.0178 0.0180 0.0065 0.0012 0.0234 0.0231 0.0228 0.0741 0.0016 0.0456 0.0000
7.00 -1.750 -2.25 0.0590 0.0174 0.0308 0.0064 0.0000 0.0246 0.0224 0.0220 0.0829 0.0016 0.0511 0.0000
7.00 -1.750 -2.00 0.0580 0.0171 0.0465 0.0063 0.0000 0.0257 0.0206 0.0201 0.0898 0.0016 0.0555 0.0000
7.00 -1.675 -2.50 0.0600 0.0178 0.0180 0.0066 0.0012 0.0234 0.0231 0.0227 0.0739 0.0019 0.0454 0.0000
7.00 -1.675 -2.25 0.0592 0.0175 0.0308 0.0064 0.0000 0.0246 0.0223 0.0219 0.0826 0.0019 0.0509 0.0000
7.00 -1.675 -2.00 0.0583 0.0172 0.0467 0.0063 0.0000 0.0256 0.0205 0.0200 0.0893 0.0019 0.0552 0.0000
7.00 -1.500 -2.50 0.0599 0.0178 0.0180 0.0065 0.0012 0.0234 0.0231 0.0228 0.0741 0.0028 0.0456 0.0000
7.00 -1.500 -2.25 0.0590 0.0174 0.0308 0.0064 0.0000 0.0246 0.0224 0.0219 0.0829 0.0029 0.0511 0.0000
7.00 -1.500 -2.00 0.0580 0.0171 0.0465 0.0063 0.0000 0.0257 0.0206 0.0201 0.0898 0.0028 0.0555 0.0000
7.00 -1.375 -2.50 0.0599 0.0178 0.0180 0.0065 0.0012 0.0234 0.0231 0.0228 0.0741 0.0037 0.0456 0.0000
7.00 -1.375 -2.25 0.0590 0.0174 0.0308 0.0064 0.0000 0.0246 0.0224 0.0219 0.0829 0.0039 0.0511 0.0000
7.00 -1.375 -2.00 0.0580 0.0171 0.0466 0.0063 0.0000 0.0257 0.0206 0.0201 0.0897 0.0038 0.0555 0.0000
7.00 -1.250 -2.50 0.0599 0.0178 0.0180 0.0065 0.0012 0.0234 0.0231 0.0228 0.0741 0.0050 0.0455 0.0000
7.00 -1.250 -2.25 0.0590 0.0174 0.0308 0.0064 0.0000 0.0246 0.0224 0.0219 0.0828 0.0052 0.0511 0.0000
7.00 -1.250 -2.00 0.0580 0.0171 0.0466 0.0063 0.0000 0.0257 0.0206 0.0201 0.0897 0.0051 0.0555 0.0000
7.00 -1.125 -2.50 0.0600 0.0178 0.0180 0.0065 0.0012 0.0234 0.0231 0.0228 0.0741 0.0066 0.0455 0.0000
7.00 -1.125 -2.25 0.0590 0.0175 0.0308 0.0064 0.0000 0.0246 0.0224 0.0219 0.0828 0.0069 0.0511 0.0000
7.00 -1.125 -2.00 0.0581 0.0171 0.0466 0.0063 0.0000 0.0257 0.0206 0.0201 0.0896 0.0067 0.0554 0.0000
7.00 -1.000 -2.50 0.0600 0.0178 0.0180 0.0065 0.0012 0.0234 0.0231 0.0228 0.0740 0.0088 0.0455 0.0000
7.00 -1.000 -2.25 0.0591 0.0175 0.0308 0.0064 0.0000 0.0246 0.0223 0.0219 0.0828 0.0092 0.0510 0.0000
7.00 -1.000 -2.00 0.0581 0.0171 0.0466 0.0063 0.0000 0.0257 0.0206 0.0201 0.0896 0.0090 0.0554 0.0000
7.00 -0.875 -2.50 0.0600 0.0178 0.0180 0.0065 0.0012 0.0234 0.0231 0.0228 0.0740 0.0117 0.0455 0.0000
