12+log(O/H)     	 log(N/O)        	 log(U)          	 HI_4m           	 HI_7m           	 SIV_10m         	 HI_12m          	 NeII_12m        	 NeV_14m         	 NeIII_15m       	 SIII_19m        	 NeV_24m         	 OIV_26m         	 SIII_33m        	 OIII_52m        	 NIII_57m        	 OIII_88m        	 NII_122m        	 NII_205m        
6.9000000 	 -0.2500000 	 -1.7500000 	 0.0569000 	 0.0167000 	 0.0580000 	 0.0061000 	 0.0000000 	 0.0000000 	 0.0333000 	 0.0121000 	 0.0000000 	 0.0000000 	 0.0162000 	 0.0780000 	 0.0519000 	 0.0938000 	 0.0000000 	 0.0000000 
6.9000000 	 -0.3750000 	 -1.7500000 	 0.0567000 	 0.0166000 	 0.0578000 	 0.0061000 	 0.0000000 	 0.0000000 	 0.0333000 	 0.0122000 	 0.0000000 	 0.0000000 	 0.0162000 	 0.0783000 	 0.0389000 	 0.0940000 	 0.0000000 	 0.0000000 
6.9000000 	 -0.5000000 	 -1.7500000 	 0.0565000 	 0.0165000 	 0.0577000 	 0.0061000 	 0.0000000 	 0.0000000 	 0.0334000 	 0.0123000 	 0.0000000 	 0.0000000 	 0.0163000 	 0.0785000 	 0.0292000 	 0.0942000 	 0.0000000 	 0.0000000 
6.9000000 	 -0.6250000 	 -1.7500000 	 0.0563000 	 0.0165000 	 0.0576000 	 0.0061000 	 0.0000000 	 0.0000000 	 0.0334000 	 0.0123000 	 0.0000000 	 0.0000000 	 0.0163000 	 0.0786000 	 0.0219000 	 0.0943000 	 0.0000000 	 0.0000000 
6.9000000 	 -0.7500000 	 -1.7500000 	 0.0562000 	 0.0164000 	 0.0574000 	 0.0061000 	 0.0000000 	 0.0000000 	 0.0334000 	 0.0123000 	 0.0000000 	 0.0000000 	 0.0163000 	 0.0787000 	 0.0164000 	 0.0944000 	 0.0000000 	 0.0000000 
6.9000000 	 -0.8750000 	 -1.7500000 	 0.0561000 	 0.0164000 	 0.0574000 	 0.0060000 	 0.0000000 	 0.0000000 	 0.0334000 	 0.0124000 	 0.0000000 	 0.0000000 	 0.0164000 	 0.0788000 	 0.0123000 	 0.0945000 	 0.0000000 	 0.0000000 
6.9000000 	 -1.0000000 	 -1.7500000 	 0.0561000 	 0.0164000 	 0.0573000 	 0.0060000 	 0.0000000 	 0.0000000 	 0.0334000 	 0.0124000 	 0.0000000 	 0.0000000 	 0.0164000 	 0.0789000 	 0.0092000 	 0.0946000 	 0.0000000 	 0.0000000 
6.9000000 	 -1.1250000 	 -1.7500000 	 0.0560000 	 0.0163000 	 0.0572000 	 0.0060000 	 0.0000000 	 0.0000000 	 0.0334000 	 0.0124000 	 0.0000000 	 0.0000000 	 0.0164000 	 0.0789000 	 0.0069000 	 0.0946000 	 0.0000000 	 0.0000000 
6.9000000 	 -1.2500000 	 -1.7500000 	 0.0560000 	 0.0163000 	 0.0572000 	 0.0060000 	 0.0000000 	 0.0000000 	 0.0334000 	 0.0124000 	 0.0000000 	 0.0000000 	 0.0164000 	 0.0790000 	 0.0052000 	 0.0946000 	 0.0000000 	 0.0000000 
6.9000000 	 -1.3750000 	 -1.7500000 	 0.0559000 	 0.0163000 	 0.0571000 	 0.0060000 	 0.0000000 	 0.0000000 	 0.0334000 	 0.0124000 	 0.0000000 	 0.0000000 	 0.0164000 	 0.0790000 	 0.0039000 	 0.0947000 	 0.0000000 	 0.0000000 
6.9000000 	 -1.5000000 	 -1.7500000 	 0.0559000 	 0.0163000 	 0.0571000 	 0.0060000 	 0.0000000 	 0.0000000 	 0.0335000 	 0.0124000 	 0.0000000 	 0.0000000 	 0.0164000 	 0.0790000 	 0.0029000 	 0.0947000 	 0.0000000 	 0.0000000 
6.9000000 	 -1.6250000 	 -1.7500000 	 0.0559000 	 0.0163000 	 0.0571000 	 0.0060000 	 0.0000000 	 0.0000000 	 0.0335000 	 0.0124000 	 0.0000000 	 0.0000000 	 0.0164000 	 0.0790000 	 0.0022000 	 0.0947000 	 0.0000000 	 0.0000000 
6.9000000 	 -1.7500000 	 -1.7500000 	 0.0559000 	 0.0163000 	 0.0571000 	 0.0060000 	 0.0000000 	 0.0000000 	 0.0335000 	 0.0124000 	 0.0000000 	 0.0000000 	 0.0164000 	 0.0790000 	 0.0016000 	 0.0947000 	 0.0000000 	 0.0000000 
6.9000000 	 -1.8750000 	 -1.7500000 	 0.0559000 	 0.0163000 	 0.0571000 	 0.0060000 	 0.0000000 	 0.0000000 	 0.0335000 	 0.0124000 	 0.0000000 	 0.0000000 	 0.0164000 	 0.0790000 	 0.0012000 	 0.0947000 	 0.0000000 	 0.0000000 
6.9000000 	 -2.0000000 	 -1.7500000 	 0.0559000 	 0.0163000 	 0.0571000 	 0.0060000 	 0.0000000 	 0.0000000 	 0.0335000 	 0.0124000 	 0.0000000 	 0.0000000 	 0.0164000 	 0.0791000 	 0.0000000 	 0.0947000 	 0.0000000 	 0.0000000 
