#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -3.5 - -1.5, T*: 30 - 90 kK
# SED: Black-body
# Plane-parallel geometry
#
#12+log(O/H) Teff log(U) OII_3727 OIII_5007 SII_6717,31 SIII_9069 He1_5876 He2_4686
7.1 90000.0 -2.25 0.1326 1.27 0.0236 0.0297 0.0429 0.0665
7.1 30000.0 -2.0 1.0785 0.4262 0.035 0.0401 0.0488 0.0
7.1 32500.0 -2.0 0.8739 0.6701 0.0279 0.0427 0.0536 0.0
7.1 35000.0 -2.0 0.6861 0.8848 0.0238 0.0445 0.0544 0.0
7.1 37500.0 -2.0 0.5377 1.058 0.0213 0.0456 0.0546 0.0
7.1 40000.0 -2.0 0.4276 1.1929 0.0198 0.0461 0.0547 0.0
7.1 45000.0 -2.0 0.2894 1.3784 0.018 0.046 0.0546 0.0
7.1 50000.0 -2.0 0.2146 1.4919 0.0173 0.0445 0.0542 0.0021
7.1 55000.0 -2.0 0.1717 1.5614 0.0171 0.0422 0.0535 0.0046
7.1 60000.0 -2.0 0.1457 1.6007 0.017 0.0396 0.0525 0.0088
7.1 70000.0 -2.0 0.1178 1.6078 0.0172 0.0343 0.0497 0.0232
7.1 80000.0 -2.0 0.1041 1.5328 0.0174 0.03 0.0457 0.0465
7.1 90000.0 -2.0 0.0961 1.3932 0.0174 0.0265 0.0408 0.0774
7.1 30000.0 -1.75 0.9229 0.6566 0.024 0.0437 0.0522 0.0
7.1 32500.0 -1.75 0.6982 0.9285 0.0195 0.046 0.0542 0.0
7.1 35000.0 -1.75 0.5236 1.1466 0.017 0.0475 0.0546 0.0
7.1 37500.0 -1.75 0.3992 1.3143 0.0155 0.0483 0.0548 0.0
7.1 40000.0 -1.75 0.3128 1.4431 0.0145 0.0485 0.0548 0.0
7.1 45000.0 -1.75 0.2099 1.622 0.0135 0.0472 0.0546 0.001
7.1 50000.0 -1.75 0.1563 1.7335 0.0132 0.0444 0.054 0.0027
7.1 55000.0 -1.75 0.1261 1.8013 0.0131 0.041 0.0532 0.006
7.1 60000.0 -1.75 0.1078 1.8351 0.0132 0.0374 0.052 0.0113
7.1 70000.0 -1.75 0.0882 1.8105 0.0133 0.0311 0.0485 0.0294
7.1 80000.0 -1.75 0.0784 1.6729 0.0134 0.0263 0.0437 0.0577
7.1 90000.0 -1.75 0.0725 1.4546 0.0133 0.0227 0.0379 0.0938
7.1 30000.0 -1.5 0.7358 0.8909 0.0165 0.0461 0.0538 0.0
7.1 32500.0 -1.5 0.5311 1.1635 0.0138 0.0483 0.0545 0.0
7.1 35000.0 -1.5 0.3883 1.3725 0.0124 0.0495 0.0547 0.0
7.1 37500.0 -1.5 0.2931 1.5333 0.0115 0.0498 0.0549 0.0
7.1 40000.0 -1.5 0.2293 1.6582 0.011 0.0493 0.0549 0.0
7.1 45000.0 -1.5 0.1551 1.8374 0.0105 0.0466 0.0546 0.0014
7.1 50000.0 -1.5 0.117 1.9519 0.0104 0.0425 0.0539 0.0038
7.1 55000.0 -1.5 0.0956 2.0197 0.0105 0.038 0.0528 0.0081
7.1 60000.0 -1.5 0.0826 2.0454 0.0106 0.0339 0.0513 0.0152
7.1 70000.0 -1.5 0.0686 1.9712 0.0107 0.0271 0.0469 0.0388
7.1 80000.0 -1.5 0.0614 1.7486 0.0107 0.0224 0.0411 0.0738
7.1 90000.0 -1.5 0.0569 1.4348 0.0106 0.0189 0.0343 0.1156
7.4 30000.0 -3.5 1.1176 0.0037 0.2675 0.0147 0.0343 0.0
7.4 32500.0 -3.5 1.1845 0.0079 0.2556 0.0184 0.0414 0.0
7.4 35000.0 -3.5 1.2388 0.0147 0.2441 0.0219 0.0464 0.0
7.4 37500.0 -3.5 1.2829 0.0244 0.2344 0.0249 0.0497 0.0
7.4 40000.0 -3.5 1.3156 0.0372 0.2265 0.0274 0.0518 0.0
7.4 45000.0 -3.5 1.3518 0.0714 0.2156 0.0314 0.0544 0.0
7.4 50000.0 -3.5 1.3592 0.1144 0.2096 0.0341 0.0559 0.001
7.4 55000.0 -3.5 1.3472 0.1617 0.2071 0.0359 0.0567 0.0023
7.4 60000.0 -3.5 1.3227 0.2096 0.2067 0.0372 0.0572 0.0045
7.4 70000.0 -3.5 1.2623 0.2973 0.21 0.0384 0.0571 0.0125
7.4 80000.0 -3.5 1.2059 0.364 0.216 0.0388 0.0559 0.0259
7.4 90000.0 -3.5 1.1606 0.4109 0.2229 0.0387 0.054 0.044
7.4 30000.0 -3.25 1.3135 0.0108 0.2437 0.0223 0.0362 0.0
7.4 32500.0 -3.25 1.3888 0.024 0.2244 0.0273 0.044 0.0
7.4 35000.0 -3.25 1.4443 0.0447 0.2075 0.0317 0.049 0.0
7.4 37500.0 -3.25 1.4799 0.0739 0.1943 0.0353 0.0517 0.0
7.4 40000.0 -3.25 1.495 0.111 0.1842 0.0382 0.0533 0.0
7.4 45000.0 -3.25 1.4792 0.2049 0.1708 0.0424 0.055 0.0
7.4 50000.0 -3.25 1.4216 0.3131 0.1634 0.0452 0.0558 0.0012
7.4 55000.0 -3.25 1.3463 0.419 0.16 0.047 0.0562 0.0026
7.4 60000.0 -3.25 1.2701 0.5139 0.1591 0.048 0.0562 0.0051
7.4 70000.0 -3.25 1.1398 0.6619 0.1613 0.0489 0.0554 0.0142
7.4 80000.0 -3.25 1.0458 0.76 0.1654 0.0489 0.0535 0.0294
7.4 90000.0 -3.25 0.9801 0.8224 0.1701 0.0484 0.0508 0.0503
7.4 30000.0 -3.0 1.5245 0.0307 0.2092 0.032 0.0377 0.0
7.4 32500.0 -3.0 1.5927 0.068 0.1851 0.0379 0.0461 0.0
7.4 35000.0 -3.0 1.6237 0.1249 0.1654 0.0428 0.0509 0.0
7.4 37500.0 -3.0 1.6189 0.2001 0.1512 0.0466 0.0531 0.0
7.4 40000.0 -3.0 1.5827 0.2899 0.1409 0.0496 0.0542 0.0
7.4 45000.0 -3.0 1.4549 0.4896 0.1282 0.0537 0.0552 0.0
7.4 50000.0 -3.0 1.3044 0.6807 0.1217 0.0561 0.0556 0.0013
7.4 55000.0 -3.0 1.167 0.8421 0.1188 0.0576 0.0557 0.0028
7.4 60000.0 -3.0 1.0546 0.9699 0.1181 0.0583 0.0554 0.0055
7.4 70000.0 -3.0 0.8973 1.1412 0.1197 0.0584 0.0541 0.015
7.4 80000.0 -3.0 0.8018 1.2364 0.1227 0.0576 0.0518 0.0313
7.4 90000.0 -3.0 0.7412 1.2866 0.1256 0.0566 0.0486 0.0538
7.4 30000.0 -2.75 1.7271 0.0799 0.1687 0.0428 0.0394 0.0
7.4 32500.0 -2.75 1.7528 0.1715 0.144 0.049 0.0479 0.0
7.4 35000.0 -2.75 1.714 0.3 0.1248 0.0539 0.0524 0.0
7.4 37500.0 -2.75 1.6259 0.4534 0.1119 0.0576 0.054 0.0
7.4 40000.0 -2.75 1.5092 0.6165 0.1032 0.0604 0.0547 0.0
7.4 45000.0 -2.75 1.2611 0.9248 0.0929 0.064 0.0553 0.0
7.4 50000.0 -2.75 1.0519 1.1724 0.088 0.066 0.0554 0.0014
