#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -3.5 - -1.5, T*: 30 - 90 kK
# SED: Black-body
# Plane-parallel geometry
#
#12+log(O/H) Teff log(U) OII_3727 OIII_5007 SII_6717,31 SIII_9069 He1_5876 He2_4686
7.7 80000.0 -1.75 0.2833 5.5021 0.0509 0.0924 0.0463 0.059
7.7 90000.0 -1.75 0.2694 5.0386 0.0515 0.0819 0.0406 0.0973
7.7 30000.0 -1.5 1.7832 1.9199 0.0519 0.1307 0.0547 0.0
7.7 32500.0 -1.5 1.3431 2.6373 0.0436 0.1385 0.0555 0.0
7.7 35000.0 -1.5 1.0186 3.2377 0.0393 0.144 0.0559 0.0
7.7 37500.0 -1.5 0.7945 3.7382 0.0369 0.1471 0.0561 0.0
7.7 40000.0 -1.5 0.6408 4.1614 0.0357 0.1479 0.0562 0.0
7.7 45000.0 -1.5 0.4575 4.8406 0.0351 0.1436 0.0561 0.0014
7.7 50000.0 -1.5 0.3609 5.3558 0.0356 0.1337 0.0556 0.0036
7.7 55000.0 -1.5 0.3058 5.7368 0.0366 0.1219 0.0548 0.0079
7.7 60000.0 -1.5 0.2725 5.9919 0.0376 0.1102 0.0535 0.0149
7.7 70000.0 -1.5 0.2372 6.1165 0.0394 0.0909 0.0496 0.0388
7.7 80000.0 -1.5 0.2204 5.7645 0.0404 0.0771 0.044 0.0755
7.7 90000.0 -1.5 0.2109 5.0413 0.0408 0.0673 0.0372 0.1208
8.0 30000.0 -3.5 1.9855 0.0071 0.6969 0.0363 0.0347 0.0
8.0 32500.0 -3.5 2.26 0.0159 0.6983 0.0475 0.0419 0.0
8.0 35000.0 -3.5 2.5196 0.031 0.6952 0.0587 0.047 0.0
8.0 37500.0 -3.5 2.7529 0.0538 0.691 0.0691 0.0504 0.0
8.0 40000.0 -3.5 2.9615 0.0852 0.688 0.0786 0.0527 0.0
8.0 45000.0 -3.5 3.2886 0.1742 0.6858 0.0942 0.0555 0.0
8.0 50000.0 -3.5 3.5151 0.2938 0.6903 0.1062 0.0572 0.001
8.0 55000.0 -3.5 3.6683 0.434 0.7012 0.1152 0.0582 0.0023
8.0 60000.0 -3.5 3.7611 0.5839 0.7156 0.1221 0.0587 0.0045
8.0 70000.0 -3.5 3.8433 0.8796 0.7511 0.1312 0.0588 0.0126
8.0 80000.0 -3.5 3.8708 1.1323 0.7907 0.1364 0.0578 0.0261
8.0 90000.0 -3.5 3.8744 1.3284 0.8294 0.1392 0.056 0.0446
8.0 30000.0 -3.25 2.3254 0.0203 0.6425 0.0552 0.0368 0.0
8.0 32500.0 -3.25 2.6223 0.0467 0.6193 0.0703 0.0447 0.0
8.0 35000.0 -3.25 2.8909 0.091 0.5957 0.0846 0.0497 0.0
8.0 37500.0 -3.25 3.1158 0.1563 0.5764 0.0973 0.0525 0.0
8.0 40000.0 -3.25 3.2966 0.2438 0.5619 0.1083 0.0543 0.0
8.0 45000.0 -3.25 3.5224 0.4779 0.5445 0.1257 0.0562 0.0
8.0 50000.0 -3.25 3.607 0.7696 0.5382 0.1386 0.0572 0.0012
8.0 55000.0 -3.25 3.6085 1.08 0.5412 0.1481 0.0577 0.0027
8.0 60000.0 -3.25 3.572 1.3818 0.5502 0.1552 0.0578 0.0052
8.0 70000.0 -3.25 3.4657 1.9111 0.577 0.1645 0.0572 0.0144
8.0 80000.0 -3.25 3.369 2.321 0.6066 0.1698 0.0555 0.03
8.0 90000.0 -3.25 3.2933 2.6227 0.6343 0.1727 0.0528 0.0515
8.0 30000.0 -3.0 2.6533 0.0544 0.5569 0.0789 0.0383 0.0
8.0 32500.0 -3.0 2.9393 0.1256 0.5146 0.0968 0.0468 0.0
8.0 35000.0 -3.0 3.1666 0.2405 0.4769 0.113 0.0518 0.0
8.0 37500.0 -3.0 3.3162 0.4011 0.4489 0.1267 0.0541 0.0
8.0 40000.0 -3.0 3.3951 0.6023 0.4291 0.1381 0.0553 0.0
8.0 45000.0 -3.0 3.3801 1.0856 0.4059 0.1554 0.0565 0.0
8.0 50000.0 -3.0 3.2547 1.6006 0.3982 0.1679 0.0571 0.0013
8.0 55000.0 -3.0 3.1021 2.0886 0.3997 0.1772 0.0573 0.0029
8.0 60000.0 -3.0 2.9596 2.523 0.4066 0.1841 0.0572 0.0056
8.0 70000.0 -3.0 2.7432 3.214 0.4276 0.193 0.056 0.0155
8.0 80000.0 -3.0 2.6035 3.7011 0.4499 0.1974 0.0538 0.0323
8.0 90000.0 -3.0 2.5126 4.0392 0.4695 0.1993 0.0507 0.0557
8.0 30000.0 -2.75 2.9541 0.1338 0.454 0.1051 0.0398 0.0
8.0 32500.0 -2.75 3.1666 0.2996 0.4032 0.124 0.0486 0.0
8.0 35000.0 -2.75 3.2618 0.549 0.3597 0.1404 0.0534 0.0
8.0 37500.0 -2.75 3.2545 0.8635 0.3308 0.1535 0.0551 0.0
8.0 40000.0 -2.75 3.1695 1.22 0.3116 0.1641 0.056 0.0
8.0 45000.0 -2.75 2.8954 1.9644 0.2912 0.1802 0.0567 0.0
8.0 50000.0 -2.75 2.6155 2.6574 0.2852 0.1919 0.057 0.0014
8.0 55000.0 -2.75 2.3878 3.2552 0.287 0.2005 0.057 0.0031
8.0 60000.0 -2.75 2.2161 3.7567 0.293 0.2065 0.0567 0.006
8.0 70000.0 -2.75 1.9989 4.514 0.3098 0.2129 0.0552 0.0164
8.0 80000.0 -2.75 1.8801 5.0177 0.3265 0.2144 0.0527 0.0342
8.0 90000.0 -2.75 1.8088 5.3293 0.3398 0.2133 0.0492 0.0589
8.0 30000.0 -2.5 3.1587 0.298 0.3468 0.1311 0.0421 0.0
8.0 32500.0 -2.5 3.2142 0.6245 0.2981 0.1491 0.0506 0.0
8.0 35000.0 -2.5 3.1149 1.0579 0.2589 0.1641 0.0547 0.0
8.0 37500.0 -2.5 2.9217 1.5444 0.2345 0.1759 0.0558 0.0
8.0 40000.0 -2.5 2.6924 2.0403 0.2194 0.1853 0.0563 0.0
8.0 45000.0 -2.5 2.2627 2.9616 0.2048 0.1998 0.0568 0.0
8.0 50000.0 -2.5 1.9421 3.7413 0.2015 0.21 0.0569 0.0015
8.0 55000.0 -2.5 1.721 4.383 0.204 0.2166 0.0567 0.0034
8.0 60000.0 -2.5 1.572 4.9102 0.2092 0.2203 0.0563 0.0065
8.0 70000.0 -2.5 1.4008 5.6905 0.2223 0.2214 0.0546 0.0178
8.0 80000.0 -2.5 1.3169 6.1773 0.2343 0.2177 0.0517 0.0368
8.0 90000.0 -2.5 1.2695 6.4114 0.2433 0.2121 0.0479 0.0631
8.0 30000.0 -2.25 3.2054 0.5867 0.2526 0.1538 0.045 0.0
8.0 32500.0 -2.25 3.0412 1.1225 0.2108 0.1701 0.0528 0.0
8.0 35000.0 -2.25 2.7464 1.7392 0.1806 0.1831 0.0556 0.0
8.0 37500.0 -2.25 2.4208 2.3557 0.1632 0.1933 0.0563 0.0
8.0 40000.0 -2.25 2.1251 2.935 0.153 0.2017 0.0566 0.0
8.0 45000.0 -2.25 1.6761 3.9356 0.1441 0.2142 0.0568 0.0
8.0 50000.0 -2.25 1.3921 4.7468 0.1432 0.2217 0.0568 0.0017
8.0 55000.0 -2.25 1.2142 5.4069 0.146 0.2247 0.0565 0.0038
8.0 60000.0 -2.25 1.1014 5.9497 0.1505 0.2243 0.0559 0.0073
8.0 70000.0 -2.25 0.9799 6.7399 0.1604 0.2174 0.054 0.0199
8.0 80000.0 -2.25 0.9235 7.1727 0.1689 0.2073 0.0508 0.041
8.0 90000.0 -2.25 0.8932 7.2754 0.1748 0.1971 0.0466 0.0701
8.0 30000.0 -2.0 3.043 1.0248 0.1771 0.1717 0.0487 0.0
8.0 32500.0 -2.0 2.6723 1.7605 0.1449 0.1861 0.0548 0.0
8.0 35000.0 -2.0 2.259 2.5037 0.1248 0.1975 0.0562 0.0
8.0 37500.0 -2.0 1.895 3.1886 0.1139 0.2066 0.0565 0.0
8.0 40000.0 -2.0 1.6059 3.8002 0.1078 0.2138 0.0567 0.0
8.0 45000.0 -2.0 1.2191 4.8311 0.1034 0.2233 0.0569 0.0
8.0 50000.0 -2.0 0.9973 5.6626 0.104 0.2261 0.0567 0.002
8.0 55000.0 -2.0 0.8658 6.3451 0.1069 0.2238 0.0563 0.0045
8.0 60000.0 -2.0 0.7851 6.9054 0.1107 0.2179 0.0557 0.0087
8.0 70000.0 -2.0 0.7008 7.6817 0.1182 0.202 0.0533 0.0235
8.0 80000.0 -2.0 0.6634 8.0145 0.1241 0.1864 0.0497 0.0479
8.0 90000.0 -2.0 0.6439 7.9212 0.1281 0.1729 0.0449 0.0811
8.0 30000.0 -1.75 2.6913 1.5866 0.1218 0.1846 0.0524 0.0
8.0 32500.0 -1.75 2.2031 2.4591 0.0992 0.1977 0.0559 0.0
8.0 35000.0 -1.75 1.7695 3.2624 0.0874 0.2079 0.0565 0.0
8.0 37500.0 -1.75 1.437 3.9703 0.0812 0.2158 0.0567 0.0
8.0 40000.0 -1.75 1.1949 4.5926 0.078 0.2214 0.0569 0.0
8.0 45000.0 -1.75 0.8934 5.6462 0.0765 0.2258 0.0569 0.0
8.0 50000.0 -1.75 0.7296 6.5106 0.0781 0.2222 0.0567 0.0026
8.0 55000.0 -1.75 0.6352 7.2263 0.0809 0.2134 0.0562 0.0057
8.0 60000.0 -1.75 0.5781 7.8035 0.0841 0.2021 0.0553 0.0109
8.0 70000.0 -1.75 0.5196 8.5338 0.09 0.1791 0.0525 0.0291
8.0 80000.0 -1.75 0.4944 8.692 0.0942 0.16 0.0481 0.0587
8.0 90000.0 -1.75 0.4819 8.3337 0.0969 0.1452 0.0425 0.0978
8.0 30000.0 -1.5 2.2417 2.2135 0.083 0.1936 0.0551 0.0
8.0 32500.0 -1.5 1.7366 3.1434 0.0695 0.2055 0.0563 0.0
8.0 35000.0 -1.5 1.3513 3.9615 0.063 0.2144 0.0566 0.0
8.0 37500.0 -1.5 1.0808 4.6778 0.0598 0.2205 0.0568 0.0
8.0 40000.0 -1.5 0.8937 5.3128 0.0585 0.2235 0.0569 0.0
8.0 45000.0 -1.5 0.669 6.4069 0.0588 0.221 0.0569 0.0013
8.0 50000.0 -1.5 0.5498 7.3186 0.0609 0.21 0.0566 0.0034
8.0 55000.0 -1.5 0.482 8.0686 0.0637 0.1952 0.0559 0.0075
8.0 60000.0 -1.5 0.4414 8.6477 0.0665 0.1797 0.0548 0.0143
8.0 70000.0 -1.5 0.4003 9.2684 0.0712 0.1528 0.0512 0.0378
8.0 80000.0 -1.5 0.3835 9.1685 0.0743 0.133 0.0459 0.0746
8.0 90000.0 -1.5 0.3761 8.4465 0.0762 0.1188 0.0392 0.1214
8.3 30000.0 -3.5 1.2505 0.0055 0.7371 0.0386 0.0349 0.0
8.3 32500.0 -3.5 1.5783 0.0131 0.7899 0.0533 0.042 0.0
8.3 35000.0 -3.5 1.9116 0.0267 0.8305 0.0687 0.0472 0.0
8.3 37500.0 -3.5 2.2446 0.0484 0.865 0.084 0.0508 0.0
8.3 40000.0 -3.5 2.565 0.0798 0.8955 0.0987 0.0532 0.0
8.3 45000.0 -3.5 3.1488 0.1747 0.9512 0.1248 0.0563 0.0
8.3 50000.0 -3.5 3.6474 0.3118 1.0051 0.1467 0.0581 0.0
8.3 55000.0 -3.5 4.0664 0.4833 1.0606 0.1648 0.0592 0.0022
8.3 60000.0 -3.5 4.4186 0.6792 1.1169 0.1799 0.0599 0.0044
8.3 70000.0 -3.5 4.9577 1.102 1.2288 0.2029 0.0602 0.0124
8.3 80000.0 -3.5 5.3777 1.5113 1.3398 0.2195 0.0594 0.0259
8.3 90000.0 -3.5 5.7114 1.874 1.4418 0.2317 0.0578 0.0446
8.3 30000.0 -3.25 1.6803 0.0173 0.7393 0.0636 0.0372 0.0
8.3 32500.0 -3.25 2.0378 0.0411 0.7505 0.084 0.045 0.0
8.3 35000.0 -3.25 2.3947 0.0829 0.7551 0.1045 0.0501 0.0
8.3 37500.0 -3.25 2.7291 0.147 0.7589 0.1237 0.0531 0.0
8.3 40000.0 -3.25 3.0356 0.2364 0.7649 0.1412 0.0549 0.0
8.3 45000.0 -3.25 3.5215 0.488 0.7808 0.1707 0.057 0.0
8.3 50000.0 -3.25 3.8716 0.8189 0.8051 0.1943 0.0582 0.0012
8.3 55000.0 -3.25 4.1109 1.2004 0.8345 0.2134 0.0588 0.0026
8.3 60000.0 -3.25 4.2912 1.5977 0.8709 0.229 0.059 0.0052
8.3 70000.0 -3.25 4.5673 2.3765 0.9533 0.2537 0.0585 0.0144
8.3 80000.0 -3.25 4.7767 3.0785 1.0354 0.272 0.057 0.0302
8.3 90000.0 -3.25 4.9465 3.678 1.1102 0.2857 0.0544 0.0519
8.3 30000.0 -3.0 2.1068 0.0485 0.6838 0.0959 0.0387 0.0
8.3 32500.0 -3.0 2.4619 0.1143 0.6581 0.121 0.0472 0.0
8.3 35000.0 -3.0 2.7891 0.2245 0.6328 0.1449 0.0523 0.0
8.3 37500.0 -3.0 3.0538 0.3838 0.6139 0.1659 0.0547 0.0
8.3 40000.0 -3.0 3.2559 0.5898 0.6025 0.184 0.0561 0.0
8.3 45000.0 -3.0 3.4849 1.1079 0.5942 0.2132 0.0574 0.0
8.3 50000.0 -3.0 3.5778 1.7008 0.6022 0.2359 0.0581 0.0013
8.3 55000.0 -3.0 3.6178 2.3073 0.6217 0.2544 0.0584 0.0029
8.3 60000.0 -3.0 3.6477 2.8979 0.6484 0.2701 0.0583 0.0056
8.3 70000.0 -3.0 3.7091 3.9724 0.7104 0.2951 0.0574 0.0156
8.3 80000.0 -3.0 3.7801 4.8852 0.7716 0.3135 0.0553 0.0327
8.3 90000.0 -3.0 3.8478 5.6362 0.825 0.3269 0.0522 0.0565
8.3 30000.0 -2.75 2.4882 0.1209 0.5832 0.1326 0.0401 0.0
8.3 32500.0 -2.75 2.7785 0.2755 0.535 0.1595 0.049 0.0
8.3 35000.0 -2.75 2.9855 0.5145 0.492 0.1837 0.054 0.0
8.3 37500.0 -2.75 3.0986 0.8271 0.4633 0.2039 0.0559 0.0
8.3 40000.0 -2.75 3.1277 1.1923 0.4452 0.2205 0.0568 0.0
8.3 45000.0 -2.75 3.0605 1.9972 0.4302 0.2469 0.0577 0.0
8.3 50000.0 -2.75 2.9564 2.8132 0.4342 0.268 0.058 0.0014
8.3 55000.0 -2.75 2.8722 3.5902 0.449 0.2857 0.058 0.0031
8.3 60000.0 -2.75 2.8194 4.3112 0.4698 0.3006 0.0578 0.006
8.3 70000.0 -2.75 2.7816 5.5725 0.5171 0.3229 0.0565 0.0166
8.3 80000.0 -2.75 2.7923 6.5996 0.5619 0.3375 0.0541 0.0346
8.3 90000.0 -2.75 2.8183 7.4041 0.5988 0.347 0.0507 0.0598
8.3 30000.0 -2.5 2.7767 0.2693 0.4612 0.1695 0.0421 0.0
8.3 32500.0 -2.5 2.9213 0.5732 0.4064 0.1951 0.0509 0.0
8.3 35000.0 -2.5 2.9363 0.9911 0.3605 0.2169 0.0553 0.0
8.3 37500.0 -2.5 2.8559 1.4769 0.3322 0.2343 0.0567 0.0
8.3 40000.0 -2.5 2.7268 1.9907 0.3158 0.2486 0.0573 0.0
8.3 45000.0 -2.5 2.4621 3.0139 0.3039 0.2721 0.0578 0.0
8.3 50000.0 -2.5 2.264 3.9732 0.308 0.2913 0.0579 0.0015
8.3 55000.0 -2.5 2.1374 4.8557 0.3205 0.3068 0.0578 0.0033
8.3 60000.0 -2.5 2.0601 5.6575 0.3369 0.3188 0.0574 0.0064
8.3 70000.0 -2.5 1.9978 7.0371 0.3725 0.3338 0.0559 0.0178
8.3 80000.0 -2.5 1.9913 8.1137 0.4045 0.3405 0.0532 0.0369
8.3 90000.0 -2.5 2.0026 8.8883 0.4296 0.3427 0.0495 0.0636
8.3 30000.0 -2.25 2.9135 0.5283 0.344 0.202 0.0448 0.0
8.3 32500.0 -2.25 2.8581 1.0271 0.2931 0.2244 0.053 0.0
8.3 35000.0 -2.25 2.674 1.6307 0.2542 0.2428 0.0564 0.0
8.3 37500.0 -2.25 2.4418 2.2611 0.2326 0.2573 0.0572 0.0
8.3 40000.0 -2.25 2.2199 2.8815 0.221 0.2697 0.0576 0.0
8.3 45000.0 -2.25 1.88 4.0414 0.2144 0.2905 0.0578 0.0
8.3 50000.0 -2.25 1.6711 5.0904 0.2196 0.3064 0.0578 0.0017
8.3 55000.0 -2.25 1.5486 6.0411 0.2302 0.3172 0.0576 0.0037
8.3 60000.0 -2.25 1.4783 6.9018 0.2431 0.3235 0.0571 0.0072
8.3 70000.0 -2.25 1.4201 8.3575 0.2694 0.3264 0.0553 0.0197
8.3 80000.0 -2.25 1.4113 9.4331 0.2917 0.3228 0.0523 0.0407
8.3 90000.0 -2.25 1.417 10.0943 0.3085 0.317 0.0483 0.0698
8.3 30000.0 -2.0 2.8683 0.9178 0.246 0.2277 0.0483 0.0
8.3 32500.0 -2.0 2.6056 1.6159 0.2041 0.2464 0.0552 0.0
8.3 35000.0 -2.0 2.2811 2.3674 0.1766 0.2618 0.0571 0.0
8.3 37500.0 -2.0 1.9777 3.0964 0.1628 0.2744 0.0575 0.0
8.3 40000.0 -2.0 1.7326 3.7821 0.1561 0.2854 0.0577 0.0
8.3 45000.0 -2.0 1.4082 5.0334 0.1542 0.3026 0.0579 0.0
8.3 50000.0 -2.0 1.2286 6.1549 0.16 0.3125 0.0578 0.002
8.3 55000.0 -2.0 1.1282 7.1707 0.169 0.3158 0.0574 0.0044
8.3 60000.0 -2.0 1.0724 8.0867 0.1792 0.3141 0.0568 0.0084
8.3 70000.0 -2.0 1.027 9.5927 0.1985 0.3031 0.0547 0.0228
8.3 80000.0 -2.0 1.0186 10.6016 0.214 0.2898 0.0513 0.0468
8.3 90000.0 -2.0 1.0225 11.0656 0.2252 0.2777 0.0467 0.0798
8.3 30000.0 -1.75 2.6437 1.4237 0.1713 0.2458 0.0522 0.0
8.3 32500.0 -1.75 2.2427 2.2861 0.1403 0.2621 0.0568 0.0
8.3 35000.0 -1.75 1.8571 3.1362 0.124 0.2755 0.0575 0.0
8.3 37500.0 -1.75 1.5519 3.9268 0.1163 0.2867 0.0577 0.0
8.3 40000.0 -1.75 1.3306 4.6577 0.1133 0.2959 0.0579 0.0
8.3 45000.0 -1.75 1.0606 5.9909 0.1146 0.307 0.0579 0.0
8.3 50000.0 -1.75 0.9198 7.195 0.1206 0.3082 0.0577 0.0024
8.3 55000.0 -1.75 0.8431 8.2847 0.1283 0.3021 0.0573 0.0054
8.3 60000.0 -1.75 0.8008 9.2592 0.1364 0.2921 0.0565 0.0103
8.3 70000.0 -1.75 0.7658 10.7749 0.1509 0.2692 0.0539 0.0278
8.3 80000.0 -1.75 0.7599 11.6332 0.1618 0.2493 0.0499 0.0566
8.3 90000.0 -1.75 0.7639 11.8046 0.1695 0.2336 0.0445 0.0954
8.3 30000.0 -1.5 2.3061 2.0082 0.1179 0.258 0.0555 0.0
8.3 32500.0 -1.5 1.8446 2.9791 0.0982 0.2726 0.0573 0.0
8.3 35000.0 -1.5 1.4697 3.8902 0.0896 0.2846 0.0577 0.0
8.3 37500.0 -1.5 1.2052 4.7248 0.0861 0.294 0.0578 0.0
8.3 40000.0 -1.5 1.0249 5.4989 0.0854 0.3 0.0579 0.0
8.3 45000.0 -1.5 0.8146 6.9281 0.0886 0.3019 0.0579 0.0012
8.3 50000.0 -1.5 0.7078 8.2293 0.0945 0.2928 0.0576 0.0032
8.3 55000.0 -1.5 0.6502 9.4036 0.1012 0.2779 0.057 0.007
8.3 60000.0 -1.5 0.6187 10.4277 0.1079 0.2613 0.0561 0.0134
8.3 70000.0 -1.5 0.5929 11.8945 0.119 0.2311 0.0528 0.0357
8.3 80000.0 -1.5 0.5898 12.4817 0.1269 0.2083 0.0479 0.0713
8.3 90000.0 -1.5 0.5947 12.2153 0.1324 0.1918 0.0415 0.1178
8.6 30000.0 -3.5 0.1846 0.0012 0.3422 0.0195 0.035 0.0
8.6 32500.0 -3.5 0.298 0.0036 0.4281 0.0307 0.0421 0.0
8.6 35000.0 -3.5 0.4505 0.0087 0.5158 0.0444 0.0475 0.0
8.6 37500.0 -3.5 0.6391 0.0183 0.6023 0.06 0.0512 0.0
8.6 40000.0 -3.5 0.8551 0.0341 0.685 0.0764 0.0539 0.0
8.6 45000.0 -3.5 1.342 0.0899 0.8407 0.1098 0.0574 0.0
8.6 50000.0 -3.5 1.8564 0.1824 0.9856 0.1411 0.0594 0.0
8.6 55000.0 -3.5 2.3657 0.3106 1.1235 0.1692 0.0607 0.0021
8.6 60000.0 -3.5 2.8681 0.4704 1.2593 0.1945 0.0614 0.0041
8.6 70000.0 -3.5 3.8079 0.8576 1.5183 0.2372 0.062 0.0117
8.6 80000.0 -3.5 4.6901 1.294 1.7671 0.2725 0.0614 0.0247
8.6 90000.0 -3.5 5.5223 1.7416 2.0017 0.3028 0.06 0.0428
8.6 30000.0 -3.25 0.3525 0.0058 0.4178 0.0398 0.0378 0.0
8.6 32500.0 -3.25 0.5445 0.0161 0.4955 0.0595 0.0455 0.0
8.6 35000.0 -3.25 0.776 0.0368 0.5638 0.0816 0.0507 0.0
8.6 37500.0 -3.25 1.037 0.0725 0.6254 0.1046 0.0538 0.0
8.6 40000.0 -3.25 1.3076 0.1267 0.6802 0.1272 0.0558 0.0
8.6 45000.0 -3.25 1.8335 0.2957 0.7775 0.1685 0.0582 0.0
8.6 50000.0 -3.25 2.3117 0.5406 0.8684 0.204 0.0594 0.0011
8.6 55000.0 -3.25 2.7452 0.8456 0.9595 0.2347 0.0601 0.0025
8.6 60000.0 -3.25 3.1396 1.1942 1.0506 0.2617 0.0604 0.005
8.6 70000.0 -3.25 3.8638 1.9612 1.2375 0.3077 0.0601 0.014
8.6 80000.0 -3.25 4.5378 2.7694 1.4216 0.347 0.0587 0.0294
8.6 90000.0 -3.25 5.1531 3.5688 1.5922 0.3809 0.0564 0.0508
8.6 30000.0 -3.0 0.6618 0.0228 0.4868 0.0756 0.0393 0.0
8.6 32500.0 -3.0 0.9216 0.0582 0.5283 0.1037 0.0478 0.0
8.6 35000.0 -3.0 1.1993 0.1229 0.5579 0.1327 0.053 0.0
8.6 37500.0 -3.0 1.4673 0.2231 0.5812 0.1601 0.0556 0.0
8.6 40000.0 -3.0 1.7083 0.3605 0.6018 0.1848 0.0571 0.0
8.6 45000.0 -3.0 2.1001 0.7308 0.6438 0.2265 0.0586 0.0
8.6 50000.0 -3.0 2.4061 1.1916 0.6922 0.2605 0.0594 0.0012
8.6 55000.0 -3.0 2.6745 1.7094 0.7502 0.2903 0.0597 0.0028
8.6 60000.0 -3.0 2.9289 2.261 0.815 0.3173 0.0597 0.0055
8.6 70000.0 -3.0 3.4128 3.4095 0.9534 0.3651 0.0588 0.0154
8.6 80000.0 -3.0 3.86 4.5548 1.0882 0.4059 0.0569 0.0323
8.6 90000.0 -3.0 4.2588 5.6395 1.2091 0.4405 0.054 0.0559
8.6 30000.0 -2.75 1.0507 0.0678 0.4985 0.1222 0.0404 0.0
8.6 32500.0 -2.75 1.3116 0.1604 0.4945 0.1549 0.0494 0.0
8.6 35000.0 -2.75 1.5436 0.3111 0.4845 0.1856 0.0547 0.0
8.6 37500.0 -2.75 1.724 0.518 0.4772 0.212 0.0569 0.0
8.6 40000.0 -2.75 1.8554 0.7697 0.4757 0.2342 0.0579 0.0
8.6 45000.0 -2.75 2.0338 1.3644 0.4882 0.2709 0.0589 0.0
8.6 50000.0 -2.75 2.1743 2.0328 0.518 0.3024 0.0593 0.0013
8.6 55000.0 -2.75 2.3128 2.7437 0.5596 0.3313 0.0594 0.003
8.6 60000.0 -2.75 2.4562 3.4762 0.6082 0.358 0.0592 0.0059
8.6 70000.0 -2.75 2.7511 4.9394 0.7115 0.4042 0.058 0.0163
8.6 80000.0 -2.75 3.0318 6.3294 0.8094 0.4414 0.0557 0.0341
8.6 90000.0 -2.75 3.2771 7.5888 0.8931 0.4712 0.0524 0.0591
8.6 30000.0 -2.5 1.4143 0.1611 0.4466 0.1717 0.0419 0.0
8.6 32500.0 -2.5 1.5975 0.3499 0.4126 0.2033 0.051 0.0
8.6 35000.0 -2.5 1.7106 0.6201 0.3808 0.2306 0.0562 0.0
8.6 37500.0 -2.5 1.7626 0.9492 0.3609 0.2526 0.0578 0.0
8.6 40000.0 -2.5 1.7752 1.3146 0.3516 0.2708 0.0585 0.0
8.6 45000.0 -2.5 1.7761 2.1083 0.355 0.3026 0.0591 0.0
8.6 50000.0 -2.5 1.7994 2.9548 0.3768 0.3321 0.0592 0.0014
8.6 55000.0 -2.5 1.8507 3.8284 0.4089 0.3593 0.0591 0.0032
8.6 60000.0 -2.5 1.923 4.7081 0.4461 0.3835 0.0588 0.0063
8.6 70000.0 -2.5 2.0955 6.4151 0.5231 0.4217 0.0573 0.0173
8.6 80000.0 -2.5 2.2672 7.967 0.5926 0.4488 0.0548 0.0361
8.6 90000.0 -2.5 2.4131 9.29 0.6492 0.468 0.0513 0.0623
8.6 30000.0 -2.25 1.6751 0.3223 0.36 0.2164 0.0442 0.0
8.6 32500.0 -2.25 1.7365 0.6346 0.3168 0.2432 0.053 0.0
8.6 35000.0 -2.25 1.7127 1.0326 0.2805 0.2649 0.0574 0.0
8.6 37500.0 -2.25 1.6436 1.4754 0.2605 0.2819 0.0584 0.0
8.6 40000.0 -2.25 1.5662 1.9408 0.2521 0.2969 0.0588 0.0
8.6 45000.0 -2.25 1.457 2.9092 0.2554 0.3257 0.0592 0.0
8.6 50000.0 -2.25 1.4173 3.9095 0.2737 0.3526 0.0592 0.0016
8.6 55000.0 -2.25 1.4243 4.92 0.2993 0.3752 0.059 0.0036
8.6 60000.0 -2.25 1.4573 5.918 0.3276 0.3929 0.0585 0.0069
8.6 70000.0 -2.25 1.5545 7.8108 0.3839 0.4159 0.0568 0.0189
8.6 80000.0 -2.25 1.657 9.4542 0.4322 0.4282 0.0539 0.0392
8.6 90000.0 -2.25 1.7461 10.7547 0.47 0.4351 0.0501 0.0673
8.6 30000.0 -2.0 1.8089 0.5575 0.2708 0.2521 0.0475 0.0
8.6 32500.0 -2.0 1.7442 1.0009 0.2301 0.2733 0.0554 0.0
8.6 35000.0 -2.0 1.603 1.5208 0.2 0.2896 0.0583 0.0
8.6 37500.0 -2.0 1.4464 2.0683 0.1857 0.3033 0.0588 0.0
8.6 40000.0 -2.0 1.3159 2.6258 0.1808 0.3168 0.0591 0.0
8.6 45000.0 -2.0 1.1602 3.7566 0.1865 0.3429 0.0592 0.0
8.6 50000.0 -2.0 1.0995 4.8967 0.2026 0.3639 0.0591 0.0018
8.6 55000.0 -2.0 1.0876 6.0278 0.2229 0.3778 0.0588 0.0041
8.6 60000.0 -2.0 1.1002 7.1337 0.2445 0.3855 0.0582 0.0079
8.6 70000.0 -2.0 1.1551 9.1752 0.2853 0.3896 0.0562 0.0215
8.6 80000.0 -2.0 1.2169 10.849 0.3187 0.3871 0.053 0.0443
8.6 90000.0 -2.0 1.2726 12.0499 0.3439 0.3832 0.0487 0.0756
8.6 30000.0 -1.75 1.8283 0.8567 0.1955 0.2779 0.0515 0.0
8.6 32500.0 -1.75 1.6554 1.4291 0.1622 0.2942 0.0575 0.0
8.6 35000.0 -1.75 1.4273 2.0656 0.1423 0.3072 0.0588 0.0
8.6 37500.0 -1.75 1.2237 2.7153 0.1343 0.3196 0.0591 0.0
8.6 40000.0 -1.75 1.0784 3.3627 0.133 0.3321 0.0592 0.0
8.6 45000.0 -1.75 0.9212 4.6503 0.1406 0.3527 0.0593 0.0
8.6 50000.0 -1.75 0.8605 5.9296 0.1547 0.3637 0.059 0.0022
8.6 55000.0 -1.75 0.8431 7.1862 0.1711 0.3659 0.0586 0.005
