#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -3.5 - -1.5, T*: 30 - 60 kK
# SED: WM-Basic (Pauldrach et al 2001) 
# Spherical geometry
#
#12+log(O/H) Teff log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 He1_5876 He2_4686
7.4 60000.0 -3.26 1.0439 0.8486 0.15 0.0523 0.0561 0.0014
7.4 32500.0 -3.05 1.2566 0.0024 0.1968 0.023 0.0087 0.0
7.4 30000.0 -3.04 0.822 0.0 0.1715 0.0115 0.0032 0.0
7.4 35000.0 -3.04 1.5927 0.0299 0.1756 0.0368 0.0211 0.0
7.4 37500.0 -3.03 1.5406 0.2683 0.1339 0.0478 0.0482 0.0
7.4 40000.0 -3.03 1.0713 0.9176 0.1028 0.0587 0.055 0.0
7.4 45000.0 -3.02 0.9537 1.1428 0.098 0.0623 0.0559 0.0
7.4 50000.0 -3.02 0.8064 1.3133 0.1014 0.062 0.056 0.0012
7.4 55000.0 -3.02 0.9366 1.2741 0.0931 0.0654 0.0563 0.0
7.4 60000.0 -3.01 0.7661 1.4427 0.108 0.0623 0.0549 0.0016
7.4 30000.0 -2.79 0.8413 0.0 0.137 0.0166 0.0036 0.0
7.4 32500.0 -2.79 1.3741 0.0099 0.1502 0.0318 0.0098 0.0
7.4 35000.0 -2.79 1.7621 0.1025 0.1308 0.0477 0.0232 0.0
7.4 37500.0 -2.79 1.4476 0.5904 0.097 0.0581 0.0501 0.0
7.4 40000.0 -2.79 0.8336 1.4085 0.075 0.0671 0.0548 0.0
7.4 45000.0 -2.78 0.7198 1.6712 0.072 0.0697 0.0555 0.0
7.4 50000.0 -2.77 0.5994 1.8355 0.0753 0.0673 0.0553 0.0014
7.4 55000.0 -2.77 0.7107 1.8279 0.0699 0.0718 0.0557 0.0
7.4 60000.0 -2.78 0.5786 1.9588 0.0819 0.0668 0.0541 0.0018
7.4 30000.0 -2.54 0.8312 0.0021 0.1047 0.0205 0.0043 0.0
7.4 32500.0 -2.54 1.4132 0.0294 0.1132 0.0379 0.0115 0.0
7.4 35000.0 -2.54 1.7876 0.2325 0.0972 0.0555 0.0264 0.0
7.4 37500.0 -2.54 1.263 0.9382 0.0704 0.0656 0.0515 0.0
7.4 40000.0 -2.54 0.6488 1.8332 0.0567 0.0718 0.0546 0.0
7.4 45000.0 -2.53 0.5611 2.1053 0.0562 0.0726 0.0552 0.0
7.4 50000.0 -2.53 0.4685 2.255 0.0598 0.0677 0.0548 0.0018
7.4 55000.0 -2.53 0.5602 2.2895 0.0558 0.0738 0.0552 0.0
7.4 60000.0 -2.53 0.4531 2.4059 0.0653 0.0669 0.0533 0.0021
7.4 30000.0 -2.29 0.8105 0.0065 0.0787 0.0231 0.0054 0.0
7.4 32500.0 -2.29 1.411 0.0665 0.0848 0.0421 0.0138 0.0
7.4 35000.0 -2.29 1.7306 0.3979 0.0723 0.0612 0.0307 0.0
7.4 37500.0 -2.29 1.0697 1.2588 0.0523 0.0705 0.0523 0.0
7.4 40000.0 -2.29 0.516 2.1839 0.0452 0.0732 0.0543 0.0
7.4 45000.0 -2.28 0.447 2.474 0.0459 0.0725 0.0548 0.0
7.4 50000.0 -2.28 0.3746 2.6165 0.0494 0.0655 0.0543 0.0023
7.4 55000.0 -2.28 0.4505 2.6838 0.0465 0.0729 0.0547 0.0
7.4 60000.0 -2.28 0.3653 2.7756 0.0543 0.0647 0.0527 0.0027
7.4 30000.0 -2.03 0.7864 0.0157 0.0586 0.0247 0.0068 0.0
7.4 32500.0 -2.03 1.3836 0.1207 0.0635 0.045 0.0167 0.0
7.4 35000.0 -2.03 1.6241 0.588 0.0544 0.0654 0.0356 0.0
7.4 37500.0 -2.04 0.8876 1.5534 0.0401 0.0736 0.0525 0.0
7.4 40000.0 -2.04 0.4191 2.4879 0.0376 0.0726 0.054 0.0
7.4 50000.0 -2.07 0.3163 2.8805 0.0433 0.0624 0.0538 0.0031
7.4 55000.0 -2.08 0.3835 2.9606 0.0412 0.0711 0.0544 0.0
7.4 60000.0 -2.09 0.3148 3.0184 0.0483 0.0621 0.0521 0.0033
7.4 45000.0 -2.03 0.3616 2.805 0.0388 0.0704 0.0544 0.0
7.4 30000.0 -1.78 0.7611 0.0295 0.044 0.0257 0.0084 0.0
7.4 32500.0 -1.79 1.34 0.1871 0.0481 0.047 0.0199 0.0
7.4 35000.0 -1.78 1.4799 0.8008 0.0416 0.0684 0.0403 0.0
7.4 37500.0 -1.78 0.7246 1.8321 0.0316 0.0753 0.0525 0.0
7.4 40000.0 -1.78 0.3417 2.7881 0.0321 0.0706 0.0536 0.0
7.4 50000.0 -1.82 0.2623 3.1714 0.0379 0.0579 0.0532 0.0043
7.4 45000.0 -1.78 0.2978 3.1091 0.0339 0.0672 0.054 0.0
7.4 55000.0 -1.77 0.3038 3.3489 0.0352 0.0669 0.0537 0.0012
7.4 60000.0 -1.77 0.2498 3.3834 0.0406 0.057 0.0512 0.0048
7.4 30000.0 -1.53 0.7318 0.0479 0.0326 0.0261 0.0102 0.0
7.4 32500.0 -1.53 1.2767 0.2718 0.0363 0.0483 0.0235 0.0
7.4 35000.0 -1.53 1.3011 1.0414 0.032 0.0707 0.0447 0.0
7.4 37500.0 -1.53 0.5914 2.0888 0.0258 0.0759 0.0523 0.0
7.4 40000.0 -1.53 0.2848 3.065 0.0283 0.0677 0.0531 0.0
7.4 45000.0 -1.53 0.2498 3.3897 0.0303 0.0632 0.0535 0.0
7.4 50000.0 -1.53 0.2159 3.4752 0.0332 0.0523 0.0524 0.0064
7.4 55000.0 -1.53 0.2558 3.6287 0.0316 0.0628 0.0531 0.0017
7.4 60000.0 -1.52 0.2116 3.6396 0.036 0.0526 0.0503 0.0066
7.7 30000.0 -3.51 0.9719 0.0 0.3424 0.0066 0.0029 0.0
7.7 32500.0 -3.51 1.3767 0.0 0.4234 0.0148 0.008 0.0
7.7 35000.0 -3.51 1.7406 0.0037 0.439 0.0278 0.0192 0.0
7.7 37500.0 -3.51 1.9963 0.0381 0.3988 0.0431 0.0438 0.0
7.7 40000.0 -3.51 2.2387 0.2553 0.3591 0.0649 0.0557 0.0
7.7 45000.0 -3.5 2.3145 0.3988 0.3495 0.0738 0.0575 0.0
7.7 50000.0 -3.5 2.2312 0.5644 0.3632 0.0762 0.0584 0.0
7.7 55000.0 -3.51 2.4413 0.4755 0.3387 0.0819 0.059 0.0
7.7 60000.0 -3.5 2.2722 0.6866 0.3866 0.0773 0.0582 0.0013
7.7 30000.0 -3.26 1.1046 0.0 0.329 0.0118 0.003 0.0
7.7 32500.0 -3.27 1.618 0.0011 0.3926 0.0252 0.0083 0.0
7.7 35000.0 -3.26 2.0615 0.0127 0.3793 0.044 0.0201 0.0
7.7 37500.0 -3.26 2.283 0.1366 0.3195 0.0627 0.0465 0.0
7.7 40000.0 -3.27 2.1858 0.7251 0.2682 0.0859 0.0558 0.0
7.7 45000.0 -3.26 2.1188 1.0392 0.2572 0.0951 0.057 0.0
7.7 50000.0 -3.26 1.9209 1.3202 0.2683 0.0971 0.0575 0.0011
7.7 55000.0 -3.26 2.1812 1.2339 0.2463 0.1035 0.0579 0.0
7.7 60000.0 -3.26 1.9079 1.5231 0.2887 0.0987 0.0569 0.0015
7.7 32500.0 -3.04 1.8288 0.0036 0.3347 0.0385 0.0088 0.0
7.7 30000.0 -3.02 1.1813 0.0 0.2887 0.0192 0.0032 0.0
7.7 35000.0 -3.03 2.3698 0.0445 0.3035 0.0625 0.0212 0.0
7.7 37500.0 -3.02 2.389 0.4135 0.2377 0.0828 0.0487 0.0
7.7 40000.0 -3.02 1.8 1.506 0.1896 0.1053 0.0557 0.0
7.7 45000.0 -3.01 1.6542 1.9284 0.1833 0.1134 0.0566 0.0
7.7 50000.0 -3.01 1.4351 2.2618 0.1921 0.1141 0.0568 0.0012
7.7 55000.0 -3.01 1.6804 2.2212 0.1772 0.1214 0.0571 0.0
7.7 60000.0 -3.01 1.3992 2.5544 0.2068 0.1166 0.0558 0.0016
7.7 30000.0 -2.77 1.2029 0.0 0.2305 0.0278 0.0036 0.0
7.7 32500.0 -2.77 1.9736 0.0142 0.2541 0.0534 0.0099 0.0
7.7 35000.0 -2.78 2.5817 0.1478 0.2244 0.0807 0.0233 0.0
7.7 37500.0 -2.77 2.2175 0.8892 0.1704 0.0995 0.0507 0.0
7.7 40000.0 -2.78 1.3966 2.2743 0.137 0.1188 0.0555 0.0
7.7 45000.0 -2.77 1.2467 2.7781 0.1337 0.1254 0.0563 0.0
7.7 50000.0 -2.76 1.0665 3.1177 0.1417 0.1226 0.0562 0.0014
7.7 55000.0 -2.76 1.2732 3.1449 0.1321 0.1321 0.0566 0.0
