#Constrained by relation between 12+log(O/H) and log(U)
12+log(O/H)     	 log(N/O)        	 log(U)          	 HI_4m           	 HI_7m           	 SIV_10m         	 HI_12m          	 NeII_12m        	 NeV_14m         	 NeIII_15m       	 SIII_19m        	 NeV_24m         	 OIV_26m         	 SIII_33m        	 OIII_52m        	 NIII_57m        	 OIII_88m        	 NII_122m        	 NII_205m       
6.9000000 	 -1.0000000 	 -2.5000000 	 0.0592000 	 0.0175000 	 0.0184000 	 0.0064000 	 0.0011000 	 0.0000000 	 0.0300000 	 0.0169000 	 0.0000000 	 0.0000000 	 0.0232000 	 0.0618000 	 0.0108000 	 0.0755000 	 0.0000000 	 0.0000000
6.9000000 	 -1.1250000 	 -2.5000000 	 0.0592000 	 0.0174000 	 0.0184000 	 0.0064000 	 0.0011000 	 0.0000000 	 0.0300000 	 0.0169000 	 0.0000000 	 0.0000000 	 0.0232000 	 0.0618000 	 0.0081000 	 0.0755000 	 0.0000000 	 0.0000000
6.9000000 	 -1.2500000 	 -2.5000000 	 0.0592000 	 0.0174000 	 0.0184000 	 0.0064000 	 0.0011000 	 0.0000000 	 0.0300000 	 0.0169000 	 0.0000000 	 0.0000000 	 0.0232000 	 0.0618000 	 0.0061000 	 0.0755000 	 0.0000000 	 0.0000000
6.9000000 	 -1.3750000 	 -2.5000000 	 0.0592000 	 0.0174000 	 0.0184000 	 0.0064000 	 0.0011000 	 0.0000000 	 0.0300000 	 0.0169000 	 0.0000000 	 0.0000000 	 0.0232000 	 0.0618000 	 0.0046000 	 0.0755000 	 0.0000000 	 0.0000000
6.9000000 	 -1.5000000 	 -2.5000000 	 0.0592000 	 0.0174000 	 0.0184000 	 0.0064000 	 0.0011000 	 0.0000000 	 0.0300000 	 0.0169000 	 0.0000000 	 0.0000000 	 0.0232000 	 0.0618000 	 0.0034000 	 0.0755000 	 0.0000000 	 0.0000000
6.9000000 	 -1.6250000 	 -2.5000000 	 0.0591000 	 0.0174000 	 0.0184000 	 0.0064000 	 0.0011000 	 0.0000000 	 0.0300000 	 0.0169000 	 0.0000000 	 0.0000000 	 0.0232000 	 0.0618000 	 0.0026000 	 0.0755000 	 0.0000000 	 0.0000000
6.9000000 	 -1.7500000 	 -2.5000000 	 0.0591000 	 0.0174000 	 0.0184000 	 0.0064000 	 0.0011000 	 0.0000000 	 0.0300000 	 0.0169000 	 0.0000000 	 0.0000000 	 0.0232000 	 0.0618000 	 0.0019000 	 0.0755000 	 0.0000000 	 0.0000000
6.9000000 	 -1.8750000 	 -2.5000000 	 0.0591000 	 0.0174000 	 0.0184000 	 0.0064000 	 0.0011000 	 0.0000000 	 0.0300000 	 0.0169000 	 0.0000000 	 0.0000000 	 0.0232000 	 0.0618000 	 0.0014000 	 0.0755000 	 0.0000000 	 0.0000000
6.9000000 	 -2.0000000 	 -2.5000000 	 0.0591000 	 0.0174000 	 0.0184000 	 0.0064000 	 0.0011000 	 0.0000000 	 0.0300000 	 0.0169000 	 0.0000000 	 0.0000000 	 0.0232000 	 0.0618000 	 0.0011000 	 0.0755000 	 0.0000000 	 0.0000000
7.0000000 	 0.0000000 	 -2.0000000 	 0.0586000 	 0.0173000 	 0.0552000 	 0.0064000 	 0.0000000 	 0.0000000 	 0.0255000 	 0.0179000 	 0.0000000 	 0.0000000 	 0.0243000 	 0.0917000 	 0.1317000 	 0.1111000 	 0.0029000 	 0.0000000
