12+log(O/H)     	 log(N/O)        	 log(U)          	 HI_4m           	 HI_7m           	 SIV_10m         	 HI_12m          	 NeII_12m        	 NeV_14m         	 NeIII_15m       	 SIII_19m        	 NeV_24m         	 OIV_26m         	 SIII_33m        	 OIII_52m        	 NIII_57m        	 OIII_88m        	 NII_122m        	 NII_205m        
6.9000000 	 -0.1250000 	 -0.7500000 	 0.0433000 	 0.0114000 	 0.0024000 	 0.0042000 	 0.1212000 	 0.0107000 	 0.0482000 	 0.0373000 	 0.0125000 	 0.0092000 	 0.0658000 	 0.0016000 	 0.0020000 	 0.0011000 	 0.0120000 	 0.0047000 
6.9000000 	 -0.3750000 	 -0.7500000 	 0.0432000 	 0.0114000 	 0.0024000 	 0.0042000 	 0.1218000 	 0.0107000 	 0.0482000 	 0.0374000 	 0.0125000 	 0.0092000 	 0.0659000 	 0.0015000 	 0.0011000 	 0.0011000 	 0.0068000 	 0.0029000 
6.9000000 	 -0.5000000 	 -0.7500000 	 0.0432000 	 0.0113000 	 0.0024000 	 0.0041000 	 0.1219000 	 0.0107000 	 0.0482000 	 0.0374000 	 0.0125000 	 0.0092000 	 0.0659000 	 0.0015000 	 0.0000000 	 0.0011000 	 0.0052000 	 0.0022000 
6.9000000 	 -0.6250000 	 -0.7500000 	 0.0431000 	 0.0113000 	 0.0024000 	 0.0041000 	 0.1218000 	 0.0107000 	 0.0483000 	 0.0375000 	 0.0125000 	 0.0092000 	 0.0660000 	 0.0015000 	 0.0000000 	 0.0011000 	 0.0039000 	 0.0017000 
6.9000000 	 -0.7500000 	 -0.7500000 	 0.0431000 	 0.0113000 	 0.0024000 	 0.0041000 	 0.1217000 	 0.0107000 	 0.0484000 	 0.0375000 	 0.0125000 	 0.0092000 	 0.0661000 	 0.0015000 	 0.0000000 	 0.0011000 	 0.0029000 	 0.0013000 
6.9000000 	 -0.8750000 	 -0.7500000 	 0.0431000 	 0.0113000 	 0.0024000 	 0.0041000 	 0.1221000 	 0.0107000 	 0.0483000 	 0.0375000 	 0.0125000 	 0.0092000 	 0.0661000 	 0.0015000 	 0.0000000 	 0.0011000 	 0.0022000 	 0.0010000 
6.9000000 	 -1.0000000 	 -0.7500000 	 0.0431000 	 0.0113000 	 0.0024000 	 0.0041000 	 0.1217000 	 0.0107000 	 0.0484000 	 0.0375000 	 0.0125000 	 0.0092000 	 0.0661000 	 0.0015000 	 0.0000000 	 0.0011000 	 0.0016000 	 0.0000000 
6.9000000 	 -1.1250000 	 -0.7500000 	 0.0431000 	 0.0113000 	 0.0024000 	 0.0041000 	 0.1218000 	 0.0107000 	 0.0484000 	 0.0375000 	 0.0125000 	 0.0092000 	 0.0661000 	 0.0015000 	 0.0000000 	 0.0011000 	 0.0012000 	 0.0000000 
6.9000000 	 -1.2500000 	 -0.7500000 	 0.0431000 	 0.0113000 	 0.0024000 	 0.0041000 	 0.1220000 	 0.0107000 	 0.0484000 	 0.0375000 	 0.0125000 	 0.0092000 	 0.0661000 	 0.0015000 	 0.0000000 	 0.0011000 	 0.0000000 	 0.0000000 
6.9000000 	 -1.3750000 	 -0.7500000 	 0.0431000 	 0.0113000 	 0.0024000 	 0.0041000 	 0.1222000 	 0.0107000 	 0.0483000 	 0.0375000 	 0.0125000 	 0.0092000 	 0.0661000 	 0.0015000 	 0.0000000 	 0.0011000 	 0.0000000 	 0.0000000 
6.9000000 	 -1.5000000 	 -0.7500000 	 0.0431000 	 0.0113000 	 0.0024000 	 0.0041000 	 0.1223000 	 0.0106000 	 0.0483000 	 0.0375000 	 0.0125000 	 0.0092000 	 0.0661000 	 0.0015000 	 0.0000000 	 0.0011000 	 0.0000000 	 0.0000000 
6.9000000 	 -1.6250000 	 -0.7500000 	 0.0431000 	 0.0113000 	 0.0024000 	 0.0041000 	 0.1224000 	 0.0106000 	 0.0483000 	 0.0375000 	 0.0125000 	 0.0091000 	 0.0661000 	 0.0015000 	 0.0000000 	 0.0011000 	 0.0000000 	 0.0000000 
6.9000000 	 -1.7500000 	 -0.7500000 	 0.0431000 	 0.0113000 	 0.0024000 	 0.0041000 	 0.1225000 	 0.0106000 	 0.0483000 	 0.0375000 	 0.0124000 	 0.0091000 	 0.0661000 	 0.0015000 	 0.0000000 	 0.0011000 	 0.0000000 	 0.0000000 
6.9000000 	 -1.8750000 	 -0.7500000 	 0.0431000 	 0.0113000 	 0.0024000 	 0.0041000 	 0.1214000 	 0.0107000 	 0.0485000 	 0.0376000 	 0.0125000 	 0.0092000 	 0.0662000 	 0.0016000 	 0.0000000 	 0.0011000 	 0.0000000 	 0.0000000 
6.9000000 	 -2.0000000 	 -0.7500000 	 0.0431000 	 0.0113000 	 0.0024000 	 0.0041000 	 0.1225000 	 0.0106000 	 0.0483000 	 0.0375000 	 0.0124000 	 0.0091000 	 0.0661000 	 0.0015000 	 0.0000000 	 0.0011000 	 0.0000000 	 0.0000000 
6.9000000 	 0.0000000 	 -1.0000000 	 0.0446000 	 0.0119000 	 0.0028000 	 0.0043000 	 0.0946000 	 0.0226000 	 0.0497000 	 0.0342000 	 0.0261000 	 0.0219000 	 0.0589000 	 0.0026000 	 0.0042000 	 0.0017000 	 0.0145000 	 0.0055000 
6.9000000 	 -0.1250000 	 -1.0000000 	 0.0445000 	 0.0118000 	 0.0028000 	 0.0043000 	 0.0942000 	 0.0225000 	 0.0498000 	 0.0342000 	 0.0261000 	 0.0219000 	 0.0589000 	 0.0026000 	 0.0032000 	 0.0017000 	 0.0109000 	 0.0043000 
6.9000000 	 -0.2500000 	 -1.0000000 	 0.0445000 	 0.0118000 	 0.0028000 	 0.0043000 	 0.0934000 	 0.0225000 	 0.0498000 	 0.0342000 	 0.0261000 	 0.0219000 	 0.0588000 	 0.0026000 	 0.0024000 	 0.0017000 	 0.0082000 	 0.0033000 
6.9000000 	 -0.3750000 	 -1.0000000 	 0.0444000 	 0.0118000 	 0.0028000 	 0.0043000 	 0.0925000 	 0.0225000 	 0.0498000 	 0.0341000 	 0.0260000 	 0.0220000 	 0.0587000 	 0.0026000 	 0.0018000 	 0.0017000 	 0.0062000 	 0.0025000 
6.9000000 	 -0.5000000 	 -1.0000000 	 0.0444000 	 0.0118000 	 0.0028000 	 0.0043000 	 0.0931000 	 0.0225000 	 0.0498000 	 0.0342000 	 0.0260000 	 0.0219000 	 0.0589000 	 0.0026000 	 0.0013000 	 0.0017000 	 0.0046000 	 0.0019000 
6.9000000 	 -0.6250000 	 -1.0000000 	 0.0443000 	 0.0117000 	 0.0028000 	 0.0043000 	 0.0925000 	 0.0225000 	 0.0498000 	 0.0341000 	 0.0260000 	 0.0219000 	 0.0588000 	 0.0026000 	 0.0000000 	 0.0017000 	 0.0035000 	 0.0015000 
6.9000000 	 -0.7500000 	 -1.0000000 	 0.0443000 	 0.0117000 	 0.0028000 	 0.0043000 	 0.0947000 	 0.0224000 	 0.0499000 	 0.0343000 	 0.0259000 	 0.0219000 	 0.0591000 	 0.0026000 	 0.0000000 	 0.0017000 	 0.0026000 	 0.0011000 
6.9000000 	 -0.8750000 	 -1.0000000 	 0.0443000 	 0.0117000 	 0.0028000 	 0.0043000 	 0.0946000 	 0.0224000 	 0.0499000 	 0.0343000 	 0.0259000 	 0.0219000 	 0.0591000 	 0.0026000 	 0.0000000 	 0.0017000 	 0.0020000 	 0.0000000 
6.9000000 	 -1.0000000 	 -1.0000000 	 0.0443000 	 0.0117000 	 0.0028000 	 0.0043000 	 0.0947000 	 0.0224000 	 0.0499000 	 0.0343000 	 0.0259000 	 0.0219000 	 0.0592000 	 0.0026000 	 0.0000000 	 0.0017000 	 0.0015000 	 0.0000000 
6.9000000 	 -1.1250000 	 -1.0000000 	 0.0443000 	 0.0117000 	 0.0028000 	 0.0043000 	 0.0959000 	 0.0223000 	 0.0499000 	 0.0344000 	 0.0258000 	 0.0218000 	 0.0594000 	 0.0026000 	 0.0000000 	 0.0017000 	 0.0011000 	 0.0000000 
6.9000000 	 -1.2500000 	 -1.0000000 	 0.0443000 	 0.0117000 	 0.0028000 	 0.0043000 	 0.0928000 	 0.0224000 	 0.0499000 	 0.0342000 	 0.0259000 	 0.0219000 	 0.0589000 	 0.0026000 	 0.0000000 	 0.0017000 	 0.0000000 	 0.0000000 
6.9000000 	 -1.3750000 	 -1.0000000 	 0.0442000 	 0.0117000 	 0.0028000 	 0.0043000 	 0.0936000 	 0.0224000 	 0.0499000 	 0.0343000 	 0.0259000 	 0.0219000 	 0.0590000 	 0.0026000 	 0.0000000 	 0.0017000 	 0.0000000 	 0.0000000 
6.9000000 	 -1.5000000 	 -1.0000000 	 0.0442000 	 0.0117000 	 0.0028000 	 0.0043000 	 0.0944000 	 0.0224000 	 0.0499000 	 0.0343000 	 0.0259000 	 0.0219000 	 0.0592000 	 0.0026000 	 0.0000000 	 0.0017000 	 0.0000000 	 0.0000000 
6.9000000 	 -1.6250000 	 -1.0000000 	 0.0442000 	 0.0117000 	 0.0028000 	 0.0043000 	 0.0950000 	 0.0223000 	 0.0499000 	 0.0344000 	 0.0258000 	 0.0218000 	 0.0592000 	 0.0026000 	 0.0000000 	 0.0017000 	 0.0000000 	 0.0000000 
6.9000000 	 -1.7500000 	 -1.0000000 	 0.0442000 	 0.0117000 	 0.0028000 	 0.0043000 	 0.0951000 	 0.0223000 	 0.0499000 	 0.0344000 	 0.0258000 	 0.0218000 	 0.0593000 	 0.0026000 	 0.0000000 	 0.0017000 	 0.0000000 	 0.0000000 
6.9000000 	 -1.8750000 	 -1.0000000 	 0.0442000 	 0.0117000 	 0.0028000 	 0.0043000 	 0.0952000 	 0.0223000 	 0.0499000 	 0.0344000 	 0.0258000 	 0.0218000 	 0.0593000 	 0.0026000 	 0.0000000 	 0.0017000 	 0.0000000 	 0.0000000 
6.9000000 	 -2.0000000 	 -1.0000000 	 0.0442000 	 0.0117000 	 0.0028000 	 0.0043000 	 0.0920000 	 0.0224000 	 0.0499000 	 0.0341000 	 0.0259000 	 0.0219000 	 0.0588000 	 0.0026000 	 0.0000000 	 0.0017000 	 0.0000000 	 0.0000000 
6.9000000 	 0.0000000 	 -1.2500000 	 0.0466000 	 0.0126000 	 0.0039000 	 0.0046000 	 0.0491000 	 0.0395000 	 0.0449000 	 0.0262000 	 0.0457000 	 0.0462000 	 0.0437000 	 0.0050000 	 0.0072000 	 0.0031000 	 0.0133000 	 0.0051000 
6.9000000 	 -0.1250000 	 -1.2500000 	 0.0464000 	 0.0125000 	 0.0039000 	 0.0046000 	 0.0479000 	 0.0393000 	 0.0448000 	 0.0261000 	 0.0454000 	 0.0462000 	 0.0434000 	 0.0050000 	 0.0054000 	 0.0031000 	 0.0100000 	 0.0039000 
6.9000000 	 -0.2500000 	 -1.2500000 	 0.0463000 	 0.0125000 	 0.0039000 	 0.0046000 	 0.0472000 	 0.0391000 	 0.0447000 	 0.0260000 	 0.0452000 	 0.0462000 	 0.0433000 	 0.0049000 	 0.0041000 	 0.0031000 	 0.0075000 	 0.0030000 
6.9000000 	 -0.3750000 	 -1.2500000 	 0.0462000 	 0.0125000 	 0.0039000 	 0.0046000 	 0.0476000 	 0.0390000 	 0.0447000 	 0.0261000 	 0.0450000 	 0.0462000 	 0.0434000 	 0.0049000 	 0.0030000 	 0.0031000 	 0.0057000 	 0.0023000 
6.9000000 	 -0.5000000 	 -1.2500000 	 0.0461000 	 0.0124000 	 0.0039000 	 0.0046000 	 0.0473000 	 0.0389000 	 0.0447000 	 0.0260000 	 0.0449000 	 0.0462000 	 0.0434000 	 0.0049000 	 0.0023000 	 0.0031000 	 0.0043000 	 0.0017000 
6.9000000 	 -0.6250000 	 -1.2500000 	 0.0461000 	 0.0124000 	 0.0039000 	 0.0046000 	 0.0466000 	 0.0388000 	 0.0446000 	 0.0260000 	 0.0448000 	 0.0462000 	 0.0432000 	 0.0049000 	 0.0017000 	 0.0031000 	 0.0032000 	 0.0013000 
6.9000000 	 -0.7500000 	 -1.2500000 	 0.0461000 	 0.0124000 	 0.0039000 	 0.0045000 	 0.0457000 	 0.0388000 	 0.0445000 	 0.0258000 	 0.0447000 	 0.0462000 	 0.0430000 	 0.0049000 	 0.0013000 	 0.0031000 	 0.0024000 	 0.0000000 
6.9000000 	 -0.8750000 	 -1.2500000 	 0.0460000 	 0.0124000 	 0.0039000 	 0.0045000 	 0.0464000 	 0.0388000 	 0.0446000 	 0.0259000 	 0.0447000 	 0.0462000 	 0.0432000 	 0.0049000 	 0.0000000 	 0.0031000 	 0.0018000 	 0.0000000 
6.9000000 	 -1.0000000 	 -1.2500000 	 0.0460000 	 0.0124000 	 0.0039000 	 0.0045000 	 0.0454000 	 0.0388000 	 0.0444000 	 0.0258000 	 0.0447000 	 0.0462000 	 0.0430000 	 0.0049000 	 0.0000000 	 0.0031000 	 0.0013000 	 0.0000000 
