#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log C/O: -1.4 - 0.6, log U: -4.0 - -1.5 (O/H vs. log U and vs N/O empirically constrained)
# SED: POPSTAR, Chabrier IMF, age = 1 Myr
# Plane-parallel geometry
#
#12+log(O/H) log(C/O) log(U) Lya_1216 CIV_1549 HeII_1640 OIII_1665 CIII_1909 OIII_5007
7.80 -0.900 -2.00 1.0817 0.1215 0.0103 0.3003 0.3324 5.7367
7.90 -1.150 -2.75 2.4031 0.0068 0.0046 0.0985 0.0909 3.6360
7.90 -1.150 -2.50 1.7951 0.0159 0.0057 0.1493 0.1206 4.6758
7.90 -1.150 -2.25 1.3602 0.0338 0.0074 0.2109 0.1531 5.6181
7.90 -1.025 -2.75 2.4092 0.0085 0.0046 0.0980 0.1207 3.6283
7.90 -1.025 -2.50 1.7946 0.0196 0.0057 0.1483 0.1599 4.6638
7.90 -1.025 -2.25 1.3581 0.0422 0.0074 0.2093 0.2028 5.6012
7.90 -0.900 -2.75 2.4057 0.0105 0.0046 0.0973 0.1600 3.6183
7.90 -0.900 -2.50 1.8006 0.0243 0.0057 0.1471 0.2118 4.6499
7.90 -0.900 -2.25 1.3561 0.0528 0.0074 0.2073 0.2683 5.5813
8.00 -1.150 -2.75 2.2944 0.0065 0.0045 0.0899 0.0882 4.0370
8.00 -1.150 -2.50 1.7210 0.0144 0.0055 0.1347 0.1153 5.1727
8.00 -1.150 -2.25 1.3042 0.0293 0.0072 0.1887 0.1449 6.1962
8.00 -1.025 -2.75 2.2931 0.0080 0.0044 0.0893 0.1169 4.0274
8.00 -1.025 -2.50 1.7143 0.0175 0.0055 0.1338 0.1529 5.1598
8.00 -1.025 -2.25 1.3020 0.0362 0.0072 0.1874 0.1921 6.1793
8.00 -0.900 -2.75 2.2891 0.0098 0.0044 0.0886 0.1549 4.0145
8.00 -0.900 -2.50 1.7150 0.0214 0.0055 0.1327 0.2023 5.1425
8.00 -0.900 -2.25 1.2995 0.0448 0.0071 0.1855 0.2540 6.1556
8.00 -0.775 -2.75 2.2781 0.0119 0.0044 0.0877 0.2047 3.9985
8.00 -0.775 -2.50 1.7119 0.0263 0.0055 0.1311 0.2671 5.1195
8.00 -0.775 -2.25 1.2973 0.0557 0.0071 0.1833 0.3352 6.1267
8.00 -0.650 -2.75 2.2690 0.0145 0.0044 0.0864 0.2696 3.9759
8.00 -0.650 -2.50 1.7060 0.0324 0.0055 0.1292 0.3519 5.0914
8.00 -0.650 -2.25 1.2935 0.0690 0.0071 0.1805 0.4412 6.0909
8.10 -1.150 -3.00 2.8806 0.0022 0.0036 0.0457 0.0597 3.0150
8.10 -1.150 -2.75 2.1418 0.0061 0.0043 0.0762 0.0805 4.3433
8.10 -1.150 -2.50 1.6123 0.0125 0.0053 0.1133 0.1040 5.5556
8.10 -1.150 -2.25 1.2254 0.0242 0.0069 0.1584 0.1301 6.6514
8.10 -1.025 -3.00 2.8780 0.0028 0.0036 0.0454 0.0791 3.0065
8.10 -1.025 -2.75 2.1392 0.0073 0.0043 0.0756 0.1067 4.3307
8.10 -1.025 -2.50 1.6099 0.0149 0.0053 0.1126 0.1379 5.5419
8.10 -1.025 -2.25 1.2238 0.0293 0.0069 0.1573 0.1725 6.6332
8.10 -0.900 -3.00 2.8713 0.0035 0.0036 0.0449 0.1046 2.9952
8.10 -0.900 -2.75 2.1335 0.0087 0.0043 0.0749 0.1411 4.3150
8.10 -0.900 -2.50 1.6066 0.0179 0.0053 0.1117 0.1826 5.5243
8.10 -0.900 -2.25 1.2204 0.0358 0.0068 0.1559 0.2281 6.6096
8.10 -0.775 -3.00 2.8651 0.0044 0.0036 0.0443 0.1380 2.9801
8.10 -0.775 -2.75 2.1276 0.0104 0.0043 0.0741 0.1865 4.2969
8.10 -0.775 -2.50 1.6014 0.0216 0.0053 0.1104 0.2411 5.4990
8.10 -0.775 -2.25 1.2168 0.0438 0.0068 0.1540 0.3011 6.5790
8.10 -0.650 -3.00 2.8579 0.0054 0.0036 0.0436 0.1814 2.9609
8.10 -0.650 -2.75 2.1218 0.0125 0.0043 0.0729 0.2453 4.2700
8.10 -0.650 -2.50 1.5970 0.0262 0.0053 0.1087 0.3173 5.4662
8.10 -0.650 -2.25 1.2146 0.0535 0.0068 0.1515 0.3961 6.5382
8.20 -0.900 -3.00 2.6650 0.0032 0.0034 0.0351 0.0903 3.1057
