12+log(O/H)	log(U)_min	log(U)_max	log(N/O)_min	log(N/O)_max
6.9	-4.00	-0.50	-1.15	-0.90
7.0	-4.00	-0.50	-1.15	-0.90
7.1	-4.00	-0.50	-1.15	-0.90
7.2	-4.00	-0.50	-1.15	-0.90
7.3	-4.00	-0.50	-1.15	-0.90
7.4	-4.00	-0.50	-1.15	-0.90
7.5	-4.00	-0.50	-1.15	-0.90
7.6	-4.00	-0.50	-1.15	-0.90
7.7	-4.00	-0.50	-1.15	-0.90
7.8	-4.00	-0.50	-1.15	-0.90
7.9	-4.00	-0.50	-1.15	-0.90
8.0	-4.00	-0.50	-1.15	-0.65
8.1	-4.00	-0.50	-1.15	-0.65
8.2	-4.00	-0.50	-0.90	-0.40
8.3	-4.00	-0.50	-0.90	-0.40
8.4	-4.00	-0.50	-0.90	-0.40
8.5	-4.00	-0.50	-0.90	-0.40
8.6	-4.00	-0.50	-0.65	-0.15
8.7	-4.00	-0.50	-0.65	-0.15
8.8	-4.00	-0.50	-0.40	0.10
8.9	-4.00	-0.50	-0.40	0.10
9.0	-4.00	-0.50	-0.15	0.35
9.1	-4.00	-0.50	-0.15	0.35
