#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, T*: 30 - 100 kK
# SED: black body 
#plane-parallel geometry
#
12+log(O/H) Teff log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 HeI_4471 HeI_5876 HeI_6678 HeII_4686 ArIV_4740 ArIII_7135	NII_6584	CIV_1549	CIII_1909
7.1 35000 -3.75 0.5746 0.0025 0.1423 0.0075 0.0168 0.0430 0.0121 0.0000 0.0000 0.0055 0.0260 0.0000 0.0091
7.1 35000 -3.50 0.6874 0.0081 0.1283 0.0116 0.0181 0.0462 0.0130 0.0000 0.0000 0.0069 0.0280 0.0000 0.0197
7.1 35000 -3.25 0.8092 0.0251 0.1093 0.0169 0.0190 0.0487 0.0137 0.0000 0.0000 0.0085 0.0290 0.0000 0.0402
7.1 35000 -3.00 0.9207 0.0713 0.0873 0.0230 0.0198 0.0506 0.0142 0.0000 0.0000 0.0103 0.0278 0.0000 0.0763
7.1 35000 -2.75 0.9839 0.1747 0.0661 0.0293 0.0203 0.0521 0.0146 0.0000 0.0000 0.0122 0.0242 0.0000 0.1329
7.1 35000 -2.50 0.9607 0.3569 0.0480 0.0352 0.0208 0.0532 0.0149 0.0000 0.0000 0.0140 0.0192 0.0000 0.2126
7.1 35000 -2.25 0.8475 0.6075 0.0339 0.0403 0.0210 0.0540 0.0150 0.0000 0.0000 0.0158 0.0142 0.0012 0.3126
7.1 35000 -2.00 0.6856 0.8848 0.0239 0.0445 0.0212 0.0544 0.0151 0.0000 0.0000 0.0173 0.0101 0.0033 0.4259
7.1 35000 -1.75 0.5229 1.1466 0.0170 0.0475 0.0212 0.0546 0.0152 0.0000 0.0000 0.0184 0.0070 0.0079 0.5437
7.1 35000 -1.50 0.3876 1.3725 0.0124 0.0495 0.0212 0.0547 0.0152 0.0000 0.0000 0.0192 0.0049 0.0161 0.6616
7.1 37500 -4.00 0.4920 0.0012 0.1506 0.0054 0.0169 0.0432 0.0122 0.0000 0.0000 0.0049 0.0242 0.0000 0.0055
7.1 37500 -3.75 0.5917 0.0041 0.1390 0.0087 0.0183 0.0467 0.0132 0.0000 0.0000 0.0062 0.0264 0.0000 0.0120
7.1 37500 -3.50 0.7047 0.0134 0.1225 0.0132 0.0193 0.0495 0.0139 0.0000 0.0000 0.0077 0.0281 0.0000 0.0254
7.1 37500 -3.25 0.8209 0.0411 0.1017 0.0187 0.0201 0.0514 0.0145 0.0000 0.0000 0.0094 0.0284 0.0000 0.0506
7.1 37500 -3.00 0.9078 0.1131 0.0794 0.0249 0.0206 0.0527 0.0148 0.0000 0.0000 0.0112 0.0260 0.0000 0.0931
7.1 37500 -2.75 0.9213 0.2607 0.0590 0.0311 0.0209 0.0536 0.0150 0.0000 0.0000 0.0130 0.0214 0.0000 0.1571
7.1 37500 -2.50 0.8417 0.4914 0.0423 0.0368 0.0211 0.0541 0.0151 0.0000 0.0000 0.0148 0.0162 0.0000 0.2448
7.1 37500 -2.25 0.6966 0.7731 0.0300 0.0417 0.0212 0.0544 0.0152 0.0000 0.0000 0.0164 0.0116 0.0022 0.3546
7.1 37500 -2.00 0.5371 1.0580 0.0214 0.0456 0.0212 0.0546 0.0152 0.0000 0.0000 0.0178 0.0081 0.0056 0.4804
7.1 37500 -1.75 0.3985 1.3143 0.0155 0.0483 0.0212 0.0548 0.0152 0.0000 0.0000 0.0188 0.0056 0.0119 0.6138
7.1 37500 -1.50 0.2924 1.5333 0.0116 0.0498 0.0212 0.0549 0.0152 0.0000 0.0000 0.0194 0.0040 0.0225 0.7498
7.1 40000 -4.00 0.5040 0.0019 0.1500 0.0062 0.0182 0.0466 0.0132 0.0000 0.0000 0.0055 0.0246 0.0000 0.0068
7.1 40000 -3.75 0.6054 0.0062 0.1363 0.0097 0.0193 0.0495 0.0140 0.0000 0.0000 0.0069 0.0267 0.0000 0.0148
7.1 40000 -3.50 0.7174 0.0203 0.1179 0.0144 0.0202 0.0516 0.0145 0.0000 0.0000 0.0084 0.0281 0.0000 0.0309
7.1 40000 -3.25 0.8223 0.0613 0.0960 0.0202 0.0207 0.0530 0.0149 0.0000 0.0000 0.0101 0.0276 0.0000 0.0602
7.1 40000 -3.00 0.8790 0.1625 0.0736 0.0264 0.0210 0.0538 0.0151 0.0000 0.0000 0.0118 0.0242 0.0000 0.1078
7.1 40000 -2.75 0.8454 0.3506 0.0541 0.0324 0.0212 0.0543 0.0152 0.0000 0.0000 0.0136 0.0190 0.0000 0.1776
7.1 40000 -2.50 0.7271 0.6151 0.0387 0.0379 0.0212 0.0545 0.0152 0.0000 0.0000 0.0153 0.0138 0.0013 0.2722
7.1 40000 -2.25 0.5721 0.9100 0.0275 0.0425 0.0213 0.0546 0.0152 0.0000 0.0000 0.0168 0.0097 0.0037 0.3909
7.1 40000 -2.00 0.4269 1.1929 0.0198 0.0461 0.0212 0.0547 0.0152 0.0000 0.0000 0.0181 0.0067 0.0086 0.5286
7.1 40000 -1.75 0.3121 1.4431 0.0145 0.0485 0.0212 0.0548 0.0152 0.0000 0.0000 0.0189 0.0047 0.0172 0.6767
7.1 40000 -1.50 0.2285 1.6582 0.0110 0.0493 0.0212 0.0549 0.0152 0.0000 0.0011 0.0193 0.0034 0.0325 0.8292
7.1 45000 -4.00 0.5225 0.0036 0.1496 0.0074 0.0201 0.0515 0.0145 0.0000 0.0000 0.0065 0.0253 0.0000 0.0097
7.1 45000 -3.75 0.6244 0.0120 0.1324 0.0113 0.0208 0.0531 0.0150 0.0000 0.0000 0.0078 0.0271 0.0000 0.0206
7.1 45000 -3.50 0.7284 0.0385 0.1114 0.0164 0.0212 0.0542 0.0153 0.0000 0.0000 0.0093 0.0278 0.0000 0.0411
