#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, T*: 30 - 140 kK
# SED: WM-Basic (Pauldrach et al 2001 (30-60 kK), Rauch (80-120 kK)) 
#plane-paralell geometry
#
12+log(O/H) Teff log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 HeI_4471 HeI_5876 HeI_6678 HeII_4686 ArIV_4740 ArIII_7135 NII_6584	CIV_1549	CIII_1909
7.1 60000 -1.75 0.0904 1.9173 0.0140 0.0337 0.0197 0.0508 0.0141 0.0029 0.0050 0.0128 0.0024 0.2182 0.9995
7.1 60000 -1.50 0.0700 2.1629 0.0112 0.0301 0.0194 0.0503 0.0139 0.0040 0.0070 0.0111 0.0019 0.4083 1.2230
7.1 80000 -4.00 0.5421 0.0245 0.1690 0.0107 0.0257 0.0657 0.0186 0.0016 0.0000 0.0096 0.0280 0.0000 0.0267
7.1 80000 -3.75 0.6045 0.0748 0.1399 0.0148 0.0242 0.0618 0.0174 0.0021 0.0000 0.0104 0.0276 0.0000 0.0476
7.1 80000 -3.50 0.6053 0.1955 0.1119 0.0195 0.0230 0.0587 0.0165 0.0025 0.0000 0.0114 0.0247 0.0000 0.0811
7.1 80000 -3.25 0.5215 0.4011 0.0863 0.0244 0.0220 0.0562 0.0158 0.0028 0.0000 0.0124 0.0194 0.0022 0.1305
7.1 80000 -3.00 0.3949 0.6544 0.0644 0.0286 0.0212 0.0542 0.0152 0.0029 0.0000 0.0133 0.0139 0.0088 0.1996
7.1 80000 -2.75 0.2777 0.9150 0.0469 0.0311 0.0206 0.0527 0.0147 0.0031 0.0000 0.0138 0.0095 0.0299 0.2895
7.1 80000 -2.50 0.1902 1.1706 0.0334 0.0313 0.0201 0.0515 0.0143 0.0033 0.0015 0.0135 0.0064 0.0871 0.3980
7.1 80000 -2.25 0.1318 1.4235 0.0240 0.0293 0.0196 0.0505 0.0140 0.0037 0.0030 0.0123 0.0044 0.2130 0.5156
7.1 80000 -2.00 0.0945 1.6772 0.0175 0.0259 0.0193 0.0497 0.0137 0.0045 0.0049 0.0106 0.0031 0.4340 0.6305
7.1 80000 -1.75 0.0710 1.9323 0.0133 0.0220 0.0190 0.0490 0.0135 0.0057 0.0069 0.0088 0.0024 0.7460 0.7293
7.1 80000 -1.50 0.0559 2.1839 0.0105 0.0183 0.0186 0.0484 0.0132 0.0077 0.0090 0.0073 0.0019 1.1123 0.7981
7.1 100000 -4.00 0.5303 0.0293 0.1825 0.0107 0.0252 0.0642 0.0181 0.0384 0.0000 0.0098 0.0287 0.0000 0.0285
7.1 100000 -3.75 0.5821 0.0890 0.1491 0.0145 0.0225 0.0575 0.0162 0.0493 0.0000 0.0105 0.0280 0.0000 0.0502
7.1 100000 -3.50 0.5634 0.2271 0.1180 0.0191 0.0203 0.0518 0.0146 0.0604 0.0000 0.0113 0.0246 0.0010 0.0851
7.1 100000 -3.25 0.4663 0.4400 0.0899 0.0236 0.0186 0.0475 0.0133 0.0689 0.0000 0.0122 0.0191 0.0048 0.1371
7.1 100000 -3.00 0.3468 0.6702 0.0661 0.0271 0.0174 0.0445 0.0125 0.0735 0.0000 0.0127 0.0136 0.0188 0.2081
7.1 100000 -2.75 0.2448 0.8777 0.0474 0.0285 0.0166 0.0423 0.0118 0.0765 0.0012 0.0125 0.0093 0.0610 0.2950
7.1 100000 -2.50 0.1695 1.0461 0.0334 0.0275 0.0158 0.0404 0.0112 0.0808 0.0024 0.0115 0.0063 0.1630 0.3876
7.1 100000 -2.25 0.1183 1.1709 0.0237 0.0247 0.0149 0.0383 0.0106 0.0884 0.0039 0.0100 0.0044 0.3547 0.4696
7.1 100000 -2.00 0.0852 1.2449 0.0171 0.0210 0.0139 0.0358 0.0099 0.1007 0.0055 0.0084 0.0031 0.6254 0.5238
7.1 100000 -1.75 0.0639 1.2545 0.0128 0.0173 0.0127 0.0326 0.0090 0.1182 0.0068 0.0068 0.0023 0.9075 0.5363
7.1 100000 -1.50 0.0501 1.1876 0.0100 0.0140 0.0112 0.0287 0.0079 0.1403 0.0075 0.0055 0.0018 1.1132 0.5010
7.1 120000 -4.00 0.5225 0.0298 0.1900 0.0106 0.0250 0.0638 0.0180 0.0531 0.0000 0.0098 0.0289 0.0000 0.0286
7.1 120000 -3.75 0.5722 0.0904 0.1549 0.0143 0.0220 0.0560 0.0158 0.0675 0.0000 0.0105 0.0282 0.0000 0.0501
7.1 120000 -3.50 0.5515 0.2301 0.1222 0.0187 0.0193 0.0493 0.0139 0.0826 0.0000 0.0113 0.0248 0.0013 0.0849
7.1 120000 -3.25 0.4529 0.4419 0.0927 0.0232 0.0173 0.0441 0.0124 0.0949 0.0000 0.0121 0.0192 0.0061 0.1371
7.1 120000 -3.00 0.3344 0.6622 0.0675 0.0264 0.0158 0.0405 0.0113 0.1025 0.0000 0.0125 0.0136 0.0242 0.2075
7.1 120000 -2.75 0.2352 0.8435 0.0477 0.0273 0.0148 0.0379 0.0106 0.1072 0.0014 0.0120 0.0093 0.0789 0.2903
7.1 120000 -2.50 0.1629 0.9682 0.0334 0.0258 0.0139 0.0356 0.0099 0.1128 0.0026 0.0108 0.0063 0.2040 0.3701
7.1 120000 -2.25 0.1138 1.0374 0.0234 0.0227 0.0130 0.0332 0.0092 0.1222 0.0041 0.0092 0.0043 0.4155 0.4279
7.1 120000 -2.00 0.0819 1.0501 0.0168 0.0189 0.0118 0.0302 0.0084 0.1367 0.0054 0.0075 0.0031 0.6715 0.4483
7.1 120000 -1.75 0.0613 0.9988 0.0124 0.0153 0.0104 0.0266 0.0074 0.1561 0.0062 0.0060 0.0023 0.8855 0.4258
7.1 120000 -1.50 0.0477 0.8850 0.0096 0.0122 0.0088 0.0225 0.0062 0.1791 0.0063 0.0048 0.0018 0.9915 0.3688
7.4 30000 -4.00 0.4489 0.0000 0.1845 0.0015 0.0010 0.0026 0.0000 0.0000 0.0000 0.0000 0.0254 0.0000 0.0000
7.4 30000 -3.75 0.5339 0.0000 0.1879 0.0026 0.0011 0.0029 0.0000 0.0000 0.0000 0.0000 0.0280 0.0000 0.0000
7.4 30000 -3.50 0.6224 0.0000 0.1872 0.0045 0.0011 0.0030 0.0000 0.0000 0.0000 0.0000 0.0305 0.0000 0.0000
7.4 30000 -3.25 0.7094 0.0000 0.1794 0.0074 0.0012 0.0031 0.0000 0.0000 0.0000 0.0000 0.0327 0.0000 0.0000
7.4 30000 -3.00 0.7784 0.0000 0.1610 0.0114 0.0012 0.0032 0.0000 0.0000 0.0000 0.0000 0.0343 0.0000 0.0010
7.4 30000 -2.75 0.8149 0.0000 0.1330 0.0160 0.0013 0.0034 0.0000 0.0000 0.0000 0.0000 0.0350 0.0000 0.0030
7.4 30000 -2.50 0.8248 0.0000 0.1019 0.0204 0.0014 0.0037 0.0011 0.0000 0.0000 0.0000 0.0349 0.0000 0.0048
7.4 30000 -2.25 0.8117 0.0000 0.0734 0.0238 0.0016 0.0043 0.0012 0.0000 0.0000 0.0000 0.0340 0.0000 0.0074
7.4 30000 -2.00 0.7841 0.0022 0.0507 0.0259 0.0020 0.0051 0.0015 0.0000 0.0000 0.0011 0.0325 0.0000 0.0109
7.4 30000 -1.75 0.7490 0.0051 0.0340 0.0268 0.0024 0.0062 0.0018 0.0000 0.0000 0.0014 0.0303 0.0000 0.0159
7.4 30000 -1.50 0.7100 0.0116 0.0226 0.0266 0.0030 0.0079 0.0023 0.0000 0.0000 0.0019 0.0273 0.0000 0.0228
7.4 32500 -4.00 0.6554 0.0000 0.2519 0.0034 0.0034 0.0088 0.0025 0.0000 0.0000 0.0011 0.0357 0.0000 0.0000
7.4 32500 -3.75 0.7817 0.0000 0.2517 0.0058 0.0038 0.0098 0.0028 0.0000 0.0000 0.0015 0.0394 0.0000 0.0000
7.4 32500 -3.50 0.9275 0.0000 0.2460 0.0097 0.0040 0.0103 0.0029 0.0000 0.0000 0.0018 0.0434 0.0000 0.0015
7.4 32500 -3.25 1.0927 0.0000 0.2299 0.0155 0.0041 0.0107 0.0030 0.0000 0.0000 0.0021 0.0476 0.0000 0.0050
7.4 32500 -3.00 1.2627 0.0017 0.2010 0.0231 0.0043 0.0111 0.0031 0.0000 0.0000 0.0024 0.0515 0.0000 0.0101
7.4 32500 -2.75 1.4160 0.0042 0.1626 0.0316 0.0046 0.0118 0.0034 0.0000 0.0000 0.0029 0.0544 0.0000 0.0192
7.4 32500 -2.50 1.5243 0.0100 0.1222 0.0393 0.0050 0.0129 0.0037 0.0000 0.0000 0.0035 0.0555 0.0000 0.0333
7.4 32500 -2.25 1.5840 0.0229 0.0871 0.0454 0.0057 0.0146 0.0042 0.0000 0.0000 0.0042 0.0546 0.0000 0.0526
7.4 32500 -2.00 1.5960 0.0497 0.0603 0.0495 0.0066 0.0171 0.0049 0.0000 0.0000 0.0052 0.0516 0.0000 0.0770
7.4 32500 -1.75 1.5641 0.1010 0.0414 0.0520 0.0079 0.0204 0.0058 0.0000 0.0000 0.0066 0.0466 0.0000 0.1069
7.4 32500 -1.50 1.4844 0.1913 0.0284 0.0534 0.0094 0.0244 0.0069 0.0000 0.0000 0.0082 0.0397 0.0000 0.1433
7.4 35000 -4.00 0.8106 0.0000 0.2822 0.0067 0.0089 0.0228 0.0064 0.0000 0.0000 0.0034 0.0424 0.0000 0.0026
7.4 35000 -3.75 0.9683 0.0000 0.2719 0.0108 0.0100 0.0258 0.0073 0.0000 0.0000 0.0044 0.0466 0.0000 0.0055
7.4 35000 -3.50 1.1528 0.0029 0.2538 0.0171 0.0109 0.0279 0.0079 0.0000 0.0000 0.0055 0.0511 0.0000 0.0117
7.4 35000 -3.25 1.3631 0.0084 0.2248 0.0256 0.0113 0.0291 0.0082 0.0000 0.0000 0.0067 0.0552 0.0000 0.0242
7.4 35000 -3.00 1.5933 0.0237 0.1865 0.0359 0.0118 0.0303 0.0085 0.0000 0.0000 0.0081 0.0580 0.0000 0.0484
