#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log C/O: -1.4 - 0.6, log U: -2.5 - -0.5
# SED: Adveted Dominated Flows (ADAF, Nehmen, 2014)
# Plane-parallel geometry, stop criterion: 2% free electrons
#
12+log(O/H)   log(C/O)   log(U)   Lya_1216   NV_1239   CIV_1549   HeII_1640   OIII_1665   CIII_1909   OII_3727   NeIII_3869   OIII_4363   OIII_5007
7.1000 -1.4000 -1.7500 0.0435 0.0094 0.1202 1.5920 0.1975 0.0526 0.0832 0.0701 0.0456 0.9881
7.1000 -1.4000 -1.5000 0.0048 0.0168 0.1244 1.7425 0.1727 0.0386 0.0763 0.0588 0.0373 0.7463
7.1000 -1.4000 -1.2500 0.0027 0.0195 0.0908 1.6416 0.1092 0.0211 0.0768 0.0446 0.0227 0.4358
7.1000 -1.4000 -1.0000 0.0018 0.0142 0.0467 1.2578 0.0492 0.0089 0.0819 0.0302 0.0100 0.1894
7.1000 -1.4000 -0.7500 0.0024 0.0081 0.0207 0.9122 0.0209 0.0038 0.0910 0.0221 0.0040 0.0747
7.1000 -1.4000 -0.5000 0.0019 0.0041 0.0085 0.6478 0.0135 0.0011 0.1031 0.0180 0.0021 0.0334
7.1000 -1.4000 -4.0000 1.7277 0.0000 0.0000 0.4454 0.0000 0.0000 0.4749 0.0210 0.0000 0.0218
7.2000 -1.4000 -3.7500 0.8642 0.0000 0.0000 0.5773 0.0017 0.0035 0.6652 0.0338 0.0013 0.0947
7.2000 -1.4000 -3.5000 0.4957 0.0000 0.0000 0.7015 0.0088 0.0068 0.6526 0.0435 0.0044 0.2687
7.2000 -1.4000 -3.2500 0.3143 0.0000 0.0000 0.8015 0.0241 0.0126 0.5465 0.0553 0.0106 0.5404
7.2000 -1.4000 -3.0000 0.1902 0.0000 0.0035 0.8837 0.0491 0.0212 0.4191 0.0687 0.0191 0.8297
7.2000 -1.4000 -2.7500 0.1215 0.0000 0.0113 0.9674 0.0841 0.0332 0.3064 0.0817 0.0292 1.0907
7.2000 -1.4000 -2.5000 0.1012 0.0000 0.0289 1.0723 0.1293 0.0475 0.2205 0.0919 0.0401 1.2918
7.2000 -1.4000 -2.2500 0.0133 0.0000 0.0609 1.2146 0.1797 0.0617 0.1620 0.0973 0.0503 1.4065
7.2000 -1.4000 -2.0000 0.0080 0.0047 0.1062 1.3965 0.2251 0.0697 0.1253 0.0964 0.0571 1.3981
7.2000 -1.4000 -1.7500 0.0061 0.0116 0.1462 1.5966 0.2437 0.0650 0.1048 0.0879 0.0566 1.2375
7.2000 -1.4000 -1.5000 0.0465 0.0206 0.1518 1.7503 0.2138 0.0479 0.0962 0.0738 0.0465 0.9370
7.2000 -1.4000 -1.2500 0.0030 0.0237 0.1103 1.6411 0.1351 0.0262 0.0967 0.0558 0.0282 0.5456
7.2000 -1.4000 -1.0000 0.0018 0.0175 0.0574 1.2673 0.0617 0.0112 0.1029 0.0380 0.0125 0.2394
7.2000 -1.4000 -0.7500 0.0017 0.0101 0.0256 0.9205 0.0262 0.0048 0.1144 0.0278 0.0050 0.0946
7.2000 -1.4000 -0.5000 0.0018 0.0051 0.0106 0.6492 0.0167 0.0014 0.1291 0.0226 0.0027 0.0419
7.2000 -1.4000 -4.0000 1.6687 0.0000 0.0000 0.4456 0.0000 0.0000 0.5938 0.0262 0.0000 0.0272
7.3000 -1.4000 -4.0000 1.5843 0.0000 0.0000 0.4464 0.0000 0.0012 0.7420 0.0326 0.0000 0.0340
7.3000 -1.4000 -3.7500 0.8318 0.0000 0.0000 0.5779 0.0021 0.0043 0.8308 0.0421 0.0016 0.1181
7.3000 -1.4000 -3.5000 0.4662 0.0000 0.0000 0.7020 0.0107 0.0085 0.8148 0.0542 0.0054 0.3351
7.3000 -1.4000 -3.2500 0.2913 0.0000 0.0000 0.8024 0.0295 0.0155 0.6825 0.0689 0.0130 0.6736
7.3000 -1.4000 -3.0000 0.1779 0.0000 0.0044 0.8855 0.0602 0.0262 0.5239 0.0855 0.0235 1.0347
7.3000 -1.4000 -2.7500 0.1027 0.0000 0.0137 0.9694 0.1039 0.0408 0.3832 0.1018 0.0360 1.3598
7.3000 -1.4000 -2.5000 0.1210 0.0000 0.0349 1.0761 0.1584 0.0584 0.2763 0.1145 0.0495 1.6128
7.3000 -1.4000 -2.2500 0.0829 0.0012 0.0736 1.2186 0.2200 0.0756 0.2032 0.1214 0.0620 1.7560
7.3000 -1.4000 -2.0000 0.0567 0.0058 0.1286 1.4014 0.2758 0.0856 0.1574 0.1204 0.0705 1.7469
7.3000 -1.4000 -1.7500 0.0857 0.0141 0.1773 1.6028 0.2991 0.0799 0.1318 0.1101 0.0700 1.5477
7.3000 -1.4000 -1.5000 0.0106 0.0248 0.1843 1.7552 0.2633 0.0591 0.1212 0.0925 0.0577 1.1728
7.3000 -1.4000 -1.2500 0.0028 0.0285 0.1341 1.6433 0.1670 0.0325 0.1216 0.0698 0.0351 0.6831
7.3000 -1.4000 -1.0000 0.0018 0.0213 0.0699 1.2673 0.0763 0.0139 0.1288 0.0473 0.0156 0.2996
7.3000 -1.4000 -0.7500 0.0017 0.0125 0.0315 0.9239 0.0326 0.0059 0.1430 0.0348 0.0063 0.1189
7.3000 -1.4000 -0.5000 0.0017 0.0064 0.0133 0.6531 0.0204 0.0028 0.1617 0.0283 0.0033 0.0526
7.4000 -1.4000 -3.7500 0.8009 0.0000 0.0000 0.5779 0.0025 0.0052 1.0342 0.0523 0.0020 0.1469
7.4000 -1.4000 -3.5000 0.4590 0.0000 0.0000 0.7026 0.0131 0.0103 1.0146 0.0673 0.0067 0.4163
7.4000 -1.4000 -3.2500 0.2768 0.0000 0.0000 0.8035 0.0359 0.0189 0.8507 0.0856 0.0160 0.8375
7.4000 -1.4000 -3.0000 0.1725 0.0000 0.0053 0.8874 0.0732 0.0320 0.6536 0.1062 0.0289 1.2868
7.4000 -1.4000 -2.7500 0.0903 0.0000 0.0166 0.9720 0.1263 0.0497 0.4784 0.1263 0.0442 1.6911
7.4000 -1.4000 -2.5000 0.1364 0.0000 0.0418 1.0797 0.1922 0.0712 0.3455 0.1422 0.0606 2.0062
7.4000 -1.4000 -2.2500 0.0213 0.0015 0.0884 1.2226 0.2671 0.0921 0.2545 0.1510 0.0761 2.1853
7.4000 -1.4000 -2.0000 0.0076 0.0070 0.1552 1.4079 0.3358 0.1045 0.1976 0.1500 0.0867 2.1790
7.4000 -1.4000 -1.7500 0.0065 0.0169 0.2144 1.6097 0.3653 0.0979 0.1657 0.1376 0.0863 1.9331
7.4000 -1.4000 -1.5000 0.0281 0.0297 0.2231 1.7603 0.3220 0.0727 0.1527 0.1158 0.0712 1.4648
7.4000 -1.4000 -1.2500 0.0025 0.0341 0.1626 1.6455 0.2052 0.0401 0.1529 0.0870 0.0435 0.8540
7.4000 -1.4000 -1.0000 0.0021 0.0260 0.0859 1.2811 0.0953 0.0175 0.1613 0.0595 0.0196 0.3791
