#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log C/O: -1.4 - 0.6, log U: -4.0 - -0.5
# SED: post-AGB stars from Rauch T* = 100,000 K
# Plane-parallel geometry, stop criterion: 98% free electrons
#
12+log(O/H)   log(C/O)   log(U)   Lya_1216   NV_1239   CIV_1549   HeII_1640   OIII_1665   CIII_1909   OII_3727   NeIII_3869   OIII_4363   OIII_5007
7.2000 -1.4000 -0.5000 1.6605 0.0257 0.7139 1.5749 0.6078 0.0234 0.0242 0.1640 0.1282 2.4007
7.2000 -1.4000 -4.0000 82.0095 0.0000 0.0000 0.6769 0.0015 0.0068 1.0417 0.0564 0.0013 0.1011
7.2000 -1.4000 -3.7500 48.4194 0.0000 0.0000 0.3431 0.0048 0.0070 0.7570 0.0463 0.0028 0.2026
7.2000 -1.4000 -3.5000 44.9789 0.0000 0.0000 0.3502 0.0118 0.0101 0.6747 0.0532 0.0062 0.3964
7.2000 -1.4000 -3.2500 35.3595 0.0000 0.0000 0.3271 0.0255 0.0144 0.5181 0.0615 0.0120 0.6762
7.2000 -1.4000 -3.0000 24.2964 0.0000 0.0039 0.2971 0.0453 0.0196 0.3617 0.0710 0.0194 0.9587
7.2000 -1.4000 -2.7500 16.0112 0.0000 0.0124 0.2794 0.0715 0.0249 0.2454 0.0820 0.0279 1.2160
7.2000 -1.4000 -2.5000 10.8886 0.0000 0.0331 0.2811 0.1075 0.0295 0.1629 0.0954 0.0383 1.4697
7.2000 -1.4000 -2.2500 7.5221 0.0000 0.0736 0.3008 0.1563 0.0321 0.1095 0.1109 0.0508 1.7185
7.2000 -1.4000 -2.0000 5.2295 0.0000 0.1405 0.3434 0.2215 0.0334 0.0762 0.1279 0.0659 1.9634
7.2000 -1.4000 -1.7500 3.8851 0.0000 0.2391 0.4173 0.3057 0.0338 0.0556 0.1453 0.0833 2.1977
7.2000 -1.4000 -1.5000 2.9421 0.0000 0.3700 0.5333 0.4060 0.0335 0.0429 0.1609 0.1019 2.4002
7.2000 -1.4000 -1.2500 2.4574 0.0000 0.5157 0.7027 0.5067 0.0322 0.0356 0.1718 0.1184 2.5360
7.2000 -1.4000 -1.0000 2.0274 0.0044 0.6399 0.9364 0.5848 0.0299 0.0294 0.1763 0.1295 2.5870
7.2000 -1.4000 -0.7500 1.7817 0.0114 0.7075 1.2302 0.6189 0.0267 0.0263 0.1733 0.1326 2.5360
7.3000 -1.4000 -0.5000 1.6198 0.0308 0.8520 1.5924 0.7498 0.0287 0.0301 0.2062 0.1596 3.0225
7.3000 -1.4000 -4.0000 81.5467 0.0000 0.0000 0.6774 0.0019 0.0086 1.3081 0.0708 0.0016 0.1271
7.3000 -1.4000 -3.7500 48.2264 0.0000 0.0000 0.3391 0.0059 0.0087 0.9487 0.0579 0.0034 0.2506
7.3000 -1.4000 -3.5000 44.6259 0.0000 0.0000 0.3526 0.0149 0.0126 0.8463 0.0668 0.0078 0.5001
7.3000 -1.4000 -3.2500 35.1228 0.0000 0.0000 0.3287 0.0318 0.0180 0.6502 0.0773 0.0151 0.8510
7.3000 -1.4000 -3.0000 24.3724 0.0000 0.0047 0.2927 0.0555 0.0241 0.4621 0.0887 0.0238 1.1872
7.3000 -1.4000 -2.7500 15.6795 0.0000 0.0154 0.2824 0.0895 0.0312 0.3042 0.1032 0.0350 1.5354
7.3000 -1.4000 -2.5000 10.8567 0.0000 0.0408 0.2819 0.1332 0.0366 0.2055 0.1196 0.0477 1.8430
7.3000 -1.4000 -2.2500 7.2903 0.0000 0.0909 0.3029 0.1940 0.0401 0.1360 0.1392 0.0635 2.1613
7.3000 -1.4000 -2.0000 5.1555 0.0000 0.1726 0.3457 0.2742 0.0414 0.0945 0.1604 0.0821 2.4674
7.3000 -1.4000 -1.7500 3.8161 0.0000 0.2909 0.4191 0.3767 0.0417 0.0709 0.1818 0.1034 2.7544
7.3000 -1.4000 -1.5000 2.9577 0.0000 0.4473 0.5362 0.4997 0.0413 0.0544 0.2015 0.1264 3.0109
7.3000 -1.4000 -1.2500 2.4021 0.0012 0.6201 0.7086 0.6240 0.0397 0.0435 0.2156 0.1471 3.1890
7.3000 -1.4000 -1.0000 2.0703 0.0053 0.7638 0.9424 0.7183 0.0366 0.0383 0.2210 0.1606 3.2469
7.3000 -1.4000 -0.7500 1.8365 0.0138 0.8428 1.2404 0.7611 0.0328 0.0336 0.2175 0.1647 3.1867
