#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log C/O: -1.4 - 0.6, log U: -2.5 - -0.5
# SED: double composite AGN power law, a(UV) = -1.5, a(ox) = -1.2
# Plane-parallel geometry, stop criterion: 98% free electrons
#
12+log(O/H)   log(C/O)   log(U)   Lya_1216   NV_1239   CIV_1549   HeII_1640   OIII_1665   CIII_1909   OII_3727   NeIII_3869   OIII_4363   OIII_5007
7.2000 -1.4000 -2.0000 4.2730 0.0109 0.1251 1.9905 0.1328 0.0547 0.0480 0.0463 0.0368 0.9887
7.2000 -1.4000 -1.7500 3.6816 0.0211 0.1416 2.1892 0.0984 0.0404 0.0311 0.0302 0.0265 0.6878
7.2000 -1.4000 -1.5000 3.2309 0.0303 0.1303 2.3487 0.0574 0.0245 0.0193 0.0176 0.0156 0.4097
7.2000 -1.4000 -1.2500 2.8713 0.0337 0.1026 2.4187 0.0278 0.0131 0.0116 0.0093 0.0077 0.2141
7.2000 -1.4000 -1.0000 2.4678 0.0300 0.0714 2.3800 0.0121 0.0066 0.0062 0.0046 0.0035 0.1011
7.2000 -1.4000 -0.7500 2.2077 0.0213 0.0438 2.2444 0.0051 0.0033 0.0031 0.0022 0.0015 0.0458
7.2000 -1.4000 -0.5000 2.0629 0.0120 0.0248 2.0595 0.0018 0.0011 0.0000 0.0012 0.0000 0.0224
7.3000 -1.4000 -4.0000 80.3027 0.0000 0.0000 0.2681 0.0000 0.0027 0.8441 0.0300 0.0000 0.0520
7.3000 -1.4000 -3.7500 82.2592 0.0000 0.0000 0.4750 0.0029 0.0056 0.9510 0.0431 0.0022 0.1650
7.3000 -1.4000 -3.5000 29.5431 0.0000 0.0000 0.8513 0.0161 0.0116 0.9375 0.0629 0.0084 0.5333
7.3000 -1.4000 -3.2500 25.0973 0.0000 0.0014 1.1236 0.0395 0.0199 0.6848 0.0780 0.0181 0.9818
7.3000 -1.4000 -3.0000 17.6145 0.0000 0.0082 1.3355 0.0753 0.0323 0.4209 0.0916 0.0304 1.3902
