#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log C/O: -1.4 - 0.6, log U: -2.5 - -0.5
# SED: double composite AGN power law, a(UV) = -1.5, a(ox) = -1.2
# Plane-parallel geometry, stop criterion: 2% free electrons, no grains
#
12+log(O/H) log(C/O) log(U) Lya_1216 NV_1239 CIV_1549 HeII_1640 OIII_1665 CIII_1909 OIII_5007
7.3000 -1.4000 -3.5000 49.9930 0.0000 0.5741 0.0000 0.0082 0.0065 0.2721
7.3000 -1.4000 -3.7500 49.7422 0.0000 0.4486 0.0000 0.0015 0.0032 0.0933
7.3000 -1.4000 -4.0000 49.2126 0.0000 0.3395 0.0000 0.0000 0.0000 0.0267
7.5000 -1.4000 -0.5000 66.7222 0.0385 1.2507 1.4370 1.4681 0.0474 5.0840
7.5000 -1.4000 -0.7500 68.2647 0.0514 1.1770 1.0767 1.3580 0.0615 4.5330
7.5000 -1.4000 -1.0000 66.1018 0.0600 1.0770 0.7243 1.2133 0.0689 3.9718
7.5000 -1.4000 -1.2500 60.7055 0.0573 0.9815 0.4996 1.0109 0.0748 3.4440
7.5000 -1.4000 -1.5000 54.4236 0.0430 0.9020 0.3734 0.7389 0.0852 2.8727
7.5000 -1.4000 -1.7500 51.3127 0.0261 0.8686 0.2808 0.5069 0.0965 2.4470
7.5000 -1.4000 -2.0000 50.0834 0.0132 0.8772 0.1935 0.3575 0.1001 2.2143
7.5000 -1.4000 -2.2500 49.4844 0.0051 0.8838 0.1133 0.2538 0.0898 2.0416
7.5000 -1.4000 -2.5000 48.9399 0.0000 0.8790 0.0555 0.1770 0.0705 1.8700
7.5000 -1.4000 -2.7500 48.4761 0.0000 0.8476 0.0227 0.1167 0.0491 1.6307
7.5000 -1.4000 -3.0000 48.1148 0.0000 0.7884 0.0075 0.0691 0.0309 1.2928
7.5000 -1.4000 -3.2500 48.1013 0.0000 0.6997 0.0012 0.0338 0.0179 0.8636
7.5000 -1.4000 -3.5000 48.0500 0.0000 0.5816 0.0000 0.0121 0.0097 0.4226
7.5000 -1.4000 -3.7500 47.7130 0.0000 0.4548 0.0000 0.0022 0.0049 0.1453
7.5000 -1.4000 -4.0000 47.0507 0.0000 0.3443 0.0000 0.0000 0.0014 0.0417
7.6000 -1.4000 -0.5000 65.5476 0.0434 1.2709 1.4872 1.5809 0.0479 5.9925
