#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log C/O: -1.4 - 0.6, log U: -4.0 - -0.5
# SED: post-AGB stars from Rauch T* = 50,000 K
# Plane-parallel geometry, stop criterion: 2% free electrons
#
12+log(O/H)     	 log(C/O)        	 log(U)          	 Lya_1216        	 NV_1239         	 CIV_1549        	 HeII_1640       	 OIII_1665       	 CIII_1909       	 OIII_5007      
7.2000 -1.4000 -0.5000 0.2434 0.0000 0.0501 0.0060 0.7894 0.2361 3.7798
7.2000 -1.4000 -4.0000 18.7369 0.0000 0.0000 0.0000 0.0000 0.0000 0.0033
7.3000 -1.4000 -0.5000 0.2401 0.0000 0.0576 0.0059 0.9039 0.2728 4.5991
7.3000 -1.4000 -4.0000 18.5772 0.0000 0.0000 0.0000 0.0000 0.0012 0.0041
7.3000 -1.4000 -3.7500 11.6127 0.0000 0.0000 0.0000 0.0000 0.0039 0.0137
7.3000 -1.4000 -3.5000 7.0934 0.0000 0.0000 0.0000 0.0000 0.0073 0.0452
7.3000 -1.4000 -3.2500 4.4085 0.0000 0.0000 0.0000 0.0047 0.0126 0.1374
7.3000 -1.4000 -3.0000 2.7889 0.0000 0.0000 0.0000 0.0154 0.0204 0.3582
7.3000 -1.4000 -2.5000 1.2171 0.0000 0.0000 0.0000 0.0834 0.0461 1.2600
7.3000 -1.4000 -2.2500 0.8744 0.0000 0.0000 0.0000 0.1455 0.0656 1.8028
7.3000 -1.4000 -2.0000 0.6582 0.0000 0.0000 0.0000 0.2267 0.0900 2.3278
7.3000 -1.4000 -1.7500 0.5207 0.0000 0.0016 0.0000 0.3258 0.1193 2.8176
7.3000 -1.4000 -1.5000 0.4268 0.0000 0.0052 0.0012 0.4378 0.1516 3.2649
7.3000 -1.4000 -1.2500 0.3588 0.0000 0.0102 0.0017 0.5568 0.1851 3.6678
7.3000 -1.4000 -1.0000 0.3094 0.0000 0.0190 0.0025 0.6767 0.2175 4.0237
7.3000 -1.4000 -0.7500 0.2712 0.0000 0.0336 0.0038 0.7930 0.2472 4.3321
7.4000 -1.4000 -3.7500 11.4895 0.0000 0.0000 0.0000 0.0000 0.0047 0.0170
7.4000 -1.4000 -3.5000 7.0173 0.0000 0.0000 0.0000 0.0011 0.0088 0.0559
7.4000 -1.4000 -3.2500 4.3929 0.0000 0.0000 0.0000 0.0056 0.0153 0.1696
7.4000 -1.4000 -3.0000 2.7527 0.0000 0.0000 0.0000 0.0184 0.0246 0.4409
7.4000 -1.4000 -2.7500 1.7788 0.0000 0.0000 0.0000 0.0476 0.0375 0.9213
7.4000 -1.4000 -2.5000 1.2064 0.0000 0.0000 0.0000 0.0975 0.0546 1.5422
7.4000 -1.4000 -2.2500 0.8632 0.0000 0.0000 0.0000 0.1686 0.0769 2.2015
7.4000 -1.4000 -2.0000 0.6514 0.0000 0.0000 0.0000 0.2605 0.1048 2.8361
7.4000 -1.4000 -1.7500 0.5138 0.0000 0.0019 0.0000 0.3713 0.1378 3.4240
7.4000 -1.4000 -1.5000 0.4189 0.0000 0.0060 0.0012 0.4957 0.1740 3.9588
7.4000 -1.4000 -1.2500 0.3540 0.0000 0.0117 0.0017 0.6275 0.2114 4.4390
7.4000 -1.4000 -1.0000 0.3026 0.0000 0.0216 0.0025 0.7609 0.2477 4.8642
7.4000 -1.4000 -0.7500 0.2644 0.0000 0.0382 0.0038 0.8910 0.2809 5.2353
7.4000 -1.4000 -0.5000 0.2336 0.0000 0.0651 0.0058 1.0161 0.3099 5.5563
7.4000 -1.4000 -4.0000 18.3618 0.0000 0.0000 0.0000 0.0000 0.0014 0.0050
7.5000 -1.4000 -3.7500 11.3740 0.0000 0.0000 0.0000 0.0000 0.0057 0.0209
