#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, f_abs: 0.01 - 1.0
# SED: BPASS v.2.1 (Eldridge et al 2017), alpha(IMF) = -1.35, M_up = 300, age = 4 Myr, Z_* = Z_g
# Spherical geometry
#
#12+log(O/H) f_abs log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 He1_4471 He1_5876 He2_4686
8.0 1.000 -2.24 1.0813 6.5061 0.1668 0.1968 0.0217 0.0557 0.0026
8.0 0.509 -2.05 0.1778 7.6075 0.0223 0.1715 0.0209 0.0536 0.0052
8.0 0.226 -1.83 0.0847 8.0752 0.008 0.1306 0.0202 0.0519 0.0115
8.0 0.110 -1.63 0.0533 8.368 0.0035 0.0979 0.0185 0.0476 0.0235
8.0 0.052 -1.45 0.0361 8.3817 0.0016 0.0722 0.0159 0.0409 0.0485
8.0 0.021 -1.25 0.0228 7.4138 0.0 0.0497 0.0106 0.0273 0.1088
8.0 0.010 -1.15 0.0173 6.5307 0.0 0.0417 0.0072 0.0186 0.1661
8.0 1.000 -1.99 0.8987 7.474 0.1426 0.1881 0.0215 0.0552 0.0036
8.0 0.502 -1.79 0.1215 8.5586 0.0133 0.1476 0.0206 0.0528 0.0072
8.0 0.211 -1.54 0.0529 8.9316 0.0035 0.0946 0.0194 0.0498 0.017
8.0 0.106 -1.34 0.0324 9.0538 0.0013 0.0628 0.0174 0.0447 0.0335
8.0 0.056 -1.16 0.0213 8.7869 0.0 0.0414 0.0146 0.0375 0.0632
8.0 0.021 -0.9 0.0109 7.1354 0.0 0.0225 0.0079 0.0202 0.1589
8.0 0.010 -0.77 0.0072 5.8561 0.0 0.0181 0.0042 0.0107 0.2462
8.0 1.000 -1.74 0.7645 8.4205 0.1259 0.1774 0.0212 0.0547 0.005
8.0 0.513 -1.55 0.0938 9.5757 0.0088 0.1284 0.0203 0.052 0.0098
8.0 0.204 -1.28 0.0363 9.6747 0.0016 0.0676 0.0185 0.0474 0.0243
8.0 0.103 -1.07 0.0217 9.5058 0.0 0.0399 0.0161 0.0414 0.0477
8.0 0.052 -0.87 0.0131 8.623 0.0 0.0222 0.0125 0.032 0.0931
8.0 0.021 -0.61 0.006 6.1122 0.0 0.0109 0.0052 0.0134 0.2158
8.0 0.010 -0.47 0.0034 4.472 0.0 0.0085 0.0023 0.0058 0.3185
8.0 1.000 -1.49 0.662 9.3523 0.1135 0.1654 0.021 0.0541 0.007
8.0 0.513 -1.3 0.0735 10.6615 0.0058 0.1092 0.0199 0.0511 0.0136
8.0 0.213 -1.04 0.0289 10.596 0.0 0.0522 0.018 0.0461 0.0324
8.0 0.105 -0.83 0.0158 9.7881 0.0 0.0259 0.0149 0.0382 0.0651
8.0 0.054 -0.62 0.0092 8.2841 0.0 0.013 0.0107 0.0275 0.1244
8.0 0.020 -0.35 0.0033 4.6859 0.0 0.0058 0.0027 0.0069 0.2959
8.0 0.010 -0.21 0.0016 2.9656 0.0 0.0041 0.0012 0.003 0.389
8.3 1.000 -4.0 2.464 0.0477 1.2803 0.0685 0.0223 0.0574 0.0
8.3 0.512 -3.98 2.2226 0.0711 0.8884 0.0745 0.02 0.0516 0.0
8.3 0.207 -3.97 2.3906 0.0882 0.879 0.0798 0.0196 0.0505 0.0
8.3 0.138 -3.97 2.4787 0.0923 0.8849 0.0815 0.0191 0.0493 0.0
8.3 0.079 -3.97 2.7687 0.1027 0.961 0.0892 0.0201 0.0517 0.0
8.3 0.046 -3.97 2.5014 0.0917 0.8447 0.0789 0.0173 0.0447 0.0
8.3 0.014 -3.97 2.1313 0.0787 0.7095 0.0668 0.0142 0.0366 0.0
8.3 1.000 -3.74 3.0781 0.1811 1.1442 0.1083 0.0225 0.0578 0.0
8.3 0.557 -3.71 2.7555 0.2656 0.7803 0.12 0.0208 0.0534 0.0
8.3 0.207 -3.69 2.8905 0.3415 0.745 0.1285 0.0203 0.0523 0.0
8.3 0.138 -3.68 2.976 0.3571 0.7446 0.1306 0.0198 0.0509 0.0
8.3 0.078 -3.68 3.3046 0.3969 0.8034 0.1424 0.0208 0.0534 0.0
8.3 0.046 -3.68 2.9654 0.3534 0.7011 0.1252 0.0178 0.046 0.0
8.3 0.014 -3.68 2.5127 0.3028 0.5856 0.1056 0.0146 0.0376 0.0
8.3 1.000 -3.48 3.4384 0.5843 0.9462 0.1562 0.0225 0.0578 0.0
8.3 0.533 -3.43 2.8466 0.8734 0.5854 0.1731 0.0212 0.0545 0.0
8.3 0.246 -3.4 2.8079 1.0582 0.5426 0.1805 0.0208 0.0534 0.0
8.3 0.133 -3.39 2.8869 1.1346 0.5334 0.1836 0.0201 0.0517 0.0
8.3 0.075 -3.38 3.2033 1.2694 0.5753 0.2008 0.0212 0.0545 0.0
8.3 0.044 -3.38 2.8356 1.1224 0.4947 0.1744 0.018 0.0464 0.0
8.3 0.013 -3.38 2.3787 0.9562 0.4099 0.1462 0.0147 0.0379 0.0
8.3 1.000 -3.22 3.2159 1.5252 0.7012 0.2064 0.0225 0.0577 0.0
8.3 0.510 -3.13 2.0249 2.1949 0.3497 0.2206 0.0215 0.0552 0.0
8.3 0.216 -3.07 1.8065 2.5642 0.307 0.2276 0.0211 0.0541 0.0
8.3 0.133 -3.05 1.7774 2.6595 0.2947 0.2274 0.0204 0.0524 0.0
8.3 0.063 -3.03 1.742 2.6915 0.279 0.2221 0.0191 0.0493 0.0
8.3 0.023 -3.02 1.4997 2.3375 0.2324 0.188 0.0158 0.041 0.0
8.3 0.022 -3.02 1.5685 2.4408 0.2431 0.1966 0.0163 0.0419 0.0
8.3 1.000 -2.96 2.5937 2.7845 0.493 0.2455 0.0224 0.0575 0.0
8.3 0.498 -2.81 1.0016 3.6159 0.1765 0.2485 0.0216 0.0555 0.0
8.3 0.221 -2.71 0.7949 4.1058 0.1444 0.2595 0.0218 0.056 0.0
8.3 0.100 -2.65 0.7349 4.3522 0.1298 0.2607 0.0209 0.0538 0.0
8.3 0.055 -2.62 0.6721 4.1895 0.1162 0.2442 0.0191 0.0492 0.0
8.3 0.027 -2.6 0.6198 3.9633 0.1053 0.2267 0.0173 0.0445 0.0
8.3 0.011 -2.59 0.4697 3.0472 0.0786 0.1717 0.0129 0.0332 0.0
8.3 1.000 -2.69 2.0389 4.0065 0.3542 0.2688 0.0223 0.0573 0.0
8.3 0.501 -2.51 0.4778 4.685 0.0861 0.2561 0.0217 0.0556 0.0
8.3 0.210 -2.33 0.2969 5.035 0.053 0.2472 0.021 0.054 0.0
8.3 0.101 -2.23 0.2494 5.2661 0.042 0.2405 0.0202 0.0521 0.0
8.3 0.058 -2.17 0.2255 5.2465 0.0365 0.2295 0.019 0.049 0.0
8.3 0.025 -2.11 0.1961 4.9416 0.0307 0.2083 0.0169 0.0436 0.0
8.3 0.011 -2.09 0.1605 4.1837 0.0247 0.1731 0.0139 0.0357 0.001
8.3 1.000 -2.44 1.6695 5.106 0.2747 0.277 0.0222 0.0571 0.0
8.3 0.521 -2.25 0.2803 5.5089 0.0478 0.2438 0.0216 0.0553 0.0
8.3 0.217 -2.02 0.1467 5.8394 0.0217 0.2136 0.0209 0.0536 0.0
8.3 0.099 -1.85 0.1066 6.1183 0.013 0.1895 0.0199 0.0511 0.0
8.3 0.053 -1.74 0.0897 6.2159 0.0096 0.173 0.0189 0.0485 0.0
8.3 0.021 -1.63 0.0704 5.7588 0.0066 0.1436 0.0162 0.0417 0.0
8.3 0.010 -1.58 0.0561 4.8948 0.005 0.1164 0.0133 0.0342 0.0016
8.3 1.000 -2.19 1.4058 6.2049 0.2259 0.2773 0.0221 0.0569 0.0
8.3 0.512 -1.98 0.1778 6.3274 0.0272 0.2201 0.0214 0.0549 0.0
8.3 0.202 -1.72 0.0837 6.679 0.0091 0.1665 0.0205 0.0528 0.0
8.3 0.108 -1.56 0.0609 7.02 0.0048 0.1371 0.0197 0.0505 0.0
8.3 0.052 -1.39 0.0452 7.1761 0.0025 0.1076 0.0182 0.0468 0.0
8.3 0.020 -1.2 0.0327 6.8122 0.0013 0.0782 0.0157 0.0403 0.0013
8.3 0.010 -1.11 0.0248 5.7995 0.0 0.0587 0.0128 0.0328 0.0024
8.3 1.000 -1.99 1.2427 7.0999 0.1998 0.2743 0.0221 0.0567 0.0
8.3 0.466 -1.75 0.1203 7.0163 0.0158 0.1924 0.0212 0.0543 0.0
8.3 0.200 -1.51 0.0605 7.3647 0.005 0.1342 0.0202 0.052 0.0
8.3 0.096 -1.3 0.04 7.6994 0.0019 0.0946 0.0189 0.0487 0.0
8.3 0.051 -1.14 0.0301 7.8534 0.0 0.0698 0.0177 0.0454 0.0
8.3 0.020 -0.91 0.0205 7.4404 0.0 0.0433 0.0151 0.0388 0.0019
8.3 0.010 -0.8 0.0183 7.5476 0.0 0.0365 0.0147 0.0376 0.0035
8.3 1.000 -1.68 1.0422 8.5705 0.1717 0.2653 0.0219 0.0565 0.0
8.3 0.530 -1.48 0.1012 8.3571 0.0113 0.1759 0.0211 0.0542 0.0
8.3 0.216 -1.21 0.0432 8.4476 0.0023 0.0991 0.0199 0.0511 0.0
8.3 0.108 -1.0 0.0279 8.6736 0.0 0.0613 0.0185 0.0476 0.0
8.3 0.056 -0.81 0.0195 8.6348 0.0 0.037 0.0169 0.0434 0.0012
8.3 0.022 -0.55 0.0136 8.5058 0.0 0.0192 0.0151 0.0387 0.0029
8.3 0.011 -0.39 0.0118 8.6799 0.0 0.0133 0.0146 0.0373 0.0057
8.3 1.000 -1.43 0.9156 9.8258 0.156 0.2546 0.0219 0.0563 0.0
8.3 0.528 -1.23 0.0798 9.5239 0.0073 0.1517 0.0209 0.0536 0.0
8.3 0.204 -0.94 0.0321 9.4559 0.0011 0.0705 0.0194 0.0498 0.0
8.3 0.104 -0.74 0.0208 9.42 0.0 0.039 0.0179 0.046 0.001
8.3 0.052 -0.52 0.0144 9.1394 0.0 0.02 0.0161 0.0412 0.002
8.3 0.021 -0.27 0.0113 9.4991 0.0 0.01 0.0154 0.0393 0.0047
8.3 0.011 -0.11 0.0103 9.9523 0.0 0.0064 0.0153 0.0391 0.0089
8.6 1.000 -3.99 0.7419 0.0123 0.8945 0.0482 0.0218 0.0568 0.0
8.6 0.516 -3.98 0.5002 0.017 0.5411 0.0463 0.0198 0.0517 0.0
8.6 0.244 -3.97 0.5676 0.0218 0.5563 0.0508 0.0194 0.0507 0.0
8.6 0.126 -3.97 0.667 0.0254 0.5969 0.0549 0.0188 0.0492 0.0
8.6 0.082 -3.97 0.8069 0.0302 0.6968 0.0641 0.0208 0.054 0.0
8.6 0.049 -3.97 0.7566 0.0278 0.6191 0.057 0.0174 0.0454 0.0
8.6 0.014 -3.97 0.6924 0.0256 0.5515 0.0511 0.0149 0.0388 0.0
8.6 1.000 -3.72 1.1561 0.0567 0.921 0.0854 0.0223 0.058 0.0
8.6 0.556 -3.7 0.815 0.0787 0.5623 0.0864 0.0208 0.0542 0.0
8.6 0.256 -3.69 0.927 0.1046 0.5701 0.0959 0.0204 0.053 0.0
8.6 0.127 -3.68 1.0882 0.1234 0.6056 0.1037 0.0197 0.0512 0.0
8.6 0.081 -3.68 1.3122 0.1472 0.7042 0.1208 0.0217 0.0563 0.0
8.6 0.049 -3.68 1.2113 0.134 0.6171 0.1063 0.0181 0.0471 0.0
8.6 0.014 -3.68 1.1005 0.1227 0.5459 0.0948 0.0155 0.0401 0.0
8.6 1.000 -3.47 1.6748 0.2392 0.8763 0.1429 0.0225 0.0583 0.0
8.6 0.550 -3.42 1.2292 0.3438 0.5213 0.1506 0.0214 0.0554 0.0
8.6 0.218 -3.39 1.3707 0.4652 0.5117 0.1664 0.0208 0.0539 0.0
8.6 0.133 -3.39 1.4829 0.5103 0.5213 0.1726 0.0202 0.0523 0.0
8.6 0.080 -3.38 1.7713 0.6085 0.6003 0.2 0.0222 0.0574 0.0
8.6 0.048 -3.38 1.5913 0.5444 0.5155 0.173 0.0184 0.0478 0.0
8.6 0.014 -3.38 1.4213 0.4934 0.4507 0.153 0.0157 0.0406 0.0
8.6 1.000 -3.19 1.9997 0.7855 0.7206 0.2123 0.0225 0.0583 0.0
8.6 0.518 -3.11 1.1875 1.1101 0.3524 0.2175 0.0217 0.056 0.0
8.6 0.206 -3.06 1.1418 1.3704 0.3177 0.2288 0.021 0.0544 0.0
8.6 0.112 -3.04 1.1795 1.4793 0.3125 0.233 0.0202 0.0524 0.0
8.6 0.075 -3.03 1.1971 1.5192 0.3088 0.2331 0.0196 0.0508 0.0
8.6 0.025 -3.02 1.1618 1.4821 0.2847 0.2178 0.0173 0.0447 0.0
8.6 0.025 -3.02 1.1618 1.4821 0.2847 0.2178 0.0173 0.0447 0.0
8.6 1.000 -2.92 1.8891 1.6378 0.5248 0.2655 0.0225 0.0583 0.0
8.6 0.510 -2.78 0.6707 2.0501 0.1792 0.2524 0.0219 0.0565 0.0
8.6 0.222 -2.69 0.55 2.3401 0.1459 0.2585 0.0213 0.055 0.0
8.6 0.121 -2.65 0.5619 2.6082 0.1439 0.2738 0.0215 0.0555 0.0
8.6 0.066 -2.62 0.5326 2.5975 0.1318 0.2617 0.0197 0.0509 0.0
8.6 0.021 -2.59 0.4732 2.3831 0.1125 0.2302 0.0165 0.0429 0.0
8.6 0.012 -2.59 0.4229 2.1399 0.0995 0.2046 0.0144 0.0374 0.0
8.6 1.000 -2.65 1.6614 2.5782 0.3827 0.301 0.0225 0.0583 0.0
8.6 0.506 -2.47 0.3337 2.8071 0.0849 0.2661 0.0219 0.0567 0.0
8.6 0.197 -2.29 0.2236 3.1004 0.0545 0.2628 0.0212 0.0549 0.0
8.6 0.123 -2.22 0.2121 3.2968 0.0492 0.2648 0.0206 0.0532 0.0
8.6 0.060 -2.16 0.2014 3.4896 0.0443 0.2655 0.0199 0.0515 0.0
8.6 0.024 -2.11 0.1815 3.3738 0.0383 0.2461 0.0178 0.046 0.0
8.6 0.012 -2.09 0.1682 3.1988 0.0349 0.2292 0.0163 0.0419 0.0
8.6 1.000 -2.39 1.4804 3.5121 0.3002 0.3216 0.0225 0.0581 0.0
8.6 0.494 -2.18 0.1939 3.4479 0.0441 0.2614 0.0218 0.0564 0.0
8.6 0.199 -1.96 0.1152 3.7449 0.0219 0.2396 0.0211 0.0546 0.0
8.6 0.100 -1.82 0.0958 4.021 0.0155 0.2272 0.0203 0.0524 0.0
8.6 0.050 -1.71 0.0839 4.1663 0.0119 0.2124 0.0191 0.0494 0.0
8.6 0.023 -1.63 0.0763 4.2149 0.0098 0.1993 0.0178 0.046 0.0
8.6 0.012 -1.59 0.0708 4.0931 0.0088 0.187 0.0167 0.0429 0.0
8.6 1.000 -2.14 1.3343 4.5333 0.2499 0.3342 0.0224 0.058 0.0
8.6 0.499 -1.92 0.1357 4.1365 0.0263 0.247 0.0217 0.056 0.0
8.6 0.204 -1.67 0.0741 4.4221 0.01 0.2002 0.0208 0.0537 0.0
8.6 0.106 -1.51 0.059 4.8106 0.0058 0.1746 0.02 0.0516 0.0
8.6 0.049 -1.33 0.0479 5.1331 0.0033 0.1459 0.0186 0.048 0.0
8.6 0.021 -1.19 0.0406 5.2562 0.0021 0.1228 0.017 0.0439 0.0
8.6 0.011 -1.12 0.0368 5.1696 0.0017 0.1101 0.0159 0.0407 0.0
8.6 1.000 -1.94 1.2312 5.4178 0.2228 0.3406 0.0224 0.0579 0.0
8.6 0.453 -1.69 0.0987 4.7506 0.0158 0.2241 0.0215 0.0554 0.0
8.6 0.184 -1.43 0.0555 5.1352 0.0051 0.164 0.0205 0.0528 0.0
8.6 0.099 -1.27 0.0448 5.6261 0.0027 0.1346 0.0198 0.051 0.0
8.6 0.048 -1.08 0.0358 5.9863 0.0013 0.1021 0.0183 0.0472 0.0
8.6 0.019 -0.88 0.0286 6.1118 0.0 0.0741 0.0165 0.0423 0.0
8.6 0.009 -0.77 0.0254 6.0625 0.0 0.0619 0.0153 0.0393 0.0
8.6 1.000 -1.64 1.0845 6.9582 0.1939 0.3452 0.0223 0.0577 0.0
8.6 0.483 -1.4 0.0816 5.9362 0.0101 0.2044 0.0213 0.0549 0.0
8.6 0.201 -1.14 0.0443 6.2533 0.0026 0.1284 0.0203 0.0523 0.0
8.6 0.101 -0.94 0.0334 6.7534 0.0 0.0879 0.0192 0.0495 0.0
8.6 0.048 -0.73 0.026 7.0615 0.0 0.0561 0.0177 0.0455 0.0
8.6 0.019 -0.49 0.0209 7.3327 0.0 0.034 0.0162 0.0415 0.0
8.6 0.010 -0.36 0.0201 7.8939 0.0 0.0276 0.0163 0.0418 0.0
8.6 1.000 -1.39 0.9794 8.3453 0.1778 0.3439 0.0222 0.0576 0.0
8.6 0.504 -1.17 0.0741 7.1745 0.0075 0.1906 0.0212 0.0546 0.0
8.6 0.194 -0.88 0.0366 7.3074 0.0013 0.0968 0.0198 0.051 0.0
8.6 0.098 -0.67 0.0274 7.6275 0.0 0.0589 0.0186 0.0477 0.0
8.6 0.048 -0.46 0.0219 7.8647 0.0 0.0345 0.0173 0.0444 0.0
8.6 0.020 -0.23 0.0186 8.3219 0.0 0.0196 0.0165 0.0421 0.0
8.6 0.010 -0.07 0.018 9.031 0.0 0.0142 0.0167 0.0427 0.0011
8.9 1.000 -3.96 0.0357 0.0016 0.1265 0.0141 0.0147 0.0387 0.0
8.9 1.000 -3.96 0.0357 0.0016 0.1265 0.0141 0.0147 0.0387 0.0
8.9 1.000 -3.96 0.0357 0.0016 0.1265 0.0141 0.0147 0.0387 0.0
8.9 1.000 -3.96 0.0357 0.0016 0.1265 0.0141 0.0147 0.0387 0.0
8.9 1.000 -3.96 0.0357 0.0016 0.1265 0.0141 0.0147 0.0387 0.0
8.9 1.000 -3.96 0.0357 0.0016 0.1265 0.0141 0.0147 0.0387 0.0
8.9 1.000 -3.96 0.0357 0.0016 0.1265 0.0141 0.0147 0.0387 0.0
8.9 1.000 -3.68 0.0533 0.0073 0.1438 0.0289 0.0193 0.0511 0.0
8.9 1.000 -3.68 0.0533 0.0073 0.1438 0.0289 0.0193 0.0511 0.0
8.9 1.000 -3.68 0.0533 0.0073 0.1438 0.0289 0.0193 0.0511 0.0
8.9 1.000 -3.68 0.0533 0.0073 0.1438 0.0289 0.0193 0.0511 0.0
8.9 0.564 -3.68 0.0589 0.0081 0.1517 0.0301 0.0181 0.0481 0.0
8.9 0.548 -3.68 0.0579 0.008 0.1485 0.0295 0.0181 0.0482 0.0
8.9 0.157 -3.68 0.0559 0.0079 0.1399 0.0278 0.0157 0.0413 0.0
8.9 1.000 -3.39 0.0836 0.0337 0.1471 0.0541 0.0212 0.056 0.0
8.9 0.995 -3.39 0.0836 0.0337 0.1467 0.054 0.0211 0.0557 0.0
8.9 0.749 -3.39 0.0939 0.0385 0.1581 0.0583 0.0212 0.0559 0.0
8.9 0.513 -3.38 0.1064 0.0439 0.1686 0.0619 0.0202 0.0534 0.0
8.9 0.338 -3.38 0.1219 0.05 0.1814 0.0659 0.0195 0.0515 0.0
8.9 0.210 -3.38 0.1351 0.0548 0.1901 0.0685 0.0185 0.0489 0.0
8.9 0.064 -3.38 0.1308 0.0534 0.1767 0.0638 0.0161 0.0423 0.0
8.9 1.000 -3.15 0.2604 0.0966 0.3149 0.0993 0.0226 0.0596 0.0
8.9 0.532 -3.09 0.126 0.1297 0.1376 0.0943 0.022 0.0581 0.0
8.9 0.206 -3.04 0.1527 0.1915 0.1426 0.1097 0.0212 0.056 0.0
8.9 0.124 -3.03 0.1741 0.2245 0.1513 0.1179 0.0206 0.0541 0.0
8.9 0.055 -3.02 0.2138 0.2759 0.1671 0.1298 0.0195 0.0512 0.0
8.9 0.032 -3.02 0.2211 0.2838 0.1644 0.1273 0.0179 0.0471 0.0
8.9 0.010 -3.02 0.177 0.2297 0.1278 0.0996 0.0138 0.0363 0.0
8.9 1.000 -2.86 0.4055 0.276 0.2832 0.1523 0.0228 0.0599 0.0
8.9 0.518 -2.74 0.1059 0.2954 0.078 0.123 0.0224 0.059 0.0
8.9 0.248 -2.67 0.0939 0.3462 0.0655 0.1255 0.0217 0.0571 0.0
8.9 0.120 -2.63 0.1052 0.4289 0.068 0.1376 0.0208 0.0548 0.0
8.9 0.060 -2.61 0.1138 0.4851 0.0695 0.1433 0.0196 0.0515 0.0
8.9 0.023 -2.59 0.1316 0.574 0.0766 0.1587 0.0198 0.0518 0.0
8.9 0.014 -2.59 0.1147 0.5038 0.0653 0.1356 0.0163 0.0426 0.0
8.9 1.000 -2.58 0.5314 0.5413 0.232 0.1916 0.0229 0.0601 0.0
8.9 0.476 -2.39 0.0635 0.4085 0.0317 0.1261 0.0224 0.059 0.0
8.9 0.193 -2.24 0.0542 0.4789 0.023 0.1286 0.0216 0.0569 0.0
8.9 0.099 -2.17 0.0571 0.5797 0.0229 0.1395 0.0207 0.0545 0.0
8.9 0.057 -2.13 0.0596 0.6516 0.0232 0.1474 0.0204 0.0535 0.0
8.9 0.022 -2.1 0.0564 0.6658 0.0212 0.14 0.0177 0.0465 0.0
8.9 0.010 -2.08 0.0495 0.6036 0.0184 0.1225 0.0149 0.0391 0.0
8.9 1.000 -2.32 0.6087 0.9146 0.1965 0.2247 0.0229 0.0601 0.0
8.9 0.480 -2.09 0.0527 0.5714 0.0173 0.134 0.0223 0.0589 0.0
8.9 0.200 -1.89 0.0421 0.6196 0.0093 0.1252 0.0215 0.0567 0.0
8.9 0.101 -1.77 0.041 0.7244 0.0077 0.1282 0.0208 0.0546 0.0
8.9 0.048 -1.67 0.0393 0.8107 0.0066 0.1269 0.0192 0.0503 0.0
8.9 0.022 -1.6 0.0382 0.8715 0.006 0.1258 0.018 0.047 0.0
8.9 0.010 -1.57 0.0356 0.8577 0.0054 0.1183 0.0164 0.0427 0.0
8.9 1.000 -2.07 0.6448 1.4429 0.174 0.2556 0.0228 0.06 0.0
8.9 0.474 -1.83 0.0487 0.8197 0.011 0.1399 0.0222 0.0585 0.0
8.9 0.197 -1.59 0.0387 0.88 0.0045 0.1179 0.0216 0.0567 0.0
8.9 0.098 -1.42 0.0362 1.0341 0.0029 0.1095 0.0203 0.0531 0.0
8.9 0.047 -1.27 0.0345 1.2119 0.0021 0.1027 0.019 0.0497 0.0
8.9 0.019 -1.15 0.0324 1.3431 0.0016 0.0945 0.0174 0.0453 0.0
8.9 0.010 -1.1 0.0313 1.3983 0.0014 0.0906 0.0165 0.043 0.0
8.9 1.000 -1.83 0.6484 2.1468 0.1591 0.285 0.0228 0.0598 0.0
8.9 0.446 -1.56 0.0456 1.172 0.007 0.1391 0.022 0.0577 0.0
8.9 0.185 -1.3 0.0366 1.2798 0.0023 0.1033 0.0209 0.0548 0.0
8.9 0.090 -1.11 0.0342 1.5549 0.0012 0.0867 0.0197 0.0515 0.0
8.9 0.005 -0.61 0.0297 2.4179 0.0 0.0534 0.0167 0.0431 0.0
8.9 0.002 -0.57 0.0304 2.5681 0.0 0.0535 0.017 0.0439 0.0
8.9 0.001 -0.56 0.0315 2.7245 0.0 0.0551 0.0176 0.0454 0.0
8.9 1.000 -1.58 0.64 3.0363 0.1476 0.3127 0.0227 0.0597 0.0
8.9 0.455 -1.31 0.0464 1.718 0.0053 0.1427 0.0218 0.0571 0.0
8.9 0.187 -1.05 0.0363 1.8477 0.0014 0.0914 0.0206 0.0539 0.0
8.9 0.096 -0.86 0.0335 2.175 0.0 0.0691 0.0195 0.0509 0.0
8.9 0.045 -0.65 0.0307 2.5426 0.0 0.049 0.018 0.047 0.0
8.9 0.018 -0.43 0.0285 2.9381 0.0 0.0347 0.0168 0.0436 0.0
8.9 0.009 -0.3 0.028 3.2453 0.0 0.0293 0.0165 0.0428 0.0
8.9 1.000 -1.33 0.617 4.0933 0.1396 0.3346 0.0227 0.0595 0.0
8.9 0.446 -1.06 0.0465 2.4471 0.0038 0.1393 0.0215 0.0564 0.0
8.9 0.180 -0.79 0.0362 2.6161 0.0 0.0783 0.0204 0.0533 0.0
8.9 0.089 -0.58 0.0321 2.9234 0.0 0.0496 0.0189 0.0493 0.0
8.9 0.047 -0.4 0.0302 3.2879 0.0 0.0342 0.0181 0.0469 0.0
8.9 0.018 -0.15 0.0283 3.8437 0.0 0.0211 0.0172 0.0445 0.0
8.9 0.009 -0.01 0.0289 4.3995 0.0 0.0171 0.0176 0.0456 0.0
