8.90 -1.000 -3.75 0.0777 0.0000 0.0000 0.0042 0.1128 0.1849
8.90 -0.975 -3.75 0.0780 0.0000 0.0000 0.0042 0.1207 0.1852
8.90 -0.950 -3.75 0.0783 0.0000 0.0000 0.0042 0.1285 0.1856
8.90 -0.925 -3.75 0.0786 0.0000 0.0000 0.0043 0.1364 0.1859
8.90 -0.900 -3.75 0.0789 0.0000 0.0000 0.0043 0.1442 0.1863
8.90 -0.875 -3.75 0.0792 0.0000 0.0000 0.0043 0.1521 0.1866
8.90 -0.850 -3.75 0.0783 0.0000 0.0000 0.0043 0.1606 0.1851
8.90 -0.825 -3.75 0.0774 0.0000 0.0000 0.0042 0.1691 0.1837
8.90 -0.800 -3.75 0.0764 0.0000 0.0000 0.0042 0.1775 0.1822
8.90 -0.775 -3.75 0.0755 0.0000 0.0000 0.0041 0.1860 0.1808
8.90 -0.750 -3.75 0.0746 0.0000 0.0000 0.0041 0.1945 0.1793
8.90 -0.725 -3.75 0.0735 0.0000 0.0000 0.0040 0.2047 0.1775
8.90 -0.700 -3.75 0.0724 0.0000 0.0000 0.0040 0.2149 0.1757
8.90 -0.675 -3.75 0.0714 0.0000 0.0000 0.0039 0.2252 0.1740
8.90 -0.650 -3.75 0.0703 0.0000 0.0000 0.0039 0.2354 0.1722
8.90 -0.625 -3.75 0.0692 0.0000 0.0000 0.0038 0.2456 0.1704
8.90 -0.600 -3.75 0.0679 0.0000 0.0000 0.0037 0.2576 0.1683
8.90 -0.575 -3.75 0.0667 0.0000 0.0000 0.0036 0.2697 0.1662
8.90 -0.550 -3.75 0.0654 0.0000 0.0000 0.0036 0.2817 0.1641
8.90 -0.525 -3.75 0.0642 0.0000 0.0000 0.0035 0.2938 0.1620
8.90 -0.500 -3.75 0.0629 0.0000 0.0000 0.0034 0.3058 0.1599
8.92 -0.750 -3.75 0.0632 0.0000 0.0000 0.0033 0.1659 0.1540
8.92 -0.725 -3.75 0.0623 0.0000 0.0000 0.0032 0.1746 0.1525
8.92 -0.700 -3.75 0.0614 0.0000 0.0000 0.0032 0.1834 0.1510
8.92 -0.675 -3.75 0.0605 0.0000 0.0000 0.0031 0.1921 0.1494
8.92 -0.650 -3.75 0.0596 0.0000 0.0000 0.0031 0.2009 0.1479
8.92 -0.625 -3.75 0.0587 0.0000 0.0000 0.0030 0.2096 0.1464
8.92 -0.600 -3.75 0.0577 0.0000 0.0000 0.0029 0.2199 0.1446
8.92 -0.575 -3.75 0.0566 0.0000 0.0000 0.0029 0.2301 0.1428
8.92 -0.550 -3.75 0.0556 0.0000 0.0000 0.0028 0.2404 0.1409
8.92 -0.525 -3.75 0.0545 0.0000 0.0000 0.0028 0.2506 0.1391
8.92 -0.500 -3.75 0.0535 0.0000 0.0000 0.0027 0.2609 0.1373
8.94 -0.750 -3.75 0.0517 0.0000 0.0000 0.0025 0.1373 0.1287
8.94 -0.725 -3.75 0.0510 0.0000 0.0000 0.0025 0.1445 0.1274
8.94 -0.700 -3.75 0.0503 0.0000 0.0000 0.0024 0.1518 0.1261
8.94 -0.675 -3.75 0.0496 0.0000 0.0000 0.0024 0.1590 0.1249
8.94 -0.650 -3.75 0.0489 0.0000 0.0000 0.0023 0.1663 0.1236
8.94 -0.625 -3.75 0.0482 0.0000 0.0000 0.0023 0.1735 0.1223
8.94 -0.600 -3.75 0.0474 0.0000 0.0000 0.0022 0.1820 0.1208
8.94 -0.575 -3.75 0.0466 0.0000 0.0000 0.0022 0.1905 0.1193
8.94 -0.550 -3.75 0.0457 0.0000 0.0000 0.0021 0.1990 0.1177
8.94 -0.525 -3.75 0.0449 0.0000 0.0000 0.0021 0.2075 0.1162
8.94 -0.500 -3.75 0.0441 0.0000 0.0000 0.0020 0.2160 0.1147
8.96 -0.750 -3.75 0.0403 0.0000 0.0000 0.0016 0.1088 0.1033
8.96 -0.725 -3.75 0.0398 0.0000 0.0000 0.0016 0.1145 0.1023
8.96 -0.700 -3.75 0.0393 0.0000 0.0000 0.0016 0.1203 0.1013
8.96 -0.675 -3.75 0.0388 0.0000 0.0000 0.0015 0.1260 0.1003
8.96 -0.650 -3.75 0.0383 0.0000 0.0000 0.0015 0.1318 0.0993
8.96 -0.625 -3.75 0.0378 0.0000 0.0000 0.0015 0.1375 0.0983
8.96 -0.600 -3.75 0.0372 0.0000 0.0000 0.0015 0.1442 0.0971
8.96 -0.575 -3.75 0.0366 0.0000 0.0000 0.0015 0.1509 0.0958
8.96 -0.550 -3.75 0.0360 0.0000 0.0000 0.0014 0.1577 0.0946
8.96 -0.525 -3.75 0.0354 0.0000 0.0000 0.0014 0.1644 0.0933
8.96 -0.500 -3.75 0.0348 0.0000 0.0000 0.0014 0.1711 0.0921
8.98 -0.750 -3.75 0.0288 0.0000 0.0000 0.0008 0.0802 0.0780
8.98 -0.725 -3.75 0.0285 0.0000 0.0000 0.0008 0.0844 0.0772
8.98 -0.700 -3.75 0.0282 0.0000 0.0000 0.0008 0.0887 0.0765
8.98 -0.675 -3.75 0.0279 0.0000 0.0000 0.0008 0.0929 0.0757
8.98 -0.650 -3.75 0.0276 0.0000 0.0000 0.0008 0.0972 0.0750
8.98 -0.625 -3.75 0.0273 0.0000 0.0000 0.0008 0.1014 0.0742
8.98 -0.600 -3.75 0.0269 0.0000 0.0000 0.0008 0.1064 0.0733
8.98 -0.575 -3.75 0.0265 0.0000 0.0000 0.0008 0.1113 0.0723
8.98 -0.550 -3.75 0.0262 0.0000 0.0000 0.0007 0.1163 0.0714
