#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log C/O: -1.4 - 0.6, log U: -4.0 - -1.5
# SED: BPASS v.2.1, a = -1.35, M_up = 300 M_sun,, age = 1 Myr
# Plane-parallel geometry
#
#12+log(O/H) log(C/O) log(U) Lya_1216 CIV_1549 HeII_1640 OIII_1665 CIII_1909 OIII_5007
6.9000 -1.0250 -2.5000 2.2376 0.0069 0.0076 0.0520 0.0178 0.7402
6.9000 -1.1500 -2.5000 2.2372 0.0053 0.0076 0.0520 0.0133 0.7404
6.9000 -1.2750 -2.5000 2.2366 0.0041 0.0076 0.0521 0.0100 0.7406
6.9000 -1.4000 -2.5000 2.2367 0.0031 0.0076 0.0521 0.0075 0.7407
6.9000 0.6000 -2.7500 3.1315 0.0694 0.0061 0.0288 0.4801 0.5494
6.9000 0.4750 -2.7500 3.1214 0.0543 0.0061 0.0296 0.3680 0.5544
6.9000 0.1000 -2.7500 3.1371 0.0253 0.0061 0.0310 0.1613 0.5633
6.9000 -0.0250 -2.7500 3.1397 0.0196 0.0061 0.0313 0.1218 0.5650
6.9000 -0.1500 -2.7500 3.1442 0.0151 0.0061 0.0315 0.0919 0.5663
6.9000 -0.2750 -2.7500 3.1461 0.0117 0.0061 0.0316 0.0692 0.5672
6.9000 -0.4000 -2.7500 3.1469 0.0090 0.0061 0.0317 0.0520 0.5680
6.9000 -0.5250 -2.7500 3.1478 0.0069 0.0061 0.0318 0.0391 0.5685
6.9000 -0.6500 -2.7500 3.1475 0.0053 0.0061 0.0319 0.0294 0.5689
6.9000 -0.7750 -2.7500 3.1466 0.0041 0.0061 0.0319 0.0221 0.5692
6.9000 -0.9000 -2.7500 3.1485 0.0031 0.0061 0.0320 0.0166 0.5694
6.9000 -1.2750 -2.7500 3.1501 0.0013 0.0061 0.0320 0.0070 0.5698
6.9000 -1.4000 -2.7500 3.1509 0.0010 0.0061 0.0321 0.0052 0.5699
6.9000 0.6000 -3.0000 4.4330 0.0214 0.0052 0.0163 0.3267 0.3849
6.9000 0.4750 -3.0000 4.4330 0.0168 0.0052 0.0166 0.2492 0.3877
6.9000 0.3500 -3.0000 4.4594 0.0131 0.0052 0.0169 0.1893 0.3900
6.9000 0.2250 -3.0000 4.4505 0.0101 0.0052 0.0171 0.1434 0.3916
6.9000 0.1000 -3.0000 4.4726 0.0078 0.0052 0.0173 0.1083 0.3928
6.9000 -0.2750 -3.0000 4.4822 0.0035 0.0052 0.0176 0.0463 0.3950
6.9000 -0.4000 -3.0000 4.4760 0.0027 0.0052 0.0176 0.0348 0.3954
6.9000 -0.5250 -3.0000 4.4877 0.0020 0.0052 0.0176 0.0261 0.3957
6.9000 -0.7750 -3.0000 4.4890 0.0012 0.0052 0.0177 0.0147 0.3961
6.9000 -0.9000 -3.0000 4.4899 0.0000 0.0052 0.0177 0.0110 0.3962
6.9000 -1.0250 -3.0000 4.4906 0.0000 0.0052 0.0177 0.0083 0.3963
6.9000 -1.1500 -3.0000 4.4913 0.0000 0.0052 0.0177 0.0062 0.3964
6.9000 -1.2750 -3.0000 4.4917 0.0000 0.0052 0.0177 0.0047 0.3964
6.9000 -1.4000 -3.0000 4.4927 0.0000 0.0052 0.0177 0.0035 0.3965
6.9000 0.6000 -3.2500 6.2687 0.0057 0.0045 0.0076 0.2090 0.2260
6.9000 0.4750 -3.2500 6.2867 0.0044 0.0045 0.0078 0.1590 0.2276
6.9000 0.1000 -3.2500 6.3287 0.0020 0.0045 0.0080 0.0688 0.2302
6.9000 -0.0250 -3.2500 6.2994 0.0015 0.0045 0.0081 0.0519 0.2307
6.9000 -0.1500 -3.2500 6.3350 0.0011 0.0045 0.0081 0.0390 0.2311
6.9000 -0.2750 -3.2500 6.3506 0.0000 0.0045 0.0081 0.0293 0.2313
6.9000 -0.4000 -3.2500 6.3148 0.0000 0.0045 0.0081 0.0220 0.2315
6.9000 -0.5250 -3.2500 6.3196 0.0000 0.0045 0.0082 0.0165 0.2317
6.9000 -0.6500 -3.2500 6.3560 0.0000 0.0045 0.0082 0.0124 0.2318
6.9000 -0.7750 -3.2500 6.3194 0.0000 0.0045 0.0082 0.0093 0.2319
6.9000 -0.9000 -3.2500 6.3547 0.0000 0.0045 0.0082 0.0070 0.2320
6.9000 -1.2750 -3.2500 6.3554 0.0000 0.0045 0.0082 0.0030 0.2321
6.9000 -1.4000 -3.2500 6.3552 0.0000 0.0045 0.0082 0.0022 0.2321
6.9000 0.6000 -3.5000 8.8254 0.0012 0.0040 0.0028 0.1251 0.1039
6.9000 0.4750 -3.5000 8.8589 0.0000 0.0040 0.0028 0.0951 0.1045
6.9000 0.3500 -3.5000 8.8758 0.0000 0.0040 0.0028 0.0721 0.1050
6.9000 0.2250 -3.5000 8.8966 0.0000 0.0040 0.0029 0.0544 0.1054
6.9000 0.1000 -3.5000 8.9102 0.0000 0.0040 0.0029 0.0411 0.1057
6.9000 -0.2750 -3.5000 8.9429 0.0000 0.0040 0.0029 0.0175 0.1062
6.9000 -0.4000 -3.5000 8.9393 0.0000 0.0040 0.0029 0.0131 0.1063
6.9000 -0.5250 -3.5000 8.9405 0.0000 0.0040 0.0029 0.0099 0.1064
6.9000 -0.9000 -3.5000 8.9433 0.0000 0.0040 0.0029 0.0042 0.1065
6.9000 -1.0250 -3.5000 8.9520 0.0000 0.0040 0.0029 0.0031 0.1065
6.9000 -1.1500 -3.5000 8.9455 0.0000 0.0040 0.0029 0.0023 0.1065
6.9000 -1.2750 -3.5000 8.9478 0.0000 0.0040 0.0030 0.0018 0.1065
6.9000 -1.4000 -3.5000 8.9524 0.0000 0.0040 0.0030 0.0013 0.1065
6.9000 0.6000 -3.7500 2.4294 0.0000 0.0035 0.0000 0.0701 0.0377
6.9000 0.4750 -3.7500 2.4603 0.0000 0.0035 0.0000 0.0532 0.0379
6.9000 0.2250 -3.7500 2.4643 0.0000 0.0035 0.0000 0.0304 0.0382
6.9000 0.1000 -3.7500 2.5479 0.0000 0.0035 0.0000 0.0229 0.0383
6.9000 -0.0250 -3.7500 2.5581 0.0000 0.0035 0.0000 0.0173 0.0384
6.9000 -0.1500 -3.7500 2.5690 0.0000 0.0035 0.0000 0.0130 0.0385
6.9000 -0.2750 -3.7500 2.5081 0.0000 0.0035 0.0000 0.0098 0.0385
6.9000 -0.4000 -3.7500 2.5883 0.0000 0.0035 0.0000 0.0073 0.0385
6.9000 -0.5250 -3.7500 2.5898 0.0000 0.0035 0.0000 0.0055 0.0385
6.9000 -0.6500 -3.7500 2.5208 0.0000 0.0035 0.0000 0.0041 0.0386
6.9000 -0.7750 -3.7500 2.5251 0.0000 0.0035 0.0000 0.0031 0.0386
6.9000 -0.9000 -3.7500 2.5349 0.0000 0.0035 0.0000 0.0023 0.0386
6.9000 -1.2750 -3.7500 2.5391 0.0000 0.0035 0.0000 0.0000 0.0386
6.9000 -1.4000 -3.7500 2.5437 0.0000 0.0035 0.0000 0.0000 0.0386
6.9000 0.6000 -4.0000 7.5586 0.0000 0.0030 0.0000 0.0373 0.0121
6.9000 0.4750 -4.0000 7.6259 0.0000 0.0030 0.0000 0.0283 0.0122
6.9000 0.3500 -4.0000 7.6703 0.0000 0.0030 0.0000 0.0214 0.0122
6.9000 0.2250 -4.0000 7.7032 0.0000 0.0030 0.0000 0.0162 0.0122
6.9000 0.1000 -4.0000 7.7379 0.0000 0.0030 0.0000 0.0122 0.0123
6.9000 -0.2750 -4.0000 7.7905 0.0000 0.0030 0.0000 0.0052 0.0123
6.9000 -0.4000 -4.0000 7.7977 0.0000 0.0030 0.0000 0.0039 0.0123
6.9000 -0.5250 -4.0000 7.8036 0.0000 0.0030 0.0000 0.0029 0.0123
6.9000 -0.7750 -4.0000 7.8234 0.0000 0.0030 0.0000 0.0016 0.0123
6.9000 -0.9000 -4.0000 7.8254 0.0000 0.0030 0.0000 0.0012 0.0123
6.9000 -1.0250 -4.0000 7.8280 0.0000 0.0030 0.0000 0.0000 0.0123
6.9000 -1.1500 -4.0000 7.8293 0.0000 0.0030 0.0000 0.0000 0.0123
6.9000 -1.2750 -4.0000 7.8310 0.0000 0.0030 0.0000 0.0000 0.0123
6.9000 -1.4000 -4.0000 7.8321 0.0000 0.0030 0.0000 0.0000 0.0123
7.0000 0.6000 -1.5000 0.7192 1.1876 0.0227 0.1559 1.4189 1.4634
7.0000 0.4750 -1.5000 0.7293 1.2059 0.0231 0.1735 1.1693 1.5192
7.0000 0.1000 -1.5000 0.7447 1.0230 0.0241 0.2193 0.6083 1.6441
7.0000 -0.0250 -1.5000 0.7491 0.9036 0.0243 0.2310 0.4782 1.6721
7.0000 -0.1500 -1.5000 0.7499 0.7744 0.0245 0.2410 0.3726 1.6949
7.0000 -0.2750 -1.5000 0.7535 0.6455 0.0247 0.2492 0.2881 1.7130
7.0000 -0.4000 -1.5000 0.7501 0.5261 0.0248 0.2556 0.2212 1.7268
7.0000 -0.5250 -1.5000 0.7528 0.4211 0.0249 0.2608 0.1690 1.7375
7.0000 -0.6500 -1.5000 0.7536 0.3324 0.0250 0.2648 0.1285 1.7457
7.0000 -0.7750 -1.5000 0.7550 0.2598 0.0250 0.2678 0.0974 1.7517
7.0000 -0.9000 -1.5000 0.7552 0.2017 0.0251 0.2704 0.0737 1.7568
7.0000 -1.2750 -1.5000 0.7529 0.0925 0.0251 0.2746 0.0315 1.7649
7.0000 -1.4000 -1.5000 0.7532 0.0713 0.0251 0.2754 0.0237 1.7666
7.0000 0.6000 -1.7500 0.9022 1.0056 0.0160 0.1286 1.3644 1.3414
7.0000 0.4750 -1.7500 0.9135 0.9700 0.0162 0.1407 1.1066 1.3839
7.0000 0.3500 -1.7500 0.9218 0.9005 0.0164 0.1518 0.8865 1.4198
7.0000 0.2250 -1.7500 0.9263 0.8048 0.0166 0.1614 0.7019 1.4492
7.0000 0.1000 -1.7500 0.9247 0.6963 0.0167 0.1697 0.5501 1.4732
7.0000 -0.1500 -1.7500 0.9306 0.4798 0.0169 0.1823 0.3297 1.5077
7.0000 -0.2750 -1.7500 0.9338 0.3856 0.0170 0.1868 0.2528 1.5196
7.0000 -0.4000 -1.7500 0.9351 0.3052 0.0170 0.1904 0.1928 1.5286
7.0000 -0.5250 -1.7500 0.9359 0.2389 0.0171 0.1931 0.1464 1.5355
7.0000 -0.9000 -1.7500 0.9343 0.1103 0.0171 0.1981 0.0632 1.5478
7.0000 -0.0600 -1.7500 0.9312 0.5593 0.0169 0.1797 0.4005 1.5008
7.0000 -1.1500 -1.7500 0.9348 0.0652 0.0172 0.1998 0.0358 1.5519
7.0000 -1.2750 -1.7500 0.9350 0.0501 0.0172 0.2004 0.0269 1.5532
7.0000 -1.4000 -1.7500 0.9345 0.0387 0.0172 0.2007 0.0202 1.5540
7.0000 0.3500 -2.0000 1.1877 0.5863 0.0119 0.1159 0.7726 1.2569
7.0000 0.2250 -2.0000 1.1913 0.4936 0.0119 0.1215 0.6034 1.2768
7.0000 0.1000 -2.0000 1.1952 0.4054 0.0120 0.1261 0.4675 1.2927
7.0000 -0.0250 -2.0000 1.1908 0.3260 0.0120 0.1298 0.3595 1.3050
7.0000 -0.1500 -2.0000 1.1964 0.2583 0.0121 0.1328 0.2749 1.3146
7.0000 -0.2750 -2.0000 1.1966 0.2022 0.0121 0.1351 0.2093 1.3219
7.0000 -0.4000 -2.0000 1.1998 0.1570 0.0121 0.1370 0.1588 1.3277
7.0000 -0.5250 -2.0000 1.2001 0.1212 0.0121 0.1384 0.1202 1.3320
7.0000 -0.6500 -2.0000 1.2025 0.0932 0.0122 0.1394 0.0907 1.3351
7.0000 -0.7750 -2.0000 1.2024 0.0716 0.0122 0.1402 0.0683 1.3375
7.0000 -0.0600 -2.0000 1.1955 0.3081 0.0121 0.1316 0.3354 1.3106
7.0000 -1.1500 -2.0000 1.1955 0.0325 0.0122 0.1416 0.0291 1.3419
7.0000 0.6000 -2.2500 1.5759 0.4500 0.0088 0.0761 1.0267 1.0444
7.0000 0.4750 -2.2500 1.5843 0.3784 0.0089 0.0805 0.8075 1.0645
7.0000 0.3500 -2.2500 1.5930 0.3102 0.0089 0.0841 0.6289 1.0806
7.0000 0.2250 -2.2500 1.5939 0.2493 0.0089 0.0871 0.4858 1.0933
