12logOH 12logSH logU OII_3727 NeIII_3868 OIII_4363 OIII_5007 NII_5755 SIII_6312 NII_6584 SII_671731 OII_7325 SIII_9069
6.9000 4.9300 -2.5000 0.1346 0.0762 0.0185 0.7347 0.0000 0.0015 0.0042 0.0082 0.0017 0.0087
6.9000 4.7300 -2.5000 0.1346 0.0763 0.0185 0.7350 0.0000 0.0000 0.0042 0.0052 0.0017 0.0055
6.9000 5.9300 -2.2500 0.0933 0.0906 0.0251 0.8903 0.0000 0.0164 0.0029 0.0593 0.0012 0.0856
6.9000 5.7300 -2.2500 0.0935 0.0910 0.0253 0.8934 0.0000 0.0104 0.0029 0.0375 0.0012 0.0541
6.9000 5.5300 -2.2500 0.0935 0.0912 0.0254 0.8953 0.0000 0.0066 0.0029 0.0236 0.0013 0.0342
6.9000 5.3300 -2.2500 0.0937 0.0913 0.0255 0.8966 0.0000 0.0041 0.0029 0.0149 0.0013 0.0216
6.9000 5.1300 -2.2500 0.0937 0.0914 0.0256 0.8973 0.0000 0.0026 0.0029 0.0094 0.0013 0.0136
6.9000 4.9300 -2.2500 0.0937 0.0915 0.0256 0.8978 0.0000 0.0017 0.0029 0.0059 0.0013 0.0086
6.9000 4.7300 -2.2500 0.0937 0.0915 0.0256 0.8982 0.0000 0.0010 0.0029 0.0037 0.0013 0.0054
6.9000 5.9300 -2.0000 0.0672 0.1069 0.0333 1.0491 0.0000 0.0164 0.0021 0.0441 0.0000 0.0792
6.9000 5.7300 -2.0000 0.0674 0.1073 0.0335 1.0527 0.0000 0.0104 0.0021 0.0278 0.0000 0.0501
6.9000 5.5300 -2.0000 0.0674 0.1076 0.0337 1.0549 0.0000 0.0066 0.0021 0.0175 0.0000 0.0316
6.9000 5.3300 -2.0000 0.0674 0.1078 0.0338 1.0563 0.0000 0.0042 0.0021 0.0111 0.0000 0.0200
6.9000 5.1300 -2.0000 0.0675 0.1079 0.0338 1.0572 0.0000 0.0026 0.0021 0.0070 0.0000 0.0126
6.9000 4.9300 -2.0000 0.0675 0.1080 0.0339 1.0577 0.0000 0.0017 0.0021 0.0044 0.0000 0.0080
6.9000 4.7300 -2.0000 0.0675 0.1080 0.0339 1.0581 0.0000 0.0010 0.0021 0.0028 0.0000 0.0050
6.9000 5.9300 -1.7500 0.0505 0.1240 0.0426 1.2049 0.0000 0.0154 0.0016 0.0340 0.0000 0.0699
6.9000 5.7300 -1.7500 0.0506 0.1245 0.0428 1.2087 0.0000 0.0098 0.0016 0.0214 0.0000 0.0442
6.9000 5.5300 -1.7500 0.0506 0.1248 0.0430 1.2111 0.0000 0.0062 0.0016 0.0135 0.0000 0.0279
6.9000 5.3300 -1.7500 0.0506 0.1250 0.0432 1.2126 0.0000 0.0039 0.0016 0.0086 0.0000 0.0176
6.9000 5.1300 -1.7500 0.0506 0.1251 0.0432 1.2136 0.0000 0.0025 0.0016 0.0054 0.0000 0.0111
6.9000 4.9300 -1.7500 0.0507 0.1252 0.0433 1.2142 0.0000 0.0016 0.0016 0.0034 0.0000 0.0070
6.9000 4.7300 -1.7500 0.0508 0.1252 0.0433 1.2146 0.0000 0.0000 0.0016 0.0012 0.0000 0.0044
6.9000 5.9300 -1.5000 0.0394 0.1415 0.0528 1.3565 0.0000 0.0138 0.0012 0.0271 0.0000 0.0595
6.9000 5.7300 -1.5000 0.0396 0.1420 0.0531 1.3605 0.0000 0.0088 0.0012 0.0172 0.0000 0.0376
