#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, T*: 30 - 90 kK
# SED: Black-body
# Plane-parallel geometry
#
12+log(O/H) Teff log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 HeI_4471 HeI_5876 HeII_4686
7.7 90000 -4.00 1.9954 0.0926 0.6660 0.0405 0.0250 0.0640 0.0269
7.7 30000 -3.75 1.4578 0.0019 0.4896 0.0157 0.0123 0.0316 0.0000
7.7 32500 -3.75 1.5844 0.0041 0.4899 0.0204 0.0149 0.0382 0.0000
7.7 35000 -3.75 1.6959 0.0076 0.4874 0.0250 0.0169 0.0433 0.0000
7.7 37500 -3.75 1.7934 0.0127 0.4843 0.0294 0.0184 0.0471 0.0000
7.7 40000 -3.75 1.8759 0.0196 0.4814 0.0333 0.0195 0.0500 0.0000
7.7 45000 -3.75 2.0055 0.0388 0.4779 0.0398 0.0210 0.0538 0.0000
7.7 50000 -3.75 2.0949 0.0644 0.4783 0.0447 0.0219 0.0562 0.0000
7.7 55000 -3.75 2.1543 0.0945 0.4823 0.0483 0.0226 0.0578 0.0018
7.7 60000 -3.75 2.1907 0.1266 0.4891 0.0509 0.0230 0.0588 0.0036
7.7 70000 -3.75 2.2261 0.1922 0.5067 0.0542 0.0234 0.0598 0.0100
7.7 80000 -3.75 2.2303 0.2491 0.5274 0.0558 0.0234 0.0598 0.0208
7.7 90000 -3.75 2.2213 0.2920 0.5494 0.0564 0.0231 0.0590 0.0356
7.7 30000 -3.50 1.7105 0.0057 0.4656 0.0249 0.0135 0.0345 0.0000
7.7 32500 -3.50 1.8603 0.0126 0.4525 0.0318 0.0163 0.0417 0.0000
7.7 35000 -3.50 1.9920 0.0238 0.4387 0.0384 0.0182 0.0467 0.0000
7.7 37500 -3.50 2.1009 0.0401 0.4261 0.0442 0.0195 0.0500 0.0000
7.7 40000 -3.50 2.1898 0.0621 0.4159 0.0493 0.0204 0.0522 0.0000
7.7 45000 -3.50 2.3085 0.1218 0.4017 0.0573 0.0214 0.0549 0.0000
7.7 50000 -3.50 2.3676 0.1986 0.3951 0.0630 0.0220 0.0564 0.0010
7.7 55000 -3.50 2.3856 0.2848 0.3938 0.0670 0.0224 0.0573 0.0023
7.7 60000 -3.50 2.3766 0.3741 0.3959 0.0699 0.0226 0.0578 0.0045
7.7 70000 -3.50 2.3171 0.5408 0.4063 0.0732 0.0226 0.0578 0.0126
7.7 80000 -3.50 2.2514 0.6727 0.4209 0.0745 0.0222 0.0567 0.0260
7.7 90000 -3.50 2.1934 0.7684 0.4366 0.0749 0.0214 0.0547 0.0443
7.7 30000 -3.25 1.9834 0.0165 0.4235 0.0377 0.0142 0.0365 0.0000
7.7 32500 -3.25 2.1532 0.0372 0.3971 0.0469 0.0173 0.0443 0.0000
7.7 35000 -3.25 2.2881 0.0708 0.3724 0.0552 0.0192 0.0493 0.0000
7.7 37500 -3.25 2.3883 0.1190 0.3527 0.0622 0.0203 0.0521 0.0000
7.7 40000 -3.25 2.4547 0.1815 0.3377 0.0681 0.0210 0.0537 0.0000
7.7 45000 -3.25 2.4972 0.3429 0.3180 0.0769 0.0217 0.0555 0.0000
7.7 50000 -3.25 2.4522 0.5343 0.3075 0.0830 0.0220 0.0564 0.0012
7.7 55000 -3.25 2.3683 0.7273 0.3039 0.0871 0.0222 0.0568 0.0027
7.7 60000 -3.25 2.2705 0.9051 0.3045 0.0898 0.0222 0.0569 0.0052
7.7 70000 -3.25 2.0911 1.1937 0.3120 0.0926 0.0219 0.0561 0.0143
7.7 80000 -3.25 1.9541 1.3952 0.3226 0.0935 0.0212 0.0543 0.0297
7.7 90000 -3.25 1.8567 1.5313 0.3334 0.0935 0.0202 0.0516 0.0508
7.7 30000 -3.00 2.2614 0.0454 0.3630 0.0536 0.0148 0.0379 0.0000
7.7 32500 -3.00 2.4226 0.1027 0.3269 0.0645 0.0181 0.0464 0.0000
7.7 35000 -3.00 2.5264 0.1924 0.2962 0.0739 0.0200 0.0513 0.0000
7.7 37500 -3.00 2.5703 0.3138 0.2738 0.0814 0.0209 0.0535 0.0000
7.7 40000 -3.00 2.5586 0.4617 0.2576 0.0875 0.0214 0.0547 0.0000
7.7 45000 -3.00 2.4241 0.8012 0.2376 0.0962 0.0218 0.0558 0.0000
7.7 50000 -3.00 2.2318 1.1400 0.2283 0.1020 0.0220 0.0563 0.0013
7.7 55000 -3.00 2.0436 1.4391 0.2252 0.1057 0.0220 0.0564 0.0029
7.7 60000 -3.00 1.8818 1.6860 0.2256 0.1080 0.0219 0.0562 0.0055
7.7 70000 -3.00 1.6478 2.0386 0.2315 0.1099 0.0215 0.0549 0.0153
7.7 80000 -3.00 1.5023 2.2547 0.2393 0.1098 0.0206 0.0526 0.0317
7.7 90000 -3.00 1.4083 2.3838 0.2465 0.1088 0.0193 0.0494 0.0546
7.7 30000 -2.75 2.5177 0.1145 0.2924 0.0712 0.0155 0.0396 0.0000
7.7 32500 -2.75 2.6190 0.2515 0.2538 0.0826 0.0189 0.0483 0.0000
7.7 35000 -2.75 2.6212 0.4495 0.2227 0.0921 0.0207 0.0529 0.0000
7.7 37500 -2.75 2.5407 0.6923 0.2017 0.0995 0.0213 0.0545 0.0000
7.7 40000 -2.75 2.4065 0.9580 0.1875 0.1052 0.0216 0.0553 0.0000
7.7 45000 -2.75 2.0841 1.4824 0.1713 0.1133 0.0218 0.0559 0.0000
7.7 50000 -2.75 1.7918 1.9295 0.1643 0.1184 0.0219 0.0561 0.0014
7.7 55000 -2.75 1.5656 2.2816 0.1623 0.1214 0.0219 0.0560 0.0030
7.7 60000 -2.75 1.4001 2.5509 0.1630 0.1229 0.0217 0.0556 0.0059
7.7 70000 -2.75 1.1923 2.9060 0.1679 0.1228 0.0211 0.0540 0.0162
7.7 80000 -2.75 1.0781 3.0968 0.1737 0.1205 0.0201 0.0514 0.0335
7.7 90000 -2.75 1.0084 3.1779 0.1783 0.1174 0.0187 0.0479 0.0576
7.7 30000 -2.50 2.6940 0.2592 0.2219 0.0885 0.0164 0.0420 0.0000
7.7 32500 -2.50 2.6629 0.5325 0.1868 0.0995 0.0196 0.0503 0.0000
7.7 35000 -2.50 2.5046 0.8812 0.1600 0.1084 0.0211 0.0541 0.0000
7.7 37500 -2.50 2.2800 1.2579 0.1433 0.1151 0.0215 0.0552 0.0000
7.7 40000 -2.50 2.0400 1.6260 0.1326 0.1202 0.0217 0.0556 0.0000
7.7 45000 -2.50 1.6211 2.2638 0.1211 0.1274 0.0218 0.0560 0.0000
7.7 50000 -2.50 1.3213 2.7498 0.1166 0.1314 0.0218 0.0560 0.0015
7.7 55000 -2.50 1.1205 3.1110 0.1158 0.1331 0.0217 0.0557 0.0033
7.7 60000 -2.50 0.9861 3.3774 0.1168 0.1329 0.0215 0.0552 0.0064
7.7 70000 -2.50 0.8308 3.7123 0.1207 0.1292 0.0208 0.0533 0.0175
7.7 80000 -2.50 0.7517 3.8573 0.1248 0.1235 0.0197 0.0504 0.0361
7.7 90000 -2.50 0.7053 3.8581 0.1277 0.1176 0.0181 0.0465 0.0618
7.7 30000 -2.25 2.7157 0.5177 0.1603 0.1036 0.0176 0.0451 0.0000
7.7 32500 -2.25 2.4991 0.9660 0.1316 0.1138 0.0205 0.0525 0.0000
7.7 35000 -2.25 2.1888 1.4585 0.1117 0.1218 0.0214 0.0550 0.0000
7.7 37500 -2.25 1.8730 1.9297 0.1001 0.1277 0.0217 0.0556 0.0000
7.7 40000 -2.25 1.5955 2.3498 0.0929 0.1323 0.0218 0.0558 0.0000
7.7 45000 -2.25 1.1891 3.0212 0.0856 0.1381 0.0218 0.0560 0.0000
7.7 50000 -2.25 0.9391 3.5097 0.0832 0.1403 0.0218 0.0559 0.0017
7.7 55000 -2.25 0.7849 3.8668 0.0832 0.1395 0.0216 0.0555 0.0038
7.7 60000 -2.25 0.6870 4.1275 0.0842 0.1367 0.0214 0.0548 0.0073
7.7 70000 -2.25 0.5794 4.4384 0.0874 0.1280 0.0205 0.0526 0.0198
7.7 80000 -2.25 0.5266 4.5194 0.0902 0.1185 0.0192 0.0493 0.0406
7.7 90000 -2.25 0.4962 4.4076 0.0920 0.1100 0.0175 0.0450 0.0689
7.7 30000 -2.00 2.5390 0.9071 0.1117 0.1156 0.0190 0.0488 0.0000
7.7 32500 -2.00 2.1601 1.5122 0.0903 0.1250 0.0212 0.0544 0.0000
7.7 35000 -2.00 1.7721 2.0931 0.0775 0.1321 0.0216 0.0555 0.0000
7.7 37500 -2.00 1.4439 2.6018 0.0702 0.1374 0.0217 0.0558 0.0000
7.7 40000 -2.00 1.1892 3.0326 0.0658 0.1412 0.0218 0.0560 0.0000
7.7 45000 -2.00 0.8552 3.7030 0.0616 0.1449 0.0218 0.0561 0.0000
7.7 50000 -2.00 0.6671 4.1898 0.0606 0.1440 0.0217 0.0558 0.0021
7.7 55000 -2.00 0.5563 4.5482 0.0611 0.1398 0.0215 0.0553 0.0046
7.7 60000 -2.00 0.4879 4.8093 0.0622 0.1336 0.0212 0.0545 0.0088
7.7 70000 -2.00 0.4144 5.0892 0.0647 0.1197 0.0202 0.0519 0.0236
7.7 80000 -2.00 0.3790 5.0744 0.0666 0.1072 0.0187 0.0480 0.0478
7.7 90000 -2.00 0.3587 4.8104 0.0677 0.0970 0.0168 0.0431 0.0803
7.7 30000 -1.75 2.1965 1.3965 0.0764 0.1244 0.0204 0.0524 0.0000
7.7 32500 -1.75 1.7429 2.0926 0.0620 0.1331 0.0215 0.0552 0.0000
7.7 35000 -1.75 1.3607 2.6999 0.0544 0.1394 0.0217 0.0557 0.0000
7.7 37500 -1.75 1.0757 3.2103 0.0501 0.1439 0.0218 0.0560 0.0000
7.7 40000 -1.75 0.8710 3.6359 0.0477 0.1466 0.0218 0.0561 0.0000
7.7 45000 -1.75 0.6192 4.3043 0.0457 0.1469 0.0218 0.0561 0.0010
7.7 50000 -1.75 0.4837 4.7994 0.0456 0.1418 0.0216 0.0558 0.0027
7.7 55000 -1.75 0.4056 5.1688 0.0464 0.1335 0.0214 0.0551 0.0059
7.7 60000 -1.75 0.3581 5.4312 0.0475 0.1241 0.0210 0.0541 0.0112
7.7 70000 -1.75 0.3075 5.6566 0.0495 0.1064 0.0198 0.0510 0.0297
7.7 80000 -1.75 0.2833 5.5021 0.0509 0.0924 0.0180 0.0463 0.0590
7.7 90000 -1.75 0.2694 5.0386 0.0515 0.0819 0.0158 0.0406 0.0973
7.7 30000 -1.50 1.7832 1.9199 0.0519 0.1307 0.0213 0.0547 0.0000
7.7 32500 -1.50 1.3431 2.6373 0.0436 0.1385 0.0216 0.0555 0.0000
7.7 35000 -1.50 1.0186 3.2377 0.0393 0.1440 0.0217 0.0559 0.0000
7.7 37500 -1.50 0.7945 3.7382 0.0369 0.1471 0.0218 0.0561 0.0000
7.7 40000 -1.50 0.6408 4.1614 0.0357 0.1479 0.0218 0.0562 0.0000
7.7 45000 -1.50 0.4575 4.8406 0.0351 0.1436 0.0217 0.0561 0.0014
7.7 50000 -1.50 0.3609 5.3558 0.0356 0.1337 0.0216 0.0556 0.0036
7.7 55000 -1.50 0.3058 5.7368 0.0366 0.1219 0.0212 0.0548 0.0079
7.7 60000 -1.50 0.2725 5.9919 0.0376 0.1102 0.0207 0.0535 0.0149
7.7 70000 -1.50 0.2372 6.1165 0.0394 0.0909 0.0192 0.0496 0.0388
7.7 80000 -1.50 0.2204 5.7645 0.0404 0.0771 0.0171 0.0440 0.0755
7.7 90000 -1.50 0.2109 5.0413 0.0408 0.0673 0.0144 0.0372 0.1208
8.0 30000 -4.00 1.3493 0.0000 0.7218 0.0137 0.0107 0.0277 0.0000
8.0 32500 -4.00 1.5618 0.0016 0.7660 0.0185 0.0132 0.0339 0.0000
8.0 35000 -4.00 1.7627 0.0031 0.8024 0.0237 0.0152 0.0392 0.0000
8.0 37500 -4.00 1.9502 0.0053 0.8336 0.0289 0.0170 0.0436 0.0000
8.0 40000 -4.00 2.1221 0.0083 0.8607 0.0340 0.0184 0.0472 0.0000
8.0 45000 -4.00 2.4155 0.0173 0.9071 0.0431 0.0204 0.0525 0.0000
8.0 50000 -4.00 2.6560 0.0298 0.9492 0.0508 0.0219 0.0561 0.0000
8.0 55000 -4.00 2.8509 0.0454 0.9895 0.0570 0.0229 0.0588 0.0013
8.0 60000 -4.00 3.0086 0.0629 1.0294 0.0619 0.0237 0.0607 0.0025
8.0 70000 -4.00 3.2438 0.0997 1.1085 0.0687 0.0247 0.0634 0.0073
8.0 80000 -4.00 3.4038 0.1343 1.1838 0.0730 0.0253 0.0648 0.0155
8.0 90000 -4.00 3.5090 0.1626 1.2550 0.0757 0.0255 0.0653 0.0270
8.0 30000 -3.75 1.6542 0.0023 0.7202 0.0226 0.0123 0.0316 0.0000
8.0 32500 -3.75 1.8993 0.0052 0.7457 0.0303 0.0149 0.0382 0.0000
8.0 35000 -3.75 2.1307 0.0099 0.7639 0.0381 0.0169 0.0435 0.0000
8.0 37500 -3.75 2.3467 0.0172 0.7784 0.0458 0.0185 0.0474 0.0000
8.0 40000 -3.75 2.5405 0.0272 0.7899 0.0530 0.0196 0.0504 0.0000
8.0 45000 -3.75 2.8693 0.0564 0.8106 0.0656 0.0212 0.0544 0.0000
8.0 50000 -3.75 3.1289 0.0969 0.8319 0.0756 0.0222 0.0569 0.0000
8.0 55000 -3.75 3.3301 0.1465 0.8555 0.0834 0.0229 0.0586 0.0018
8.0 60000 -3.75 3.4851 0.2013 0.8810 0.0894 0.0233 0.0598 0.0035
8.0 70000 -3.75 3.7004 0.3176 0.9338 0.0977 0.0238 0.0609 0.0100
8.0 80000 -3.75 3.8316 0.4237 0.9880 0.1025 0.0238 0.0610 0.0208
8.0 90000 -3.75 3.9140 0.5088 1.0409 0.1052 0.0236 0.0602 0.0357
8.0 30000 -3.50 1.9855 0.0071 0.6969 0.0363 0.0135 0.0347 0.0000
8.0 32500 -3.50 2.2600 0.0159 0.6983 0.0475 0.0163 0.0419 0.0000
8.0 35000 -3.50 2.5196 0.0310 0.6952 0.0587 0.0183 0.0470 0.0000
8.0 37500 -3.50 2.7529 0.0538 0.6910 0.0691 0.0196 0.0504 0.0000
8.0 40000 -3.50 2.9615 0.0852 0.6880 0.0786 0.0205 0.0527 0.0000
8.0 45000 -3.50 3.2886 0.1742 0.6858 0.0942 0.0217 0.0555 0.0000
8.0 50000 -3.50 3.5151 0.2938 0.6903 0.1062 0.0223 0.0572 0.0010
8.0 55000 -3.50 3.6683 0.4340 0.7012 0.1152 0.0227 0.0582 0.0023
8.0 60000 -3.50 3.7611 0.5839 0.7156 0.1221 0.0229 0.0587 0.0045
8.0 70000 -3.50 3.8433 0.8796 0.7511 0.1312 0.0230 0.0588 0.0126
8.0 80000 -3.50 3.8708 1.1323 0.7907 0.1364 0.0226 0.0578 0.0261
8.0 90000 -3.50 3.8744 1.3284 0.8294 0.1392 0.0219 0.0560 0.0446
8.0 30000 -3.25 2.3254 0.0203 0.6425 0.0552 0.0143 0.0368 0.0000
8.0 32500 -3.25 2.6223 0.0467 0.6193 0.0703 0.0174 0.0447 0.0000
8.0 35000 -3.25 2.8909 0.0910 0.5957 0.0846 0.0194 0.0497 0.0000
8.0 37500 -3.25 3.1158 0.1563 0.5764 0.0973 0.0205 0.0525 0.0000
8.0 40000 -3.25 3.2966 0.2438 0.5619 0.1083 0.0212 0.0543 0.0000
8.0 45000 -3.25 3.5224 0.4779 0.5445 0.1257 0.0219 0.0562 0.0000
8.0 50000 -3.25 3.6070 0.7696 0.5382 0.1386 0.0223 0.0572 0.0012
8.0 55000 -3.25 3.6085 1.0800 0.5412 0.1481 0.0225 0.0577 0.0027
8.0 60000 -3.25 3.5720 1.3818 0.5502 0.1552 0.0226 0.0578 0.0052
8.0 70000 -3.25 3.4657 1.9111 0.5770 0.1645 0.0223 0.0572 0.0144
8.0 80000 -3.25 3.3690 2.3210 0.6066 0.1698 0.0217 0.0555 0.0300
8.0 90000 -3.25 3.2933 2.6227 0.6343 0.1727 0.0206 0.0528 0.0515
8.0 30000 -3.00 2.6533 0.0544 0.5569 0.0789 0.0149 0.0383 0.0000
8.0 32500 -3.00 2.9393 0.1256 0.5146 0.0968 0.0182 0.0468 0.0000
8.0 35000 -3.00 3.1666 0.2405 0.4769 0.1130 0.0202 0.0518 0.0000
8.0 37500 -3.00 3.3162 0.4011 0.4489 0.1267 0.0211 0.0541 0.0000
8.0 40000 -3.00 3.3951 0.6023 0.4291 0.1381 0.0216 0.0553 0.0000
8.0 45000 -3.00 3.3801 1.0856 0.4059 0.1554 0.0221 0.0565 0.0000
8.0 50000 -3.00 3.2547 1.6006 0.3982 0.1679 0.0223 0.0571 0.0013
8.0 55000 -3.00 3.1021 2.0886 0.3997 0.1772 0.0224 0.0573 0.0029
8.0 60000 -3.00 2.9596 2.5230 0.4066 0.1841 0.0223 0.0572 0.0056
8.0 70000 -3.00 2.7432 3.2140 0.4276 0.1930 0.0219 0.0560 0.0155
8.0 80000 -3.00 2.6035 3.7011 0.4499 0.1974 0.0210 0.0538 0.0323
8.0 90000 -3.00 2.5126 4.0392 0.4695 0.1993 0.0198 0.0507 0.0557
8.0 30000 -2.75 2.9541 0.1338 0.4540 0.1051 0.0155 0.0398 0.0000
8.0 32500 -2.75 3.1666 0.2996 0.4032 0.1240 0.0190 0.0486 0.0000
8.0 35000 -2.75 3.2618 0.5490 0.3597 0.1404 0.0208 0.0534 0.0000
8.0 37500 -2.75 3.2545 0.8635 0.3308 0.1535 0.0215 0.0551 0.0000
8.0 40000 -2.75 3.1695 1.2200 0.3116 0.1641 0.0218 0.0560 0.0000
8.0 45000 -2.75 2.8954 1.9644 0.2912 0.1802 0.0221 0.0567 0.0000
8.0 50000 -2.75 2.6155 2.6574 0.2852 0.1919 0.0222 0.0570 0.0014
8.0 55000 -2.75 2.3878 3.2552 0.2870 0.2005 0.0222 0.0570 0.0031
8.0 60000 -2.75 2.2161 3.7567 0.2930 0.2065 0.0221 0.0567 0.0060
8.0 70000 -2.75 1.9989 4.5140 0.3098 0.2129 0.0216 0.0552 0.0164
8.0 80000 -2.75 1.8801 5.0177 0.3265 0.2144 0.0206 0.0527 0.0342
8.0 90000 -2.75 1.8088 5.3293 0.3398 0.2133 0.0192 0.0492 0.0589
8.0 30000 -2.50 3.1587 0.2980 0.3468 0.1311 0.0164 0.0421 0.0000
8.0 32500 -2.50 3.2142 0.6245 0.2981 0.1491 0.0197 0.0506 0.0000
8.0 35000 -2.50 3.1149 1.0579 0.2589 0.1641 0.0213 0.0547 0.0000
8.0 37500 -2.50 2.9217 1.5444 0.2345 0.1759 0.0218 0.0558 0.0000
8.0 40000 -2.50 2.6924 2.0403 0.2194 0.1853 0.0220 0.0563 0.0000
8.0 45000 -2.50 2.2627 2.9616 0.2048 0.1998 0.0222 0.0568 0.0000
8.0 50000 -2.50 1.9421 3.7413 0.2015 0.2100 0.0222 0.0569 0.0015
8.0 55000 -2.50 1.7210 4.3830 0.2040 0.2166 0.0221 0.0567 0.0034
8.0 60000 -2.50 1.5720 4.9102 0.2092 0.2203 0.0220 0.0563 0.0065
8.0 70000 -2.50 1.4008 5.6905 0.2223 0.2214 0.0213 0.0546 0.0178
8.0 80000 -2.50 1.3169 6.1773 0.2343 0.2177 0.0202 0.0517 0.0368
8.0 90000 -2.50 1.2695 6.4114 0.2433 0.2121 0.0187 0.0479 0.0631
8.0 30000 -2.25 3.2054 0.5867 0.2526 0.1538 0.0175 0.0450 0.0000
8.0 32500 -2.25 3.0412 1.1225 0.2108 0.1701 0.0206 0.0528 0.0000
8.0 35000 -2.25 2.7464 1.7392 0.1806 0.1831 0.0217 0.0556 0.0000
8.0 37500 -2.25 2.4208 2.3557 0.1632 0.1933 0.0219 0.0563 0.0000
8.0 40000 -2.25 2.1251 2.9350 0.1530 0.2017 0.0221 0.0566 0.0000
8.0 45000 -2.25 1.6761 3.9356 0.1441 0.2142 0.0222 0.0568 0.0000
8.0 50000 -2.25 1.3921 4.7468 0.1432 0.2217 0.0221 0.0568 0.0017
8.0 55000 -2.25 1.2142 5.4069 0.1460 0.2247 0.0220 0.0565 0.0038
8.0 60000 -2.25 1.1014 5.9497 0.1505 0.2243 0.0218 0.0559 0.0073
8.0 70000 -2.25 0.9799 6.7399 0.1604 0.2174 0.0210 0.0540 0.0199
8.0 80000 -2.25 0.9235 7.1727 0.1689 0.2073 0.0198 0.0508 0.0410
8.0 90000 -2.25 0.8932 7.2754 0.1748 0.1971 0.0182 0.0466 0.0701
8.0 30000 -2.00 3.0430 1.0248 0.1771 0.1717 0.0190 0.0487 0.0000
8.0 32500 -2.00 2.6723 1.7605 0.1449 0.1861 0.0214 0.0548 0.0000
8.0 35000 -2.00 2.2590 2.5037 0.1248 0.1975 0.0219 0.0562 0.0000
8.0 37500 -2.00 1.8950 3.1886 0.1139 0.2066 0.0220 0.0565 0.0000
8.0 40000 -2.00 1.6059 3.8002 0.1078 0.2138 0.0221 0.0567 0.0000
8.0 45000 -2.00 1.2191 4.8311 0.1034 0.2233 0.0222 0.0569 0.0000
8.0 50000 -2.00 0.9973 5.6626 0.1040 0.2261 0.0221 0.0567 0.0020
8.0 55000 -2.00 0.8658 6.3451 0.1069 0.2238 0.0219 0.0563 0.0045
8.0 60000 -2.00 0.7851 6.9054 0.1107 0.2179 0.0217 0.0557 0.0087
8.0 70000 -2.00 0.7008 7.6817 0.1182 0.2020 0.0208 0.0533 0.0235
8.0 80000 -2.00 0.6634 8.0145 0.1241 0.1864 0.0194 0.0497 0.0479
8.0 90000 -2.00 0.6439 7.9212 0.1281 0.1729 0.0175 0.0449 0.0811
8.0 30000 -1.75 2.6913 1.5866 0.1218 0.1846 0.0204 0.0524 0.0000
8.0 32500 -1.75 2.2031 2.4591 0.0992 0.1977 0.0218 0.0559 0.0000
8.0 35000 -1.75 1.7695 3.2624 0.0874 0.2079 0.0220 0.0565 0.0000
8.0 37500 -1.75 1.4370 3.9703 0.0812 0.2158 0.0221 0.0567 0.0000
8.0 40000 -1.75 1.1949 4.5926 0.0780 0.2214 0.0221 0.0569 0.0000
8.0 45000 -1.75 0.8934 5.6462 0.0765 0.2258 0.0221 0.0569 0.0000
8.0 50000 -1.75 0.7296 6.5106 0.0781 0.2222 0.0220 0.0567 0.0026
8.0 55000 -1.75 0.6352 7.2263 0.0809 0.2134 0.0218 0.0562 0.0057
8.0 60000 -1.75 0.5781 7.8035 0.0841 0.2021 0.0215 0.0553 0.0109
8.0 70000 -1.75 0.5196 8.5338 0.0900 0.1791 0.0204 0.0525 0.0291
8.0 80000 -1.75 0.4944 8.6920 0.0942 0.1600 0.0187 0.0481 0.0587
8.0 90000 -1.75 0.4819 8.3337 0.0969 0.1452 0.0166 0.0425 0.0978
8.0 30000 -1.50 2.2417 2.2135 0.0830 0.1936 0.0214 0.0551 0.0000
8.0 32500 -1.50 1.7366 3.1434 0.0695 0.2055 0.0219 0.0563 0.0000
8.0 35000 -1.50 1.3513 3.9615 0.0630 0.2144 0.0220 0.0566 0.0000
8.0 37500 -1.50 1.0808 4.6778 0.0598 0.2205 0.0221 0.0568 0.0000
8.0 40000 -1.50 0.8937 5.3128 0.0585 0.2235 0.0221 0.0569 0.0000
8.0 45000 -1.50 0.6690 6.4069 0.0588 0.2210 0.0221 0.0569 0.0013
8.0 50000 -1.50 0.5498 7.3186 0.0609 0.2100 0.0220 0.0566 0.0034
8.0 55000 -1.50 0.4820 8.0686 0.0637 0.1952 0.0217 0.0559 0.0075
8.0 60000 -1.50 0.4414 8.6477 0.0665 0.1797 0.0213 0.0548 0.0143
8.0 70000 -1.50 0.4003 9.2684 0.0712 0.1528 0.0199 0.0512 0.0378
8.0 80000 -1.50 0.3835 9.1685 0.0743 0.1330 0.0178 0.0459 0.0746
8.0 90000 -1.50 0.3761 8.4465 0.0762 0.1188 0.0153 0.0392 0.1214
8.3 30000 -4.00 0.6204 0.0000 0.6372 0.0123 0.0105 0.0272 0.0000
8.3 32500 -4.00 0.8299 0.0011 0.7365 0.0180 0.0129 0.0335 0.0000
8.3 35000 -4.00 1.0581 0.0022 0.8295 0.0244 0.0150 0.0389 0.0000
8.3 37500 -4.00 1.2964 0.0041 0.9156 0.0314 0.0168 0.0435 0.0000
8.3 40000 -4.00 1.5405 0.0068 0.9964 0.0387 0.0183 0.0473 0.0000
8.3 45000 -4.00 2.0235 0.0158 1.1432 0.0531 0.0205 0.0530 0.0000
8.3 50000 -4.00 2.4846 0.0297 1.2765 0.0665 0.0221 0.0570 0.0000
8.3 55000 -4.00 2.9137 0.0484 1.4006 0.0783 0.0232 0.0598 0.0012
8.3 60000 -4.00 3.3115 0.0714 1.5188 0.0887 0.0241 0.0620 0.0024
8.3 70000 -4.00 3.9813 0.1250 1.7322 0.1049 0.0253 0.0649 0.0071
8.3 80000 -4.00 4.5393 0.1802 1.9321 0.1166 0.0260 0.0666 0.0152
8.3 90000 -4.00 4.9872 0.2312 2.1114 0.1254 0.0263 0.0675 0.0267
8.3 30000 -3.75 0.8879 0.0016 0.6943 0.0220 0.0121 0.0315 0.0000
8.3 32500 -3.75 1.1599 0.0038 0.7780 0.0314 0.0147 0.0381 0.0000
8.3 35000 -3.75 1.4431 0.0078 0.8499 0.0417 0.0168 0.0435 0.0000
8.3 37500 -3.75 1.7356 0.0143 0.9143 0.0526 0.0184 0.0476 0.0000
8.3 40000 -3.75 2.0288 0.0240 0.9730 0.0635 0.0197 0.0507 0.0000
8.3 45000 -3.75 2.5870 0.0543 1.0758 0.0839 0.0214 0.0550 0.0000
8.3 50000 -3.75 3.0996 0.1002 1.1686 0.1018 0.0225 0.0578 0.0000
8.3 55000 -3.75 3.5699 0.1609 1.2575 0.1174 0.0232 0.0597 0.0017
8.3 60000 -3.75 3.9807 0.2326 1.3421 0.1303 0.0237 0.0610 0.0034
8.3 70000 -3.75 4.6708 0.3987 1.5003 0.1504 0.0243 0.0624 0.0097
8.3 80000 -3.75 5.2254 0.5681 1.6500 0.1647 0.0245 0.0627 0.0205
8.3 90000 -3.75 5.6733 0.7213 1.7875 0.1751 0.0243 0.0622 0.0354
8.3 30000 -3.50 1.2505 0.0055 0.7371 0.0386 0.0135 0.0349 0.0000
8.3 32500 -3.50 1.5783 0.0131 0.7899 0.0533 0.0163 0.0420 0.0000
8.3 35000 -3.50 1.9116 0.0267 0.8305 0.0687 0.0183 0.0472 0.0000
8.3 37500 -3.50 2.2446 0.0484 0.8650 0.0840 0.0197 0.0508 0.0000
8.3 40000 -3.50 2.5650 0.0798 0.8955 0.0987 0.0207 0.0532 0.0000
8.3 45000 -3.50 3.1488 0.1747 0.9512 0.1248 0.0219 0.0563 0.0000
8.3 50000 -3.50 3.6474 0.3118 1.0051 0.1467 0.0226 0.0581 0.0000
8.3 55000 -3.50 4.0664 0.4833 1.0606 0.1648 0.0231 0.0592 0.0022
8.3 60000 -3.50 4.4186 0.6792 1.1169 0.1799 0.0233 0.0599 0.0044
8.3 70000 -3.50 4.9577 1.1020 1.2288 0.2029 0.0235 0.0602 0.0124
8.3 80000 -3.50 5.3777 1.5113 1.3398 0.2195 0.0232 0.0594 0.0259
8.3 90000 -3.50 5.7114 1.8740 1.4418 0.2317 0.0226 0.0578 0.0446
8.3 30000 -3.25 1.6803 0.0173 0.7393 0.0636 0.0144 0.0372 0.0000
8.3 32500 -3.25 2.0378 0.0411 0.7505 0.0840 0.0174 0.0450 0.0000
8.3 35000 -3.25 2.3947 0.0829 0.7551 0.1045 0.0194 0.0501 0.0000
8.3 37500 -3.25 2.7291 0.1470 0.7589 0.1237 0.0206 0.0531 0.0000
8.3 40000 -3.25 3.0356 0.2364 0.7649 0.1412 0.0213 0.0549 0.0000
