#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, T*: 30 - 90 kK
# SED: Black-body
# Plane-parallel geometry
#
12+log(O/H) Teff log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 HeI_4471 HeI_5876 HeII_4686
7.1 40000 -2.75 0.8458 0.3506 0.0541 0.0324 0.0212 0.0543 0.0000
7.1 45000 -2.75 0.6930 0.5163 0.0483 0.0340 0.0214 0.0548 0.0000
7.1 50000 -2.75 0.5689 0.6450 0.0454 0.0348 0.0214 0.0549 0.0013
7.1 55000 -2.75 0.4784 0.7369 0.0441 0.0350 0.0213 0.0547 0.0030
7.1 60000 -2.75 0.4146 0.8004 0.0437 0.0349 0.0211 0.0542 0.0057
7.1 70000 -2.75 0.3370 0.8714 0.0441 0.0339 0.0205 0.0525 0.0157
7.1 80000 -2.75 0.2954 0.8981 0.0450 0.0326 0.0195 0.0499 0.0325
7.1 90000 -2.75 0.2705 0.8978 0.0457 0.0312 0.0181 0.0464 0.0558
7.1 30000 -2.50 1.1250 0.1146 0.0691 0.0298 0.0163 0.0417 0.0000
7.1 32500 -2.50 1.0643 0.2248 0.0568 0.0329 0.0194 0.0497 0.0000
7.1 35000 -2.50 0.9610 0.3569 0.0479 0.0352 0.0208 0.0532 0.0000
7.1 37500 -2.50 0.8421 0.4914 0.0424 0.0368 0.0211 0.0541 0.0000
7.1 40000 -2.50 0.7276 0.6151 0.0387 0.0379 0.0212 0.0545 0.0000
7.1 45000 -2.50 0.5436 0.8104 0.0345 0.0391 0.0213 0.0547 0.0000
7.1 50000 -2.50 0.4214 0.9414 0.0325 0.0393 0.0213 0.0546 0.0015
7.1 55000 -2.50 0.3430 1.0265 0.0317 0.0390 0.0211 0.0542 0.0033
7.1 60000 -2.50 0.2919 1.0809 0.0315 0.0382 0.0209 0.0536 0.0063
7.1 70000 -2.50 0.2343 1.1324 0.0318 0.0360 0.0201 0.0516 0.0170
7.1 80000 -2.50 0.2054 1.1343 0.0323 0.0336 0.0189 0.0486 0.0350
7.1 90000 -2.50 0.1886 1.1010 0.0327 0.0315 0.0174 0.0447 0.0597
7.1 30000 -2.25 1.1525 0.2384 0.0501 0.0355 0.0175 0.0450 0.0000
7.1 32500 -2.25 1.0118 0.4216 0.0403 0.0383 0.0202 0.0519 0.0000
7.1 35000 -2.25 0.8479 0.6075 0.0339 0.0403 0.0210 0.0540 0.0000
7.1 37500 -2.25 0.6971 0.7731 0.0300 0.0417 0.0212 0.0544 0.0000
7.1 40000 -2.25 0.5726 0.9100 0.0275 0.0425 0.0213 0.0546 0.0000
7.1 45000 -2.25 0.4009 1.1057 0.0247 0.0432 0.0212 0.0546 0.0000
7.1 50000 -2.25 0.3007 1.2272 0.0235 0.0427 0.0211 0.0543 0.0017
7.1 55000 -2.25 0.2410 1.3027 0.0230 0.0415 0.0209 0.0538 0.0038
7.1 60000 -2.25 0.2039 1.3481 0.0229 0.0398 0.0206 0.0530 0.0072
