#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log C/O: -1.4 - 0.6, log U: -2.5 - -0.5 (O/H vs. C/O empirically constrained)
# SED: double composite AGN power law, a(UV) = -1.5, a(ox) = -0.8, no grains
# Plane-parallel geometry, stop criterion: 2% free electrons
#
12+log(O/H) log(C/O) log(U) Lya_1216 NV_1239 CIV_1549 HeII_1640 OIII_1665 CIII_1909 OIII_5007
7.3000 -1.4000 -4.0000 61.6971 0.0000 0.5299 0.0000 0.0000 0.0000 0.0210
7.5000 -1.4000 -0.5000 49.4208 0.0251 1.7619 1.5773 1.4633 0.0330 4.5789
7.5000 -1.4000 -0.7500 52.0690 0.0352 1.6282 1.1486 1.2382 0.0426 3.7449
7.5000 -1.4000 -1.0000 54.0297 0.0500 1.5389 0.7183 1.0829 0.0457 3.1273
7.5000 -1.4000 -1.2500 55.0671 0.0592 1.4355 0.4099 0.9063 0.0417 2.5751
7.5000 -1.4000 -1.5000 54.6801 0.0498 1.3259 0.2647 0.5336 0.0393 1.7572
7.5000 -1.4000 -1.7500 54.1150 0.0308 1.2429 0.2026 0.2508 0.0431 1.1891
7.5000 -1.4000 -2.0000 53.8130 0.0162 1.2108 0.1554 0.1621 0.0484 1.0461
7.5000 -1.4000 -2.2500 54.6979 0.0066 1.2000 0.1052 0.1247 0.0500 1.0456
7.5000 -1.4000 -2.5000 55.6051 0.0013 1.1792 0.0581 0.1006 0.0457 1.0812
7.5000 -1.4000 -2.7500 56.4103 0.0000 1.1270 0.0243 0.0770 0.0361 1.0658
7.5000 -1.4000 -3.0000 57.3293 0.0000 1.0477 0.0076 0.0514 0.0249 0.9297
7.5000 -1.4000 -3.2500 58.3276 0.0000 0.9323 0.0012 0.0266 0.0153 0.6462
7.5000 -1.4000 -3.5000 59.0629 0.0000 0.7964 0.0000 0.0097 0.0087 0.3222
7.5000 -1.4000 -3.7500 59.3061 0.0000 0.6601 0.0000 0.0019 0.0048 0.1134
7.5000 -1.4000 -4.0000 58.9691 0.0000 0.5387 0.0000 0.0000 0.0025 0.0331
7.6000 -1.4000 -0.5000 48.3867 0.0277 1.7791 1.6257 1.5869 0.0328 5.4934
7.6000 -1.4000 -0.7500 51.1243 0.0414 1.6603 1.2595 1.4157 0.0456 4.5793
7.6000 -1.4000 -1.0000 52.9364 0.0601 1.5652 0.8088 1.2463 0.0507 3.7671
7.6000 -1.4000 -1.2500 53.7540 0.0705 1.4600 0.4720 1.0158 0.0475 3.0245
7.6000 -1.4000 -1.5000 53.4017 0.0585 1.3435 0.3176 0.5894 0.0468 2.0643
7.6000 -1.4000 -1.7500 52.9088 0.0371 1.2639 0.2512 0.3012 0.0533 1.4776
7.6000 -1.4000 -2.0000 53.2168 0.0195 1.2294 0.1924 0.1992 0.0600 1.3154
7.6000 -1.4000 -2.2500 54.0517 0.0079 1.2156 0.1295 0.1538 0.0617 1.3173
7.6000 -1.4000 -2.5000 54.8619 0.0015 1.1887 0.0708 0.1235 0.0563 1.3574
7.6000 -1.4000 -2.7500 55.5899 0.0000 1.1388 0.0295 0.0947 0.0446 1.3401
7.6000 -1.4000 -3.0000 56.4073 0.0000 1.0562 0.0091 0.0628 0.0305 1.1649
7.6000 -1.4000 -3.2500 57.2539 0.0000 0.9410 0.0014 0.0326 0.0188 0.8100
7.6000 -1.4000 -3.5000 57.8492 0.0000 0.8035 0.0000 0.0119 0.0107 0.4036
7.6000 -1.4000 -3.7500 57.9537 0.0000 0.6670 0.0000 0.0023 0.0058 0.1423
7.6000 -1.4000 -4.0000 57.5082 0.0000 0.5453 0.0000 0.0000 0.0032 0.0417
7.7000 -1.4000 -0.5000 47.5371 0.0310 1.7921 1.5708 1.6488 0.0301 6.4788
7.7000 -1.4000 -0.7500 49.7561 0.0488 1.6902 1.3178 1.5621 0.0460 5.4933
7.7000 -1.4000 -1.0000 51.5019 0.0715 1.5934 0.8878 1.3924 0.0543 4.4601
7.7000 -1.4000 -1.2500 52.1965 0.0831 1.4932 0.5386 1.1088 0.0534 3.5002
7.7000 -1.4000 -1.5000 51.9419 0.0688 1.3701 0.3829 0.6518 0.0559 2.4398
7.7000 -1.4000 -1.7500 51.6460 0.0442 1.2834 0.3085 0.3565 0.0652 1.8226
7.7000 -1.4000 -2.0000 52.2762 0.0232 1.2480 0.2364 0.2419 0.0737 1.6454
7.7000 -1.4000 -2.2500 53.1416 0.0094 1.2328 0.1583 0.1884 0.0759 1.6568
7.7000 -1.4000 -2.5000 53.9125 0.0018 1.2032 0.0858 0.1511 0.0690 1.7060
7.7000 -1.4000 -2.7500 54.5162 0.0000 1.1509 0.0354 0.1152 0.0545 1.6798
7.7000 -1.4000 -3.0000 55.1480 0.0000 1.0661 0.0109 0.0762 0.0373 1.4558
7.7000 -1.4000 -3.2500 55.8480 0.0000 0.9488 0.0017 0.0393 0.0229 1.0099
7.7000 -1.4000 -3.5000 56.3570 0.0000 0.8123 0.0000 0.0145 0.0131 0.5042
7.7000 -1.4000 -3.7500 56.3300 0.0000 0.6750 0.0000 0.0028 0.0072 0.1780
7.7000 -1.4000 -4.0000 55.8125 0.0000 0.5550 0.0000 0.0000 0.0040 0.0525
7.8000 -1.4000 -0.5000 46.1933 0.0351 1.8023 1.4515 1.6318 0.0268 7.4302
7.8000 -1.4000 -0.7500 48.3803 0.0569 1.7336 1.3296 1.6691 0.0449 6.4797
7.8000 -1.4000 -1.0000 50.1454 0.0848 1.6424 0.9528 1.5160 0.0570 5.1959
7.8000 -1.4000 -1.2500 50.8543 0.0973 1.5326 0.6122 1.1875 0.0599 4.0278
7.8000 -1.4000 -1.5000 50.5542 0.0800 1.3927 0.4560 0.7120 0.0660 2.8658
7.8000 -1.4000 -1.7500 50.5378 0.0525 1.3109 0.3780 0.4203 0.0795 2.2521
7.8000 -1.4000 -2.0000 51.4287 0.0278 1.2788 0.2913 0.2945 0.0908 2.0735
7.8000 -1.4000 -2.2500 52.4512 0.0111 1.2586 0.1929 0.2300 0.0930 2.0901
7.8000 -1.4000 -2.5000 53.1944 0.0032 1.2302 0.1038 0.1848 0.0845 2.1586
7.8000 -1.4000 -2.7500 53.6602 0.0000 1.1730 0.0423 0.1399 0.0665 2.1155
7.8000 -1.4000 -3.0000 54.1545 0.0000 1.0829 0.0129 0.0918 0.0453 1.8232
7.8000 -1.4000 -3.2500 54.6794 0.0000 0.9645 0.0030 0.0474 0.0281 1.2636
7.8000 -1.4000 -3.5000 55.0028 0.0000 0.8266 0.0000 0.0174 0.0161 0.6312
