#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log C/O: -1.4 - 0.6, log U: -2.5 - -0.5
# SED: double composite AGN power law, a(UV) = -1.5, a(ox) = -1.0
# Plane-parallel geometry, stop criterion: 2% free electrons
#
12+log(O/H)     	 log(C/O)        	 log(U)          	 Lya_1216        	 NV_1239         	 CIV_1549        	 HeII_1640       	 OIII_1665       	 CIII_1909       	 OIII_5007      
7.2000 -1.4000 -1.0000 0.0027 0.0080 0.0194 1.4624 0.0156 0.0043 0.0609
7.2000 -1.4000 -0.7500 0.0023 0.0060 0.0108 1.1022 0.0285 0.0028 0.0538
7.2000 -1.4000 -0.5000 0.0022 0.0035 0.0053 0.7725 0.0200 0.0012 0.0332
7.3000 -1.4000 -0.7500 0.0022 0.0074 0.0136 1.0990 0.0351 0.0036 0.0678
7.3000 -1.4000 -4.0000 1.4461 0.0000 0.0000 0.7913 0.0000 0.0012 0.0290
7.3000 -1.4000 -3.7500 0.7908 0.0000 0.0000 0.9891 0.0020 0.0040 0.1066
7.3000 -1.4000 -3.5000 0.4584 0.0000 0.0000 1.1926 0.0124 0.0081 0.3123
7.3000 -1.4000 -3.2500 0.2632 0.0000 0.0012 1.3724 0.0325 0.0154 0.6130
7.3000 -1.4000 -3.0000 0.1433 0.0000 0.0077 1.5220 0.0626 0.0264 0.8830
7.3000 -1.4000 -2.7500 0.2050 0.0000 0.0234 1.6571 0.0978 0.0396 1.0531
7.3000 -1.4000 -2.5000 0.0224 0.0010 0.0519 1.7924 0.1297 0.0506 1.0944
7.3000 -1.4000 -2.2500 0.0124 0.0050 0.0871 1.9332 0.1469 0.0537 1.0077
7.3000 -1.4000 -2.0000 0.0110 0.0111 0.1091 2.0619 0.1383 0.0455 0.8118
7.3000 -1.4000 -1.7500 0.0064 0.0173 0.1037 2.1343 0.1062 0.0312 0.5648
7.3000 -1.4000 -1.5000 0.0041 0.0189 0.0772 2.0804 0.0667 0.0183 0.3348
7.3000 -1.4000 -1.2500 0.0030 0.0154 0.0466 1.8393 0.0360 0.0098 0.1696
7.3000 -1.4000 -1.0000 0.0026 0.0100 0.0241 1.4628 0.0196 0.0053 0.0770
7.4000 -1.4000 -0.5000 0.0022 0.0054 0.0083 0.7642 0.0313 0.0031 0.0532
7.4000 -1.4000 -4.0000 1.4017 0.0000 0.0000 0.7933 0.0000 0.0015 0.0364
7.4000 -1.4000 -3.7500 0.7498 0.0000 0.0000 0.9907 0.0035 0.0050 0.1333
7.4000 -1.4000 -3.5000 0.4383 0.0000 0.0000 1.1942 0.0152 0.0100 0.3901
7.4000 -1.4000 -3.2500 0.2596 0.0000 0.0015 1.3741 0.0400 0.0190 0.7656
7.4000 -1.4000 -3.0000 0.1508 0.0000 0.0095 1.5240 0.0772 0.0325 1.1034
7.4000 -1.4000 -2.7500 0.0497 0.0000 0.0285 1.6601 0.1208 0.0489 1.3175
7.4000 -1.4000 -2.5000 0.0235 0.0013 0.0637 1.7977 0.1604 0.0627 1.3716
7.4000 -1.4000 -2.2500 0.1775 0.0061 0.1069 1.9383 0.1817 0.0665 1.2630
7.4000 -1.4000 -2.0000 0.0345 0.0136 0.1342 2.0670 0.1717 0.0565 1.0186
7.4000 -1.4000 -1.7500 0.0073 0.0211 0.1276 2.1365 0.1320 0.0388 0.7085
7.4000 -1.4000 -1.5000 0.0159 0.0232 0.0950 2.0802 0.0831 0.0228 0.4204
7.4000 -1.4000 -1.2500 0.0043 0.0189 0.0576 1.8375 0.0452 0.0123 0.2134
7.4000 -1.4000 -1.0000 0.0027 0.0123 0.0298 1.4582 0.0245 0.0066 0.0970
7.4000 -1.4000 -0.7500 0.0022 0.0092 0.0171 1.0956 0.0424 0.0046 0.0841
7.5000 -1.4000 -4.0000 1.2853 0.0000 0.0000 0.7948 0.0000 0.0030 0.0455
7.5000 -1.4000 -3.7500 0.7160 0.0000 0.0000 0.9917 0.0053 0.0061 0.1661
7.5000 -1.4000 -3.5000 0.4135 0.0000 0.0000 1.1952 0.0187 0.0123 0.4859
7.5000 -1.4000 -3.2500 0.2396 0.0000 0.0018 1.3762 0.0491 0.0234 0.9545
7.5000 -1.4000 -3.0000 0.1929 0.0000 0.0115 1.5269 0.0947 0.0401 1.3764
7.5000 -1.4000 -2.7500 0.0510 0.0000 0.0347 1.6651 0.1483 0.0602 1.6461
7.5000 -1.4000 -2.5000 0.0215 0.0015 0.0775 1.8026 0.1973 0.0773 1.7149
7.5000 -1.4000 -2.2500 0.0103 0.0075 0.1308 1.9450 0.2243 0.0820 1.5820
7.5000 -1.4000 -2.0000 0.0084 0.0165 0.1648 2.0741 0.2126 0.0699 1.2776
7.5000 -1.4000 -1.7500 0.0058 0.0257 0.1569 2.1425 0.1638 0.0484 0.8894
7.5000 -1.4000 -1.5000 0.0039 0.0281 0.1167 2.0782 0.1032 0.0284 0.5269
7.5000 -1.4000 -1.2500 0.0054 0.0231 0.0708 1.8295 0.0563 0.0154 0.2674
7.5000 -1.4000 -1.0000 0.0031 0.0153 0.0371 1.4588 0.0308 0.0084 0.1226
7.5000 -1.4000 -0.7500 0.0023 0.0115 0.0215 1.0933 0.0513 0.0058 0.1049
7.5000 -1.4000 -0.5000 0.0022 0.0069 0.0107 0.7639 0.0397 0.0040 0.0687
7.6000 -1.4000 -0.7500 0.0022 0.0143 0.0271 1.0993 0.0613 0.0074 0.1300
7.6000 -1.4000 -0.5000 0.0023 0.0087 0.0137 0.7667 0.0497 0.0051 0.0882
7.6000 -1.4000 -4.0000 1.1986 0.0000 0.0000 0.7962 0.0011 0.0037 0.0566
7.6000 -1.4000 -3.7500 0.6728 0.0000 0.0000 0.9931 0.0066 0.0075 0.2064
7.6000 -1.4000 -3.5000 0.3900 0.0000 0.0000 1.1973 0.0229 0.0151 0.6037
7.6000 -1.4000 -3.2500 0.2229 0.0000 0.0033 1.3787 0.0597 0.0286 1.1864
7.6000 -1.4000 -3.0000 0.1153 0.0000 0.0139 1.5308 0.1154 0.0489 1.7131
7.6000 -1.4000 -2.7500 0.0615 0.0000 0.0417 1.6699 0.1808 0.0737 2.0512
7.6000 -1.4000 -2.5000 0.0426 0.0019 0.0940 1.8097 0.2412 0.0947 2.1414
7.6000 -1.4000 -2.2500 0.1220 0.0090 0.1592 1.9527 0.2750 0.1007 1.9774
7.6000 -1.4000 -2.0000 0.0071 0.0199 0.2014 2.0817 0.2616 0.0863 1.5995
7.6000 -1.4000 -1.7500 0.0056 0.0310 0.1923 2.1477 0.2022 0.0599 1.1143
7.6000 -1.4000 -1.5000 0.0062 0.0342 0.1435 2.0809 0.1281 0.0355 0.6614
7.6000 -1.4000 -1.2500 0.0029 0.0282 0.0873 1.8276 0.0700 0.0192 0.3362
7.6000 -1.4000 -1.0000 0.0026 0.0190 0.0462 1.4584 0.0386 0.0106 0.1551
7.7000 -1.4000 -4.0000 1.1993 0.0000 0.0000 0.7998 0.0013 0.0045 0.0703
7.7000 -1.4000 -3.7500 0.6931 0.0000 0.0000 0.9981 0.0079 0.0092 0.2564
7.7000 -1.4000 -3.5000 0.4323 0.0000 0.0000 1.2064 0.0275 0.0185 0.7507
7.7000 -1.4000 -3.2500 0.2346 0.0000 0.0041 1.3862 0.0721 0.0349 1.4744
7.7000 -1.4000 -3.0000 0.1499 0.0000 0.0166 1.5348 0.1391 0.0594 2.1247
7.7000 -1.4000 -2.7500 0.0373 0.0000 0.0499 1.6756 0.2187 0.0893 2.5486
7.7000 -1.4000 -2.5000 0.0149 0.0034 0.1131 1.8176 0.2925 0.1150 2.6660
7.7000 -1.4000 -2.2500 0.0101 0.0107 0.1930 1.9622 0.3353 0.1229 2.4681
7.7000 -1.4000 -2.0000 0.0162 0.0239 0.2452 2.0911 0.3202 0.1059 1.9993
7.7000 -1.4000 -1.7500 0.0076 0.0372 0.2349 2.1533 0.2487 0.0740 1.3938
7.7000 -1.4000 -1.5000 0.0036 0.0413 0.1759 2.0806 0.1582 0.0441 0.8281
7.7000 -1.4000 -1.2500 0.0028 0.0345 0.1078 1.8281 0.0872 0.0241 0.4231
7.7000 -1.4000 -1.0000 0.0029 0.0237 0.0580 1.4698 0.0487 0.0134 0.1981
7.7000 -1.4000 -0.7500 0.0023 0.0177 0.0344 1.1105 0.0717 0.0095 0.1593
7.7000 -1.4000 -0.5000 0.0023 0.0111 0.0178 0.7703 0.0630 0.0068 0.1147
7.8000 -1.4000 -4.0000 1.3713 0.0000 0.0000 0.8095 0.0025 0.0055 0.0876
7.8000 -1.4000 -3.7500 0.7559 0.0000 0.0000 1.0081 0.0093 0.0111 0.3183
7.8000 -1.4000 -3.5000 0.4750 0.0000 0.0000 1.2170 0.0327 0.0224 0.9306
7.8000 -1.4000 -3.2500 0.2851 0.0000 0.0048 1.4029 0.0860 0.0422 1.8340
7.8000 -1.4000 -3.0000 0.1496 0.0000 0.0196 1.5517 0.1665 0.0717 2.6438
7.8000 -1.4000 -2.7500 0.0815 0.0000 0.0592 1.6876 0.2621 0.1077 3.1648
7.8000 -1.4000 -2.5000 0.0237 0.0040 0.1350 1.8270 0.3518 0.1389 3.3126
7.8000 -1.4000 -2.2500 0.0189 0.0127 0.2320 1.9734 0.4052 0.1489 3.0729
7.8000 -1.4000 -2.0000 0.0331 0.0284 0.2966 2.1025 0.3893 0.1293 2.4948
7.8000 -1.4000 -1.7500 0.0483 0.0444 0.2858 2.1615 0.3040 0.0912 1.7411
7.8000 -1.4000 -1.5000 0.0034 0.0496 0.2149 2.0838 0.1945 0.0548 1.0360
7.8000 -1.4000 -1.2500 0.0027 0.0420 0.1332 1.8342 0.1085 0.0303 0.5335
7.8000 -1.4000 -1.0000 0.0027 0.0296 0.0735 1.4919 0.0618 0.0172 0.2550
7.8000 -1.4000 -0.7500 0.0023 0.0219 0.0432 1.1198 0.0814 0.0121 0.1917
7.8000 -1.4000 -0.5000 0.0023 0.0143 0.0232 0.7764 0.0795 0.0088 0.1497
7.9000 -1.4000 -4.0000 1.6219 0.0000 0.0000 0.8210 0.0027 0.0065 0.1086
7.9000 -1.4000 -3.7500 0.8516 0.0000 0.0000 1.0194 0.0108 0.0133 0.3931
7.9000 -1.4000 -3.5000 0.5162 0.0000 0.0000 1.2287 0.0383 0.0268 1.1467
7.9000 -1.4000 -3.2500 0.3303 0.0000 0.0056 1.4189 0.1010 0.0504 2.2653
7.9000 -1.4000 -3.0000 0.1829 0.0000 0.0230 1.5736 0.1967 0.0858 3.2794
7.9000 -1.4000 -2.7500 0.1102 0.0000 0.0695 1.7124 0.3114 0.1291 3.9379
7.9000 -1.4000 -2.5000 0.0839 0.0047 0.1603 1.8545 0.4205 0.1667 4.1328
7.9000 -1.4000 -2.2500 0.0865 0.0149 0.2777 1.9997 0.4875 0.1798 3.8393
7.9000 -1.4000 -2.0000 0.0086 0.0335 0.3580 2.1282 0.4718 0.1575 3.1239
7.9000 -1.4000 -1.7500 0.0047 0.0530 0.3475 2.1842 0.3711 0.1124 2.1840
7.9000 -1.4000 -1.5000 0.0033 0.0598 0.2642 2.1084 0.2402 0.0684 1.3070
7.9000 -1.4000 -1.2500 0.0032 0.0517 0.1670 1.8709 0.1365 0.0387 0.6832
7.9000 -1.4000 -1.0000 0.0034 0.0370 0.0931 1.5171 0.0785 0.0222 0.3290
7.9000 -1.4000 -0.7500 0.0025 0.0269 0.0544 1.1361 0.0905 0.0152 0.2286
7.9000 -1.4000 -0.5000 0.0023 0.0183 0.0303 0.7846 0.0997 0.0116 0.1950
8.0000 -1.4000 -4.0000 2.0566 0.0000 0.0000 0.8347 0.0030 0.0078 0.1339
8.0000 -1.4000 -3.7500 1.0060 0.0000 0.0000 1.0326 0.0123 0.0158 0.4821
8.0000 -1.4000 -3.5000 0.5770 0.0000 0.0000 1.2417 0.0441 0.0316 1.4018
8.0000 -1.4000 -3.2500 0.3708 0.0000 0.0065 1.4341 0.1160 0.0591 2.7738
8.0000 -1.4000 -3.0000 0.2250 0.0000 0.0261 1.5968 0.2279 0.1007 4.0401
8.0000 -1.4000 -2.7500 0.1076 0.0000 0.0800 1.7394 0.3632 0.1520 4.8711
8.0000 -1.4000 -2.5000 0.0607 0.0055 0.1876 1.8868 0.4958 0.1979 5.1423
8.0000 -1.4000 -2.2500 0.0134 0.0173 0.3295 2.0387 0.5813 0.2154 4.8022
8.0000 -1.4000 -2.0000 0.0109 0.0394 0.4304 2.1716 0.5695 0.1915 3.9262
8.0000 -1.4000 -1.7500 0.0585 0.0632 0.4233 2.2327 0.4537 0.1388 2.7610
8.0000 -1.4000 -1.5000 0.0037 0.0725 0.3261 2.1575 0.2974 0.0861 1.6635
8.0000 -1.4000 -1.2500 0.0030 0.0637 0.2092 1.9157 0.1718 0.0494 0.8775
8.0000 -1.4000 -1.0000 0.0027 0.0464 0.1187 1.5521 0.0998 0.0288 0.4278
8.0000 -1.4000 -0.7500 0.0041 0.0333 0.0689 1.1577 0.1015 0.0195 0.2762
8.0000 -1.4000 -0.5000 0.0024 0.0234 0.0397 0.7956 0.1233 0.0153 0.2528
8.1000 -1.4000 -4.0000 2.8415 0.0000 0.0000 0.8518 0.0032 0.0090 0.1637
8.1000 -1.4000 -3.7500 1.2732 0.0000 0.0000 1.0494 0.0137 0.0183 0.5860
8.1000 -1.4000 -3.5000 0.6748 0.0000 0.0000 1.2563 0.0492 0.0364 1.6968
8.1000 -1.4000 -3.2500 0.4159 0.0000 0.0073 1.4496 0.1298 0.0678 3.3604
8.1000 -1.4000 -3.0000 0.2679 0.0000 0.0289 1.6192 0.2567 0.1156 4.9238
8.1000 -1.4000 -2.7500 0.1435 0.0000 0.0899 1.7682 0.4138 0.1755 5.9797
8.1000 -1.4000 -2.5000 0.0679 0.0061 0.2147 1.9220 0.5727 0.2303 6.3571
8.1000 -1.4000 -2.2500 0.0213 0.0196 0.3844 2.0817 0.6825 0.2545 5.9816
