#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log C/O: -1.4 - 0.6, log U: -2.5 - -0.5
# SED: double composite AGN power law, a(UV) = -1.5, a(ox) = -0.8
# Plane-parallel geometry, stop criterion: 98% free electrons
#
12+log(O/H) log(C/O) log(U) Lya_1216 NV_1239 CIV_1549 HeII_1640 OIII_1665 CIII_1909 OIII_5007
6.9 -0.900 -3.75 73.7265 0.0000 0.0000 0.8298 0.0020 0.0097 0.0805
6.9 -0.900 -3.5 75.8903 0.0000 0.0000 1.2600 0.0071 0.0181 0.2139
6.9 -0.900 -3.25 32.9402 0.0000 0.0039 1.7245 0.0184 0.0289 0.4230
6.9 -0.900 -3.0 25.3388 0.0000 0.0141 2.0220 0.0303 0.0423 0.5335
6.9 -0.900 -2.75 15.9443 0.0000 0.0394 2.2054 0.0385 0.0547 0.5325
6.9 -0.900 -2.5 10.2257 0.0017 0.0802 2.3042 0.0397 0.0595 0.4513
6.9 -0.900 -2.25 7.2160 0.0078 0.1209 2.3885 0.0343 0.0531 0.3385
6.9 -0.900 -2.0 5.4228 0.0163 0.1369 2.4495 0.0245 0.0389 0.2257
6.9 -0.900 -1.75 4.1522 0.0247 0.1256 2.4764 0.0145 0.0244 0.1315
6.9 -0.900 -1.5 3.3246 0.0286 0.0986 2.4456 0.0073 0.0137 0.0672
6.9 -0.900 -1.25 2.6514 0.0264 0.0680 2.3359 0.0033 0.0073 0.0313
6.9 -0.900 -1.0 2.3784 0.0199 0.0425 2.1695 0.0015 0.0039 0.0147
6.9 -0.900 -0.75 2.2220 0.0126 0.0259 1.9942 0.0000 0.0023 0.0073
6.9 -0.900 -0.5 2.4125 0.0076 0.0175 1.9013 0.0000 0.0016 0.0045
6.9 -0.775 -4.0 72.0199 0.0000 0.0000 0.5174 0.0000 0.0065 0.0258
6.9 -0.775 -3.75 73.7175 0.0000 0.0000 0.8298 0.0020 0.0129 0.0805
6.9 -0.775 -3.5 75.8807 0.0000 0.0011 1.2600 0.0071 0.0242 0.2138
6.9 -0.775 -3.25 32.9327 0.0000 0.0052 1.7246 0.0184 0.0385 0.4229
6.9 -0.775 -3.0 25.4171 0.0000 0.0187 2.0318 0.0304 0.0566 0.5360
6.9 -0.775 -2.75 15.9368 0.0000 0.0517 2.2015 0.0384 0.0728 0.5317
