#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, T*: 30 - 60 kK
# SED: WM-Basic (Pauldrach et al 2001) 
#spherical geometry
#
#12+log(O/H) Teff log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 He1_4471 He1_5876 He2_4686
7.1 32500 -2.30 0.9110 0.0613 0.0428 0.0256 0.0068 0.0177 0.0000
7.1 35000 -2.30 1.0262 0.3588 0.0382 0.0368 0.0163 0.0419 0.0000
7.1 37500 -2.30 0.6909 0.7465 0.0284 0.0405 0.0206 0.0530 0.0000
7.1 40000 -2.29 0.3780 1.1564 0.0231 0.0418 0.0209 0.0539 0.0000
7.1 45000 -2.29 0.3243 1.2994 0.0226 0.0417 0.0210 0.0542 0.0000
7.1 50000 -2.28 0.2411 1.4082 0.0240 0.0383 0.0209 0.0537 0.0015
7.1 55000 -2.29 0.2380 1.4607 0.0240 0.0383 0.0209 0.0539 0.0000
7.1 60000 -2.28 0.1910 1.4967 0.0279 0.0338 0.0202 0.0518 0.0026
7.1 30000 -2.04 0.4573 0.0121 0.0249 0.0139 0.0027 0.0071 0.0000
7.1 32500 -2.05 0.8944 0.1070 0.0320 0.0274 0.0081 0.0211 0.0000
7.1 35000 -2.05 0.9413 0.5111 0.0288 0.0396 0.0180 0.0464 0.0000
7.1 37500 -2.05 0.5836 0.9349 0.0220 0.0426 0.0206 0.0532 0.0000
7.1 40000 -2.04 0.3089 1.3415 0.0191 0.0425 0.0208 0.0536 0.0000
7.1 45000 -2.03 0.2630 1.4966 0.0190 0.0416 0.0208 0.0538 0.0000
7.1 50000 -2.07 0.2025 1.5628 0.0210 0.0374 0.0206 0.0532 0.0019
7.1 55000 -2.09 0.2025 1.6133 0.0212 0.0375 0.0206 0.0535 0.0000
7.1 60000 -2.10 0.1646 1.6293 0.0248 0.0326 0.0199 0.0512 0.0032
7.1 30000 -1.79 0.4424 0.0221 0.0184 0.0143 0.0034 0.0088 0.0000
7.1 32500 -1.80 0.8633 0.1626 0.0244 0.0287 0.0096 0.0248 0.0000
7.1 35000 -1.80 0.8394 0.6686 0.0221 0.0416 0.0192 0.0497 0.0000
7.1 37500 -1.80 0.4840 1.1135 0.0175 0.0440 0.0206 0.0532 0.0000
7.1 40000 -1.78 0.2515 1.5198 0.0161 0.0423 0.0206 0.0532 0.0000
7.1 45000 -1.78 0.2158 1.6742 0.0164 0.0407 0.0206 0.0533 0.0000
7.1 50000 -1.82 0.1663 1.7305 0.0183 0.0355 0.0203 0.0526 0.0027
7.1 55000 -1.78 0.1603 1.8233 0.0181 0.0354 0.0203 0.0527 0.0011
7.1 60000 -1.78 0.1305 1.8252 0.0208 0.0300 0.0194 0.0501 0.0047
7.1 30000 -1.54 0.4252 0.0353 0.0136 0.0144 0.0041 0.0106 0.0000
7.1 32500 -1.55 0.8154 0.2331 0.0185 0.0297 0.0111 0.0288 0.0000
7.1 35000 -1.55 0.7289 0.8317 0.0171 0.0432 0.0198 0.0514 0.0000
7.1 37500 -1.55 0.4003 1.2775 0.0145 0.0447 0.0205 0.0531 0.0000
7.1 40000 -1.53 0.2084 1.6796 0.0141 0.0414 0.0203 0.0528 0.0000
7.1 45000 -1.53 0.1796 1.8341 0.0146 0.0391 0.0204 0.0528 0.0000
7.1 50000 -1.52 0.1349 1.9021 0.0160 0.0329 0.0200 0.0517 0.0041
7.1 55000 -1.53 0.1348 1.9724 0.0163 0.0332 0.0200 0.0521 0.0016
7.1 60000 -1.53 0.1105 1.9594 0.0185 0.0277 0.0191 0.0492 0.0064
7.4 30000 -3.99 0.4745 0.0000 0.1951 0.0013 0.0000 0.0025 0.0000
7.4 32500 -3.99 0.6452 0.0000 0.2490 0.0029 0.0027 0.0068 0.0000
7.4 35000 -3.99 0.7862 0.0000 0.2764 0.0059 0.0062 0.0159 0.0000
7.4 37500 -3.99 0.8691 0.0020 0.2751 0.0099 0.0141 0.0362 0.0000
7.4 40000 -4.00 0.9821 0.0127 0.2776 0.0165 0.0211 0.0541 0.0000
7.4 45000 -4.00 1.0329 0.0195 0.2807 0.0194 0.0225 0.0575 0.0000
7.4 50000 -4.00 1.0461 0.0299 0.2921 0.0204 0.0235 0.0600 0.0000
7.4 55000 -4.00 1.0780 0.0233 0.2785 0.0228 0.0238 0.0611 0.0000
7.4 60000 -4.00 1.0764 0.0364 0.3069 0.0202 0.0240 0.0614 0.0000
7.4 30000 -3.74 0.5694 0.0000 0.2008 0.0023 0.0011 0.0028 0.0000
7.4 32500 -3.74 0.7770 0.0000 0.2512 0.0052 0.0029 0.0075 0.0000
7.4 35000 -3.74 0.9484 0.0000 0.2683 0.0101 0.0070 0.0179 0.0000
7.4 37500 -3.74 1.0500 0.0070 0.2528 0.0161 0.0157 0.0403 0.0000
7.4 40000 -3.75 1.1649 0.0455 0.2372 0.0250 0.0214 0.0549 0.0000
7.4 45000 -3.75 1.2121 0.0693 0.2344 0.0286 0.0224 0.0573 0.0000
7.4 50000 -3.75 1.2035 0.1043 0.2419 0.0297 0.0230 0.0589 0.0000
7.4 55000 -3.75 1.2586 0.0823 0.2272 0.0323 0.0233 0.0596 0.0000
7.4 60000 -3.75 1.2260 0.1242 0.2554 0.0294 0.0232 0.0593 0.0000
7.4 30000 -3.51 0.6382 0.0000 0.1863 0.0050 0.0012 0.0030 0.0000
7.4 32500 -3.51 0.9565 0.0000 0.2435 0.0107 0.0040 0.0104 0.0000
7.4 35000 -3.51 1.1908 0.0040 0.2486 0.0187 0.0110 0.0282 0.0000
7.4 37500 -3.51 1.2781 0.0207 0.2218 0.0258 0.0179 0.0459 0.0000
7.4 40000 -3.51 1.3512 0.0926 0.1907 0.0352 0.0213 0.0545 0.0000
