#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, T*: 30 - 60 kK
# SED: WM-Basic (Pauldrach et al 2001) 
#spherical geometry
#
#12+log(O/H) Teff log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 He1_4471 He1_5876 He2_4686
7.7 50000 -2.26 0.7958 4.2478 0.0859 0.1297 0.0216 0.0554 0.0015
7.7 55000 -2.27 0.8097 4.5809 0.0876 0.1329 0.0217 0.0558 0.0000
7.7 60000 -2.27 0.6685 4.8167 0.1031 0.1190 0.0210 0.0539 0.0028
7.7 30000 -2.02 1.0653 0.0277 0.0769 0.0427 0.0028 0.0074 0.0000
7.7 32500 -2.02 2.0909 0.2355 0.0989 0.0823 0.0083 0.0214 0.0000
7.7 35000 -2.02 2.3693 1.1846 0.0911 0.1189 0.0182 0.0469 0.0000
7.7 37500 -2.03 1.5857 2.3507 0.0712 0.1308 0.0211 0.0544 0.0000
7.7 40000 -2.02 0.9411 3.7273 0.0651 0.1366 0.0214 0.0551 0.0000
7.7 45000 -2.01 0.8378 4.3617 0.0665 0.1376 0.0216 0.0555 0.0000
7.7 50000 -2.05 0.6726 4.7246 0.0752 0.1262 0.0214 0.0551 0.0019
7.7 55000 -2.07 0.6913 5.0638 0.0776 0.1294 0.0215 0.0555 0.0000
7.7 60000 -2.08 0.5771 5.2452 0.0916 0.1142 0.0208 0.0534 0.0034
7.7 30000 -1.77 1.0332 0.0504 0.0574 0.0438 0.0035 0.0092 0.0000
7.7 32500 -1.78 2.0342 0.3554 0.0755 0.0859 0.0097 0.0253 0.0000
7.7 35000 -1.78 2.1487 1.5610 0.0699 0.1247 0.0196 0.0505 0.0000
7.7 37500 -1.77 1.3402 2.8243 0.0569 0.1349 0.0211 0.0545 0.0000
7.7 40000 -1.76 0.7781 4.2677 0.0552 0.1363 0.0213 0.0548 0.0000
7.7 45000 -1.76 0.6948 4.9226 0.0578 0.1345 0.0214 0.0551 0.0000
7.7 50000 -1.80 0.5566 5.2667 0.0658 0.1199 0.0212 0.0546 0.0027
7.7 55000 -1.76 0.5499 5.7550 0.0663 0.1217 0.0213 0.0550 0.0012
7.7 60000 -1.76 0.4595 5.9065 0.0771 0.1047 0.0205 0.0526 0.0050
7.7 30000 -1.52 0.9978 0.0801 0.0425 0.0442 0.0043 0.0112 0.0000
7.7 32500 -1.52 1.9486 0.5076 0.0576 0.0887 0.0113 0.0294 0.0000
7.7 35000 -1.53 1.9042 1.9675 0.0543 0.1293 0.0203 0.0525 0.0000
7.7 37500 -1.53 1.1300 3.2823 0.0471 0.1374 0.0211 0.0544 0.0000
7.7 40000 -1.51 0.6536 4.7791 0.0485 0.1338 0.0211 0.0545 0.0000
7.7 45000 -1.51 0.5837 5.4544 0.0516 0.1295 0.0212 0.0548 0.0000
7.7 50000 -1.51 0.4553 5.8482 0.0579 0.1109 0.0209 0.0540 0.0041
7.7 55000 -1.52 0.4643 6.2647 0.0596 0.1143 0.0211 0.0546 0.0017
7.7 60000 -1.51 0.3901 6.3816 0.0685 0.0967 0.0202 0.0519 0.0068
8.0 30000 -3.99 0.6737 0.0000 0.4466 0.0028 0.0010 0.0026 0.0000
8.0 32500 -3.99 1.0061 0.0000 0.5963 0.0069 0.0027 0.0069 0.0000
8.0 35000 -3.99 1.3979 0.0000 0.7117 0.0149 0.0062 0.0159 0.0000
8.0 37500 -3.99 1.7857 0.0044 0.7735 0.0270 0.0142 0.0365 0.0000
8.0 40000 -3.99 2.4945 0.0330 0.8872 0.0510 0.0215 0.0552 0.0000
8.0 45000 -3.99 2.8205 0.0543 0.9330 0.0628 0.0229 0.0588 0.0000
8.0 50000 -3.99 2.9960 0.0866 0.9978 0.0679 0.0240 0.0615 0.0000
8.0 55000 -4.00 3.1821 0.0694 0.9647 0.0774 0.0244 0.0627 0.0000
8.0 60000 -4.00 3.2744 0.1112 1.0786 0.0696 0.0247 0.0631 0.0000
8.0 30000 -3.73 0.8768 0.0000 0.4794 0.0053 0.0011 0.0029 0.0000
8.0 32500 -3.74 1.2742 0.0000 0.6189 0.0124 0.0030 0.0078 0.0000
8.0 35000 -3.74 1.7280 0.0016 0.7034 0.0256 0.0070 0.0182 0.0000
8.0 37500 -3.74 2.1734 0.0155 0.7200 0.0441 0.0159 0.0408 0.0000
8.0 40000 -3.74 2.9423 0.1163 0.7643 0.0771 0.0218 0.0561 0.0000
8.0 45000 -3.74 3.2907 0.1892 0.7852 0.0921 0.0229 0.0587 0.0000
8.0 50000 -3.75 3.4269 0.2953 0.8322 0.0982 0.0236 0.0604 0.0000
8.0 55000 -3.75 3.7000 0.2409 0.7934 0.1092 0.0239 0.0612 0.0000
8.0 60000 -3.75 3.7202 0.3734 0.9040 0.1007 0.0239 0.0610 0.0000
8.0 30000 -3.50 1.0463 0.0000 0.4632 0.0121 0.0012 0.0032 0.0000
8.0 32500 -3.50 1.6473 0.0000 0.6213 0.0264 0.0042 0.0107 0.0000
8.0 35000 -3.50 2.2687 0.0083 0.6762 0.0488 0.0112 0.0287 0.0000
8.0 37500 -3.50 2.6553 0.0448 0.6410 0.0710 0.0182 0.0466 0.0000
8.0 40000 -3.50 3.2439 0.2229 0.6042 0.1056 0.0217 0.0557 0.0000
8.0 45000 -3.50 3.6040 0.3652 0.5911 0.1248 0.0225 0.0577 0.0000
8.0 50000 -3.50 3.6443 0.6424 0.6187 0.1330 0.0230 0.0588 0.0000
8.0 55000 -3.50 3.9314 0.7548 0.6170 0.1450 0.0234 0.0599 0.0000
8.0 60000 -3.50 3.7461 1.1111 0.7103 0.1382 0.0232 0.0593 0.0013
8.0 30000 -3.25 1.2174 0.0000 0.4393 0.0212 0.0013 0.0033 0.0000
8.0 32500 -3.25 1.9768 0.0023 0.5723 0.0444 0.0043 0.0112 0.0000
8.0 35000 -3.25 2.6876 0.0299 0.5792 0.0758 0.0118 0.0302 0.0000
8.0 37500 -3.25 3.0410 0.1593 0.5118 0.1027 0.0193 0.0494 0.0000
8.0 40000 -3.25 3.3537 0.6799 0.4511 0.1395 0.0219 0.0561 0.0000
8.0 45000 -3.24 3.5250 1.0593 0.4297 0.1595 0.0224 0.0575 0.0000
8.0 50000 -3.25 3.3016 1.6190 0.4523 0.1675 0.0227 0.0581 0.0000
8.0 55000 -3.25 3.4899 1.9109 0.4463 0.1808 0.0230 0.0589 0.0000
8.0 60000 -3.25 3.1445 2.4191 0.5284 0.1743 0.0227 0.0580 0.0015
8.0 30000 -3.00 1.3199 0.0000 0.3764 0.0339 0.0013 0.0035 0.0000
8.0 32500 -3.02 2.2646 0.0076 0.4795 0.0671 0.0046 0.0118 0.0000
8.0 35000 -3.01 3.0712 0.1033 0.4573 0.1064 0.0124 0.0318 0.0000
8.0 37500 -3.00 3.2094 0.4865 0.3780 0.1348 0.0201 0.0515 0.0000
8.0 40000 -3.00 2.9500 1.5854 0.3133 0.1698 0.0220 0.0562 0.0000
8.0 45000 -2.99 2.9407 2.1836 0.3011 0.1880 0.0224 0.0572 0.0000
8.0 50000 -2.99 2.5624 2.9425 0.3184 0.1952 0.0225 0.0576 0.0000
8.0 55000 -3.00 2.6906 3.3674 0.3181 0.2085 0.0227 0.0582 0.0000
8.0 60000 -2.99 2.3162 3.9778 0.3754 0.2028 0.0223 0.0570 0.0016
8.0 30000 -2.75 1.3514 0.0015 0.2906 0.0474 0.0015 0.0039 0.0000
8.0 32500 -2.75 2.4696 0.0283 0.3603 0.0912 0.0051 0.0131 0.0000
8.0 35000 -2.75 3.2927 0.3056 0.3394 0.1349 0.0133 0.0343 0.0000
8.0 37500 -2.75 3.0367 1.0737 0.2697 0.1607 0.0207 0.0532 0.0000
8.0 40000 -2.75 2.4127 2.5746 0.2233 0.1912 0.0220 0.0563 0.0000
8.0 45000 -2.74 2.3124 3.3539 0.2158 0.2079 0.0223 0.0570 0.0000
8.0 50000 -2.74 1.9451 4.1833 0.2316 0.2113 0.0223 0.0572 0.0000
8.0 55000 -2.75 2.0459 4.7092 0.2354 0.2237 0.0225 0.0577 0.0000
8.0 60000 -2.75 1.7546 5.2772 0.2816 0.2133 0.0220 0.0563 0.0018
8.0 30000 -2.50 1.3387 0.0050 0.2165 0.0571 0.0018 0.0047 0.0000
8.0 32500 -2.51 2.5468 0.0779 0.2697 0.1075 0.0058 0.0151 0.0000
8.0 35000 -2.51 3.2795 0.6294 0.2518 0.1554 0.0148 0.0379 0.0000
8.0 37500 -2.50 2.7201 1.7302 0.1953 0.1790 0.0212 0.0543 0.0000
8.0 40000 -2.49 1.9674 3.4983 0.1659 0.2051 0.0219 0.0562 0.0000
8.0 45000 -2.49 1.8667 4.3769 0.1656 0.2186 0.0222 0.0569 0.0000
8.0 50000 -2.49 1.5446 5.2399 0.1816 0.2158 0.0222 0.0568 0.0011
8.0 55000 -2.50 1.6260 5.8610 0.1869 0.2272 0.0223 0.0573 0.0000
8.0 60000 -2.50 1.3844 6.4366 0.2234 0.2114 0.0218 0.0557 0.0022
8.0 30000 -2.25 1.3151 0.0147 0.1608 0.0633 0.0023 0.0060 0.0000
8.0 32500 -2.26 2.5590 0.1651 0.2027 0.1190 0.0069 0.0180 0.0000
8.0 35000 -2.25 3.1590 1.0141 0.1884 0.1706 0.0165 0.0425 0.0000
8.0 37500 -2.25 2.4067 2.3630 0.1466 0.1918 0.0214 0.0550 0.0000
8.0 40000 -2.24 1.6434 4.3182 0.1316 0.2127 0.0219 0.0561 0.0000
8.0 45000 -2.25 1.5457 5.2929 0.1351 0.2227 0.0221 0.0567 0.0000
8.0 50000 -2.24 1.2637 6.1953 0.1504 0.2137 0.0220 0.0565 0.0015
8.0 55000 -2.25 1.3225 6.9151 0.1558 0.2241 0.0222 0.0571 0.0000
8.0 60000 -2.25 1.1259 7.4642 0.1859 0.2039 0.0216 0.0553 0.0028
8.0 30000 -2.00 1.2878 0.0346 0.1194 0.0670 0.0029 0.0076 0.0000
8.0 32500 -2.00 2.5346 0.2849 0.1532 0.1272 0.0083 0.0215 0.0000
8.0 35000 -2.00 2.9821 1.4408 0.1432 0.1820 0.0183 0.0472 0.0000
8.0 37500 -2.00 2.1099 2.9893 0.1142 0.2010 0.0215 0.0553 0.0000
8.0 40000 -2.00 1.3892 5.0983 0.1094 0.2162 0.0218 0.0560 0.0000
8.0 45000 -1.99 1.2878 6.2025 0.1143 0.2226 0.0220 0.0565 0.0000
8.0 50000 -1.99 1.0482 7.1176 0.1291 0.2075 0.0219 0.0562 0.0020
8.0 55000 -2.00 1.0937 7.9064 0.1345 0.2173 0.0220 0.0568 0.0000
8.0 60000 -2.00 0.9339 8.4175 0.1597 0.1938 0.0214 0.0548 0.0037
8.0 30000 -1.75 1.2585 0.0627 0.0898 0.0691 0.0036 0.0094 0.0000
8.0 32500 -1.76 2.4906 0.4266 0.1178 0.1330 0.0098 0.0255 0.0000
8.0 35000 -1.76 2.7587 1.9065 0.1107 0.1907 0.0198 0.0510 0.0000
8.0 37500 -1.75 1.8264 3.6338 0.0918 0.2075 0.0215 0.0553 0.0000
8.0 40000 -1.74 1.1721 5.9298 0.0934 0.2169 0.0217 0.0558 0.0000
8.0 45000 -1.74 1.0842 7.1019 0.0999 0.2192 0.0219 0.0563 0.0000
8.0 50000 -1.74 0.8824 8.0154 0.1141 0.1985 0.0217 0.0558 0.0028
8.0 55000 -1.75 0.9134 8.8713 0.1187 0.2075 0.0219 0.0565 0.0012
8.0 60000 -1.75 0.7845 9.3329 0.1398 0.1814 0.0211 0.0542 0.0051
8.0 30000 -1.50 1.2255 0.0985 0.0671 0.0700 0.0044 0.0115 0.0000
8.0 32500 -1.51 2.4210 0.6046 0.0906 0.1374 0.0115 0.0298 0.0000
8.0 35000 -1.51 2.5014 2.4276 0.0864 0.1979 0.0206 0.0532 0.0000
8.0 37500 -1.51 1.5754 4.2810 0.0766 0.2120 0.0214 0.0553 0.0000
8.0 40000 -1.49 1.0012 6.7480 0.0826 0.2148 0.0216 0.0556 0.0000
8.0 45000 -1.49 0.9229 7.9853 0.0897 0.2128 0.0218 0.0561 0.0000
8.0 50000 -1.49 0.7504 8.8883 0.1028 0.1870 0.0215 0.0554 0.0040
8.0 55000 -1.50 0.7765 9.7559 0.1069 0.1957 0.0217 0.0562 0.0017
8.0 60000 -1.50 0.6697 10.1829 0.1245 0.1681 0.0209 0.0536 0.0069
8.3 30000 -3.98 0.2251 0.0000 0.3325 0.0022 0.0010 0.0027 0.0000
8.3 32500 -3.98 0.3941 0.0000 0.4808 0.0058 0.0026 0.0069 0.0000
8.3 35000 -3.98 0.6824 0.0000 0.6495 0.0139 0.0060 0.0157 0.0000
8.3 37500 -3.99 1.1085 0.0033 0.8165 0.0285 0.0140 0.0363 0.0000
8.3 40000 -3.99 2.2302 0.0314 1.1698 0.0652 0.0217 0.0561 0.0000
8.3 45000 -3.99 2.8413 0.0572 1.3143 0.0860 0.0232 0.0599 0.0000
8.3 50000 -3.99 3.2841 0.0974 1.4747 0.0972 0.0244 0.0628 0.0000
8.3 55000 -3.99 3.6927 0.0823 1.4665 0.1147 0.0249 0.0641 0.0000
8.3 60000 -3.99 4.0103 0.1379 1.6836 0.1057 0.0252 0.0646 0.0000
8.3 30000 -3.72 0.3730 0.0000 0.4063 0.0046 0.0012 0.0031 0.0000
8.3 32500 -3.73 0.6148 0.0000 0.5591 0.0115 0.0030 0.0079 0.0000
8.3 35000 -3.73 1.0010 0.0013 0.7066 0.0262 0.0070 0.0183 0.0000
8.3 37500 -3.73 1.5368 0.0129 0.8213 0.0500 0.0158 0.0410 0.0000
8.3 40000 -3.73 2.8286 0.1170 1.0585 0.1026 0.0221 0.0570 0.0000
8.3 45000 -3.74 3.4970 0.2063 1.1517 0.1295 0.0232 0.0597 0.0000
8.3 50000 -3.74 3.9190 0.3387 1.2724 0.1432 0.0240 0.0616 0.0000
8.3 55000 -3.74 4.4446 0.2915 1.2416 0.1647 0.0243 0.0625 0.0000
8.3 60000 -3.74 4.6892 0.4691 1.4464 0.1549 0.0244 0.0625 0.0000
8.3 30000 -3.48 0.5929 0.0000 0.4627 0.0124 0.0013 0.0034 0.0000
8.3 32500 -3.49 1.0283 0.0000 0.6516 0.0284 0.0042 0.0110 0.0000
8.3 35000 -3.49 1.6323 0.0074 0.7722 0.0565 0.0112 0.0291 0.0000
8.3 37500 -3.49 2.1363 0.0409 0.7918 0.0869 0.0183 0.0471 0.0000
8.3 40000 -3.49 3.1518 0.2266 0.8461 0.1423 0.0220 0.0566 0.0000
8.3 45000 -3.48 3.8371 0.3967 0.8734 0.1766 0.0228 0.0587 0.0000
8.3 50000 -3.49 4.1549 0.7301 0.9487 0.1940 0.0233 0.0599 0.0000
8.3 55000 -3.49 4.8512 0.9202 0.9846 0.2212 0.0238 0.0611 0.0000
8.3 60000 -3.49 4.8392 1.3977 1.1542 0.2138 0.0237 0.0606 0.0013
8.3 30000 -3.23 0.8542 0.0000 0.4950 0.0248 0.0013 0.0035 0.0000
8.3 32500 -3.23 1.4680 0.0023 0.6646 0.0529 0.0044 0.0115 0.0000
8.3 35000 -3.23 2.1783 0.0284 0.7103 0.0945 0.0119 0.0307 0.0000
8.3 37500 -3.23 2.6672 0.1544 0.6662 0.1330 0.0194 0.0501 0.0000
8.3 40000 -3.23 3.4168 0.7088 0.6494 0.1930 0.0222 0.0570 0.0000
8.3 45000 -3.23 3.8753 1.1595 0.6448 0.2283 0.0228 0.0585 0.0000
8.3 50000 -3.23 3.8771 1.8406 0.7004 0.2451 0.0231 0.0592 0.0000
8.3 55000 -3.23 4.3989 2.3060 0.7150 0.2747 0.0234 0.0600 0.0000
8.3 60000 -3.24 4.1660 3.0205 0.8615 0.2686 0.0232 0.0593 0.0015
8.3 30000 -2.98 1.0482 0.0000 0.4559 0.0430 0.0014 0.0037 0.0000
8.3 32500 -2.99 1.8661 0.0075 0.5935 0.0854 0.0046 0.0120 0.0000
8.3 35000 -2.97 2.4276 0.0574 0.5803 0.1249 0.0084 0.0218 0.0000
8.3 37500 -2.98 2.9585 0.4839 0.5049 0.1802 0.0203 0.0523 0.0000
8.3 40000 -2.97 3.1067 1.6511 0.4548 0.2360 0.0223 0.0572 0.0000
8.3 45000 -2.97 3.3190 2.3844 0.4518 0.2681 0.0227 0.0583 0.0000
8.3 50000 -2.97 3.1066 3.3444 0.4925 0.2837 0.0229 0.0587 0.0000
8.3 55000 -2.97 3.4773 4.0452 0.5074 0.3132 0.0231 0.0593 0.0000
8.3 60000 -2.97 3.1566 4.9576 0.6101 0.3097 0.0228 0.0582 0.0017
8.3 30000 -2.72 1.1461 0.0015 0.3647 0.0631 0.0016 0.0041 0.0000
8.3 32500 -2.72 2.1742 0.0283 0.4601 0.1219 0.0051 0.0132 0.0000
8.3 35000 -2.72 3.0054 0.3036 0.4433 0.1816 0.0134 0.0345 0.0000
8.3 37500 -2.72 2.8879 1.0742 0.3640 0.2173 0.0210 0.0541 0.0000
8.3 40000 -2.72 2.6138 2.7076 0.3234 0.2650 0.0223 0.0573 0.0000
8.3 45000 -2.71 2.6861 3.6889 0.3233 0.2947 0.0226 0.0581 0.0000
8.3 50000 -2.71 2.4319 4.8068 0.3582 0.3056 0.0227 0.0583 0.0000
8.3 55000 -2.72 2.7029 5.6966 0.3741 0.3336 0.0229 0.0588 0.0000
8.3 60000 -2.72 2.4409 6.6215 0.4567 0.3239 0.0225 0.0576 0.0019
8.3 30000 -2.47 1.1791 0.0051 0.2777 0.0779 0.0019 0.0049 0.0000
8.3 32500 -2.48 2.3152 0.0777 0.3505 0.1465 0.0059 0.0152 0.0000
8.3 35000 -2.47 3.0813 0.6244 0.3335 0.2115 0.0147 0.0380 0.0000
8.3 37500 -2.47 2.6710 1.7371 0.2662 0.2429 0.0215 0.0553 0.0000
8.3 40000 -2.46 2.2137 3.7314 0.2424 0.2844 0.0223 0.0573 0.0000
8.3 45000 -2.46 2.2403 4.8811 0.2501 0.3097 0.0226 0.0579 0.0000
8.3 50000 -2.47 1.9946 6.1201 0.2834 0.3126 0.0226 0.0580 0.0011
8.3 55000 -2.47 2.1888 7.1995 0.2978 0.3385 0.0228 0.0585 0.0000
8.3 60000 -2.47 1.9593 8.2013 0.3633 0.3211 0.0223 0.0571 0.0022
8.3 30000 -2.22 1.1894 0.0147 0.2101 0.0876 0.0023 0.0061 0.0000
8.3 32500 -2.23 2.3807 0.1630 0.2676 0.1638 0.0069 0.0180 0.0000
8.3 35000 -2.22 3.0509 0.9962 0.2532 0.2330 0.0165 0.0426 0.0000
8.3 37500 -2.22 2.4482 2.3881 0.2021 0.2607 0.0217 0.0560 0.0000
8.3 40000 -2.21 1.9158 4.7073 0.1941 0.2960 0.0222 0.0572 0.0000
8.3 45000 -2.22 1.9071 6.0474 0.2053 0.3167 0.0225 0.0578 0.0000
8.3 50000 -2.22 1.6715 7.4307 0.2361 0.3115 0.0225 0.0577 0.0014
8.3 55000 -2.22 1.8140 8.6591 0.2496 0.3353 0.0227 0.0583 0.0000
8.3 60000 -2.22 1.6197 9.6935 0.3041 0.3116 0.0221 0.0567 0.0028
8.3 30000 -1.97 1.1912 0.0348 0.1590 0.0938 0.0030 0.0078 0.0000
8.3 32500 -1.98 2.4078 0.2772 0.2054 0.1763 0.0083 0.0216 0.0000
8.3 35000 -1.97 2.9698 1.4079 0.1948 0.2492 0.0183 0.0473 0.0000
8.3 37500 -1.97 2.2299 3.0567 0.1596 0.2738 0.0218 0.0564 0.0000
8.3 40000 -1.97 1.6756 5.6802 0.1633 0.3027 0.0222 0.0571 0.0000
8.3 45000 -1.96 1.6340 7.2481 0.1755 0.3187 0.0224 0.0577 0.0000
8.3 50000 -2.01 1.4599 8.5286 0.2092 0.3069 0.0224 0.0575 0.0018
8.3 55000 -2.03 1.5798 9.7986 0.2227 0.3294 0.0226 0.0581 0.0000
8.3 60000 -2.04 1.4208 10.7836 0.2720 0.3021 0.0220 0.0564 0.0034
8.3 30000 -1.73 1.1866 0.0623 0.1215 0.0975 0.0037 0.0097 0.0000
8.3 32500 -1.73 2.4182 0.4084 0.1601 0.1853 0.0098 0.0256 0.0000
8.3 35000 -1.73 2.8422 1.8659 0.1526 0.2615 0.0198 0.0514 0.0000
8.3 37500 -1.73 2.0045 3.7791 0.1300 0.2837 0.0219 0.0565 0.0000
8.3 40000 -1.71 1.4574 6.7708 0.1411 0.3062 0.0221 0.0570 0.0000
8.3 45000 -1.72 1.4093 8.4880 0.1550 0.3165 0.0223 0.0575 0.0000
8.3 50000 -1.76 1.2505 9.8789 0.1856 0.2973 0.0222 0.0572 0.0026
8.3 55000 -1.72 1.2922 11.5577 0.1924 0.3154 0.0225 0.0579 0.0011
8.3 60000 -1.73 1.1587 12.5975 0.2314 0.2824 0.0218 0.0559 0.0050
8.3 30000 -1.48 1.1796 0.0956 0.0923 0.0996 0.0045 0.0119 0.0000
8.3 32500 -1.48 2.4124 0.5708 0.1247 0.1923 0.0115 0.0300 0.0000
8.3 35000 -1.49 2.6702 2.4005 0.1203 0.2718 0.0209 0.0541 0.0000
8.3 37500 -1.48 1.7896 4.5433 0.1098 0.2913 0.0218 0.0565 0.0000
8.3 40000 -1.47 1.2763 7.8878 0.1261 0.3060 0.0220 0.0568 0.0000
8.3 45000 -1.47 1.2240 9.7534 0.1403 0.3102 0.0223 0.0573 0.0000
8.3 50000 -1.47 1.0585 11.4569 0.1658 0.2817 0.0221 0.0568 0.0038
8.3 55000 -1.48 1.1122 12.9405 0.1742 0.3003 0.0223 0.0577 0.0016
8.3 60000 -1.48 0.9988 13.9887 0.2070 0.2643 0.0216 0.0554 0.0068
8.6 30000 -3.96 0.0121 0.0000 0.0545 0.0000 0.0011 0.0029 0.0000
8.6 32500 -3.96 0.0340 0.0000 0.1303 0.0034 0.0044 0.0119 0.0000
8.6 35000 -3.98 0.1116 0.0000 0.3124 0.0089 0.0084 0.0223 0.0000
8.6 37500 -3.98 0.2091 0.0000 0.4377 0.0176 0.0146 0.0384 0.0000
8.6 40000 -3.98 0.5826 0.0061 0.7594 0.0437 0.0210 0.0550 0.0000
8.6 45000 -3.98 0.9733 0.0137 0.9835 0.0677 0.0229 0.0596 0.0000
8.6 50000 -3.99 1.3870 0.0327 1.2243 0.0856 0.0242 0.0628 0.0000
8.6 55000 -3.99 2.0276 0.0506 1.4672 0.1151 0.0253 0.0657 0.0000
8.6 60000 -3.99 2.4601 0.0922 1.7861 0.1110 0.0257 0.0665 0.0000
8.6 30000 -3.69 0.0208 0.0000 0.0800 0.0022 0.0020 0.0053 0.0000
8.6 32500 -3.71 0.0727 0.0000 0.2202 0.0063 0.0040 0.0105 0.0000
8.6 35000 -3.72 0.1816 0.0000 0.3622 0.0171 0.0100 0.0265 0.0000
8.6 37500 -3.72 0.3408 0.0033 0.4884 0.0329 0.0166 0.0437 0.0000
8.6 40000 -3.72 0.9201 0.0275 0.7904 0.0769 0.0218 0.0569 0.0000
8.6 45000 -3.73 1.4779 0.0597 0.9773 0.1132 0.0231 0.0601 0.0000
8.6 50000 -3.73 2.0200 0.1356 1.1877 0.1391 0.0240 0.0622 0.0000
8.6 55000 -3.73 2.8335 0.2017 1.3697 0.1785 0.0247 0.0640 0.0000
8.6 60000 -3.73 3.2972 0.3485 1.6754 0.1742 0.0249 0.0642 0.0000
8.6 30000 -3.46 0.0607 0.0000 0.1723 0.0052 0.0014 0.0037 0.0000
8.6 32500 -3.46 0.1350 0.0000 0.2786 0.0136 0.0044 0.0116 0.0000
8.6 35000 -3.47 0.3272 0.0024 0.4258 0.0345 0.0113 0.0296 0.0000
8.6 37500 -3.47 0.5913 0.0161 0.5371 0.0626 0.0182 0.0477 0.0000
8.6 40000 -3.47 1.4286 0.1236 0.7751 0.1311 0.0223 0.0579 0.0000
8.6 45000 -3.47 2.1341 0.2531 0.8976 0.1810 0.0232 0.0600 0.0000
8.6 50000 -3.47 2.6441 0.5052 1.0509 0.2105 0.0237 0.0613 0.0000
8.6 55000 -3.48 3.5466 0.7153 1.1729 0.2581 0.0242 0.0625 0.0000
8.6 60000 -3.47 3.8514 1.1444 1.4314 0.2561 0.0242 0.0622 0.0012
8.6 30000 -3.19 0.1458 0.0000 0.2447 0.0144 0.0014 0.0037 0.0000
8.6 32500 -3.20 0.3310 0.0011 0.3807 0.0353 0.0045 0.0119 0.0000
8.6 35000 -3.20 0.6963 0.0148 0.5003 0.0760 0.0120 0.0314 0.0000
8.6 37500 -3.20 1.0698 0.0858 0.5507 0.1195 0.0196 0.0509 0.0000
8.6 40000 -3.21 1.9226 0.4638 0.6672 0.2015 0.0225 0.0583 0.0000
8.6 45000 -3.20 2.5429 0.8350 0.7204 0.2551 0.0231 0.0597 0.0000
8.6 50000 -3.21 2.8184 1.3903 0.8252 0.2823 0.0234 0.0605 0.0000
8.6 55000 -3.21 3.5980 1.9168 0.8931 0.3352 0.0237 0.0613 0.0000
8.6 60000 -3.21 3.6692 2.6166 1.1120 0.3333 0.0236 0.0607 0.0015
8.6 30000 -2.94 0.3139 0.0000 0.3090 0.0350 0.0015 0.0039 0.0000
8.6 32500 -2.95 0.6807 0.0049 0.4462 0.0753 0.0047 0.0123 0.0000
8.6 35000 -2.93 1.2244 0.0681 0.4960 0.1377 0.0125 0.0325 0.0000
8.6 37500 -2.94 1.5144 0.3174 0.4736 0.1858 0.0205 0.0533 0.0000
8.6 40000 -2.94 2.0109 1.1600 0.4958 0.2613 0.0226 0.0586 0.0000
8.6 45000 -2.93 2.4176 1.7980 0.5229 0.3095 0.0230 0.0595 0.0000
8.6 50000 -2.94 2.5034 2.6531 0.5985 0.3354 0.0232 0.0600 0.0000
8.6 55000 -2.94 3.0804 3.4943 0.6462 0.3881 0.0235 0.0605 0.0000
8.6 60000 -2.94 3.0125 4.4872 0.8032 0.3911 0.0232 0.0596 0.0016
8.6 30000 -2.68 0.4704 0.0011 0.2964 0.0618 0.0016 0.0043 0.0000
8.6 32500 -2.68 1.0564 0.0199 0.4065 0.1259 0.0051 0.0133 0.0000
8.6 35000 -2.68 1.6464 0.2136 0.4184 0.1964 0.0132 0.0345 0.0000
8.6 37500 -2.68 1.6771 0.7349 0.3628 0.2370 0.0212 0.0551 0.0000
8.6 40000 -2.68 1.8574 1.9678 0.3620 0.2992 0.0227 0.0587 0.0000
8.6 45000 -2.67 2.1181 2.8905 0.3816 0.3450 0.0230 0.0594 0.0000
8.6 50000 -2.67 2.1097 3.9974 0.4437 0.3668 0.0231 0.0596 0.0000
8.6 55000 -2.68 2.5294 5.1111 0.4819 0.4171 0.0233 0.0601 0.0000
8.6 60000 -2.68 2.4470 6.2158 0.6082 0.4131 0.0229 0.0590 0.0018
8.6 30000 -2.43 0.5625 0.0036 0.2469 0.0825 0.0019 0.0050 0.0000
8.6 32500 -2.43 1.2717 0.0549 0.3329 0.1611 0.0058 0.0152 0.0000
8.6 35000 -2.43 1.8584 0.4380 0.3326 0.2383 0.0145 0.0378 0.0000
8.6 37500 -2.43 1.7039 1.1995 0.2757 0.2710 0.0218 0.0566 0.0000
8.6 40000 -2.42 1.7070 2.8309 0.2785 0.3264 0.0227 0.0587 0.0000
8.6 45000 -2.42 1.8793 3.9903 0.3010 0.3672 0.0229 0.0593 0.0000
8.6 50000 -2.43 1.8292 5.3263 0.3577 0.3805 0.0230 0.0593 0.0011
8.6 55000 -2.43 2.1297 6.7000 0.3882 0.4269 0.0232 0.0598 0.0000
8.6 60000 -2.43 2.0366 7.9817 0.4900 0.4137 0.0228 0.0585 0.0022
8.6 30000 -2.18 0.6209 0.0102 0.1986 0.0965 0.0024 0.0063 0.0000
8.6 32500 -2.19 1.4053 0.1121 0.2669 0.1858 0.0068 0.0179 0.0000
8.6 35000 -2.18 1.9857 0.6814 0.2630 0.2678 0.0162 0.0422 0.0000
