#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log N/O: -2.0 - 0.0, log U: -4.0 - -1.5 (O/H vs log U and vs N/O empirically constrained)
# SED: BPASS v.2.1, a = -1.35, M_up = 300 M_sun,, age = 1 Myr
# Plane-parallel geometry
#
#12+log(O/H) log(N/O) log(U) HI_4.05m HI_7.46m SIV_10.5m HI_12.4m NeII_12.8m NeIII_15.5m SIII_18.7m SIII_33.7m OIII_52m NIII_57m OIII_88m NII_121.8m NII_205m
7.30 -1.750 -2.25 0.0591 0.0175 0.0692 0.0064 0.0013 0.0493 0.0416 0.0568 0.1713 0.0051 0.2076 0.0000 0.0000
7.40 -1.500 -1.75 0.0581 0.0172 0.1714 0.0063 0.0016 0.0660 0.0412 0.0554 0.2441 0.0102 0.2910 0.0000 0.0000
7.40 -1.500 -2.00 0.0589 0.0174 0.1274 0.0064 0.0011 0.0640 0.0475 0.0645 0.2305 0.0111 0.2772 0.0000 0.0000
7.40 -1.625 -2.00 0.0589 0.0174 0.1274 0.0064 0.0011 0.0640 0.0475 0.0645 0.2305 0.0083 0.2772 0.0000 0.0000
7.40 -1.750 -2.00 0.0589 0.0174 0.1274 0.0064 0.0011 0.0640 0.0475 0.0645 0.2305 0.0062 0.2772 0.0000 0.0000
7.40 -1.625 -2.25 0.0597 0.0177 0.0849 0.0065 0.0017 0.0616 0.0524 0.0718 0.2136 0.0085 0.2588 0.0000 0.0000
7.40 -1.750 -2.25 0.0597 0.0177 0.0849 0.0065 0.0017 0.0616 0.0524 0.0718 0.2136 0.0064 0.2588 0.0000 0.0000
7.50 -1.500 -1.75 0.0583 0.0172 0.2124 0.0063 0.0021 0.0830 0.0526 0.0708 0.3074 0.0131 0.3649 0.0000 0.0000
7.50 -1.625 -1.75 0.0582 0.0172 0.2124 0.0063 0.0021 0.0830 0.0527 0.0709 0.3077 0.0098 0.3652 0.0000 0.0000
7.50 -1.750 -1.75 0.0582 0.0172 0.2123 0.0063 0.0021 0.0831 0.0528 0.0709 0.3079 0.0074 0.3654 0.0000 0.0000
7.50 -1.500 -2.00 0.0591 0.0175 0.1570 0.0064 0.0015 0.0804 0.0605 0.0821 0.2896 0.0141 0.3473 0.0000 0.0000
7.50 -1.500 -2.25 0.0599 0.0178 0.1040 0.0065 0.0022 0.0773 0.0663 0.0910 0.2679 0.0144 0.3242 0.0000 0.0000
7.50 -1.625 -2.25 0.0599 0.0178 0.1041 0.0065 0.0022 0.0774 0.0663 0.0911 0.2681 0.0108 0.3243 0.0000 0.0000
7.50 -1.750 -2.25 0.0599 0.0178 0.1041 0.0065 0.0022 0.0774 0.0664 0.0911 0.2681 0.0081 0.3244 0.0000 0.0000
7.60 -1.500 -2.00 0.0597 0.0177 0.1930 0.0065 0.0019 0.1004 0.0762 0.1040 0.3607 0.0178 0.4315 0.0000 0.0000
7.60 -1.625 -2.00 0.0596 0.0177 0.1930 0.0065 0.0019 0.1004 0.0763 0.1041 0.3610 0.0134 0.4318 0.0000 0.0000
7.60 -1.750 -2.00 0.0596 0.0177 0.1929 0.0065 0.0019 0.1005 0.0763 0.1041 0.3612 0.0100 0.4320 0.0000 0.0000
7.60 -1.500 -2.25 0.0604 0.0180 0.1268 0.0066 0.0030 0.0965 0.0834 0.1151 0.3338 0.0182 0.4033 0.0000 0.0000
7.60 -1.500 -2.50 0.0612 0.0182 0.0734 0.0067 0.0047 0.0919 0.0866 0.1207 0.2987 0.0174 0.3640 0.0011 0.0000
7.60 -1.625 -2.50 0.0612 0.0182 0.0735 0.0067 0.0047 0.0920 0.0866 0.1208 0.2989 0.0131 0.3641 0.0000 0.0000
7.60 -1.750 -2.50 0.0612 0.0182 0.0735 0.0067 0.0047 0.0920 0.0866 0.1208 0.2990 0.0098 0.3642 0.0000 0.0000
7.70 -1.625 -2.00 0.0603 0.0180 0.2353 0.0066 0.0026 0.1249 0.0959 0.1317 0.4477 0.0169 0.5339 0.0000 0.0000
7.70 -1.750 -2.00 0.0603 0.0179 0.2353 0.0066 0.0026 0.1250 0.0960 0.1318 0.4480 0.0127 0.5342 0.0000 0.0000
7.70 -1.500 -2.25 0.0610 0.0182 0.1529 0.0067 0.0039 0.1200 0.1047 0.1452 0.4141 0.0228 0.4995 0.0010 0.0000
7.70 -1.625 -2.25 0.0610 0.0182 0.1529 0.0067 0.0039 0.1201 0.1047 0.1453 0.4143 0.0171 0.4998 0.0000 0.0000
7.70 -1.750 -2.25 0.0610 0.0182 0.1530 0.0067 0.0039 0.1202 0.1048 0.1453 0.4146 0.0128 0.5000 0.0000 0.0000
7.70 -1.625 -2.50 0.0617 0.0184 0.0879 0.0068 0.0062 0.1143 0.1084 0.1520 0.3706 0.0164 0.4512 0.0010 0.0000
7.70 -1.750 -2.50 0.0617 0.0184 0.0879 0.0068 0.0062 0.1143 0.1084 0.1521 0.3707 0.0123 0.4513 0.0000 0.0000
7.80 -1.625 -2.00 0.0610 0.0182 0.2851 0.0067 0.0034 0.1547 0.1199 0.1659 0.5527 0.0213 0.6565 0.0000 0.0000
7.80 -1.750 -2.00 0.0610 0.0182 0.2852 0.0067 0.0034 0.1548 0.1200 0.1660 0.5531 0.0160 0.6569 0.0000 0.0000
7.80 -1.500 -2.25 0.0617 0.0184 0.1835 0.0068 0.0052 0.1487 0.1305 0.1825 0.5114 0.0285 0.6153 0.0013 0.0000
7.80 -1.625 -2.25 0.0617 0.0184 0.1836 0.0068 0.0052 0.1488 0.1306 0.1826 0.5118 0.0214 0.6158 0.0000 0.0000
7.80 -1.750 -2.25 0.0617 0.0184 0.1836 0.0068 0.0052 0.1488 0.1307 0.1827 0.5121 0.0161 0.6161 0.0000 0.0000
7.80 -1.625 -2.50 0.0624 0.0187 0.1048 0.0069 0.0083 0.1415 0.1349 0.1907 0.4574 0.0204 0.5563 0.0013 0.0000
7.80 -1.750 -2.50 0.0623 0.0187 0.1048 0.0069 0.0083 0.1416 0.1350 0.1907 0.4576 0.0153 0.5565 0.0000 0.0000
7.90 -1.500 -2.25 0.0625 0.0187 0.2186 0.0069 0.0070 0.1831 0.1615 0.2282 0.6275 0.0355 0.7527 0.0010 0.0000
7.90 -1.500 -2.50 0.0632 0.0189 0.1239 0.0070 0.0111 0.1741 0.1666 0.2378 0.5605 0.0337 0.6806 0.0015 0.0000
7.90 -1.625 -2.50 0.0631 0.0189 0.1239 0.0070 0.0111 0.1742 0.1668 0.2379 0.5609 0.0253 0.6811 0.0011 0.0000
7.90 -1.750 -2.50 0.0631 0.0189 0.1240 0.0070 0.0111 0.1743 0.1668 0.2380 0.5612 0.0190 0.6813 0.0012 0.0000
7.90 -1.500 -2.75 0.0638 0.0191 0.0618 0.0070 0.0177 0.1623 0.1631 0.2350 0.4684 0.0298 0.5739 0.0023 0.0000
7.90 -1.625 -2.75 0.0637 0.0191 0.0618 0.0070 0.0177 0.1624 0.1632 0.2351 0.4686 0.0224 0.5742 0.0017 0.0000
