#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log N/O: -2.0 - 0.0, log U: -4.0 - -1.5 (O/H vs log U and vs N/O empirically constrained)
# SED: BPASS v.2.1, a = -1.35, M_up = 300 M_sun,, age = 1 Myr
# Plane-parallel geometry
#
#12+log(O/H) log(N/O) log(U) HI_4.05m HI_7.46m SIV_10.5m HI_12.4m NeII_12.8m NeIII_15.5m SIII_18.7m SIII_33.7m OIII_52m NIII_57m OIII_88m NII_121.8m NII_205m
8.70 -1.250 -2.50 0.0744 0.0228 0.1478 0.0084 0.2299 0.5351 0.7257 1.1641 1.8177 0.2505 2.0733 0.0167 0.0050
8.70 -0.750 -2.75 0.0752 0.0230 0.0643 0.0085 0.3040 0.4074 0.6662 1.0775 1.2475 0.6059 1.4690 0.0777 0.0229
8.70 -0.875 -2.75 0.0750 0.0230 0.0653 0.0085 0.3042 0.4125 0.6730 1.0866 1.2605 0.4592 1.4856 0.0586 0.0173
8.70 -1.000 -2.75 0.0748 0.0229 0.0660 0.0085 0.3043 0.4163 0.6781 1.0934 1.2703 0.3472 1.4981 0.0442 0.0131
8.70 -1.125 -2.75 0.0747 0.0229 0.0666 0.0084 0.3044 0.4192 0.6820 1.0986 1.2778 0.2619 1.5076 0.0333 0.0098
8.70 -1.250 -2.75 0.0746 0.0228 0.0670 0.0084 0.3046 0.4214 0.6849 1.1025 1.2833 0.1973 1.5146 0.0250 0.0074
8.70 -0.750 -3.00 0.0756 0.0232 0.0258 0.0086 0.3732 0.2988 0.5949 0.9673 0.7367 0.4014 0.8836 0.1075 0.0317
8.70 -1.000 -3.00 0.0752 0.0230 0.0266 0.0085 0.3755 0.3066 0.6079 0.9851 0.7524 0.2311 0.9041 0.0614 0.0182
8.70 -1.250 -3.00 0.0749 0.0229 0.0270 0.0085 0.3770 0.3112 0.6156 0.9954 0.7610 0.1317 0.9156 0.0348 0.0103
8.80 -0.500 -2.75 0.0785 0.0242 0.0446 0.0089 0.4356 0.3287 0.7306 1.2050 1.1051 1.0731 1.2829 0.1747 0.0501
8.80 -0.625 -2.75 0.0780 0.0240 0.0464 0.0089 0.4381 0.3396 0.7471 1.2291 1.1344 0.8264 1.3199 0.1325 0.0382
8.80 -0.750 -2.75 0.0776 0.0239 0.0478 0.0088 0.4398 0.3482 0.7599 1.2476 1.1573 0.6323 1.3489 0.1002 0.0290
8.80 -0.875 -2.75 0.0773 0.0238 0.0488 0.0088 0.4412 0.3547 0.7698 1.2618 1.1747 0.4813 1.3708 0.0756 0.0219
8.80 -1.000 -2.75 0.0771 0.0237 0.0496 0.0088 0.4423 0.3595 0.7773 1.2726 1.1877 0.3651 1.3873 0.0570 0.0166
8.80 -0.625 -3.00 0.0787 0.0242 0.0181 0.0090 0.4969 0.2346 0.6506 1.0767 0.6263 0.5094 0.7415 0.1743 0.0503
8.80 -0.750 -3.00 0.0783 0.0241 0.0187 0.0089 0.5007 0.2408 0.6631 1.0954 0.6394 0.3909 0.7586 0.1323 0.0383
8.80 -0.500 -3.25 0.0806 0.0249 0.0056 0.0092 0.5289 0.1461 0.5093 0.8517 0.2759 0.3156 0.3270 0.2693 0.0777
8.80 -0.625 -3.25 0.0801 0.0247 0.0059 0.0091 0.5351 0.1508 0.5217 0.8707 0.2826 0.2439 0.3359 0.2050 0.0594
8.80 -0.750 -3.25 0.0797 0.0246 0.0061 0.0091 0.5402 0.1547 0.5319 0.8863 0.2881 0.1874 0.3431 0.1556 0.0453
8.80 -0.875 -3.25 0.0794 0.0245 0.0062 0.0091 0.5442 0.1578 0.5400 0.8986 0.2925 0.1432 0.3489 0.1178 0.0344
8.80 -1.000 -3.25 0.0791 0.0244 0.0064 0.0090 0.5472 0.1602 0.5466 0.9086 0.2960 0.1090 0.3535 0.0891 0.0260
8.90 -0.500 -2.75 0.0819 0.0253 0.0271 0.0094 0.5867 0.2295 0.7980 1.3341 0.8475 1.0214 0.9715 0.2244 0.0622
8.90 -0.875 -2.75 0.0805 0.0248 0.0318 0.0092 0.6032 0.2539 0.8499 1.4127 0.9618 0.4722 1.1095 0.0965 0.0272
8.90 -1.000 -2.75 0.0802 0.0247 0.0325 0.0092 0.6064 0.2587 0.8606 1.4288 0.9771 0.3598 1.1286 0.0727 0.0206
8.90 -0.500 -3.00 0.0831 0.0257 0.0104 0.0095 0.6161 0.1513 0.6706 1.1293 0.4460 0.5790 0.5177 0.2765 0.0765
8.90 -0.625 -3.00 0.0825 0.0256 0.0110 0.0095 0.6245 0.1575 0.6885 1.1568 0.4629 0.4505 0.5390 0.2102 0.0585
8.90 -0.750 -3.00 0.0820 0.0254 0.0114 0.0094 0.6311 0.1624 0.7032 1.1793 0.4757 0.3477 0.5552 0.1593 0.0446
8.90 -0.875 -3.00 0.0817 0.0253 0.0118 0.0094 0.6364 0.1664 0.7148 1.1970 0.4867 0.2666 0.5691 0.1205 0.0339
8.90 -1.000 -3.00 0.0814 0.0252 0.0121 0.0093 0.6405 0.1695 0.7239 1.2108 0.4964 0.2036 0.5813 0.0909 0.0256
8.90 -0.500 -3.25 0.0847 0.0263 0.0032 0.0098 0.6263 0.0928 0.5194 0.8840 0.1965 0.2574 0.2281 0.3084 0.0854
8.90 -0.625 -3.25 0.0843 0.0262 0.0033 0.0097 0.6344 0.0961 0.5314 0.9027 0.2014 0.1990 0.2344 0.2345 0.0653
8.90 -0.875 -3.25 0.0836 0.0259 0.0036 0.0096 0.6459 0.1007 0.5489 0.9299 0.2086 0.1168 0.2437 0.1344 0.0377
8.90 -1.000 -3.25 0.0834 0.0259 0.0036 0.0096 0.6498 0.1023 0.5551 0.9394 0.2111 0.0888 0.2469 0.1015 0.0286
9.00 -0.250 -2.75 0.0821 0.0243 0.0321 0.0090 0.6305 0.2161 0.9021 1.5337 1.0915 2.6999 1.2485 0.3097 0.0812
9.00 -0.375 -2.75 0.0828 0.0255 0.0321 0.0095 0.6267 0.2129 0.8993 1.5253 1.0786 2.0104 1.2365 0.2297 0.0605
9.00 -0.500 -2.75 0.0847 0.0262 0.0320 0.0098 0.6706 0.2152 0.9512 1.6124 1.0896 1.5619 1.2481 0.1875 0.0495
9.00 -0.625 -2.75 0.0848 0.0263 0.0309 0.0098 0.6803 0.2098 0.9588 1.6229 1.0586 1.1598 1.2115 0.1446 0.0382
9.00 -0.750 -2.75 0.0848 0.0264 0.0156 0.0098 0.7543 0.1394 0.8845 1.4954 0.5911 0.5485 0.6721 0.1616 0.0436
9.00 -0.250 -3.00 0.0804 0.0238 0.0117 0.0088 0.6509 0.1240 0.7682 1.3095 0.5499 1.5664 0.6285 0.4327 0.1133
9.00 -0.375 -3.00 0.0902 0.0279 0.0133 0.0104 0.7478 0.1396 0.8813 1.5004 0.6171 1.3289 0.7070 0.3744 0.0984
9.00 -0.625 -3.00 0.0838 0.0259 0.0131 0.0096 0.7064 0.1348 0.8438 1.4306 0.5909 0.7188 0.6811 0.1982 0.0525
9.00 -0.750 -3.00 0.0839 0.0260 0.0134 0.0097 0.7166 0.1372 0.8589 1.4543 0.6001 0.5487 0.6929 0.1507 0.0400
9.00 -0.250 -3.25 0.0790 0.0234 0.0034 0.0087 0.6244 0.0638 0.5794 0.9954 0.2275 0.6784 0.2585 0.4986 0.1296
9.00 -0.375 -3.25 0.0784 0.0232 0.0036 0.0086 0.6390 0.0671 0.6004 1.0284 0.2358 0.5297 0.2692 0.3824 0.1000
9.00 -0.500 -3.25 0.0780 0.0230 0.0038 0.0085 0.6506 0.0698 0.6176 1.0554 0.2425 0.4102 0.2780 0.2920 0.0768
9.00 -0.625 -3.25 0.0776 0.0229 0.0040 0.0085 0.6598 0.0720 0.6314 1.0770 0.2479 0.3154 0.2849 0.2221 0.0586
9.00 -0.750 -3.25 0.0772 0.0231 0.0039 0.0086 0.6442 0.0706 0.6188 1.0546 0.2425 0.2317 0.2793 0.1627 0.0431
9.10 -0.250 -2.75 0.0887 0.0264 0.0157 0.0098 0.7651 0.1118 0.9361 1.6231 0.6896 2.3970 0.7665 0.4217 0.1064
9.10 -0.375 -2.75 0.0876 0.0260 0.0177 0.0096 0.8020 0.1241 0.9979 1.7181 0.7472 1.9276 0.8387 0.3262 0.0834
9.10 -0.500 -2.75 0.0867 0.0257 0.0194 0.0095 0.8306 0.1342 1.0475 1.7947 0.7942 1.5239 0.8982 0.2505 0.0647
9.10 -0.500 -3.00 0.0855 0.0254 0.0064 0.0094 0.7954 0.0688 0.8336 1.4393 0.3595 0.7769 0.4038 0.3142 0.0804
9.10 -0.625 -3.00 0.0850 0.0252 0.0067 0.0093 0.8132 0.0721 0.8598 1.4801 0.3725 0.6036 0.4202 0.2400 0.0618
9.10 -0.750 -3.00 0.0847 0.0251 0.0070 0.0093 0.8270 0.0748 0.8806 1.5125 0.3828 0.4652 0.4333 0.1826 0.0472
9.10 -0.250 -3.25 0.0858 0.0255 0.0014 0.0095 0.6861 0.0291 0.5474 0.9666 0.1299 0.4996 0.1432 0.5674 0.1415
9.10 -0.375 -3.25 0.0852 0.0253 0.0015 0.0094 0.7069 0.0310 0.5711 1.0033 0.1356 0.3926 0.1502 0.4363 0.1096
9.10 -0.500 -3.25 0.0847 0.0252 0.0016 0.0093 0.7234 0.0326 0.5902 1.0330 0.1403 0.3055 0.1560 0.3338 0.0843
9.10 -0.625 -3.25 0.0844 0.0250 0.0017 0.0093 0.7356 0.0337 0.6045 1.0554 0.1438 0.2353 0.1604 0.2540 0.0644
