#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log N/O: -2.0 - 0.0, log U: -4.0 - -1.5 (O/H vs log U empirically constrained)
# SED: BPASS v.2.1, a = -1.35, M_up = 300 M_sun,, age = 1 Myr
# Plane-parallel geometry
#
#12+log(O/H) log(N/O) log(U) HI_4.05m HI_7.46m SIV_10.5m HI_12.4m NeII_12.8m NeIII_15.5m SIII_18.7m SIII_33.7m OIII_52m NIII_57m OIII_88m NII_121.8m NII_205m
6.90 -1.500 -2.25 0.0581 0.0171 0.0304 0.0063 0.0011 0.0313 0.0160 0.0217 0.0688 0.0034 0.0835 0.0000 0.0000
6.90 -1.750 -2.25 0.0581 0.0171 0.0304 0.0063 0.0011 0.0313 0.0160 0.0217 0.0688 0.0019 0.0835 0.0000 0.0000
6.90 -1.875 -2.25 0.0581 0.0171 0.0304 0.0063 0.0011 0.0313 0.0160 0.0217 0.0688 0.0015 0.0835 0.0000 0.0000
6.90 -2.000 -2.25 0.0581 0.0171 0.0304 0.0063 0.0011 0.0313 0.0160 0.0217 0.0688 0.0011 0.0835 0.0000 0.0000
7.00 0.000 -1.75 0.0579 0.0171 0.0726 0.0063 0.0000 0.0262 0.0152 0.0205 0.0966 0.1188 0.1164 0.0021 0.0016
7.00 -0.125 -1.75 0.0576 0.0170 0.0724 0.0062 0.0000 0.0263 0.0153 0.0206 0.0972 0.0891 0.1170 0.0016 0.0012
7.00 -0.250 -1.75 0.0573 0.0168 0.0722 0.0062 0.0000 0.0264 0.0155 0.0207 0.0978 0.0668 0.1175 0.0012 0.0000
7.00 -0.375 -1.75 0.0571 0.0167 0.0720 0.0062 0.0000 0.0264 0.0156 0.0208 0.0982 0.0501 0.1179 0.0021 0.0000
7.00 -0.500 -1.75 0.0568 0.0167 0.0719 0.0061 0.0000 0.0265 0.0156 0.0208 0.0985 0.0376 0.1182 0.0016 0.0000
7.00 -0.750 -1.75 0.0565 0.0166 0.0715 0.0061 0.0000 0.0265 0.0158 0.0209 0.0989 0.0212 0.1186 0.0000 0.0000
7.00 -0.875 -1.75 0.0564 0.0165 0.0714 0.0061 0.0000 0.0266 0.0158 0.0210 0.0991 0.0159 0.1188 0.0000 0.0000
7.00 -1.000 -1.75 0.0564 0.0165 0.0713 0.0061 0.0000 0.0266 0.0158 0.0210 0.0992 0.0119 0.1188 0.0000 0.0000
7.00 -1.125 -1.75 0.0563 0.0165 0.0712 0.0061 0.0000 0.0266 0.0158 0.0210 0.0993 0.0089 0.1189 0.0000 0.0000
7.00 -1.500 -1.75 0.0562 0.0164 0.0711 0.0060 0.0000 0.0266 0.0159 0.0210 0.0994 0.0038 0.1190 0.0000 0.0000
7.00 -1.675 -1.75 0.0566 0.0166 0.0716 0.0061 0.0000 0.0265 0.0157 0.0209 0.0989 0.0025 0.1185 0.0000 0.0000
7.00 -1.750 -1.75 0.0561 0.0164 0.0711 0.0060 0.0000 0.0266 0.0159 0.0211 0.0995 0.0021 0.1191 0.0000 0.0000
7.00 -1.875 -1.75 0.0561 0.0164 0.0710 0.0060 0.0000 0.0266 0.0159 0.0211 0.0995 0.0016 0.1191 0.0000 0.0000
