7.1 30000.0 -3.52 0.3872 0.0 0.1098 0.0022
7.1 32500.0 -3.52 0.5314 0.0 0.1333 0.0048
7.1 35000.0 -3.52 0.6389 0.0013 0.1338 0.0087
7.1 37500.0 -3.52 0.688 0.013 0.1165 0.013
7.1 40000.0 -3.51 0.7008 0.0802 0.099 0.0184
7.1 45000.0 -3.51 0.6992 0.1214 0.0946 0.0205
7.1 50000.0 -3.51 0.6568 0.1681 0.0971 0.0209
7.1 55000.0 -3.51 0.708 0.1393 0.0898 0.0222
7.1 30000.0 -3.28 0.4497 0.0 0.1063 0.0039
7.1 32500.0 -3.28 0.6408 0.0 0.1246 0.0082
7.1 35000.0 -3.27 0.7814 0.0047 0.1167 0.014
7.1 37500.0 -3.27 0.8107 0.0483 0.0941 0.0191
7.1 40000.0 -3.27 0.6977 0.2352 0.0745 0.0248
7.1 45000.0 -3.26 0.6484 0.3248 0.0701 0.0268
7.1 50000.0 -3.27 0.5688 0.4017 0.0721 0.027
7.1 55000.0 -3.26 0.6376 0.3695 0.0656 0.0284
7.1 32500.0 -3.06 0.7471 0.0014 0.1072 0.0127
7.1 30000.0 -3.04 0.4954 0.0 0.0943 0.0064
7.1 35000.0 -3.05 0.9306 0.0176 0.0946 0.02
7.1 37500.0 -3.04 0.8768 0.1536 0.0711 0.0257
7.1 40000.0 -3.03 0.5834 0.5056 0.0535 0.031
7.1 45000.0 -3.03 0.511 0.6204 0.0506 0.0326
7.1 50000.0 -3.03 0.4266 0.7058 0.052 0.0322
7.1 55000.0 -3.02 0.4934 0.6806 0.0476 0.0338
7.1 30000.0 -2.8 0.5155 0.0 0.0758 0.0093
7.1 32500.0 -2.8 0.8336 0.0061 0.0825 0.0177
7.1 35000.0 -2.8 1.0482 0.0623 0.0711 0.0262
7.1 37500.0 -2.8 0.8332 0.3445 0.0519 0.0316
7.1 40000.0 -2.8 0.4557 0.7854 0.0392 0.0357
7.1 45000.0 -2.78 0.3867 0.917 0.0373 0.0367
7.1 50000.0 -2.78 0.3174 0.9958 0.0388 0.0352
7.1 55000.0 -2.78 0.375 0.9848 0.0359 0.0374
7.1 30000.0 -2.55 0.5126 0.0013 0.0581 0.0114
7.1 32500.0 -2.55 0.8667 0.0185 0.0625 0.0211
7.1 35000.0 -2.55 1.0736 0.144 0.0531 0.0308
7.1 37500.0 -2.55 0.7302 0.5545 0.0379 0.0359
7.1 40000.0 -2.54 0.3551 1.0314 0.0298 0.0384
